Date	Price Open	Price Low	Price High	Price Close	Volume
2018-10-17	30.0	27.0	30.0	27.25	377490600
2018-10-18	27.0	25.5	27.0	25.5	163858100
2018-10-19	25.5	25.25	26.25	25.25	108483300
2018-10-22	25.25	23.7	25.75	23.7	123428600
2018-10-24	23.3	22.8	24.0	23.0	119530400
2018-10-25	23.0	22.9	24.5	24.4	94749500
2018-10-26	24.2	23.9	24.4	23.9	41549500
2018-10-29	24.1	23.8	24.3	23.9	24216100
2018-10-30	24.0	23.8	24.8	24.6	60730500
2018-10-31	24.8	24.8	26.25	25.75	75400400
2018-11-01	25.75	25.5	26.0	25.75	18428000
2018-11-02	26.0	25.5	26.25	25.5	23227000
2018-11-05	25.25	23.6	25.25	24.0	71456200
2018-11-06	24.3	23.8	24.4	24.0	32387600
2018-11-07	24.0	23.9	24.3	24.3	11461300
2018-11-08	24.4	24.2	24.7	24.3	12836800
2018-11-09	24.2	24.2	24.5	24.2	4475400
2018-11-12	24.4	24.0	24.4	24.0	4957900
2018-11-13	23.9	23.8	24.4	24.0	10148900
2018-11-14	24.1	24.0	24.3	24.1	5955500
2018-11-15	24.0	23.9	24.2	24.0	8423100
2018-11-16	24.1	23.9	24.2	24.0	6230200
2018-11-19	24.0	24.0	24.5	24.4	8445600
2018-11-20	24.3	24.1	24.4	24.2	9031200
2018-11-21	24.1	24.1	24.6	24.5	13327900
2018-11-22	24.8	24.4	25.25	24.5	33446900
2018-11-23	24.6	24.4	25.0	24.9	11951500
2018-11-26	25.0	24.8	25.25	25.0	17541200
2018-11-27	25.25	25.0	25.25	25.0	5064000
2018-11-28	25.0	25.0	25.5	25.25	4794600
2018-11-29	25.25	24.9	25.25	24.9	9231200
2018-11-30	25.0	24.9	25.25	25.0	3550000
2018-12-03	25.0	25.0	25.25	25.0	5165400
2018-12-04	25.0	25.0	25.25	25.25	3661700
2018-12-06	25.0	24.8	25.25	25.0	9194700
2018-12-07	25.0	24.9	25.25	25.0	3832700
2018-12-11	25.0	25.0	25.25	25.0	4617700
2018-12-12	25.25	25.0	25.75	25.25	10452900
2018-12-13	25.25	24.9	25.25	24.9	6780400
2018-12-14	24.9	24.5	25.0	24.8	8947800
2018-12-17	24.9	24.5	25.0	24.8	7880900
2018-12-18	24.8	24.3	24.8	24.4	8365800
2018-12-19	24.5	24.4	24.8	24.8	2617600
2018-12-20	24.8	24.3	24.8	24.5	3967900
2018-12-21	24.4	24.3	24.7	24.5	4215900
2018-12-24	24.5	24.3	24.6	24.4	3384800
2018-12-25	24.3	24.1	24.4	24.1	4608600
2018-12-26	24.2	24.1	24.3	24.1	1283100
2018-12-27	24.4	23.9	24.5	23.9	2680700
2018-12-28	24.0	23.9	24.5	24.5	4784800
2019-01-02	24.4	23.9	24.4	24.0	4525400
2019-01-03	24.2	23.9	24.7	24.0	8887400
2019-01-04	24.0	23.7	24.1	23.8	11349000
2019-01-07	23.9	23.7	24.1	23.8	3564900
2019-01-08	23.9	23.8	24.2	23.8	5433600
2019-01-09	23.9	23.9	24.4	24.1	7574000
2019-01-10	24.2	24.0	24.3	24.1	5037100
2019-01-11	24.2	24.0	24.4	24.4	4936400
2019-01-14	24.3	24.0	24.4	24.1	3394200
2019-01-15	24.2	24.0	24.2	24.0	2252700
2019-01-16	24.0	23.5	24.0	23.7	6093800
2019-01-17	23.8	23.6	23.9	23.7	1376500
2019-01-18	23.8	23.5	23.9	23.6	2201800
2019-01-21	23.6	23.3	23.7	23.3	2521000
2019-01-22	23.4	23.3	24.0	23.9	5811900
2019-01-23	23.8	23.7	24.3	24.2	6715200
2019-01-24	24.3	24.3	25.5	25.5	20294000
2019-01-25	25.5	25.0	25.5	25.5	12276600
2019-01-28	25.5	25.25	25.75	25.5	10306000
2019-01-29	25.5	25.0	25.75	25.25	7345900
2019-01-30	25.5	25.25	26.0	26.0	12604200
2019-01-31	26.25	26.0	27.0	26.5	18928700
2019-02-01	26.5	26.25	27.0	26.75	14253100
2019-02-04	26.75	26.0	26.75	26.5	3907700
2019-02-05	26.5	26.0	26.5	26.25	2068900
2019-02-06	26.25	26.0	26.5	26.25	4076700
2019-02-07	26.25	25.5	27.0	25.75	16106900
2019-02-08	25.25	25.0	26.0	25.75	8230300
2019-02-11	25.75	25.5	26.0	25.75	4547500
2019-02-12	25.75	25.25	25.75	25.5	4425700
2019-02-13	25.75	25.5	26.25	26.0	5069500
2019-02-14	26.25	26.0	26.5	26.5	4627600
2019-02-15	26.5	26.25	27.0	26.75	16177800
2019-02-18	26.75	26.25	27.0	26.5	3837900
2019-02-20	26.5	26.25	26.75	26.5	2748500
2019-02-21	26.5	26.5	27.75	27.25	33093400
2019-02-22	27.25	27.25	28.0	27.5	27051400
2019-02-25	27.75	27.5	27.75	27.5	4803700
2019-02-26	27.5	27.0	27.5	27.0	9251100
2019-02-27	27.0	27.0	27.5	27.25	3123100
2019-02-28	27.5	27.25	28.25	28.0	20892600
2019-03-01	28.25	27.5	28.25	28.0	13097900
2019-03-04	27.75	26.75	28.0	27.5	7638400
2019-03-05	27.25	27.25	27.75	27.75	5499200
2019-03-06	27.5	27.0	27.75	27.25	4607500
2019-03-07	27.25	27.0	27.75	27.75	3228800
2019-03-08	27.75	27.25	27.75	27.5	3562500
2019-03-11	27.5	27.0	27.75	27.25	4269300
2019-03-12	27.5	27.0	27.5	27.0	3809800
2019-03-13	27.0	26.25	27.5	27.5	6796600
2019-03-14	27.5	27.0	27.5	27.25	3992900
2019-03-15	27.25	26.5	27.25	26.75	3833400
2019-03-18	27.0	26.0	27.0	26.0	3397600
2019-03-19	26.25	26.0	27.0	26.75	2095200
2019-03-20	27.0	26.75	27.5	26.75	6392600
2019-03-21	27.0	27.0	27.75	27.25	11861300
2019-03-22	27.25	27.0	27.5	27.25	4596900
2019-03-25	27.0	26.5	27.25	26.75	2602800
2019-03-26	26.5	26.25	27.0	26.5	7299500
2019-03-27	26.75	26.25	26.75	26.5	3755800
2019-03-28	26.75	26.25	27.5	27.25	7178800
2019-03-29	27.25	27.25	27.75	27.5	5139500
2019-04-01	27.5	27.0	27.75	27.0	2645100
2019-04-02	27.25	27.25	27.75	27.5	4915100
2019-04-03	27.5	27.5	28.0	27.75	7298400
2019-04-04	28.0	27.75	29.0	28.75	30920800
2019-04-05	28.75	28.5	29.0	28.75	6475000
2019-04-09	28.5	28.5	29.5	29.0	14832900
2019-04-10	28.75	28.75	29.25	29.0	8437700
2019-04-11	29.0	29.0	29.5	29.25	7569300
2019-04-12	29.25	29.0	29.5	29.5	4665600
2019-04-17	29.5	29.0	29.5	29.25	9345700
2019-04-18	29.25	29.0	29.75	29.25	19850300
2019-04-19	29.25	28.25	29.5	28.5	9546200
2019-04-22	28.75	28.25	28.75	28.5	7121700
2019-04-23	28.5	28.5	29.5	29.0	11888500
2019-04-24	29.25	29.0	29.75	29.5	10973900
2019-04-25	29.75	29.5	30.25	30.0	24640500
2019-04-26	30.0	29.75	31.0	30.75	24378700
2019-04-29	30.5	30.25	31.0	30.75	15544800
2019-04-30	30.5	30.25	30.75	30.75	5903200
2019-05-02	30.75	30.75	31.5	31.25	10615600
2019-05-03	31.25	31.0	32.75	32.75	11401900
2019-05-07	32.0	32.0	34.25	33.5	24631800
2019-05-08	33.5	31.5	33.75	32.25	27595700
2019-05-09	32.25	31.75	32.75	32.25	10294300
