Date	Price Open	Price Low	Price High	Price Close	Volume
2018-10-17	29.25	27.25	30.0	27.25	983600.0
2018-10-18	27.25	25.25	27.25	25.25	800600.0
2018-10-19	26.0	25.5	26.0	26.0	51200.0
2018-10-22	25.25	24.1	25.25	24.1	2000.0
2018-10-24	23.7	23.0	23.8	23.0	3300.0
2018-10-25	23.8	23.8	24.2	24.2	500.0
2018-10-26	24.5	24.5	24.5	24.5	100.0
2018-10-31	25.5	25.5	26.0	26.0	33600.0
2018-11-01	25.25	25.25	26.25	26.25	32900.0
2018-11-05	25.25	25.25	25.25	25.25	1100.0
2019-03-11	27.0	27.0	27.0	27.0	100.0
2019-03-28	27.0	27.0	27.0	27.0	10000.0
2019-04-04	28.25	28.0	28.75	28.75	19700.0
2019-07-11	36.5	36.5	36.5	36.5	2000.0
2020-07-01	37.75	37.75	37.75	37.75	245800.0
2020-12-14	38.0	38.0	38.0	38.0	200.0
2021-03-31	36.0	36.0	36.0	36.0	50000.0
2022-06-22	36.0	36.0	36.0	36.0	100.0
