Date	Price Open	Price Low	Price High	Price Close	Volume
2021-03-22	3.5	3.3	4.2	3.98	792586900
2021-03-23	4.02	3.54	4.08	3.56	212107300
2021-03-24	3.5	3.1	3.56	3.26	86043400
2021-03-25	3.32	3.32	3.48	3.36	59005800
2021-03-26	3.4	3.34	3.44	3.38	21588900
2021-03-29	3.38	3.38	3.54	3.44	80419100
2021-03-30	3.48	3.34	3.48	3.36	26924400
2021-03-31	3.38	3.34	3.44	3.34	25787100
2021-04-01	3.38	3.32	3.42	3.32	17365300
2021-04-02	3.36	3.32	3.38	3.32	9913500
2021-04-05	3.32	3.2	3.34	3.24	11137300
2021-04-07	3.2	2.98	3.2	3.04	14910700
2021-04-08	3.02	3.0	3.14	3.1	7172500
2021-04-09	3.1	3.0	3.1	3.06	3800500
2021-04-12	3.02	2.98	3.06	2.98	6519100
2021-04-16	2.92	2.66	2.92	2.8	9710400
2021-04-19	2.72	2.72	3.06	3.04	13739600
2021-04-20	3.06	3.0	3.1	3.04	5974200
2021-04-21	3.08	3.08	3.2	3.18	18841700
2021-04-22	3.2	3.1	3.2	3.12	5680600
2021-04-23	3.1	3.0	3.1	3.04	4163500
2021-04-26	3.0	2.92	3.04	3.04	3852700
2021-04-27	3.0	2.98	3.04	2.98	3775500
2021-04-28	2.98	2.98	3.08	3.0	5879600
2021-04-29	3.04	3.0	3.06	3.0	4284700
2021-04-30	3.02	3.0	3.06	3.06	3103100
2021-05-05	3.06	2.98	3.12	3.06	10667500
2021-05-06	3.06	2.98	3.1	3.06	7671800
2021-05-07	3.1	3.04	3.12	3.06	6933200
2021-05-10	3.06	3.02	3.08	3.04	4067900
2021-05-11	3.04	2.96	3.04	3.0	6216100
2021-05-12	3.02	2.98	3.06	3.0	5375500
2021-05-13	3.0	2.1	3.02	2.86	9252000
2021-05-14	2.9	2.56	2.94	2.84	7944100
2021-05-17	2.82	2.74	2.9	2.84	7344000
2021-05-18	2.88	2.86	3.0	2.94	9689800
2021-05-19	2.94	2.94	3.04	2.98	9367400
2021-05-20	2.98	2.94	3.02	2.94	5755100
2021-05-21	2.98	2.9	3.0	2.9	3593600
2021-05-24	2.9	2.88	2.94	2.9	1784500
2021-05-25	2.92	2.9	3.06	2.96	20638700
2021-05-27	2.98	2.94	3.0	2.94	4376300
2021-05-28	2.96	2.92	2.98	2.94	2323100
2021-05-31	2.94	2.86	2.94	2.88	3613500
2021-06-01	2.9	2.88	2.96	2.9	4961500
2021-06-02	2.94	2.92	2.96	2.96	4008900
2021-06-04	2.94	2.92	2.96	2.92	1882100
2021-06-07	2.92	2.9	2.96	2.94	4062700
2021-06-08	3.04	3.02	3.34	3.1	99879800
2021-06-09	3.1	3.06	3.12	3.08	10282800
2021-06-10	3.08	3.06	3.2	3.16	22218200
2021-06-11	3.14	3.06	3.14	3.1	10696700
2021-06-14	3.06	2.98	3.06	3.02	4093300
2021-06-15	2.98	2.96	3.02	2.96	6401400
2021-06-16	2.98	2.96	3.0	3.0	1367700
2021-06-17	3.0	2.96	3.0	2.96	2255000
2021-06-18	2.96	2.92	2.98	2.98	2128000
2021-06-21	2.92	2.82	2.94	2.9	5752500
2021-06-22	2.92	2.9	2.94	2.9	2463300
2021-06-23	2.9	2.88	2.92	2.9	821200
2021-06-24	2.9	2.84	2.9	2.86	1714700
2021-06-25	2.94	2.9	3.02	2.92	4179000
2021-06-28	2.9	2.84	2.92	2.92	1675900
2021-06-29	2.94	2.9	2.96	2.92	2659900
2021-06-30	2.92	2.92	2.98	2.96	1901900
2021-07-01	2.96	2.94	2.98	2.96	1410300
2021-07-02	2.96	2.88	2.96	2.9	2471800
2021-07-05	2.86	2.86	2.92	2.86	1650600
2021-07-06	2.86	2.86	2.9	2.9	1122900
2021-07-07	2.88	2.86	2.9	2.86	2185600
2021-07-08	2.9	2.76	2.9	2.82	4194000
2021-07-09	2.78	2.76	2.82	2.82	2399200
2021-07-12	2.82	2.8	2.84	2.82	816300
2021-07-13	2.82	2.82	2.88	2.86	1585500
2021-07-14	2.88	2.84	2.94	2.94	2349600
2021-07-15	2.96	2.9	2.96	2.92	2043600
2021-07-16	2.94	2.9	2.94	2.92	908700
2021-07-19	2.88	2.82	2.9	2.88	2133500
2021-07-20	2.88	2.8	2.88	2.84	2794500
2021-07-21	2.86	2.82	2.86	2.84	1056400
2021-07-22	2.86	2.84	2.94	2.92	4636300
2021-07-23	2.9	2.88	3.04	3.02	24511000
2021-07-27	2.98	2.96	3.14	3.14	42532600
2021-07-29	3.18	3.0	3.26	3.0	72439600
2021-07-30	3.02	2.9	3.02	2.9	11699700
2021-08-02	2.9	2.84	3.02	2.98	9761500
2021-08-03	3.0	2.96	3.0	2.98	2488300
2021-08-04	3.04	2.98	3.06	3.06	9551500
2021-08-05	3.08	2.98	3.1	3.0	7580400
2021-08-06	3.0	2.94	3.02	3.0	4934700
2021-08-09	3.0	2.96	3.2	3.2	40881900
2021-08-10	3.16	3.0	3.32	3.04	88951600
2021-08-11	3.08	3.02	3.14	3.1	18771600
2021-08-13	3.1	3.06	3.26	3.1	34735800
2021-08-16	3.1	3.04	3.32	3.28	60958500
2021-08-17	3.34	3.14	3.38	3.18	97074900
2021-08-18	3.18	3.1	3.26	3.18	34829600
2021-08-19	3.2	3.16	3.3	3.22	40401200
2021-08-20	3.26	3.18	3.28	3.2	19016500
2021-08-23	3.18	3.16	3.24	3.24	8006000
2021-08-24	3.26	3.22	3.42	3.32	87116500
2021-08-25	3.28	3.22	3.32	3.28	33257900
2021-08-26	3.3	3.28	3.36	3.32	12886400
2021-08-27	3.36	3.3	3.46	3.32	69907500
2021-08-30	3.34	3.26	3.36	3.3	25256900
2021-08-31	3.32	3.24	3.32	3.26	13319400
2021-09-01	3.26	3.16	3.26	3.18	17478400
2021-09-02	3.16	3.08	3.16	3.1	15457800
2021-09-03	3.1	3.02	3.1	3.06	12485300
2021-09-06	3.04	3.02	3.16	3.16	10279100
2021-09-07	3.16	3.08	3.16	3.08	5864500
2021-09-08	3.08	3.06	3.12	3.1	2886700
2021-09-09	3.1	3.1	3.16	3.1	7724000
2021-09-10	3.12	3.04	3.12	3.06	4348800
2021-09-13	3.06	3.04	3.08	3.08	3506900
2021-09-14	3.08	3.06	3.1	3.08	2808700
2021-09-15	3.08	3.08	3.14	3.14	5215000
2021-09-16	3.12	3.1	3.14	3.1	2631900
2021-09-17	3.12	3.04	3.12	3.08	3605400
2021-09-20	3.08	3.06	3.24	3.14	26111100
2021-09-21	3.14	3.04	3.14	3.1	9388200
2021-09-22	3.08	3.08	3.12	3.1	1942200
2021-09-23	3.1	3.08	3.12	3.08	1661800
2021-09-27	3.08	2.18	3.1	2.96	16814800
2021-09-28	2.9	2.86	3.0	2.88	10086700
2021-09-29	2.88	2.88	2.94	2.92	6303600
2021-09-30	2.94	2.88	2.98	2.92	4987500
2021-10-01	2.92	2.88	2.96	2.9	2226200
2021-10-04	2.9	2.88	2.94	2.9	1929700
2021-10-05	2.9	2.88	3.0	2.92	15803700
2021-10-06	2.9	2.9	2.94	2.9	1852300
2021-10-07	2.92	2.9	2.96	2.94	2231800
2021-10-08	2.92	2.92	2.96	2.94	1549600
2021-10-11	2.92	2.92	2.96	2.92	1616300
2021-10-12	2.94	2.92	3.12	3.1	25307000
2021-10-14	3.08	3.02	3.1	3.04	4629100
2021-10-15	3.08	3.0	3.08	3.04	3389100
2021-10-18	3.06	3.02	3.1	3.02	4555600
2021-10-19	3.02	3.0	3.06	3.04	3093100
2021-10-20	3.06	3.0	3.06	3.0	2236700
2021-10-21	3.02	3.0	3.04	3.0	1048700
2021-10-25	3.0	3.0	3.04	3.0	1300900
2021-10-26	3.02	3.0	3.06	3.04	3242800
2021-10-27	3.08	3.06	3.26	3.16	49498200
2021-10-28	3.2	3.08	3.26	3.08	28460400
2021-10-29	3.08	3.08	3.16	3.1	5914000
2021-11-01	3.12	3.12	3.26	3.22	21464200
2021-11-02	3.18	3.1	3.22	3.16	14335000
2021-11-03	3.18	3.1	3.18	3.12	6289700
2021-11-04	3.12	3.12	3.28	3.22	22601800
2021-11-05	3.2	3.16	3.28	3.16	16817900
2021-11-08	3.18	3.16	3.26	3.26	11904500
2021-11-09	3.26	3.2	3.32	3.2	24382400
2021-11-10	3.2	3.12	3.24	3.14	11409100
2021-11-11	3.16	3.12	3.18	3.14	3507400
2021-11-12	3.14	3.08	3.16	3.08	6125900
2021-11-15	3.08	2.9	3.1	2.98	17477600
2021-11-16	2.96	2.96	3.02	2.98	2985600
2021-11-17	3.0	2.98	3.04	3.0	1990100
2021-11-18	3.0	2.98	3.04	3.04	2265300
2021-11-19	3.02	2.98	3.04	3.0	2212100
2021-11-22	3.02	3.0	3.1	3.06	7977800
2021-11-23	3.08	3.08	3.16	3.08	11986400
2021-11-24	3.1	3.06	3.14	3.1	5089600
2021-11-25	3.06	3.04	3.1	3.04	3888500
