Date	Price Open	Price Low	Price High	Price Close	Volume
2005-12-20	1.989394475	5.9090925	5.9878804	5.94848645	7615.0
2005-12-21	1.989394475	5.8303046	5.9878804	5.9878804	26653.0
2005-12-22	1.989394475	5.94848645	5.9878804	5.9878804	2538.0
2005-12-26	1.989394475	6.18485015	6.18485015	6.18485015	8884.0
2005-12-28	2.0484854	5.94848645	5.94848645	5.94848645	10153.0
2006-01-03	2.00909145	6.0666683	6.0666683	6.0666683	12692.0
2006-01-04	2.00909145	6.10606225	6.1454562	6.10606225	1299691.0
2006-01-05	2.00909145	6.1454562	6.303032	6.303032	901153.0
2006-01-06	1.989394475	6.34242595	6.57878965	6.57878965	1807384.0
2006-01-09	2.028788425	5.9878804	6.6181836	6.303032	4055191.0
2006-01-10	1.989394475	6.303032	6.303032	6.303032	229730.0
2006-01-11	2.028788425	6.303032	6.303032	6.303032	581307.0
2006-01-12	1.989394475	6.303032	6.303032	6.303032	63461.0
2006-01-13	2.00909145	6.303032	6.303032	6.303032	266538.0
2006-01-16	1.989394475	6.50000175	6.50000175	6.50000175	368076.0
2006-01-17	2.146970275	6.50000175	6.57878965	6.50000175	139615.0
2006-01-18	2.16666725	6.50000175	6.50000175	6.50000175	6346.0
2006-01-20	2.028788425	6.50000175	6.5393957	6.5393957	487384.0
2006-01-24	2.08787935	6.50000175	6.50000175	6.50000175	164999.0
2006-01-26	2.146970275	6.50000175	6.5393957	6.5393957	43153.0
2006-01-31	2.186364225	6.50000175	6.5393957	6.50000175	45692.0
2006-02-01	2.186364225	6.50000175	6.5393957	6.50000175	76153.0
2006-02-02	2.146970275	6.3818199	6.3818199	6.3818199	6346.0
2006-02-03	2.16666725	6.50000175	6.5393957	6.5393957	48230.0
2006-02-06	2.186364225	6.57878965	6.57878965	6.57878965	703153.0
2006-02-07	2.2060612	6.50000175	6.5393957	6.5393957	77423.0
2006-02-08	2.16666725	6.5393957	6.5393957	6.5393957	360461.0
2006-02-10	2.16666725	6.4606078	6.50000175	6.50000175	22846.0
2006-02-14	2.186364225	6.50000175	6.50000175	6.50000175	151038.0
2006-02-15	2.16666725	6.50000175	6.50000175	6.50000175	63461.0
2006-02-21	2.146970275	6.42121385	6.42121385	6.42121385	342692.0
2006-02-24	2.186364225	6.3818199	6.42121385	6.3818199	1035692.0
2006-03-01	2.16666725	6.50000175	6.5393957	6.5393957	7615.0
2006-03-03	2.1272733	6.7757594	7.0121231	7.0121231	397269.0
2006-03-07	2.1272733	7.05151705	7.05151705	7.05151705	126923.0
2006-03-10	2.107576325	7.0121231	7.090911	7.090911	57115.0
2006-03-14	2.1272733	7.2484868	7.3272747	7.3272747	342692.0
2006-03-15	2.1272733	7.3272747	7.3272747	7.3272747	258923.0
2006-03-17	2.16666725	7.36666865	7.36666865	7.36666865	76153.0
2006-03-20	2.16666725	7.36666865	7.36666865	7.36666865	12692.0
2006-03-21	2.16666725	7.5636384	7.5636384	7.5636384	177692.0
2006-03-24	2.16666725	7.7212142	7.8000021	7.8000021	126923.0
2006-03-27	2.146970275	7.8000021	8.5090932	8.5090932	142153.0
2006-03-29	2.186364225	7.9575779	8.2727295	8.1151537	196730.0
2006-03-30	2.08787935	7.87879	8.1151537	7.9575779	1269.0
2006-03-31	2.08787935	7.8000021	7.9575779	7.9575779	190384.0
2006-04-04	2.08787935	7.87879	7.87879	7.87879	93923.0
2006-04-05	2.068182375	7.8000021	7.8000021	7.8000021	64730.0
2006-04-10	2.068182375	7.8000021	7.9575779	7.87879	12692.0
2006-04-11	2.068182375	7.87879	7.87879	7.87879	145961.0
2006-04-17	2.068182375	8.1151537	8.2727295	8.2727295	190384.0
2006-04-20	2.08787935	8.3515174	8.3515174	8.3515174	83769.0
2006-04-26	2.186364225	8.4303053	8.9818206	8.666669	164999.0
2006-05-03	2.2060612	9.5	9.5	9.5	20999.0
