Date	Price Open	Price Low	Price High	Price Close	Volume
2022-10-21	4.02	3.42	4.22	3.42	578812700
2022-10-25	3.46	3.1	3.54	3.16	85972200
2022-10-26	3.24	3.16	3.26	3.22	33425600
2022-10-27	3.24	3.2	3.54	3.48	143625500
2022-10-28	3.46	3.38	3.56	3.42	51402900
2022-10-31	3.46	3.44	3.6	3.6	42227700
2022-11-01	3.56	3.48	3.6	3.5	38435500
2022-11-02	3.54	3.48	3.74	3.5	68073100
2022-11-03	3.5	3.5	3.6	3.56	18201000
2022-11-04	3.58	3.56	3.92	3.66	184165200
2022-11-07	3.68	3.6	3.72	3.68	22151600
2022-11-08	3.7	3.62	3.74	3.64	16419300
2022-11-09	3.64	3.52	3.66	3.52	14871800
2022-11-10	3.56	3.5	3.62	3.52	10123800
2022-11-11	3.6	3.52	3.64	3.56	14387700
2022-11-14	3.52	3.4	3.52	3.4	7639600
2022-11-15	3.4	3.4	3.48	3.44	8699200
2022-11-16	3.44	3.34	3.48	3.34	8530200
2022-11-17	3.38	3.32	3.38	3.32	3882900
2022-11-18	3.3	3.2	3.34	3.24	7362600
2022-11-21	3.26	3.22	3.54	3.4	33754200
2022-11-22	3.38	3.32	3.4	3.34	7773000
2022-11-23	3.36	3.3	3.44	3.42	11041400
2022-11-24	3.48	3.44	3.58	3.46	29522600
2022-11-25	3.44	3.38	3.46	3.42	6123600
2022-11-28	3.4	3.4	3.44	3.42	3211300
2022-11-29	3.44	3.38	3.5	3.38	6465300
2022-11-30	3.4	3.34	3.42	3.38	5013500
2022-12-01	3.4	3.36	3.42	3.36	3378600
2022-12-02	3.36	3.32	3.4	3.34	2943300
2022-12-06	3.34	3.26	3.36	3.28	2217700
2022-12-07	3.32	3.22	3.32	3.22	3235200
2022-12-08	3.22	3.22	3.28	3.26	1519100
2022-12-09	3.26	3.26	3.3	3.28	2085900
2022-12-13	3.28	3.26	3.38	3.32	6020300
2022-12-14	3.32	3.3	3.36	3.3	2844900
2022-12-15	3.32	3.28	3.36	3.28	4726500
2022-12-16	3.28	3.28	3.34	3.28	3015100
2022-12-19	3.3	3.26	3.3	3.26	1900700
2022-12-20	3.28	3.22	3.3	3.22	2804200
2022-12-21	3.24	3.22	3.26	3.24	719300
2022-12-22	3.24	3.2	3.26	3.2	2154400
2022-12-23	3.2	3.2	3.22	3.2	1335300
2022-12-26	3.2	3.2	3.32	3.26	4985100
2022-12-27	3.26	3.26	3.34	3.32	4388400
2022-12-28	3.34	3.32	3.38	3.32	2747700
2022-12-29	3.32	3.28	3.34	3.32	1393400
2022-12-30	3.34	3.3	3.34	3.32	1288700
