Date	Price Open	Price Low	Price High	Price Close	Volume
2014-03-14	9.0	8.65	9.1	8.75	219725800.0
2014-03-17	8.8	8.55	8.9	8.65	38316000.0
2014-03-18	8.7	8.6	8.7	8.65	11745500.0
2014-03-19	8.65	8.5	8.7	8.5	10455500.0
2014-03-20	8.4	8.35	8.5	8.5	5178600.0
2014-03-21	8.5	8.4	8.6	8.4	4189700.0
2014-03-24	8.15	8.05	8.2	8.05	2595700.0
2014-03-25	8.1	8.05	8.45	8.45	7481000.0
2014-03-26	8.35	8.3	8.4	8.35	1345500.0
2014-03-27	8.4	8.25	8.4	8.25	1403300.0
2014-03-28	8.25	8.2	8.35	8.35	651300.0
2014-03-31	8.3	8.2	8.3	8.2	781900.0
2014-04-01	8.2	8.2	8.3	8.2	1383200.0
2014-04-02	8.25	8.2	8.45	8.45	4368800.0
2014-04-03	8.45	8.2	8.45	8.25	3067200.0
2014-04-04	8.25	8.15	8.35	8.2	2899200.0
2014-04-08	8.2	8.2	8.7	8.35	15241900.0
2014-04-09	8.35	8.25	8.4	8.25	1395300.0
2014-04-10	8.3	8.25	8.35	8.25	1927700.0
2014-04-11	8.25	8.25	8.5	8.5	6958400.0
2014-04-16	8.5	8.4	8.7	8.6	12334000.0
2014-04-17	8.65	8.6	9.25	9.05	59214600.0
2014-04-18	9.15	8.95	9.2	9.1	12618000.0
2014-04-21	9.1	9.0	9.45	9.45	48462700.0
2014-04-22	9.45	9.3	9.5	9.4	15766600.0
2014-04-23	9.4	9.4	9.95	9.8	43956900.0
2014-04-24	9.8	9.7	10.4	10.4	40324700.0
2014-04-25	10.3	9.4	10.3	9.65	49191400.0
2014-04-28	9.5	9.3	9.8	9.65	16664700.0
2014-04-29	9.65	9.55	10.1	10.1	23164300.0
2014-04-30	10.1	9.75	10.2	9.85	9775500.0
2014-05-02	9.9	9.75	10.2	10.0	21348300.0
2014-05-06	10.0	9.8	10.1	10.0	11932000.0
2014-05-07	9.9	9.8	9.95	9.85	3878000.0
2014-05-08	9.85	9.3	9.85	9.55	16169700.0
2014-05-09	9.5	9.05	9.5	9.3	13939100.0
2014-05-12	9.2	8.75	9.3	9.1	16583600.0
2014-05-14	9.15	9.15	9.7	9.5	19505000.0
2014-05-15	9.5	9.3	9.6	9.3	4859900.0
2014-05-16	9.3	9.3	9.65	9.45	5363700.0
2014-05-19	9.4	9.35	9.45	9.35	1060400.0
2014-05-20	9.2	9.15	9.55	9.35	3730500.0
2014-05-21	9.45	9.45	9.7	9.7	15610300.0
2014-05-22	9.85	9.5	9.9	9.6	7024700.0
2014-05-23	9.4	9.3	9.7	9.6	5518100.0
2014-05-26	9.6	9.35	9.6	9.45	3117600.0
2014-05-27	9.5	9.45	9.65	9.55	5114600.0
2014-05-28	9.6	9.4	9.7	9.45	2747700.0
2014-05-29	9.5	9.45	9.6	9.5	1433100.0
2014-05-30	9.45	9.35	10.1	10.0	20043800.0
2014-06-02	9.95	9.85	10.1	10.0	4908200.0
2014-06-03	10.0	10.0	10.5	10.2	29929700.0
2014-06-04	10.3	10.2	10.6	10.3	33889200.0
2014-06-05	10.4	10.3	10.6	10.4	14005400.0
2014-06-06	10.4	10.4	10.8	10.7	18986800.0
2014-06-09	10.7	10.3	10.8	10.5	5525600.0
2014-06-10	10.4	10.3	10.5	10.5	3555400.0
2014-06-11	10.6	10.5	10.9	10.7	7077500.0
2014-06-12	10.7	10.5	10.7	10.5	1683100.0
2014-06-13	10.5	10.5	10.9	10.6	11658400.0
2014-06-16	10.6	10.2	10.7	10.7	13457500.0
2014-06-17	10.7	10.4	10.7	10.4	3737300.0
2014-06-18	10.4	10.3	10.5	10.3	2996300.0
2014-06-19	10.3	10.2	10.4	10.2	5391700.0
2014-06-20	10.2	10.1	10.4	10.3	2606100.0
2014-06-23	10.2	10.1	10.4	10.2	3303900.0
2014-06-24	10.3	10.0	10.3	10.2	6693200.0
2014-06-25	10.2	10.0	10.2	10.2	2023000.0
2014-06-26	10.2	10.1	10.3	10.1	4515600.0
2014-06-27	10.2	10.2	10.5	10.5	9477900.0
2014-06-30	10.5	10.2	10.5	10.4	7344100.0
2014-07-02	10.4	9.95	10.4	10.3	9679000.0
2014-07-03	10.3	10.0	10.3	10.2	4805400.0
2014-07-04	10.2	10.2	10.5	10.4	4888600.0
2014-07-07	10.3	10.2	10.4	10.4	921300.0
2014-07-08	10.3	10.2	10.5	10.4	3929000.0
2014-07-09	10.3	10.3	10.5	10.5	3084300.0
2014-07-10	10.6	10.5	10.8	10.8	9376700.0
2014-07-14	11.0	10.7	11.2	10.7	13016200.0
2014-07-15	10.8	10.4	10.8	10.5	4915800.0
2014-07-16	10.4	10.3	10.6	10.5	5443700.0
2014-07-17	10.5	10.4	10.5	10.5	1810100.0
2014-07-18	10.4	10.4	10.6	10.4	1426800.0
2014-07-21	10.4	10.2	10.4	10.4	2695800.0
2014-07-22	10.4	10.2	10.4	10.2	2140600.0
2014-07-23	10.2	10.2	10.7	10.6	5144100.0
2014-07-24	10.6	10.5	10.7	10.6	3392500.0
2014-07-25	10.5	10.5	10.8	10.7	4097500.0
2014-07-28	10.6	10.6	10.9	10.8	4386800.0
2014-07-29	10.8	10.4	10.8	10.4	2072200.0
2014-07-30	10.4	10.2	10.4	10.3	1569300.0
2014-07-31	10.3	10.0	10.4	10.0	2483000.0
2014-08-01	9.95	9.95	10.2	10.1	1102400.0
2014-08-04	10.2	10.2	10.3	10.2	1830500.0
2014-08-05	10.3	10.2	10.7	10.5	4229600.0
2014-08-06	10.5	10.2	10.5	10.2	609100.0
2014-08-07	10.2	10.1	10.3	10.1	609600.0
2014-08-08	10.1	10.1	10.3	10.2	362900.0
2014-08-13	10.3	10.0	10.3	10.1	3289000.0
2014-08-14	10.2	10.2	10.4	10.2	2586100.0
2014-08-15	10.2	10.1	10.3	10.2	1036400.0
2014-08-18	10.2	10.2	10.3	10.3	466300.0
2014-08-19	10.2	10.0	10.3	10.1	2172200.0
2014-08-20	10.2	10.1	10.2	10.1	1525600.0
2014-08-21	10.1	10.0	10.3	10.1	1773800.0
2014-08-22	10.2	10.1	10.2	10.1	677400.0
2014-08-25	10.1	10.1	10.3	10.3	1203900.0
2014-08-26	10.1	10.0	10.2	10.0	1987000.0
2014-08-27	10.1	10.1	10.4	10.1	6925300.0
2014-08-28	10.1	10.0	10.2	10.0	1990500.0
2014-08-29	10.0	9.95	10.1	10.0	1093300.0
2014-09-01	10.0	9.95	10.2	9.95	3117800.0
2014-09-02	9.95	9.65	10.0	9.7	7941800.0
2014-09-03	9.7	9.6	9.8	9.6	2961200.0
2014-09-04	9.6	9.25	9.85	9.35	7094000.0
2014-09-05	9.4	9.4	9.9	9.9	4512100.0
2014-09-08	10.1	9.9	10.2	10.0	6923000.0
2014-09-09	10.1	9.9	10.1	9.9	2071500.0
2014-09-10	9.85	9.7	9.9	9.8	3213700.0
2014-09-11	9.9	9.8	9.95	9.85	2807400.0
2014-09-12	9.9	9.85	10.1	10.0	3832000.0
2014-09-15	10.1	9.8	10.1	9.8	2325100.0
2014-09-16	9.9	9.75	9.9	9.8	1116600.0
2014-09-17	9.9	9.7	9.9	9.8	1378200.0
2014-09-18	9.75	9.7	9.85	9.8	473000.0
2014-09-19	9.8	9.7	9.8	9.7	753400.0
2014-09-22	9.7	9.65	9.75	9.65	301600.0
2014-09-23	9.65	9.65	9.75	9.65	327400.0
2014-09-24	9.65	9.6	9.7	9.65	482800.0
2014-09-25	9.65	9.55	9.65	9.6	1002600.0
2014-09-26	9.6	9.45	9.65	9.6	1139000.0
2014-09-29	9.65	9.45	9.65	9.5	992200.0
2014-09-30	9.45	9.4	9.55	9.4	733600.0
2014-10-01	9.5	9.5	9.6	9.5	200900.0
2014-10-03	9.4	9.4	9.55	9.55	391300.0
2014-10-06	9.6	9.6	9.8	9.8	2744500.0
2014-10-07	9.8	9.65	9.9	9.9	2190000.0
2014-10-08	9.9	9.7	10.1	9.85	6209900.0
2014-10-09	9.9	9.85	10.0	9.95	2523600.0
2014-10-10	9.9	9.7	9.9	9.75	572800.0
2014-10-13	9.75	9.75	9.85	9.75	162300.0
2014-10-14	9.75	9.65	9.75	9.65	491200.0
2014-10-15	9.75	9.65	9.8	9.8	306400.0
2014-10-16	9.6	9.6	9.85	9.8	429400.0
2014-10-17	9.7	9.3	9.7	9.3	1271800.0
2014-10-20	9.4	9.25	9.5	9.4	906600.0
2014-10-21	9.3	9.3	9.4	9.35	54000.0
2014-10-22	9.35	9.3	9.45	9.45	434600.0
2014-10-24	9.3	9.3	9.4	9.35	266200.0
2014-10-27	9.3	9.3	9.4	9.35	322200.0
2014-10-28	9.45	9.35	9.45	9.45	227000.0
2014-10-29	9.4	9.35	9.5	9.5	174700.0
2014-10-30	9.45	9.35	9.5	9.45	312900.0
2014-10-31	9.4	9.4	9.45	9.45	134600.0
2014-11-03	9.4	9.3	9.4	9.4	664500.0
2014-11-04	9.4	9.35	9.4	9.4	85900.0
2014-11-05	9.35	9.25	9.35	9.35	475100.0
2014-11-06	9.35	9.3	9.35	9.35	120100.0
2014-11-07	9.5	9.15	9.5	9.35	2092500.0
2014-11-10	9.4	9.3	9.4	9.35	569500.0
2014-11-11	9.4	9.2	9.4	9.2	874700.0
2014-11-12	9.3	9.05	9.3	9.1	979200.0
2014-11-13	9.2	8.8	9.2	9.0	1604400.0
2014-11-14	9.0	8.9	9.0	9.0	810400.0
2014-11-17	9.1	8.9	9.1	9.0	562400.0
2014-11-18	8.95	8.9	9.0	8.95	942200.0
2014-11-19	9.0	8.9	9.05	9.0	333600.0
2014-11-20	9.0	8.95	9.05	9.0	632700.0
2014-11-21	9.1	8.95	9.2	9.05	772800.0
2014-11-24	9.15	8.9	9.15	9.05	704600.0
2014-11-25	8.95	8.8	9.0	8.8	3443600.0
2014-11-26	8.9	8.65	8.9	8.8	1313200.0
2014-11-27	8.9	8.7	8.9	8.8	456200.0
2014-11-28	8.8	8.55	8.8	8.6	1040400.0
2014-12-01	8.65	8.4	8.65	8.4	870900.0
2014-12-02	8.45	8.35	8.45	8.35	1757200.0
2014-12-03	8.4	8.25	8.4	8.25	1102000.0
2014-12-04	8.3	8.2	8.3	8.25	2863000.0
2014-12-08	8.3	8.2	8.35	8.25	1115300.0
2014-12-09	8.25	8.25	8.3	8.25	164700.0
2014-12-11	8.2	8.0	8.25	8.05	1295400.0
2014-12-12	8.1	8.0	8.15	8.05	995500.0
2014-12-15	8.0	7.7	8.0	7.85	2298000.0
2014-12-16	7.9	7.8	7.9	7.85	1163700.0
2014-12-17	7.8	7.75	7.85	7.85	1907800.0
2014-12-18	8.0	8.0	8.25	8.05	2094900.0
2014-12-19	8.2	8.1	8.55	8.3	4037400.0
2014-12-22	8.35	8.25	8.5	8.3	613800.0
2014-12-23	8.3	8.25	8.35	8.35	468300.0
2014-12-24	8.35	8.05	8.35	8.1	537700.0
2014-12-25	8.1	7.85	8.15	8.15	434600.0
2014-12-26	8.1	8.1	8.15	8.15	78200.0
2014-12-29	8.15	8.0	8.2	8.2	376100.0
2014-12-30	8.1	8.05	8.6	8.6	1663600.0
2015-01-05	8.55	8.3	8.55	8.3	452800.0
2015-01-06	8.15	8.15	8.35	8.3	107600.0
2015-01-07	8.2	8.2	8.35	8.3	214700.0
2015-01-08	8.5	8.35	8.65	8.35	1308400.0
2015-01-09	8.55	8.55	8.85	8.75	3891600.0
2015-01-12	8.75	8.7	8.8	8.7	1072600.0
2015-01-13	8.65	8.6	8.75	8.7	549000.0
2015-01-14	8.65	8.6	8.7	8.65	884900.0
2015-01-15	8.65	8.5	8.65	8.5	797000.0
2015-01-16	8.5	8.5	8.7	8.7	404700.0
