Date	Price Open	Price Low	Price High	Price Close	Volume
2014-07-08	11.0	10.0	11.0	10.2	1883400.0
2014-07-09	10.3	10.1	10.3	10.1	514100.0
2014-07-10	10.1	10.0	10.1	10.0	149300.0
2014-07-14	10.0	9.95	10.0	9.95	86000.0
2014-07-15	10.0	10.0	10.1	10.0	193600.0
2014-07-16	10.0	10.0	10.0	10.0	86900.0
2014-07-17	10.0	10.0	10.2	10.1	174600.0
2014-07-18	10.2	10.1	10.2	10.1	266100.0
2014-07-21	10.1	10.1	10.1	10.1	245300.0
2014-07-22	10.1	10.1	10.2	10.2	383900.0
2014-07-23	10.1	10.0	10.2	10.1	263600.0
2014-07-24	10.1	10.1	10.1	10.1	14000.0
2014-07-25	10.1	10.1	10.1	10.1	247200.0
2014-07-28	10.1	10.1	10.1	10.1	58100.0
2014-07-29	10.1	10.1	10.1	10.1	113300.0
2014-07-30	10.1	10.1	10.1	10.1	161800.0
2014-07-31	10.1	10.1	10.1	10.1	14900.0
2014-08-01	10.1	10.1	10.2	10.1	157400.0
2014-08-04	10.1	10.1	10.1	10.1	5000.0
2014-08-05	10.1	10.1	10.1	10.1	70100.0
2014-08-06	10.1	10.1	10.2	10.2	20800.0
2014-08-07	10.1	10.1	10.2	10.2	132400.0
2014-08-08	10.2	10.2	10.2	10.2	55600.0
2014-08-13	10.1	10.0	10.1	10.0	67300.0
2014-08-14	10.1	10.1	10.1	10.1	1500.0
2014-08-15	10.1	10.1	10.1	10.1	8000.0
2014-08-18	10.1	10.1	10.1	10.1	4000.0
2014-08-19	10.1	10.1	10.2	10.1	54000.0
2014-08-20	10.3	10.2	11.5	10.2	29200.0
2014-08-21	10.2	10.1	10.2	10.1	53700.0
2014-08-22	10.1	10.1	10.2	10.2	101100.0
2014-08-25	10.3	10.2	10.3	10.2	6600.0
2014-08-26	10.2	10.2	10.2	10.2	200.0
2014-08-27	10.2	10.1	10.2	10.1	700.0
2014-08-28	10.1	10.1	10.1	10.1	6000.0
2014-08-29	10.1	10.1	10.1	10.1	10000.0
2014-09-01	10.2	10.2	10.2	10.2	26500.0
2014-09-02	10.2	10.2	10.2	10.2	42000.0
2014-09-03	10.1	10.1	10.1	10.1	1000.0
2014-09-04	10.1	10.1	10.2	10.2	51000.0
2014-09-05	10.1	10.1	10.1	10.1	10000.0
2014-09-08	10.1	10.1	10.2	10.1	43300.0
2014-09-09	10.2	10.2	10.2	10.2	5800.0
2014-09-10	10.1	10.1	10.1	10.1	5000.0
