Date	Price Open	Price Low	Price High	Price Close	Volume
2009-12-23	1.45	1.48	1.5	1.5	3000.0
2009-12-24	1.48	1.41	1.5	1.47	54800.0
2009-12-25	1.45	1.44	1.5	1.49	42400.0
2009-12-28	1.45	1.47	1.49	1.49	6600.0
2009-12-29	1.44	1.47	1.5	1.5	7200.0
2009-12-30	1.43	1.47	1.5	1.5	30800.0
2010-01-04	1.5	1.51	1.59	1.53	4000.0
2010-01-05	1.54	1.46	1.54	1.47	75400.0
2010-01-06	1.65	1.46	1.5	1.47	27600.0
2010-01-07	1.6	1.49	1.5	1.5	51000.0
2010-01-08	1.57	1.46	1.5	1.46	22400.0
2010-01-11	1.65	1.46	1.49	1.46	46400.0
2010-01-12	1.59	1.49	1.49	1.49	2000.0
2010-01-13	1.6	1.47	1.49	1.49	3400.0
2010-01-14	1.57	1.46	1.8	1.62	8670000.0
2010-01-15	1.59	1.56	1.67	1.57	2681200.0
2010-01-18	1.59	1.58	1.63	1.59	603600.0
2010-01-19	1.59	1.54	1.59	1.54	325400.0
2010-01-20	1.63	1.49	1.55	1.49	362000.0
2010-01-21	1.65	1.47	1.49	1.47	130200.0
2010-01-22	1.89	1.45	1.47	1.45	178800.0
2010-01-25	1.89	1.42	1.47	1.47	51800.0
2010-01-26	1.86	1.41	1.44	1.41	137600.0
2010-01-27	1.95	1.38	1.41	1.41	117000.0
2010-01-28	1.89	1.31	1.46	1.46	27400.0
2010-01-29	1.81	1.46	1.46	1.46	600.0
2010-02-01	1.8	1.49	1.49	1.49	30000.0
2010-02-02	1.83	1.4	1.41	1.41	22000.0
2010-02-03	1.8	1.43	1.47	1.47	2600.0
2010-02-04	1.82	1.42	1.46	1.42	14000.0
2010-02-05	1.92	1.42	1.47	1.42	39800.0
2010-02-08	1.75	1.42	1.46	1.45	10000.0
2010-02-09	1.71	1.41	1.46	1.46	12200.0
2010-02-10	1.65	1.4	1.51	1.4	475400.0
2010-02-11	1.69	1.4	1.45	1.4	21800.0
2010-02-12	1.68	1.44	1.44	1.44	200.0
2010-02-15	1.68	1.36	1.4	1.37	26400.0
2010-02-16	1.73	1.37	1.41	1.41	16200.0
2010-02-17	1.75	1.41	1.45	1.41	57000.0
2010-02-18	1.78	1.41	1.45	1.41	30600.0
2010-02-19	1.73	1.41	1.41	1.41	20000.0
2010-02-22	1.75	1.41	1.45	1.45	5800.0
2010-02-25	1.72	1.37	1.37	1.37	20000.0
2010-02-26	1.7	1.41	1.41	1.41	200.0
2010-03-02	1.72	1.35	1.41	1.36	204200.0
2010-03-03	1.71	1.36	1.4	1.37	62000.0
2010-03-04	1.7	1.35	1.45	1.35	100600.0
2010-03-05	1.77	1.35	1.39	1.37	137000.0
2010-03-08	1.82	1.34	1.35	1.34	59800.0
2010-03-09	1.76	1.33	1.34	1.33	81400.0
2010-03-10	1.72	1.31	1.38	1.31	313000.0
2010-03-11	1.73	1.28	1.31	1.28	117200.0
2010-03-12	1.71	1.28	1.29	1.28	46600.0
2010-03-15	1.7	1.23	1.27	1.23	218400.0
2010-03-16	1.76	1.2	1.25	1.22	302600.0
2010-03-17	1.86	1.2	1.24	1.21	288200.0
2010-03-18	1.9	1.21	1.27	1.21	442400.0
2010-03-19	1.88	1.21	1.26	1.21	159200.0
2010-03-22	1.88	1.22	1.24	1.24	82000.0
2010-03-23	1.87	1.22	1.25	1.22	321400.0
2010-03-24	1.88	1.21	1.23	1.22	174600.0
2010-03-25	1.88	1.23	1.58	1.39	6167600.0
2010-03-26	1.86	1.25	1.46	1.25	1471600.0
2010-03-29	1.85	1.25	1.29	1.25	341400.0
2010-03-30	1.81	1.25	1.35	1.27	692200.0
2010-03-31	1.82	1.27	1.3	1.27	18000.0
2010-04-01	1.81	1.26	1.32	1.31	218400.0
2010-04-02	1.8	1.28	1.34	1.32	186800.0
2010-04-05	1.76	1.3	1.35	1.31	262800.0
2010-04-07	1.78	1.28	1.36	1.32	752400.0
2010-04-08	1.77	1.2	1.35	1.21	1295200.0
2010-04-09	1.82	1.21	1.24	1.23	284600.0
2010-04-12	1.9	1.1	1.15	1.12	779200.0
2010-04-16	1.95	1.12	1.12	1.12	28800.0
2010-04-19	1.95	1.11	1.2	1.17	92000.0
2010-04-20	2.03	1.15	1.19	1.15	12000.0
2010-04-21	2.04	1.21	1.21	1.21	1000.0
2010-04-22	2.02	1.19	1.25	1.24	332000.0
2010-04-23	2.14	1.15	1.21	1.17	7200.0
2010-04-26	2.16	1.16	1.17	1.16	20000.0
2010-04-27	2.1	1.18	1.19	1.18	93200.0
2010-04-28	2.2	1.15	1.15	1.15	20000.0
2010-04-29	2.27	1.13	1.15	1.15	24000.0
2010-04-30	2.43	1.13	1.15	1.14	96000.0
2010-05-04	2.41	1.17	1.25	1.17	10600.0
2010-05-06	2.37	1.12	1.16	1.12	88600.0
2010-05-07	2.28	1.13	1.18	1.18	11800.0
2010-05-10	2.27	1.14	1.2	1.2	20400.0
2010-05-11	2.21	1.16	1.2	1.2	10200.0
2010-05-12	2.04	1.16	1.22	1.22	4200.0
2010-05-13	2.05	1.16	1.17	1.17	69600.0
2010-05-14	2.07	1.17	1.23	1.17	103600.0
2010-05-18	2.04	1.13	1.13	1.13	20400.0
2010-05-19	2.01	1.14	1.16	1.16	32000.0
2010-05-24	2.03	1.17	1.17	1.17	200.0
2010-05-27	2.09	1.1	1.13	1.13	52000.0
2010-05-31	2.12	1.11	1.13	1.11	58200.0
2010-06-01	2.13	1.11	1.12	1.11	8400.0
2010-06-02	2.17	1.12	1.15	1.15	64800.0
2010-06-03	2.2	1.15	1.17	1.17	29800.0
2010-06-04	2.36	1.17	1.17	1.17	200.0
2010-06-07	2.36	1.18	1.3	1.2	817000.0
2010-06-08	2.47	1.18	1.23	1.18	230200.0
2010-06-09	2.47	1.18	1.23	1.19	102400.0
2010-06-10	2.31	1.21	1.26	1.25	964200.0
2010-06-11	2.21	1.23	1.29	1.23	111200.0
2010-06-14	2.18	1.23	1.26	1.24	360600.0
2010-06-15	2.19	1.24	1.28	1.25	431600.0
2010-06-16	2.19	1.23	1.26	1.23	103800.0
2010-06-17	2.02	1.23	1.27	1.23	507800.0
2010-06-18	1.88	1.25	1.29	1.25	699600.0
2010-06-21	1.9	1.26	1.38	1.28	2615400.0
2010-06-22	1.9	1.28	1.38	1.33	1224000.0
2010-06-23	1.91	1.31	1.35	1.31	211000.0
2010-06-24	1.85	1.28	1.34	1.3	810200.0
2010-06-25	1.82	1.3	1.34	1.34	39600.0
2010-06-28	1.7	1.29	1.33	1.29	108000.0
2010-06-29	1.78	1.26	1.32	1.26	415000.0
2010-06-30	1.79	1.29	1.3	1.29	97400.0
2010-07-02	1.78	1.29	1.33	1.29	110000.0
2010-07-05	1.83	1.29	1.29	1.29	182000.0
2010-07-06	1.82	1.3	1.3	1.3	120000.0
2010-07-07	1.79	1.29	1.29	1.29	53200.0
2010-07-08	1.72	1.29	1.32	1.29	294000.0
2010-07-09	1.73	1.29	1.29	1.29	20000.0
2010-07-12	1.7	1.28	1.29	1.28	65000.0
2010-07-13	1.68	1.28	1.35	1.33	974200.0
2010-07-14	1.66	1.3	1.32	1.3	168000.0
2010-07-15	1.67	1.3	1.35	1.3	64800.0
2010-07-16	1.65	1.3	1.36	1.34	666200.0
2010-07-19	1.66	1.3	1.36	1.3	132600.0
2010-07-20	1.67	1.35	1.45	1.35	1107200.0
2010-07-21	1.7	1.34	1.42	1.41	337200.0
2010-07-22	1.7	1.43	1.47	1.47	545400.0
2010-07-23	1.7	1.47	1.56	1.54	1065800.0
2010-07-27	1.7	1.51	1.56	1.51	411600.0
2010-07-28	1.85	1.41	1.51	1.51	400.0
2010-07-29	1.78	1.4	1.51	1.4	56600.0
2010-07-30	1.78	1.42	1.48	1.46	188000.0
2010-08-02	1.75	1.47	1.55	1.51	374000.0
2010-08-03	1.78	1.5	1.53	1.51	204000.0
2010-08-04	1.77	1.52	1.54	1.52	269600.0
