Date	Price Open	Price Low	Price High	Price Close	Volume
2013-02-14	14.0	11.6	14.9	12.3	138005800.0
2013-02-15	11.8	9.7	11.8	9.7	51228100.0
2013-02-18	9.55	8.0	9.55	8.05	29989800.0
2013-02-19	8.3	8.25	8.95	8.4	28599400.0
2013-02-20	8.4	7.95	8.45	8.05	11383200.0
2013-02-21	8.15	8.0	8.65	8.45	16621000.0
2013-02-22	8.45	8.15	8.5	8.25	3922600.0
2013-02-26	8.0	7.75	8.35	8.3	1980600.0
2013-02-27	8.3	8.0	8.3	8.0	759000.0
2013-02-28	8.1	7.85	8.1	7.9	723300.0
2013-03-01	8.0	8.0	8.25	8.0	709800.0
2013-03-04	8.1	8.0	8.25	8.05	962300.0
2013-03-05	8.05	7.9	8.1	8.0	1035000.0
2013-03-06	8.0	7.95	8.1	8.0	569400.0
2013-03-07	8.05	8.0	8.35	8.1	2674600.0
2013-03-08	8.1	8.05	8.15	8.1	1042300.0
2013-03-11	8.15	8.1	8.15	8.15	419800.0
2013-03-12	8.15	7.95	8.2	7.95	1498700.0
2013-03-13	8.0	7.9	8.1	7.95	926000.0
2013-03-14	8.0	8.0	8.15	8.15	2378200.0
2013-03-15	8.2	7.85	8.25	8.0	5199100.0
2013-03-18	8.0	7.9	10.1	9.2	108557300.0
2013-03-19	9.4	8.3	9.45	8.4	17096400.0
2013-03-20	8.55	8.05	8.6	8.05	8118800.0
2013-03-21	8.2	7.85	8.4	7.95	7328100.0
2013-03-22	7.9	7.15	8.05	7.35	4676900.0
2013-03-25	7.5	7.35	7.8	7.55	3691700.0
2013-03-26	7.5	7.4	7.8	7.55	3470500.0
2013-03-27	7.7	7.6	8.2	7.85	6229000.0
2013-03-28	7.8	7.6	8.4	7.85	15831900.0
2013-03-29	8.0	7.9	8.05	7.95	2638300.0
2013-04-01	7.95	7.8	7.95	7.8	1449200.0
2013-04-02	7.85	7.6	7.9	7.6	2078100.0
2013-04-03	7.75	7.35	8.0	7.35	2834900.0
2013-04-04	7.1	6.9	7.15	7.0	6120300.0
2013-04-05	7.05	6.95	7.6	7.05	18637800.0
