Date	Price Open	Price Low	Price High	Price Close	Volume
2021-04-29	7.043749812	4.695833208	7.043749812	6.032339583	649648152
2021-04-30	5.851730613	5.346025499	5.996217789	5.346025499	67717255
2021-05-05	5.201538323	4.840320384	5.237660117	4.840320384	23529445
2021-05-06	4.840320384	4.768076796	5.273781911	5.020929354	26264533
2021-05-07	4.98480756	4.98480756	5.201538323	5.057051147	10365074
2021-05-10	4.840320384	4.442980651	4.876442178	4.515224239	9766056
2021-05-11	4.442980651	4.370737063	4.551346033	4.442980651	3804027
2021-05-12	4.406858857	4.334615269	4.659711414	4.659711414	7328385
2021-05-13	4.551346033	4.226249887	4.659711414	4.515224239	5598819
2021-05-14	4.551346033	4.442980651	4.912563972	4.840320384	10739474
2021-05-17	4.768076796	4.587467827	4.840320384	4.768076796	4199906
2021-05-18	4.768076796	4.768076796	5.165416529	5.165416529	8680725
2021-05-19	5.057051147	5.020929354	5.63499985	5.63499985	21235791
2021-05-20	5.63499985	5.237660117	5.779487026	5.490512674	20513895
2021-05-21	5.562756262	5.45439088	5.779487026	5.671121644	15272858
2021-05-24	5.562756262	5.346025499	5.598878056	5.382147293	7594151
2021-05-25	5.273781911	5.273781911	5.490512674	5.490512674	6434098
2021-05-27	5.526634468	5.346025499	5.562756262	5.418269087	2903296
2021-05-28	5.418269087	4.334615269	5.418269087	5.057051147	11209509
2021-05-31	5.057051147	4.876442178	5.057051147	4.98480756	2860679
2021-06-01	5.020929354	4.876442178	5.129294735	5.093172941	2705696
2021-06-02	5.129294735	5.020929354	5.129294735	5.093172941	1674287
2021-06-04	5.093172941	5.057051147	5.237660117	5.165416529	4553054
2021-06-07	5.165416529	5.165416529	5.346025499	5.273781911	4410054
2021-06-08	5.309903705	5.237660117	5.382147293	5.237660117	1965261
2021-06-09	5.237660117	5.129294735	5.273781911	5.201538323	1768000
2021-06-10	5.165416529	5.093172941	5.237660117	5.165416529	1495678
2021-06-11	5.201538323	5.093172941	5.201538323	5.129294735	1505739
2021-06-14	5.129294735	5.093172941	5.273781911	5.237660117	4110940
2021-06-15	5.237660117	5.129294735	5.418269087	5.273781911	7425490
2021-06-16	5.273781911	5.201538323	5.273781911	5.201538323	1330409
2021-06-17	5.201538323	5.165416529	5.346025499	5.309903705	5378724
2021-06-18	5.309903705	5.309903705	5.562756262	5.562756262	20749365
2021-06-21	5.45439088	5.382147293	6.212948553	5.923974201	70296004
2021-06-22	5.923974201	5.237660117	5.996217789	5.273781911	34460301
2021-06-23	5.346025499	5.093172941	5.418269087	5.165416529	18749286
2021-06-24	5.201538323	5.093172941	5.273781911	5.273781911	8106012
2021-06-25	5.273781911	5.129294735	5.309903705	5.129294735	3417192
2021-06-28	5.057051147	4.912563972	5.129294735	5.093172941	5061523
2021-06-29	5.129294735	5.057051147	5.165416529	5.093172941	1800670
2021-06-30	5.129294735	5.093172941	5.201538323	5.093172941	2394714
2021-07-01	5.093172941	5.057051147	5.129294735	5.093172941	2580783
2021-07-02	5.129294735	5.020929354	5.129294735	5.057051147	1338774
2021-07-05	5.057051147	4.948685766	5.057051147	4.948685766	1519191
2021-07-06	4.912563972	4.912563972	5.057051147	4.98480756	851104
2021-07-07	4.98480756	4.876442178	5.020929354	4.912563972	1430452
2021-07-08	4.840320384	4.479102445	4.840320384	4.623589621	5594976
2021-07-09	4.551346033	4.406858857	4.623589621	4.551346033	1985609
2021-07-12	4.551346033	4.551346033	4.768076796	4.695833208	1429322
2021-07-13	4.731955002	4.695833208	4.80419859	4.768076796	563295
2021-07-14	4.840320384	4.80419859	4.948685766	4.948685766	1385687
2021-07-15	4.98480756	4.876442178	5.093172941	4.876442178	2193496
2021-07-16	4.948685766	4.840320384	4.948685766	4.876442178	996026
2021-07-19	4.695833208	4.695833208	4.80419859	4.768076796	1350870
2021-07-20	4.731955002	4.623589621	4.840320384	4.695833208	1263826
2021-07-21	4.695833208	4.623589621	4.768076796	4.623589621	951148
2021-07-22	4.587467827	4.587467827	4.731955002	4.659711414	572565
2021-07-23	4.695833208	4.659711414	4.731955002	4.731955002	383104
2021-07-27	4.731955002	4.659711414	4.98480756	4.98480756	3972010
2021-07-29	4.98480756	4.840320384	4.98480756	4.912563972	1506757
2021-07-30	4.912563972	4.731955002	4.912563972	4.768076796	1605331
2021-08-02	4.768076796	4.587467827	4.98480756	4.948685766	3698558
2021-08-03	4.948685766	4.876442178	5.057051147	4.948685766	4333071
2021-08-04	4.948685766	4.876442178	5.273781911	5.273781911	11082448
2021-08-05	5.237660117	5.093172941	5.382147293	5.237660117	10157300
2021-08-06	5.273781911	5.129294735	5.418269087	5.418269087	13461788
2021-08-09	5.165416529	4.912563972	5.201538323	5.020929354	11187465
2021-08-10	5.057051147	4.98480756	5.057051147	5.020929354	2147940
2021-08-11	4.912563972	4.768076796	4.948685766	4.80419859	4628002
2021-08-13	4.695833208	4.695833208	4.840320384	4.695833208	2602940
2021-08-16	4.623589621	4.190128094	4.659711414	4.659711414	3808549
2021-08-17	4.659711414	4.587467827	4.731955002	4.695833208	1186052
2021-08-18	4.695833208	4.659711414	4.768076796	4.768076796	537408
2021-08-19	4.768076796	4.731955002	4.80419859	4.80419859	820809
2021-08-20	4.80419859	4.768076796	4.876442178	4.840320384	1107713
2021-08-23	4.876442178	4.840320384	4.912563972	4.876442178	1283496
2021-08-24	4.876442178	4.876442178	4.912563972	4.912563972	1174522
2021-08-25	4.948685766	4.912563972	5.129294735	5.129294735	6184046
2021-08-26	5.129294735	5.057051147	5.201538323	5.129294735	4801184
2021-08-27	5.129294735	5.093172941	5.237660117	5.201538323	3922158
2021-08-30	5.237660117	5.093172941	5.237660117	5.129294735	6066141
2021-08-31	5.129294735	4.948685766	5.129294735	4.98480756	3216201
2021-09-01	4.98480756	4.80419859	5.057051147	4.912563972	4689045
2021-09-02	4.948685766	4.840320384	4.948685766	4.912563972	1341374
2021-09-03	4.876442178	4.80419859	4.876442178	4.840320384	1216009
2021-09-06	4.840320384	4.768076796	4.840320384	4.80419859	1198939
2021-09-07	4.80419859	4.80419859	4.912563972	4.876442178	1823844
2021-09-08	4.98480756	4.912563972	5.057051147	4.948685766	8014786
2021-09-09	4.98480756	4.768076796	4.98480756	4.768076796	1972722
2021-09-10	4.80419859	4.768076796	4.876442178	4.876442178	1278183
2021-09-13	4.840320384	4.768076796	4.876442178	4.768076796	949226
2021-09-14	4.80419859	4.768076796	4.840320384	4.768076796	1008687
2021-09-15	4.840320384	4.80419859	4.912563972	4.80419859	1185713
2021-09-16	4.840320384	4.80419859	4.876442178	4.80419859	1933722
2021-09-17	4.840320384	4.731955002	4.840320384	4.768076796	1535583
2021-09-20	4.768076796	4.695833208	4.80419859	4.695833208	1578539
2021-09-21	4.695833208	4.623589621	4.768076796	4.768076796	1167287
2021-09-22	4.80419859	4.731955002	4.80419859	4.768076796	820356
2021-09-23	4.731955002	4.695833208	4.80419859	4.731955002	2255444
2021-09-27	4.695833208	4.659711414	4.768076796	4.659711414	1344539
2021-09-28	4.659711414	4.623589621	4.731955002	4.623589621	1139478
2021-09-29	4.623589621	4.623589621	4.731955002	4.695833208	1004843
2021-09-30	4.695833208	4.659711414	4.731955002	4.695833208	527121
2021-10-01	4.731955002	4.623589621	4.731955002	4.623589621	440530
2021-10-04	4.623589621	4.623589621	4.695833208	4.623589621	438382
2021-10-05	4.659711414	4.623589621	4.695833208	4.623589621	466869
2021-10-06	4.623589621	4.623589621	4.695833208	4.659711414	393843
2021-10-07	4.695833208	4.623589621	4.695833208	4.659711414	700982
2021-10-08	4.695833208	4.695833208	4.80419859	4.80419859	1426157
2021-10-11	4.695833208	4.659711414	4.768076796	4.659711414	852235
