Date	Price Open	Price Low	Price High	Price Close	Volume
2020-08-20	9.474395632	9.093515406	9.522005661	9.379175576	8204912
2020-08-21	9.379175576	9.331565547	9.522005661	9.522005661	1530415
2020-08-24	9.426785604	9.379175576	9.474395632	9.379175576	296555
2020-08-25	9.426785604	9.331565547	9.426785604	9.379175576	572155
2020-08-26	9.379175576	9.283955519	9.379175576	9.283955519	264252
2020-08-27	9.331565547	9.283955519	9.426785604	9.283955519	181347
2020-08-28	9.331565547	9.236345491	9.331565547	9.283955519	145159
2020-08-31	9.283955519	9.188735463	9.283955519	9.188735463	91185
2020-09-01	9.236345491	9.141125434	9.236345491	9.141125434	281324
2020-09-02	9.236345491	9.045905378	9.236345491	9.141125434	470747
2020-09-03	9.141125434	8.903075293	9.141125434	8.903075293	974105
2020-09-08	8.903075293	8.712635179	8.903075293	8.760245208	603742
2020-09-09	8.760245208	8.665025151	8.807855236	8.760245208	392340
2020-09-10	8.760245208	8.569805095	8.807855236	8.760245208	480970
2020-09-11	8.617415123	8.569805095	8.712635179	8.569805095	168467
2020-09-14	8.617415123	8.569805095	8.665025151	8.617415123	181449
2020-09-15	8.665025151	8.569805095	8.665025151	8.665025151	303813
2020-09-16	8.665025151	8.617415123	8.712635179	8.617415123	100283
2020-09-17	8.665025151	8.665025151	8.712635179	8.665025151	125328
2020-09-18	8.665025151	8.617415123	8.665025151	8.617415123	91593
2020-09-21	8.665025151	8.665025151	9.236345491	8.855465264	511433
2020-09-22	8.950685321	8.855465264	8.998295349	8.855465264	93127
2020-09-23	8.998295349	8.903075293	9.141125434	8.903075293	69002
2020-09-24	8.903075293	8.665025151	8.903075293	8.712635179	244727
2020-09-25	8.712635179	8.712635179	8.760245208	8.760245208	7769
2020-09-28	9.045905378	8.855465264	9.236345491	9.093515406	46512
2020-09-29	9.093515406	8.998295349	9.141125434	8.998295349	73908
2020-09-30	9.093515406	9.045905378	9.093515406	9.045905378	6337
2020-10-01	9.045905378	9.045905378	9.045905378	9.045905378	204
2020-10-02	8.950685321	8.855465264	8.950685321	8.855465264	84949
2020-10-05	8.903075293	8.903075293	9.045905378	8.950685321	1635
2020-10-06	8.855465264	8.855465264	8.903075293	8.855465264	12369
2020-10-07	8.855465264	8.760245208	8.903075293	8.807855236	45592
2020-10-08	8.855465264	8.807855236	8.855465264	8.807855236	22591
2020-10-09	8.807855236	8.760245208	9.093515406	8.760245208	13800
2020-10-12	8.807855236	8.807855236	9.141125434	8.807855236	6746
