Date	Price Open	Price Low	Price High	Price Close	Volume
2021-04-27	3.340068	2.77225644	4.175085	2.80565712	558441300
2021-04-28	2.6720544	2.55515202	2.80565712	2.55515202	61856800
2021-04-29	2.62195338	2.5885527	2.8390578	2.77225644	67364100
2021-04-30	2.73885576	2.65535406	2.80565712	2.65535406	23020900
2021-05-05	2.68875474	2.60525304	2.70545508	2.60525304	14892800
2021-05-06	2.62195338	2.57185236	2.6720544	2.60525304	10780400
2021-05-07	2.62195338	2.57185236	2.65535406	2.57185236	14523100
2021-05-10	2.57185236	2.43824964	2.5885527	2.47165032	13086300
2021-05-11	2.45494998	2.43824964	2.55515202	2.48835066	18377600
2021-05-12	2.47165032	2.43824964	2.53845168	2.48835066	13170600
2021-05-13	2.52175134	2.45494998	2.63865372	2.5885527	24034600
2021-05-14	2.6720544	2.57185236	2.87245848	2.70545508	127472500
2021-05-17	2.65535406	2.5885527	2.88915882	2.85575814	108825500
2021-05-18	2.93925984	2.78895678	2.95596018	2.80565712	51075100
2021-05-19	2.82235746	2.73885576	2.8390578	2.73885576	19753500
2021-05-20	2.7555561	2.73885576	3.02276154	3.0060612	99128100
2021-05-21	2.95596018	2.8390578	3.0895629	2.8390578	79174500
2021-05-24	2.87245848	2.8390578	2.97266052	2.9225595	32036800
2021-05-25	2.9225595	2.85575814	2.98936086	2.85575814	28101200
2021-05-27	2.87245848	2.77225644	2.88915882	2.78895678	14988100
2021-05-28	2.78895678	2.72215542	2.87245848	2.7555561	12244600
2021-05-31	2.7555561	2.68875474	2.77225644	2.72215542	9337100
2021-06-01	2.73885576	2.72215542	2.8390578	2.80565712	18258600
2021-06-02	2.80565712	2.73885576	2.88915882	2.73885576	27211400
2021-06-04	2.78895678	2.77225644	2.88915882	2.85575814	32609800
2021-06-07	2.85575814	2.78895678	2.87245848	2.78895678	11048900
2021-06-08	2.80565712	2.77225644	2.8390578	2.77225644	5238900
2021-06-09	2.78895678	2.72215542	2.80565712	2.73885576	9583500
2021-06-10	2.7555561	2.7555561	2.82235746	2.77225644	9180600
2021-06-11	2.78895678	2.72215542	2.78895678	2.73885576	6218100
2021-06-14	2.77225644	2.73885576	2.78895678	2.77225644	8705200
2021-06-15	2.77225644	2.73885576	2.78895678	2.7555561	3315100
2021-06-16	2.7555561	2.73885576	2.80565712	2.7555561	7272500
2021-06-17	2.7555561	2.70545508	2.77225644	2.70545508	3067200
2021-06-18	2.72215542	2.62195338	2.73885576	2.63865372	8617900
2021-06-21	2.60525304	2.60525304	2.6720544	2.65535406	2989900
2021-06-22	2.6720544	2.63865372	2.72215542	2.65535406	4921700
2021-06-23	2.65535406	2.62195338	2.6720544	2.62195338	1913800
2021-06-24	2.62195338	2.505051	2.63865372	2.53845168	5526700
2021-06-25	2.53845168	2.52175134	2.57185236	2.53845168	2284400
2021-06-28	2.505051	2.47165032	2.5885527	2.53845168	3577000
2021-06-29	2.52175134	2.52175134	2.60525304	2.55515202	2284500
2021-06-30	2.5885527	2.53845168	2.62195338	2.53845168	4853300
2021-07-01	2.57185236	2.53845168	2.5885527	2.55515202	1308700
2021-07-02	2.55515202	2.52175134	2.57185236	2.52175134	2266700
2021-07-05	2.505051	2.48835066	2.55515202	2.505051	1579800
2021-07-06	2.52175134	2.505051	2.62195338	2.5885527	6291100
2021-07-07	2.5885527	2.52175134	2.60525304	2.52175134	3923400
2021-07-08	2.505051	2.40484896	2.52175134	2.40484896	6422900
2021-07-09	2.32134726	2.30464692	2.38814862	2.37144828	3490100
2021-07-12	2.37144828	2.30464692	2.40484896	2.30464692	2071700
2021-07-13	2.32134726	2.32134726	2.38814862	2.35474794	2607100
2021-07-14	2.37144828	2.35474794	2.45494998	2.43824964	2867500
2021-07-15	2.45494998	2.4215493	2.5885527	2.57185236	7856500
2021-07-16	2.5885527	2.53845168	2.60525304	2.53845168	7279900
2021-07-19	2.505051	2.45494998	2.52175134	2.505051	1816300
2021-07-20	2.48835066	2.43824964	2.505051	2.43824964	2574000
2021-07-21	2.48835066	2.40484896	2.48835066	2.40484896	2219300
2021-07-22	2.4215493	2.40484896	2.47165032	2.45494998	1506300
2021-07-23	2.4215493	2.40484896	2.45494998	2.4215493	1001200
2021-07-27	2.43824964	2.38814862	2.43824964	2.40484896	1118800
2021-07-29	2.38814862	2.35474794	2.40484896	2.40484896	1951800
2021-07-30	2.38814862	2.35474794	2.4215493	2.35474794	1162000
2021-08-02	2.3380476	2.30464692	2.35474794	2.35474794	1635700
2021-08-03	2.3380476	2.3380476	2.4215493	2.40484896	788500
2021-08-04	2.40484896	2.35474794	2.43824964	2.38814862	1903000
2021-08-05	2.45494998	2.43824964	2.505051	2.47165032	7035800
2021-08-06	2.53845168	2.43824964	2.55515202	2.43824964	8572300
2021-08-09	2.505051	2.40484896	2.505051	2.4215493	2553900
2021-08-10	2.47165032	2.43824964	2.53845168	2.53845168	6027900
2021-08-11	2.53845168	2.43824964	2.55515202	2.45494998	4208400
2021-08-13	2.47165032	2.37144828	2.53845168	2.37144828	7734100
2021-08-16	2.35474794	2.28794658	2.38814862	2.35474794	4220400
2021-08-17	2.35474794	2.3380476	2.40484896	2.40484896	1334800
2021-08-18	2.43824964	2.37144828	2.43824964	2.40484896	1080400
2021-08-19	2.4215493	2.37144828	2.4215493	2.38814862	544400
2021-08-20	2.38814862	2.37144828	2.47165032	2.4215493	4491400
2021-08-23	2.4215493	2.40484896	2.47165032	2.4215493	4128100
2021-08-24	2.4215493	2.40484896	2.43824964	2.43824964	2104500
2021-08-25	2.45494998	2.43824964	2.47165032	2.45494998	1969600
2021-08-26	2.45494998	2.40484896	2.45494998	2.4215493	1436200
2021-08-27	2.43824964	2.4215493	2.505051	2.45494998	3081600
2021-08-30	2.48835066	2.47165032	2.5885527	2.5885527	17600900
