Date	Price Open	Price Low	Price High	Price Close	Volume
2014-12-19	7.211014738	6.656321296	7.211014738	7.211014738	252965754
2014-12-22	6.989137361	6.138607418	7.987585556	6.878198673	315833399
2014-12-23	6.878198673	6.545382608	7.321953426	6.545382608	111250233
2014-12-24	6.804239547	5.214118349	6.804239547	5.509954851	154615700
2014-12-25	5.472975288	5.10317966	5.805791353	5.214118349	71486729
2014-12-26	5.288077474	5.177138786	5.472975288	5.251097912	43516982
2014-12-29	5.10317966	4.474527094	5.10317966	4.69640447	9913097
2014-12-30	4.622445345	4.474527094	4.844322721	4.622445345	7400303
2015-01-05	4.548486219	4.326608843	4.659424907	4.511506656	6932261
2015-01-06	4.437547531	4.400567968	5.251097912	5.251097912	29684558
2015-01-07	4.992240972	4.844322721	5.288077474	5.029220535	14078370
2015-01-08	5.10317966	4.918281847	5.140159223	4.955261409	4620254
2015-01-09	4.992240972	4.69640447	5.029220535	4.770363596	6398669
2015-01-12	4.659424907	4.585465782	4.733384033	4.659424907	4813172
2015-01-13	4.69640447	4.548486219	4.733384033	4.659424907	4878126
2015-01-14	4.659424907	4.659424907	5.10317966	4.955261409	19276106
2015-01-15	5.029220535	4.69640447	5.066200098	4.770363596	7245082
2015-01-16	4.733384033	4.69640447	4.918281847	4.918281847	4899327
2015-01-19	4.955261409	4.844322721	5.472975288	5.472975288	34040153
2015-01-20	5.620893539	5.177138786	5.620893539	5.325057037	22390719
2015-01-21	5.3620366	5.214118349	5.731832227	5.583913976	31565516
2015-01-22	5.620893539	5.472975288	5.76881179	5.620893539	21904991
2015-01-23	5.620893539	5.399016163	5.620893539	5.509954851	13387124
2015-01-26	5.509954851	5.3620366	5.953709604	5.805791353	41549031
2015-01-27	5.842770916	5.694852665	6.286525669	6.286525669	42589362
2015-01-28	6.397464357	6.249546106	6.656321296	6.545382608	59029632
2015-01-29	6.545382608	6.43444392	6.693300859	6.693300859	23859422
2015-01-30	6.730280422	6.582362171	7.174035175	7.174035175	48605523
2015-02-02	7.063096487	6.84121911	7.358932989	7.284973863	97938989
2015-02-03	7.358932989	7.137055612	7.765708179	7.765708179	87404062
2015-02-04	7.691749053	6.915178236	8.801135936	7.395912551	196124925
2015-02-05	7.2479943	6.84121911	7.691749053	7.617789928	64796142
2015-02-06	7.543830802	7.211014738	7.987585556	7.691749053	41136397
2015-02-09	7.617789928	7.395912551	8.283422058	8.135503807	56386523
2015-02-10	8.135503807	7.91362643	8.283422058	8.135503807	26327758
2015-02-11	8.061544681	7.358932989	8.135503807	7.469871677	49195551
2015-02-12	7.395912551	7.358932989	7.543830802	7.469871677	14338703
2015-02-13	7.469871677	7.100076049	7.469871677	7.137055612	23856853
2015-02-16	6.989137361	6.84121911	7.543830802	7.469871677	30357984
2015-02-17	7.469871677	7.100076049	7.469871677	7.174035175	11748895
2015-02-18	7.211014738	7.174035175	7.321953426	7.284973863	6886749
2015-02-19	7.2479943	7.211014738	7.321953426	7.2479943	4982400
2015-02-20	7.211014738	6.915178236	7.2479943	7.174035175	10573678
2015-02-23	7.137055612	6.952157798	7.137055612	7.100076049	13023572
2015-02-24	7.100076049	6.989137361	7.691749053	7.691749053	35191681
2015-02-25	7.765708179	7.617789928	8.061544681	7.91362643	43430637
2015-02-26	7.91362643	7.2479943	7.91362643	7.691749053	35158987
2015-02-27	7.617789928	7.358932989	7.617789928	7.617789928	14884113
2015-03-02	7.469871677	7.321953426	7.617789928	7.395912551	12490547
2015-03-03	7.321953426	7.137055612	7.358932989	7.137055612	7318366
2015-03-05	7.100076049	6.804239547	7.395912551	7.395912551	17285034
2015-03-06	7.543830802	7.358932989	7.91362643	7.91362643	35274835
2015-03-09	7.765708179	7.469871677	7.91362643	7.691749053	16666827
2015-03-10	7.617789928	7.284973863	7.691749053	7.321953426	14356794
2015-03-11	7.284973863	7.2479943	7.469871677	7.469871677	6759598
2015-03-12	7.395912551	7.284973863	7.469871677	7.358932989	3928953
2015-03-13	7.358932989	7.321953426	7.765708179	7.691749053	17439876
2015-03-16	7.617789928	7.2479943	7.617789928	7.358932989	16933704
2015-03-17	7.358932989	7.063096487	7.469871677	7.358932989	8256749
2015-03-18	7.321953426	7.284973863	7.543830802	7.469871677	8362862
2015-03-19	7.543830802	7.395912551	7.839667305	7.617789928	24801401
2015-03-20	7.617789928	7.2479943	7.765708179	7.691749053	19743689
2015-03-23	7.469871677	6.989137361	7.543830802	7.100076049	21885169
2015-03-24	7.100076049	5.990689167	7.137055612	6.619341734	28650690
2015-03-25	6.619341734	6.619341734	6.989137361	6.693300859	10173186
2015-03-26	6.582362171	6.471423483	6.84121911	6.545382608	7209495
2015-03-27	6.545382608	6.212566543	6.545382608	6.323505231	7794602
2015-03-30	6.323505231	6.286525669	6.471423483	6.397464357	2753493
2015-03-31	6.397464357	6.323505231	6.693300859	6.508403045	6942185
2015-04-01	6.545382608	6.43444392	6.767259985	6.730280422	6395099
2015-04-02	6.730280422	6.693300859	6.84121911	6.804239547	5418993
2015-04-03	6.804239547	6.730280422	6.878198673	6.84121911	4094396
2015-04-07	6.878198673	6.730280422	6.878198673	6.804239547	3052794
2015-04-08	6.84121911	6.804239547	6.989137361	6.878198673	4796514
2015-04-09	6.878198673	6.804239547	6.915178236	6.84121911	3984660
2015-04-10	6.84121911	6.804239547	6.915178236	6.915178236	2394295
2015-04-16	6.804239547	6.767259985	6.878198673	6.84121911	3677950
2015-04-17	6.84121911	6.730280422	6.84121911	6.767259985	2073036
2015-04-20	6.693300859	6.360484794	6.730280422	6.545382608	6897134
2015-04-21	6.545382608	6.508403045	6.656321296	6.582362171	2450623
2015-04-22	6.582362171	6.471423483	6.582362171	6.508403045	3083811
2015-04-23	6.545382608	6.323505231	6.545382608	6.323505231	4238341
2015-04-24	6.360484794	6.323505231	6.471423483	6.471423483	2748572
2015-04-27	6.471423483	6.360484794	6.508403045	6.397464357	3453529
2015-04-28	6.360484794	6.212566543	6.397464357	6.286525669	4753138
2015-04-29	6.249546106	6.212566543	6.286525669	6.286525669	2045805
2015-04-30	6.286525669	6.212566543	6.286525669	6.286525669	1849859
2015-05-06	6.360484794	6.323505231	6.582362171	6.323505231	13781423
2015-05-07	6.360484794	5.177138786	6.397464357	5.177138786	15540583
2015-05-08	5.288077474	4.437547531	5.620893539	4.69640447	19205662
2015-05-11	4.918281847	4.733384033	4.955261409	4.770363596	7871050
