Date	Price Open	Price Low	Price High	Price Close	Volume
2006-12-27	0.7	0.69	0.74	0.705	442400.0
2006-12-28	0.655	0.6	0.66	0.65	149600.0
2006-12-29	0.65	0.63	0.65	0.65	235800.0
2007-01-03	0.57	0.57	0.625	0.625	161000.0
2007-01-04	0.57	0.565	0.57	0.57	152400.0
2007-01-05	0.56	0.56	0.6	0.585	381000.0
2007-01-08	0.75	0.75	0.75	0.75	200.0
2007-01-11	0.64	0.595	0.64	0.615	90400.0
2007-01-12	0.62	0.61	0.62	0.62	100800.0
2007-01-15	0.61	0.575	0.61	0.575	86800.0
2007-01-16	0.58	0.58	0.6	0.59	36000.0
2007-01-17	0.6	0.58	0.6	0.58	60000.0
2007-01-18	0.59	0.585	0.615	0.585	55800.0
2007-01-19	0.585	0.58	0.585	0.585	70000.0
2007-01-22	0.59	0.585	0.595	0.585	87600.0
2007-01-24	0.58	0.58	0.585	0.585	130000.0
2007-01-25	0.585	0.585	0.6	0.59	144800.0
2007-01-26	0.6	0.6	0.625	0.625	240800.0
2007-01-29	0.625	0.625	0.7	0.7	1138400.0
2007-01-30	0.7	0.62	0.73	0.625	6102000.0
2007-01-31	0.61	0.61	0.655	0.63	250200.0
2007-02-01	0.635	0.625	0.65	0.645	136200.0
2007-02-02	0.645	0.635	0.695	0.635	285000.0
2007-02-05	0.665	0.615	0.695	0.655	1323000.0
2007-02-06	0.68	0.66	0.83	0.825	17455800.0
2007-02-07	0.82	0.73	0.83	0.745	8184000.0
2007-02-08	0.75	0.75	0.93	0.845	37552000.0
2007-02-09	0.855	0.855	0.91	0.875	15838400.0
2007-02-12	0.905	0.9	1.13	1.13	65805600.0
2007-02-13	1.15	1.12	1.44	1.2	88193000.0
2007-02-14	1.21	1.1	1.39	1.17	33841200.0
2007-02-15	1.3	1.12	1.3	1.22	16018800.0
2007-02-16	1.23	1.12	1.24	1.13	7854600.0
2007-02-19	1.09	1.03	1.12	1.06	6800800.0
2007-02-20	1.08	1.08	1.37	1.37	56817200.0
2007-02-21	1.44	1.37	1.68	1.54	103314000.0
2007-02-22	1.57	1.5	1.66	1.54	31286200.0
2007-02-23	1.61	1.43	1.64	1.54	32920800.0
2007-02-26	1.55	1.49	1.82	1.82	73665600.0
2007-02-27	1.79	1.79	2.01	1.9	117059200.0
2007-02-28	1.89	1.89	2.08	2.01	102084600.0
2007-03-01	2.05	2.05	2.43	2.41	99262600.0
2007-03-02	2.6	2.575	2.85	2.7	61110600.0
2007-03-06	2.95	2.85	3.1	3.1	33538600.0
2007-03-07	2.85	2.17	2.85	2.35	19542600.0
2007-03-08	2.3	1.87	2.33	2.13	16111600.0
2007-03-09	2.07	1.95	2.15	2.12	7104800.0
2007-03-12	2.14	2.06	2.15	2.09	2862400.0
2007-03-13	2.09	1.97	2.09	1.99	2738400.0
2007-03-14	1.94	1.72	1.95	1.75	6976800.0
2007-03-15	1.72	1.58	1.78	1.6	3215000.0
2007-03-16	1.55	1.5	1.65	1.65	3996000.0
2007-03-19	1.65	1.55	1.71	1.55	2178200.0
2007-03-20	1.57	1.51	1.61	1.55	1373000.0
2007-03-21	1.58	1.48	1.58	1.48	1624800.0
2007-03-22	1.49	1.45	1.92	1.92	9402600.0
2007-03-23	2.1	1.95	2.14	2.05	13595600.0
2007-03-26	2.05	1.92	2.08	1.95	3429000.0
2007-03-27	2.01	1.89	2.05	2.05	4627000.0
2007-03-28	2.04	1.8	2.04	1.85	3760000.0
2007-03-29	1.8	1.72	1.84	1.74	2142600.0
2007-03-30	1.79	1.68	1.79	1.72	796800.0
2007-04-02	1.72	1.68	1.75	1.68	835400.0
2007-04-03	1.68	1.53	1.69	1.55	1876400.0
2007-04-04	1.55	1.55	1.66	1.65	1738200.0
2007-04-05	1.66	1.57	1.67	1.6	821000.0
2007-04-09	1.6	1.54	1.6	1.58	394000.0
2007-04-10	1.57	1.54	1.59	1.54	813000.0
2007-04-11	1.56	1.56	1.57	1.57	314600.0
2007-04-12	1.59	1.59	1.95	1.95	9080800.0
2007-04-17	1.97	1.8	1.98	1.98	5958400.0
2007-04-18	1.98	1.93	2.45	2.45	15402600.0
2007-04-19	2.45	2.39	2.5	2.4	9739800.0
2007-04-20	2.4	2.25	2.44	2.34	6754800.0
2007-04-23	2.45	2.4	3.025	3.025	65430800.0
2007-04-24	3.05	2.75	3.175	2.75	72600200.0
2007-04-25	2.8	2.65	2.95	2.725	42122000.0
2007-04-26	2.75	2.48	2.825	2.55	29561000.0
2007-04-27	2.55	2.3	2.6	2.3	24127200.0
2007-04-30	2.3	2.29	2.65	2.6	48277000.0
2007-05-02	2.6	2.42	2.6	2.44	25384800.0
2007-05-03	2.47	2.33	2.525	2.36	16961000.0
2007-05-04	2.37	2.28	2.38	2.28	7809200.0
2007-05-08	2.3	2.25	2.39	2.3	9717400.0
2007-05-09	2.32	2.29	2.43	2.3	23382800.0
2007-05-10	2.31	2.1	2.36	2.1	12870600.0
2007-05-11	2.04	2.0	2.15	2.02	7471400.0
2007-05-14	2.07	1.87	2.1	2.07	15753800.0
2007-05-15	2.07	2.02	2.12	2.02	14248200.0
2007-05-16	2.03	1.95	2.07	1.95	4805800.0
2007-05-17	1.97	1.97	2.05	1.99	6539200.0
2007-05-18	2.0	1.93	2.02	1.94	3916600.0
2007-05-21	1.93	1.9	1.98	1.92	2190000.0
2007-05-22	1.93	1.93	2.01	1.95	6405200.0
2007-05-23	1.96	1.9	1.99	1.9	3606400.0
2007-05-24	1.92	1.83	1.98	1.83	7363800.0
2007-05-25	1.85	1.71	1.88	1.72	5529000.0
2007-05-28	1.74	1.69	1.74	1.69	2611200.0
2007-05-29	1.7	1.65	1.74	1.67	3779000.0
2007-05-30	1.67	1.67	2.0	1.89	42920000.0
2007-06-01	1.93	1.83	1.93	1.85	10981600.0
2007-06-04	1.87	1.87	2.0	1.9	17973800.0
2007-06-05	1.92	1.89	1.96	1.9	7500800.0
2007-06-06	1.91	1.9	1.97	1.92	9900000.0
2007-06-07	1.93	1.92	2.08	1.99	38512600.0
2007-06-08	2.01	1.91	2.03	1.94	9251600.0
2007-06-11	1.95	1.83	1.95	1.85	4715600.0
2007-06-12	1.85	1.81	1.9	1.81	6420600.0
