Date	Price Open	Price Low	Price High	Price Close	Volume
2003-10-22	3.8	9.6	9.85	9.8	54484999.0
2003-10-24	3.6	9.6	9.8	9.6	81280999.0
2003-10-27	3.55	9.6	10.1	9.75	4999.0
2003-10-28	3.425	9.5	9.85	9.5	104084999.0
2003-10-29	3.5	9.55	9.75	9.6	53480999.0
2003-10-30	3.5	9.45	9.75	9.55	36099999.0
2003-10-31	3.45	9.45	9.65	9.5	4999.0
2003-11-03	3.45	9.6	10.1	10.1	4999.0
2003-11-04	3.45	9.95	11.5	11.2	301728999.0
2003-11-05	3.425	10.7	11.3	11.0	24999.0
2003-11-06	3.45	10.7	11.4	10.7	51999.0
2003-11-07	3.425	10.6	10.9	10.8	4999.0
2003-11-10	3.425	10.7	11.3	11.2	87952999.0
2003-11-11	3.425	10.5	11.2	10.7	4999.0
2003-11-12	3.45	10.5	10.9	10.8	71866999.0
2003-11-13	3.45	10.6	10.9	10.7	4999.0
2003-11-14	3.45	10.7	11.1	10.8	103784999.0
2003-11-17	3.45	10.4	10.8	10.7	62376999.0
2003-11-18	3.45	10.5	10.8	10.5	49999.0
2003-11-19	3.45	9.85	10.5	10.0	145590999.0
2003-11-21	3.5	9.55	10.0	10.0	95214999.0
2003-11-25	3.5	9.7	9.85	9.75	99999.0
2003-11-26	3.475	9.7	10.2	10.2	29999.0
2003-11-27	3.475	10.0	10.4	10.2	67451999.0
2003-11-28	3.475	10.3	10.7	10.7	130715999.0
2003-12-01	3.475	10.5	10.8	10.6	51937999.0
2003-12-02	3.45	10.6	10.9	10.7	111999.0
2003-12-03	3.5	10.6	11.1	10.9	60917999.0
2003-12-04	3.475	10.8	11.1	10.8	1999.0
2003-12-08	3.45	10.8	11.4	11.3	112550999.0
2003-12-09	3.475	11.2	11.8	11.8	49999.0
2003-12-11	3.475	11.8	12.4	12.4	67999.0
2003-12-12	3.45	12.0	12.6	12.4	99999.0
2003-12-15	3.45	12.4	12.9	12.4	209999.0
2003-12-16	3.425	12.3	13.0	12.9	113323999.0
2003-12-17	3.45	12.5	13.0	12.6	84614999.0
2003-12-18	3.475	12.6	13.1	13.0	110480999.0
2003-12-19	3.5	12.9	13.7	13.4	1999.0
2003-12-22	3.475	13.5	13.9	13.7	59341999.0
2003-12-23	3.475	13.6	14.0	14.0	62776999.0
2003-12-24	3.5	13.9	15.1	14.8	999.0
2003-12-25	3.475	14.9	16.3	15.4	49999.0
2003-12-26	3.475	15.5	17.4	17.0	88682999.0
