Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	23.6	23.0	24.0	23.2	1135999.0
2000-01-05	21.6	21.2	22.4	21.2	1511999.0
2000-01-06	21.4	19.9	21.4	20.0	2533999.0
2000-01-07	20.4	20.4	21.0	21.0	1565999.0
2000-01-10	21.2	20.4	21.4	20.8	4631999.0
2000-01-11	20.8	20.0	20.8	20.0	1344999.0
2000-01-12	20.2	20.0	20.6	20.2	1372999.0
2000-01-13	20.4	20.2	20.6	20.4	1878999.0
2000-01-14	20.6	20.4	21.6	21.6	2714999.0
2000-01-17	22.2	22.0	23.4	23.4	2873999.0
2000-01-18	23.8	23.6	24.2	24.2	1847999.0
2000-01-19	23.8	23.8	25.0	24.8	1718999.0
2000-01-20	24.8	24.8	26.4	26.4	4168999.0
2000-01-21	26.2	25.0	26.2	25.2	1402999.0
2000-01-24	25.8	25.0	25.8	25.2	1475999.0
2000-01-25	25.0	24.4	25.0	24.4	923999.0
2000-01-26	24.8	23.8	24.8	23.8	889999.0
2000-01-27	23.8	23.2	23.8	23.4	1549999.0
2000-01-28	23.6	23.6	24.2	24.0	561999.0
2000-01-31	23.6	23.6	24.4	23.8	875999.0
2000-02-01	24.0	23.4	24.0	23.6	1427999.0
2000-02-02	23.4	23.0	23.4	23.0	484999.0
2000-02-03	23.0	22.0	23.2	22.0	1249999.0
2000-02-04	22.2	21.6	22.8	22.8	1012999.0
2000-02-07	22.6	22.2	22.8	22.4	385999.0
2000-02-08	22.2	22.0	23.2	23.0	3963999.0
2000-02-09	23.4	22.2	23.6	22.2	839999.0
2000-02-10	22.0	20.6	22.2	20.8	1371999.0
2000-02-11	21.0	20.6	22.0	20.6	2336999.0
2000-02-14	20.8	20.0	21.2	20.0	2286999.0
2000-02-15	20.2	20.0	20.4	20.0	801999.0
2000-02-16	20.0	19.9	20.4	20.0	1110999.0
2000-02-17	20.0	18.4	20.2	18.6	1410999.0
2000-02-18	18.5	18.0	18.5	18.4	2803999.0
2000-02-22	18.1	16.3	18.1	17.1	5030999.0
2000-02-23	17.2	16.6	18.2	17.7	4295999.0
2000-02-24	18.1	18.1	18.6	18.4	6993999.0
2000-02-25	18.9	18.7	20.4	20.4	1738999.0
2000-02-28	20.4	19.5	20.4	19.5	1178999.0
2000-02-29	19.6	18.2	19.6	18.3	4221999.0
2000-03-01	18.3	17.8	18.3	18.0	2592999.0
2000-03-02	18.4	18.4	19.2	19.2	2192999.0
2000-03-03	19.1	18.8	19.4	18.9	2182999.0
2000-03-06	18.8	18.4	18.8	18.6	3066999.0
2000-03-07	18.6	18.5	18.7	18.7	3219999.0
2000-03-08	18.3	18.3	18.7	18.6	611999.0
2000-03-09	18.6	18.1	18.8	18.1	3144999.0
2000-03-10	18.2	17.6	18.5	18.5	10866999.0
2000-03-13	18.2	18.2	18.9	18.7	1027999.0
2000-03-14	19.0	19.0	19.7	19.7	2000999.0
2000-03-15	19.5	18.9	19.7	19.0	1587999.0
2000-03-16	19.3	18.9	19.3	18.9	643999.0
2000-03-17	19.5	19.4	20.2	19.7	1740999.0
2000-03-20	19.6	19.6	20.0	20.0	1992999.0
2000-03-21	20.2	19.7	20.2	19.8	2468999.0
2000-03-22	20.0	19.6	20.2	20.2	3725999.0
2000-03-23	20.4	20.0	20.4	20.0	901999.0
2000-03-24	20.2	20.0	20.6	20.4	2859999.0
2000-03-27	20.4	20.2	20.4	20.2	1416999.0
2000-03-28	20.4	20.0	20.4	20.2	1281999.0
2000-03-29	20.2	19.9	20.2	20.0	8836999.0
2000-03-30	19.9	19.7	20.0	19.8	6156999.0
2000-03-31	19.7	19.3	19.8	19.5	1166999.0
2000-04-03	19.4	19.4	19.7	19.7	255999.0
2000-04-04	19.5	19.5	19.8	19.7	2724999.0
2000-04-05	19.5	19.3	19.5	19.5	433999.0
2000-04-07	19.5	19.5	20.2	20.0	7863999.0
2000-04-10	20.2	19.9	20.2	20.0	242999.0
2000-04-11	19.8	19.5	19.8	19.8	2673999.0
2000-04-12	19.8	19.7	20.4	20.2	1142999.0
2000-04-17	19.2	19.2	19.9	19.9	521999.0
2000-04-18	20.0	19.3	20.0	19.3	1485999.0
2000-04-19	19.3	19.1	19.5	19.1	3920999.0
2000-04-20	19.1	19.0	19.1	19.0	1187999.0
2000-04-21	19.1	19.1	19.2	19.2	83999.0
2000-04-24	19.2	19.2	19.3	19.3	9999.0
2000-04-25	19.3	19.3	19.4	19.4	228999.0
2000-04-26	19.4	19.4	19.8	19.7	3915999.0
2000-04-27	19.5	19.2	19.5	19.2	635999.0
2000-04-28	19.2	19.2	19.3	19.3	387999.0
2000-05-02	19.2	18.9	19.2	19.0	904999.0
2000-05-03	18.8	18.6	18.9	18.9	365999.0
2000-05-04	19.0	18.7	19.0	18.9	53999.0
2000-05-08	18.9	18.5	18.9	18.6	1834999.0
2000-05-09	18.6	18.6	18.6	18.6	399999.0
2000-05-10	18.5	17.9	18.5	18.1	2396999.0
2000-05-11	17.7	17.6	17.8	17.6	379999.0
2000-05-12	17.7	17.7	19.1	19.1	528999.0
2000-05-15	18.5	18.5	18.8	18.7	316999.0
2000-05-16	18.8	18.6	19.1	18.8	2183999.0
2000-05-18	18.7	18.1	18.7	18.1	421999.0
2000-05-19	18.1	17.7	18.3	18.3	823999.0
2000-05-22	17.7	17.5	17.8	17.6	274999.0
2000-05-23	17.5	16.7	17.5	16.8	797999.0
2000-05-24	16.6	16.5	17.0	17.0	216999.0
2000-05-25	17.5	16.9	17.5	16.9	606999.0
2000-05-26	16.8	16.7	17.3	17.1	555999.0
2000-05-29	17.1	17.1	18.4	18.2	697999.0
2000-05-30	18.1	18.1	18.4	18.2	383999.0
2000-05-31	18.8	18.7	19.4	18.7	1453999.0
2000-06-01	18.7	18.7	19.0	18.9	231999.0
2000-06-02	19.4	19.0	19.4	19.1	2556999.0
2000-06-05	19.3	19.1	19.5	19.1	1468999.0
2000-06-06	19.1	18.9	19.1	19.0	1123999.0
2000-06-07	18.9	18.8	19.1	18.8	925999.0
2000-06-08	19.0	18.7	19.0	19.0	287999.0
2000-06-09	19.0	19.0	19.2	19.0	355999.0
2000-06-12	19.2	19.2	19.6	19.4	522999.0
2000-06-13	19.2	18.9	19.2	19.0	1366999.0
2000-06-14	19.0	18.9	19.0	19.0	425999.0
2000-06-15	19.0	18.9	19.3	19.3	2963999.0
2000-06-16	19.3	19.3	19.5	19.4	2212999.0
2000-06-19	19.3	19.3	19.5	19.4	310999.0
2000-06-20	19.4	18.6	19.4	18.8	6177999.0
2000-06-21	18.6	18.4	18.8	18.7	2643999.0
2000-06-22	18.9	18.7	19.0	18.9	2601999.0
2000-06-23	18.6	18.0	18.6	18.3	1247999.0
2000-06-26	18.7	18.5	18.8	18.5	1089999.0
2000-06-27	18.8	18.7	19.0	19.0	1675999.0
2000-06-28	18.9	18.8	19.0	18.9	499999.0
2000-06-29	18.9	18.7	19.1	18.9	1545999.0
2000-06-30	19.0	19.0	19.3	19.0	566999.0
2000-07-03	19.1	18.9	19.1	19.0	1374999.0
2000-07-04	19.0	19.0	19.1	19.0	1580999.0
2000-07-05	19.0	19.0	19.1	19.0	138999.0
2000-07-06	19.0	19.0	19.2	19.2	165999.0
2000-07-07	19.4	19.4	19.6	19.5	635999.0
2000-07-10	19.6	19.5	19.7	19.5	1238999.0
2000-07-11	19.7	19.4	19.7	19.5	652999.0
2000-07-12	19.5	19.5	19.6	19.5	183999.0
2000-07-13	19.5	19.2	19.5	19.2	289999.0
2000-07-14	19.1	18.4	19.1	18.6	990999.0
2000-07-18	18.4	18.2	18.4	18.3	623999.0
2000-07-19	18.3	18.3	18.6	18.6	86999.0
2000-07-20	18.3	18.0	18.3	18.1	692999.0
2000-07-21	17.8	17.5	18.0	17.5	369999.0
2000-07-24	17.7	17.7	18.0	17.8	250999.0
2000-07-25	18.0	18.0	18.4	18.2	914999.0
2000-07-26	18.7	18.7	19.9	19.9	1533999.0
2000-07-27	19.9	19.9	21.0	20.4	426999.0
2000-07-28	20.2	19.1	20.2	19.4	499999.0
2000-07-31	18.8	18.6	18.9	18.8	281999.0
2000-08-01	19.1	19.0	19.7	19.3	554999.0
2000-08-02	19.3	19.3	19.4	19.3	1135999.0
2000-08-03	19.3	19.3	20.8	20.8	1852999.0
2000-08-04	20.6	20.2	20.6	20.4	1175999.0
2000-08-07	20.0	19.3	20.0	19.5	444999.0
2000-08-08	19.6	19.6	19.7	19.7	351999.0
2000-08-09	20.2	19.8	20.2	19.9	135999.0
2000-08-10	19.9	19.8	20.4	20.4	1364999.0
2000-08-11	20.6	20.6	22.0	22.0	1387999.0
2000-08-15	22.4	22.4	23.6	23.6	1316999.0
2000-08-16	23.2	23.2	25.4	25.0	2466999.0
2000-08-17	24.6	23.4	24.6	23.6	993999.0
2000-08-18	23.2	22.8	23.6	23.6	27999.0
2000-08-21	24.0	23.6	24.2	23.6	303999.0
2000-08-22	23.4	23.4	23.8	23.4	546999.0
2000-08-23	23.6	23.6	24.8	24.0	564999.0
2000-08-24	24.2	24.2	24.2	24.2	52999.0
2000-08-25	24.4	24.4	25.0	25.0	132999.0
2000-08-28	25.0	24.8	25.0	24.8	459999.0
2000-08-29	24.8	24.8	25.0	25.0	464999.0
2000-08-30	25.4	25.4	26.0	25.4	293999.0
2000-09-01	24.8	24.8	24.8	24.8	4999.0
2000-09-04	24.4	23.6	24.4	23.6	117999.0
2000-09-05	23.0	23.0	23.4	23.4	23999.0
2000-09-06	23.4	23.0	24.0	24.0	521999.0
2000-09-07	23.6	23.6	24.2	24.2	947999.0
2000-09-08	25.0	24.6	25.4	24.6	1937999.0
2000-09-11	24.6	24.0	24.8	24.0	383999.0
2000-09-12	24.0	23.2	24.0	23.4	1175999.0
2000-09-13	23.8	23.8	24.2	24.2	288999.0
2000-09-14	24.0	23.2	24.0	23.6	1353999.0
2000-09-15	24.0	23.8	24.8	24.8	361999.0
2000-09-18	24.6	24.4	24.8	24.8	1412999.0
2000-09-19	25.0	24.8	25.2	24.8	1027999.0
2000-09-20	25.4	23.2	25.4	23.4	360499.0
2000-09-21	23.4	23.2	24.0	23.6	434499.0
2000-09-22	23.2	21.2	23.2	21.2	237499.0
2000-09-25	21.6	21.6	22.0	22.0	52999.0
2000-09-26	22.0	21.4	22.4	21.4	179499.0
2000-09-27	21.8	21.6	22.0	22.0	326999.0
2000-09-28	22.0	21.4	22.0	21.4	110999.0
2000-09-29	21.8	21.2	21.8	21.4	565499.0
2000-10-02	21.2	21.0	21.2	21.0	390499.0
2000-10-03	20.6	20.0	20.6	20.4	798499.0
2000-10-04	20.4	20.2	21.0	20.8	890999.0
2000-10-05	21.4	21.4	22.0	21.6	542499.0
2000-10-06	21.2	20.2	21.2	20.2	442999.0
2000-10-09	20.2	19.1	20.2	19.6	562499.0
2000-10-10	19.1	18.0	19.1	18.4	339499.0
2000-10-11	17.9	17.2	18.0	17.2	555999.0
2000-10-12	17.8	17.6	18.3	18.1	441999.0
2000-10-13	18.0	18.0	23.2	20.8	582499.0
2000-10-16	21.6	21.0	21.6	21.4	365999.0
2000-10-17	21.6	21.6	23.4	22.0	613999.0
2000-10-18	22.6	22.4	23.0	22.6	54999.0
2000-10-19	23.2	23.2	24.4	24.4	196499.0
2000-10-20	25.0	24.0	25.0	24.0	64999.0
2000-10-24	24.0	24.0	24.0	24.0	64499.0
2000-10-25	23.2	22.0	23.2	22.0	52499.0
2000-10-26	21.8	21.8	22.2	22.2	9999.0
2000-10-27	22.0	21.8	22.0	21.8	5499.0
2000-10-30	20.0	20.0	21.6	21.4	1999.0
2000-11-02	22.6	22.6	23.0	22.8	255499.0
2000-11-03	23.0	23.0	23.6	23.2	116499.0
2000-11-06	23.8	23.6	24.4	23.6	1172999.0
2000-11-07	23.8	23.8	24.0	24.0	8999.0
2000-11-08	24.0	24.0	25.6	25.4	411999.0
2000-11-09	24.4	23.4	24.6	23.6	155499.0
2000-11-10	23.6	22.8	23.6	22.8	20999.0
2000-11-13	22.6	22.2	22.8	22.8	14499.0
2000-11-14	23.0	22.8	23.6	23.2	23499.0
2000-11-15	24.0	23.6	24.0	23.6	110999.0
2000-11-17	23.8	23.6	24.2	23.6	57499.0
2000-11-20	24.2	23.4	24.2	23.4	19499.0
2000-11-21	23.0	23.0	23.2	23.2	60999.0
2000-11-22	23.6	23.6	23.6	23.6	51499.0
2000-11-23	23.4	23.4	23.6	23.6	60999.0
2000-11-24	23.8	23.8	23.8	23.8	50499.0
2000-11-27	24.0	24.0	24.0	24.0	499.0
2000-11-29	23.2	23.0	23.2	23.0	292999.0
2000-11-30	22.6	22.0	22.6	22.4	150499.0
2000-12-01	22.2	21.8	22.2	21.8	161999.0
2000-12-04	21.8	21.6	21.8	21.6	16999.0
2000-12-06	22.0	21.4	22.2	21.4	108999.0
2000-12-07	20.8	20.8	21.0	21.0	58999.0
2000-12-08	21.0	20.2	21.0	20.4	268999.0
2000-12-12	20.6	19.4	20.6	19.4	87499.0
2000-12-13	19.1	19.1	20.2	19.8	276499.0
2000-12-14	19.7	19.4	19.7	19.4	12499.0
2000-12-15	19.8	19.6	19.8	19.6	243999.0
2000-12-18	19.7	19.7	20.0	20.0	49499.0
2000-12-19	20.0	19.7	20.0	19.8	20499.0
2000-12-20	20.0	20.0	20.4	20.4	44999.0
2000-12-21	19.6	19.3	19.6	19.4	294999.0
2000-12-22	19.4	19.3	19.5	19.4	135499.0
2000-12-26	19.5	19.5	19.5	19.5	499.0
2000-12-27	19.4	19.4	19.5	19.5	59999.0
2000-12-28	19.8	19.8	20.0	19.9	96999.0
2000-12-29	20.2	20.2	20.2	20.2	499.0
2001-01-03	20.0	20.0	20.0	20.0	129999.0
2001-01-04	20.8	20.6	21.0	20.6	104999.0
2001-01-05	20.6	20.2	20.8	20.8	392999.0
2001-01-08	21.0	20.6	21.4	20.6	337499.0
2001-01-09	21.0	20.8	21.6	20.8	500499.0
2001-01-10	21.0	21.0	22.0	21.0	179499.0
2001-01-11	21.0	20.8	21.0	20.8	690999.0
2001-01-12	21.2	21.2	21.8	21.8	275999.0
2001-01-15	22.2	22.2	22.6	22.6	413999.0
2001-01-16	22.8	22.2	22.8	22.2	34499.0
2001-01-17	22.2	21.8	22.4	22.2	161499.0
2001-01-18	22.4	22.0	22.4	22.0	75999.0
2001-01-19	21.6	21.6	21.6	21.6	999.0
2001-01-22	22.0	21.8	22.0	21.8	115999.0
2001-01-23	21.8	21.8	22.0	22.0	4999.0
2001-01-24	22.0	22.0	22.0	22.0	16499.0
2001-01-25	22.2	22.2	22.8	22.6	58999.0
2001-01-26	22.8	22.0	23.0	22.0	64999.0
2001-01-30	21.6	21.6	21.6	21.6	365499.0
2001-01-31	21.4	21.4	22.6	22.6	20999.0
2001-02-02	21.8	21.8	21.8	21.8	1015499.0
2001-02-05	21.8	21.8	21.8	21.8	499.0
2001-02-06	21.0	21.0	21.0	21.0	24999.0
2001-02-07	21.0	21.0	21.0	21.0	71999.0
2001-02-09	20.6	20.0	20.6	20.0	269999.0
2001-02-12	20.0	19.7	20.0	19.7	264999.0
2001-02-13	19.9	19.7	19.9	19.7	220999.0
2001-02-14	19.6	19.4	19.6	19.4	13999.0
2001-02-15	19.3	19.3	20.4	19.5	17999.0
2001-02-16	20.0	20.0	20.2	20.0	11499.0
2001-02-21	19.9	19.9	19.9	19.9	499.0
2001-02-22	20.2	20.2	20.6	20.4	16999.0
2001-02-23	20.8	20.8	21.4	21.4	24499.0
2001-02-26	21.8	21.2	21.8	21.2	10999.0
2001-02-27	21.6	21.4	22.0	21.8	42499.0
2001-02-28	21.4	21.4	21.6	21.6	226499.0
2001-03-01	21.4	20.4	21.4	20.4	235999.0
2001-03-02	20.0	20.0	20.0	20.0	9999.0
2001-03-05	19.0	19.0	19.0	19.0	152999.0
2001-03-07	20.4	20.4	20.6	20.6	199999.0
2001-03-08	21.0	20.0	21.0	20.4	36999.0
2001-03-09	20.4	20.4	20.4	20.4	19999.0
2001-03-13	20.2	20.2	20.2	20.2	9999.0
2001-03-14	20.4	20.4	20.6	20.6	1499.0
2001-03-15	20.0	20.0	20.0	20.0	499.0
2001-03-16	19.9	19.9	20.0	20.0	296499.0
2001-03-19	20.2	20.2	20.2	20.2	49999.0
2001-03-20	20.0	20.0	20.0	20.0	1499.0
2001-03-23	20.6	19.9	20.6	19.9	164999.0
2001-03-26	19.8	19.8	19.8	19.8	4999.0
2001-03-28	19.5	19.5	20.0	20.0	11999.0
2001-03-30	20.0	20.0	20.0	20.0	23499.0
2001-04-02	20.0	19.4	20.0	19.4	23999.0
2001-04-03	20.0	20.0	20.0	20.0	180999.0
2001-04-09	19.0	19.0	19.0	19.0	160999.0
2001-04-10	19.0	18.9	19.0	18.9	160999.0
2001-04-11	19.0	19.0	19.0	19.0	72999.0
2001-04-12	19.2	19.2	19.6	19.6	48999.0
2001-04-17	19.7	19.7	19.7	19.7	1999.0
2001-04-18	19.7	19.6	19.7	19.6	98499.0
2001-04-19	19.8	19.8	19.8	19.8	4999.0
2001-04-20	19.3	19.3	19.3	19.3	499.0
2001-04-24	19.9	19.9	20.0	20.0	106999.0
2001-04-25	20.8	20.8	20.8	20.8	4999.0
2001-04-26	21.0	21.0	21.0	21.0	78499.0
2001-04-30	21.0	21.0	21.0	21.0	60499.0
2001-05-02	21.0	20.8	21.0	20.8	374999.0
2001-05-03	20.4	20.0	20.4	20.2	727999.0
2001-05-04	20.2	20.2	20.2	20.2	21999.0
2001-05-14	19.8	19.8	20.4	20.4	79999.0
2001-05-15	20.6	20.4	21.2	21.0	397999.0
2001-05-16	21.2	21.2	21.2	21.2	1999.0
