Date	Price Open	Price Low	Price High	Price Close	Volume
2003-07-23	33.798057508	33.516407028	44.00788738	39.079003993	18619200.0
2003-07-24	39.431067092	34.924659425	40.839319488	34.924659425	6484341.0
2003-07-25	35.206309904	29.714125559	35.206309904	29.995776038	3325114.0
2003-07-28	29.995776038	29.995776038	34.361358466	33.798057508	3925600.0
2003-07-29	33.798057508	33.516407028	36.966625399	34.502183706	3474557.0
2003-07-30	35.065484664	31.685678913	35.910436102	32.671455591	1384926.0
2003-07-31	32.95310607	32.81228083	35.910436102	35.558373003	1520601.0
2003-08-01	36.262499201	35.206309904	37.318688498	35.558373003	2301804.0
2003-08-04	35.558373003	34.924659425	36.966625399	36.262499201	1214114.0
2003-08-05	38.022814696	36.966625399	39.431067092	38.374877795	3342894.0
2003-08-06	38.022814696	37.670751597	39.079003993	38.726940894	1374486.0
2003-08-07	39.079003993	38.726940894	41.191382587	40.13519329	2229346.0
2003-08-08	40.839319488	40.487256389	48.584707667	46.472329073	5858540.0
2003-08-11	48.232644568	47.52851837	51.049149361	51.049149361	5161701.0
2003-08-13	51.40121246	48.232644568	52.457401757	48.936770766	2779959.0
2003-08-14	48.232644568	48.232644568	55.625969648	53.513591054	5209803.0
2003-08-15	53.513591054	52.457401757	54.569780351	53.513591054	2601890.0
2003-08-18	54.569780351	54.569780351	58.090411341	55.978032747	3616448.0
2003-08-19	57.034222044	53.865654153	57.386285143	53.865654153	2287915.0
2003-08-20	54.92184345	52.809464856	55.273906549	53.513591054	1832169.0
2003-08-21	53.865654153	53.865654153	57.034222044	54.92184345	1873438.0
2003-08-22	55.273906549	55.273906549	58.090411341	55.978032747	2424660.0
2003-08-25	56.682158945	54.217717252	57.386285143	54.92184345	1330515.0
2003-08-26	54.92184345	54.569780351	60.554853035	60.554853035	1922822.0
2003-08-27	60.906916134	59.850726836	65.83579952	61.963105431	3915244.0
2003-08-28	64.427547124	64.427547124	67.596115015	65.83579952	2964696.0
2003-08-29	66.891988817	65.83579952	71.116746006	69.70849361	3776166.0
2003-09-01	70.060556709	69.356430511	74.637376996	73.2291246	3129476.0
2003-09-02	74.637376996	71.116746006	74.637376996	71.116746006	1357960.0
2003-09-03	72.524998402	69.70849361	73.2291246	70.412619808	1079601.0
2003-09-04	72.524998402	71.116746006	76.74975559	73.933250798	3045104.0
2003-09-05	74.637376996	73.933250798	76.74975559	74.637376996	1647644.0
2003-09-08	75.341503194	73.2291246	75.341503194	73.933250798	1061996.0
2003-09-09	75.341503194	73.933250798	79.566260383	73.933250798	2404860.0
2003-09-10	75.341503194	74.637376996	76.74975559	76.045629392	724523.0
2003-09-11	73.933250798	73.933250798	78.862134185	75.341503194	1377345.0
2003-09-12	76.74975559	74.637376996	78.158007986	74.637376996	1216106.0
2003-09-15	76.74975559	74.637376996	78.158007986	76.045629392	1141647.0
2003-09-16	76.74975559	74.637376996	80.270386581	74.637376996	2067996.0
2003-09-17	76.045629392	66.891988817	76.74975559	66.891988817	1331060.0
2003-09-18	70.060556709	56.330095846	70.412619808	61.258979233	502004.0
2003-09-19	63.371357827	61.963105431	69.004367411	69.004367411	273997.0
2003-09-22	68.652304312	66.187862619	70.060556709	66.187862619	510903.0
2003-09-23	67.596115015	66.539925718	73.2291246	73.2291246	818718.0
2003-09-24	75.341503194	73.2291246	85.199269967	85.199269967	4118240.0
2003-09-25	83.791017571	77.453881788	90.128153354	78.158007986	8341133.0
2003-09-26	78.862134185	65.483736421	78.862134185	68.652304312	2532909.0
2003-09-29	69.004367411	67.244051916	73.2291246	69.70849361	1415580.0
2003-09-30	71.116746006	67.596115015	71.820872204	67.596115015	958580.0
2003-10-01	67.948178114	66.891988817	70.060556709	68.300241213	9222.0
2003-10-02	69.70849361	67.948178114	78.158007986	77.453881788	4887.0
2003-10-03	75.341503194	71.820872204	76.045629392	72.524998402	8853.0
2003-10-06	77.659467579	75.734026234	83.435791614	77.659467579	607.0
2003-10-07	78.301281361	71.883143544	78.943095142	71.883143544	1770.0
2003-10-08	72.524957326	69.315888418	74.450398671	74.450398671	3794.0
2003-10-10	77.659467579	76.375840016	90.495743212	90.495743212	2579.0
2003-10-13	89.212115649	89.212115649	102.048391281	96.913881028	2074.0
2003-10-15	94.988439683	94.346625902	100.122949936	98.839322373	50.0
2003-10-16	99.481136155	96.272067247	100.764763718	97.55569481	101.0
2003-10-17	100.122949936	96.272067247	100.122949936	96.272067247	2529.0
2003-10-20	98.839322373	92.421184557	98.839322373	93.70481212	556.0
2003-10-21	94.988439683	91.779370775	94.988439683	91.779370775	1467.0
2003-10-22	92.421184557	92.421184557	96.272067247	94.988439683	455.0
2003-10-24	93.062998338	93.062998338	96.913881028	94.346625902	1011.0
2003-10-27	97.55569481	94.988439683	99.481136155	96.913881028	961.0
2003-10-28	96.913881028	96.913881028	112.959225569	112.959225569	2934.0
2003-10-29	116.168294478	109.108342879	118.093735823	109.108342879	8802.0
2003-10-30	111.033784224	109.750156661	116.168294478	115.526480696	1770.0
2003-10-31	118.093735823	116.810108259	123.228246076	119.377363386	202.0
2003-11-03	121.302804731	119.377363386	123.870059857	120.660990949	505.0
