Date	Price Open	Price Low	Price High	Price Close	Volume
2018-01-08	4.0	4.0	4.0	4.0	1511.0
2018-01-12	3.0	3.0	3.0	3.0	280.0
2018-01-16	4.0	4.0	4.0	4.0	8.0
2018-01-22	4.0	4.0	4.0	4.0	2368.0
2018-01-23	4.0	4.0	4.0	4.0	2.0
2018-02-05	3.0	3.0	3.0	3.0	4.0
2018-03-26	3.0	3.0	3.0	3.0	999.0
2018-03-27	3.0	3.0	3.0	3.0	218.0
2018-03-28	3.0	3.0	3.0	3.0	299.0
2018-04-04	3.0	3.0	3.0	3.0	99.0
2018-04-10	3.0	3.0	3.0	3.0	99.0
2018-04-17	3.0	3.0	3.0	3.0	199.0
2018-04-18	3.0	3.0	3.0	3.0	114.0
2018-04-19	3.0	3.0	3.0	3.0	199.0
2018-04-20	2.0	2.0	2.0	2.0	199.0
2018-04-23	3.0	3.0	3.0	3.0	38.0
2018-04-24	2.0	2.0	2.0	2.0	1689.0
2018-05-04	3.0	3.0	3.0	3.0	19.0
2018-05-11	3.0	3.0	4.0	4.0	426.0
2018-05-14	3.0	2.0	3.0	2.0	11.0
2018-05-15	3.0	3.0	3.0	3.0	1768.0
2018-05-18	4.0	2.0	4.0	2.0	2.0
2018-05-23	3.0	3.0	3.0	3.0	1.0
2018-05-24	3.0	3.0	3.0	3.0	99.0
2018-06-12	3.0	3.0	3.0	3.0	1666.0
2018-06-14	3.0	3.0	3.0	3.0	166.0
2018-07-24	3.0	3.0	3.0	3.0	199.0
2018-10-04	3.0	3.0	3.0	3.0	399.0
2018-10-05	4.0	4.0	4.0	4.0	20.0
2018-11-01	4.0	4.0	4.0	4.0	29.0
2018-11-02	4.0	4.0	4.0	4.0	49.0
2018-11-07	3.8	3.8	3.8	3.8	2900.0
2020-03-19	0.55	0.55	0.55	0.55	100.0
2020-08-25	1.39	1.39	1.39	1.39	1500.0
2021-02-24	0.79	0.79	0.79	0.79	1000000.0
2021-03-24	0.95	0.95	0.95	0.95	199000.0
2021-05-21	0.93	0.93	0.93	0.93	1000000.0
2021-07-23	0.88	0.85	0.88	0.85	1600.0
