Date	Price Open	Price Low	Price High	Price Close	Volume
2014-08-07	3.304313566	2.643450853	3.457291046	2.643450853	1236589039
2014-08-08	2.66792725	2.582259861	2.765832837	2.606736258	206528764
2014-08-13	2.643450853	2.36197229	2.655689052	2.36197229	99681829
2014-08-14	2.398686885	2.325257695	2.472116076	2.398686885	102065676
2014-08-15	2.398686885	2.36197229	2.496592472	2.410925084	55590698
2014-08-18	2.423163282	2.423163282	2.508830671	2.459877877	44355711
2014-08-19	2.484354274	2.398686885	2.484354274	2.398686885	23211749
2014-08-20	2.410925084	2.398686885	2.472116076	2.410925084	20565935
2014-08-21	2.43540148	2.398686885	2.447639679	2.410925084	13256689
2014-08-22	2.43540148	2.398686885	2.459877877	2.398686885	19047574
2014-08-25	2.410925084	2.36197229	2.43540148	2.374210488	21381251
2014-08-26	2.386448687	2.36197229	2.43540148	2.36197229	21323726
2014-08-27	2.374210488	2.349734092	2.398686885	2.349734092	9678548
2014-08-28	2.374210488	2.349734092	2.472116076	2.386448687	65089645
2014-08-29	2.398686885	2.386448687	2.447639679	2.410925084	15459628
2014-09-01	2.423163282	2.386448687	2.43540148	2.386448687	11763332
2014-09-02	2.447639679	2.43540148	2.631212655	2.582259861	215102739
2014-09-03	2.606736258	2.496592472	2.618974456	2.496592472	53442670
2014-09-04	2.521068869	2.447639679	2.521068869	2.472116076	23745978
2014-09-05	2.472116076	2.447639679	2.496592472	2.447639679	10943113
2014-09-08	2.472116076	2.447639679	2.545545266	2.496592472	27607658
2014-09-09	2.508830671	2.459877877	2.508830671	2.459877877	16149435
2014-09-10	2.459877877	2.447639679	2.484354274	2.447639679	9867465
2014-09-11	2.459877877	2.398686885	2.472116076	2.398686885	25650344
2014-09-12	2.410925084	2.374210488	2.410925084	2.374210488	10041510
2014-09-15	2.423163282	2.386448687	2.43540148	2.386448687	6919809
2014-09-16	2.398686885	2.349734092	2.398686885	2.36197229	12001276
2014-09-17	2.374210488	2.337495893	2.386448687	2.349734092	9114576
2014-09-18	2.374210488	2.349734092	2.398686885	2.36197229	8301875
2014-09-19	2.398686885	2.349734092	2.398686885	2.349734092	7818471
2014-09-22	2.349734092	2.325257695	2.36197229	2.337495893	5494763
2014-09-23	2.337495893	2.325257695	2.36197229	2.337495893	4577307
2014-09-24	2.386448687	2.386448687	2.508830671	2.447639679	119284060
2014-09-25	2.459877877	2.423163282	2.472116076	2.423163282	24312892
2014-09-26	2.472116076	2.43540148	2.484354274	2.43540148	18992011
2014-09-29	2.447639679	2.423163282	2.521068869	2.447639679	54439385
2014-09-30	2.447639679	2.43540148	2.484354274	2.43540148	17430670
2014-10-01	2.447639679	2.43540148	2.582259861	2.570021663	134651355
2014-10-03	2.43540148	2.349734092	2.459877877	2.423163282	32598098
2014-10-06	2.459877877	2.325257695	2.459877877	2.325257695	20263276
2014-10-07	2.349734092	2.141684719	2.36197229	2.251828505	12327468
2014-10-08	2.227352108	2.202875711	2.264066703	2.227352108	7893318
2014-10-09	2.251828505	2.239590306	2.2885431	2.2885431	9681326
2014-10-10	2.239590306	2.239590306	2.2885431	2.2885431	4346064
2014-10-13	2.264066703	2.239590306	2.2885431	2.239590306	3304571
2014-10-14	2.251828505	2.239590306	2.276304901	2.239590306	3919694
2014-10-15	2.251828505	2.251828505	2.337495893	2.251828505	14040301
2014-10-16	2.239590306	2.178399314	2.251828505	2.202875711	8569725
2014-10-17	2.202875711	2.153922917	2.227352108	2.190637513	3960386
2014-10-20	2.215113909	2.141684719	2.215113909	2.141684719	5983233
2014-10-21	2.153922917	2.117208322	2.166161116	2.129446521	2636826
2014-10-22	2.141684719	2.117208322	2.166161116	2.117208322	2776062
2014-10-24	2.141684719	2.117208322	2.178399314	2.141684719	5397036
2014-10-27	2.166161116	2.141684719	2.215113909	2.202875711	4639408
2014-10-28	2.227352108	2.178399314	2.239590306	2.190637513	6111193
2014-10-29	2.202875711	2.190637513	2.337495893	2.276304901	26712428
2014-10-30	2.300781298	2.251828505	2.349734092	2.251828505	18136166
2014-10-31	2.276304901	2.227352108	2.300781298	2.239590306	7446030
2014-11-03	2.2885431	2.190637513	2.2885431	2.190637513	6712262
2014-11-04	2.190637513	2.166161116	2.202875711	2.166161116	4937818
2014-11-05	2.178399314	2.092731925	2.178399314	2.117208322	8967169
2014-11-06	2.117208322	2.117208322	2.239590306	2.141684719	16992697
2014-11-07	2.166161116	2.129446521	2.190637513	2.129446521	6094687
2014-11-10	2.129446521	2.092731925	2.141684719	2.092731925	4669968
2014-11-11	2.117208322	2.068255529	2.117208322	2.068255529	4691376
2014-11-12	2.080493727	2.043779132	2.092731925	2.043779132	3344773
2014-11-13	2.05601733	1.98258814	2.080493727	2.043779132	6552108
2014-11-14	2.068255529	2.043779132	2.080493727	2.068255529	4053210
2014-11-17	2.080493727	2.031540933	2.080493727	2.043779132	3684529
2014-11-18	2.043779132	2.043779132	2.215113909	2.153922917	32356559
2014-11-19	2.190637513	2.178399314	2.2885431	2.178399314	69715653
2014-11-20	2.153922917	2.092731925	2.190637513	2.092731925	10637840
2014-11-21	2.104970124	2.080493727	2.178399314	2.092731925	12238566
2014-11-24	2.080493727	2.043779132	2.104970124	2.043779132	4995343
2014-11-25	2.043779132	2.031540933	2.080493727	2.043779132	2126947
2014-11-26	2.05601733	2.019302735	2.068255529	2.043779132	2290206
2014-11-27	2.043779132	2.019302735	2.043779132	2.031540933	2276969
2014-11-28	2.043779132	2.043779132	2.104970124	2.05601733	4183458
2014-12-01	2.05601733	2.031540933	2.05601733	2.031540933	1974473
2014-12-02	2.080493727	2.05601733	2.129446521	2.080493727	9255283
2014-12-03	2.080493727	2.068255529	2.215113909	2.129446521	21177626
2014-12-04	2.104970124	2.104970124	2.153922917	2.104970124	4631073
2014-12-08	2.129446521	2.007064537	2.129446521	2.007064537	3536468
2014-12-09	2.080493727	2.019302735	2.080493727	2.031540933	3392165
2014-12-11	2.031540933	1.945873545	2.031540933	1.98258814	3594483
2014-12-12	1.970349941	1.933635346	1.994826338	1.945873545	2424866
2014-12-15	1.884682553	1.60320399	1.896920751	1.75006237	6150251
2014-12-16	1.713347775	1.67663318	1.762300569	1.737824172	3269598
2014-12-17	1.774538767	1.737824172	1.835729759	1.762300569	8219837
2014-12-18	1.823491561	1.774538767	1.835729759	1.811253362	3221225
2014-12-19	1.823491561	1.774538767	1.823491561	1.774538767	1722475
2014-12-22	1.774538767	1.774538767	1.835729759	1.811253362	3487604
2014-12-23	1.835729759	1.823491561	1.909158949	1.835729759	7401743
2014-12-24	1.860206156	1.823491561	1.872444354	1.823491561	973509
2014-12-25	1.811253362	1.762300569	1.811253362	1.762300569	1487964
2014-12-26	1.75006237	1.75006237	1.786776966	1.762300569	1543200
2014-12-29	1.774538767	1.762300569	1.774538767	1.762300569	376852
2014-12-30	1.75006237	1.688871378	1.762300569	1.688871378	893432
2015-01-05	1.688871378	1.688871378	1.725585974	1.701109577	586687
2015-01-06	1.688871378	1.688871378	1.713347775	1.713347775	619045
2015-01-07	1.713347775	1.701109577	1.774538767	1.75006237	1591083
2015-01-08	1.75006237	1.75006237	1.860206156	1.786776966	6723375
2015-01-09	1.786776966	1.786776966	1.860206156	1.799015164	4617509
2015-01-12	1.799015164	1.786776966	1.860206156	1.860206156	4319099
2015-01-13	1.872444354	1.847967958	1.909158949	1.872444354	5198150
2015-01-14	1.896920751	1.835729759	1.945873545	1.835729759	6854276
2015-01-15	1.860206156	1.847967958	1.896920751	1.847967958	2262914
2015-01-16	1.835729759	1.823491561	1.860206156	1.835729759	1623768
2015-01-19	1.835729759	1.823491561	1.884682553	1.835729759	1232207
2015-01-20	1.835729759	1.835729759	2.117208322	2.080493727	62540904
2015-01-21	2.117208322	1.970349941	2.129446521	1.970349941	30147901
2015-01-22	1.994826338	1.970349941	2.031540933	1.970349941	6853296
2015-01-23	1.98258814	1.921397148	1.994826338	1.933635346	2568188
2015-01-26	1.933635346	1.933635346	2.007064537	1.933635346	2758902
2015-01-27	1.945873545	1.933635346	2.080493727	2.019302735	26630063
2015-01-28	2.019302735	1.970349941	2.019302735	1.98258814	6653103
2015-01-29	2.007064537	2.007064537	2.043779132	2.007064537	7813404
2015-01-30	2.031540933	1.98258814	2.05601733	1.98258814	6647220
2015-02-02	1.970349941	1.933635346	2.019302735	1.958111743	4203723
2015-02-03	1.945873545	1.921397148	1.98258814	1.933635346	5153372
2015-02-04	1.945873545	1.933635346	1.958111743	1.933635346	2102270
2015-02-05	1.945873545	1.896920751	1.945873545	1.945873545	1815463
2015-02-06	1.933635346	1.933635346	2.019302735	2.007064537	7015738
2015-02-09	2.007064537	1.994826338	2.092731925	2.007064537	21234661
2015-02-10	2.019302735	1.994826338	2.031540933	2.007064537	1829517
2015-02-11	2.019302735	2.019302735	2.092731925	2.043779132	16546226
2015-02-12	2.068255529	2.031540933	2.104970124	2.043779132	16210065
2015-02-13	2.043779132	2.007064537	2.05601733	2.007064537	5611283
2015-02-16	2.031540933	1.994826338	2.043779132	1.994826338	4158128
2015-02-17	2.104970124	2.031540933	2.141684719	2.031540933	26857057
2015-02-18	2.043779132	2.031540933	2.104970124	2.043779132	8610417
2015-02-19	2.043779132	2.031540933	2.068255529	2.031540933	2314066
2015-02-20	2.05601733	2.019302735	2.080493727	2.068255529	5690380
2015-02-23	2.068255529	2.007064537	2.068255529	2.019302735	4004184
2015-02-24	2.019302735	2.007064537	2.019302735	2.019302735	1215701
2015-02-25	2.031540933	1.98258814	2.043779132	1.994826338	3777843
2015-02-26	1.98258814	1.896920751	1.98258814	1.933635346	4706248
2015-02-27	1.933635346	1.933635346	1.98258814	1.958111743	1642071
2015-03-02	1.945873545	1.933635346	1.958111743	1.933635346	813681
2015-03-03	1.945873545	1.847967958	1.945873545	1.847967958	2199343
