Date	Price Open	Price Low	Price High	Price Close	Volume
2015-02-25	15.0	14.9	15.9	15.9	158424500
2015-02-26	15.8	13.7	16.0	13.9	93094900
2015-02-27	14.1	12.5	14.2	12.8	30290100
2015-03-02	12.3	11.2	12.5	11.2	28271400
2015-03-03	11.5	11.4	14.4	13.5	115702000
2015-03-05	13.8	13.3	16.2	14.0	136459600
2015-03-06	14.0	13.5	14.6	13.5	22685600
2015-03-09	13.2	12.3	13.6	12.6	8493200
2015-03-10	12.5	11.8	12.6	12.0	4293100
2015-03-11	11.8	11.8	13.3	13.3	10580200
2015-03-12	13.2	12.4	13.2	12.5	4832300
2015-03-13	12.5	11.7	12.6	12.0	5430400
2015-03-16	11.9	10.8	11.9	11.1	5350900
2015-03-17	11.9	10.4	11.9	10.5	9548200
2015-03-18	10.4	9.85	10.5	10.2	6102700
2015-03-19	10.3	10.1	10.8	10.3	4308900
2015-03-20	10.2	9.7	10.3	10.0	3927900
2015-03-23	10.1	9.75	10.3	9.85	1934600
2015-03-24	9.7	8.5	9.75	9.4	2241700
2015-03-25	9.4	9.2	9.8	9.7	1139700
2015-03-26	9.5	9.35	9.65	9.4	766700
2015-03-27	9.3	9.15	9.5	9.35	358200
2015-03-30	9.65	9.35	9.65	9.55	485200
2015-03-31	9.6	9.6	10.2	10.1	3902500
2015-04-01	10.0	9.95	10.6	10.1	3964100
2015-04-02	10.2	9.7	10.2	9.7	2866300
2015-04-03	9.75	9.75	10.4	10.4	2665900
2015-04-07	10.5	10.1	10.5	10.3	1162600
2015-04-08	10.3	10.0	10.3	10.1	850400
2015-04-09	10.2	10.0	10.3	10.0	627800
2015-04-10	10.2	10.0	10.2	10.1	814600
2015-04-16	10.2	10.2	11.4	11.4	8959200
2015-04-17	11.2	10.7	11.5	11.5	4786800
2015-04-20	11.4	11.1	11.8	11.2	5188700
2015-04-21	11.3	11.2	11.7	11.3	5990500
2015-04-22	11.4	11.3	12.2	12.1	26327000
2015-04-23	12.0	11.4	12.0	11.6	10424700
2015-04-24	11.7	11.2	11.7	11.4	4294700
2015-04-27	11.2	10.8	11.3	10.9	2753100
2015-04-28	10.8	10.5	11.4	10.5	5632900
2015-04-29	10.5	10.5	10.8	10.6	2318500
2015-04-30	10.7	10.6	10.9	10.6	1211900
2015-05-06	10.7	9.95	10.7	10.0	2438700
