Date	Price Open	Price Low	Price High	Price Close	Volume
2014-04-24	23.0	23.0	23.1	23.1	1000.0
2014-04-25	23.1	23.1	23.3	23.3	1000.0
2014-04-28	23.3	23.1	23.3	23.1	900.0
2014-04-29	23.1	22.9	23.1	22.9	900.0
2014-04-30	22.9	22.9	23.1	23.1	1000.0
2014-05-02	23.1	23.1	23.2	23.2	1100.0
2014-05-06	23.2	23.2	23.4	23.3	1100.0
2014-05-07	23.3	23.3	23.4	23.3	2400.0
2014-05-08	23.3	23.1	23.4	23.1	2500.0
2014-05-09	23.1	23.1	23.2	23.2	900.0
2014-05-12	23.2	23.2	23.3	23.3	1000.0
2014-05-14	23.3	23.3	23.4	23.4	1100.0
2014-05-15	23.4	23.4	23.5	23.4	1000.0
2014-05-16	23.4	23.4	23.5	23.5	900.0
2014-05-19	23.5	23.5	23.6	23.6	900.0
2014-05-20	23.4	23.4	23.6	23.6	1200.0
2014-05-21	23.6	23.4	23.6	23.4	1000.0
2014-05-22	23.4	23.4	23.5	23.5	800.0
2014-05-23	23.5	23.3	23.5	23.3	900.0
2014-05-26	23.3	23.3	23.4	23.4	900.0
2014-05-27	23.4	23.4	23.6	23.6	900.0
2014-05-28	23.6	23.5	23.7	23.7	1100.0
2014-05-29	23.7	23.7	23.8	23.7	1000.0
2014-05-30	23.7	23.5	23.7	23.5	1100.0
2014-06-02	23.5	23.3	23.5	23.3	1000.0
2014-06-03	23.3	23.3	23.5	23.5	900.0
2014-06-04	23.5	23.5	23.7	23.7	900.0
2014-06-05	23.7	23.6	23.7	23.6	900.0
2014-06-06	23.6	23.4	23.7	23.4	1300.0
2014-06-09	23.4	23.2	23.4	23.2	1100.0
2014-06-10	23.2	23.1	23.2	23.1	1000.0
2014-06-11	23.1	22.9	23.1	22.9	1300.0
2014-06-12	22.9	22.9	23.1	23.1	1300.0
2014-06-13	23.1	23.1	23.2	23.1	800.0
2014-06-16	23.1	23.0	23.1	23.0	800.0
2014-06-17	23.0	23.0	23.1	23.1	900.0
2014-06-18	23.1	23.0	23.1	23.0	800.0
2014-06-19	23.0	23.0	23.2	23.2	900.0
2014-06-20	23.2	23.2	23.4	23.4	1000.0
2014-06-23	23.4	23.2	23.4	23.2	900.0
