Date	Price Open	Price Low	Price High	Price Close	Volume
2020-11-11	1.887561281	1.374144613	1.978164223	1.411895838	426567800
2020-11-12	1.411895838	1.343943632	1.457197309	1.351493877	162374300
2020-11-13	1.359044123	1.343943632	1.419446084	1.381694858	113773500
2020-11-16	1.389245103	1.366594368	1.411895838	1.366594368	45492000
2020-11-17	1.374144613	1.351493877	1.389245103	1.359044123	20134200
2020-11-18	1.359044123	1.359044123	1.479848045	1.479848045	206907700
2020-11-19	1.464747554	1.464747554	1.600651967	1.540250006	175422400
2020-11-20	1.555350496	1.525149515	1.585551476	1.540250006	74562100
2020-11-23	1.555350496	1.479848045	1.570450986	1.510049025	58732100
2020-11-24	1.525149515	1.510049025	1.570450986	1.525149515	45740500
2020-11-25	1.555350496	1.525149515	1.615752457	1.540250006	99981400
2020-11-26	1.555350496	1.510049025	1.555350496	1.525149515	20489200
2020-11-27	1.525149515	1.479848045	1.555350496	1.48739829	32021900
2020-11-30	1.494948535	1.479848045	1.540250006	1.494948535	32706800
2020-12-01	1.50249878	1.494948535	1.540250006	1.525149515	47661100
2020-12-02	1.555350496	1.50249878	1.570450986	1.50249878	41076000
2020-12-03	1.525149515	1.50249878	1.525149515	1.50249878	13194000
2020-12-04	1.50249878	1.50249878	1.540250006	1.510049025	21306100
2020-12-08	1.510049025	1.48739829	1.510049025	1.510049025	24185700
2020-12-09	1.50249878	1.472297799	1.525149515	1.472297799	21873600
2020-12-14	1.472297799	1.396795348	1.48739829	1.396795348	34947300
2020-12-15	1.404345593	1.396795348	1.449647064	1.426996329	15965300
2020-12-16	1.426996329	1.411895838	1.442096819	1.426996329	6549100
2020-12-17	1.426996329	1.426996329	1.479848045	1.449647064	25320300
2020-12-18	1.449647064	1.434546574	1.472297799	1.434546574	10472000
2020-12-21	1.374144613	1.336393387	1.411895838	1.336393387	21701400
2020-12-22	1.328843142	1.313742652	1.366594368	1.343943632	14373300
2020-12-23	1.343943632	1.336393387	1.374144613	1.343943632	6441900
2020-12-24	1.343943632	1.336393387	1.359044123	1.359044123	8037900
2020-12-25	1.359044123	1.343943632	1.374144613	1.359044123	3711700
2020-12-28	1.351493877	1.298642162	1.389245103	1.298642162	10187500
2020-12-29	1.306192407	1.306192407	1.336393387	1.321292897	4649000
2020-12-30	1.328843142	1.321292897	1.374144613	1.366594368	16350200
2021-01-04	1.328843142	1.328843142	1.366594368	1.343943632	5987400
2021-01-05	1.343943632	1.321292897	1.351493877	1.328843142	9154000
2021-01-06	1.336393387	1.321292897	1.343943632	1.321292897	5979000
2021-01-07	1.328843142	1.321292897	1.343943632	1.336393387	9803100
2021-01-08	1.343943632	1.328843142	1.374144613	1.351493877	15841300
2021-01-11	1.359044123	1.351493877	1.419446084	1.419446084	40184100
2021-01-12	1.434546574	1.434546574	1.50249878	1.48739829	68904000
2021-01-13	1.494948535	1.494948535	1.540250006	1.510049025	38651300
2021-01-14	1.510049025	1.510049025	1.555350496	1.540250006	28007600
2021-01-15	1.540250006	1.494948535	1.555350496	1.540250006	18795500
2021-01-18	1.525149515	1.50249878	1.555350496	1.510049025	14580000
2021-01-19	1.525149515	1.50249878	1.540250006	1.525149515	9632400
2021-01-20	1.525149515	1.494948535	1.540250006	1.525149515	14394600
2021-01-21	1.525149515	1.494948535	1.525149515	1.494948535	10731500
2021-01-22	1.48739829	1.472297799	1.525149515	1.494948535	13682200
2021-01-25	1.50249878	1.472297799	1.50249878	1.472297799	3418300
2021-01-26	1.479848045	1.449647064	1.479848045	1.449647064	8967400
2021-01-27	1.457197309	1.434546574	1.464747554	1.434546574	4448400
2021-01-28	1.442096819	1.442096819	1.50249878	1.494948535	36392600
2021-01-29	1.525149515	1.479848045	1.540250006	1.494948535	33362800
2021-02-01	1.48739829	1.479848045	1.510049025	1.48739829	17264000
2021-02-02	1.48739829	1.479848045	1.525149515	1.525149515	19190000
2021-02-03	1.525149515	1.510049025	1.570450986	1.525149515	42659000
2021-02-04	1.555350496	1.540250006	1.645953437	1.630852947	93559100
2021-02-05	1.676154418	1.661053928	1.706355398	1.676154418	53730900
2021-02-08	1.661053928	1.555350496	1.676154418	1.585551476	40532800
2021-02-09	1.600651967	1.570450986	1.645953437	1.630852947	22633000
2021-02-10	1.645953437	1.615752457	1.721455889	1.615752457	42507900
2021-02-11	1.645953437	1.585551476	1.661053928	1.615752457	16368500
2021-02-15	1.630852947	1.585551476	1.661053928	1.630852947	14894600
2021-02-16	1.615752457	1.570450986	1.615752457	1.570450986	8845200
2021-02-17	1.570450986	1.540250006	1.615752457	1.600651967	14276200
2021-02-18	1.600651967	1.585551476	1.645953437	1.585551476	17336900
2021-02-19	1.585551476	1.570450986	1.751656869	1.706355398	78153300
2021-02-22	1.751656869	1.630852947	1.766757359	1.661053928	29259300
2021-02-23	1.721455889	1.721455889	2.159370106	2.159370106	180743600
2021-02-24	2.355676479	2.189571086	2.582183833	2.234872557	260887800
2021-02-25	2.280174028	2.098968145	2.325475499	2.129169125	40623100
2021-03-01	2.129169125	2.053666674	2.446279421	2.370776969	101075500
2021-03-02	2.310375008	2.310375008	2.43117893	2.340575989	47213600
2021-03-03	2.370776969	2.280174028	2.41607844	2.355676479	44800700
2021-03-04	2.340575989	2.325475499	2.40097795	2.340575989	22415800
2021-03-05	2.340575989	2.325475499	2.521781872	2.38587746	82517700
2021-03-08	2.41607844	2.310375008	2.612384813	2.38587746	97986500
2021-03-09	2.40097795	2.355676479	2.476480401	2.355676479	43065000
2021-03-10	2.43117893	2.340575989	2.446279421	2.40097795	21444000
2021-03-11	2.41607844	2.370776969	2.446279421	2.38587746	18994100
2021-03-12	2.40097795	2.38587746	2.41607844	2.40097795	10090500
2021-03-15	2.41607844	2.41607844	2.491580891	2.491580891	33765900
2021-03-16	2.582183833	2.567083343	3.156002462	2.98989707	212837600
2021-03-17	3.125801482	2.959696089	3.246605404	2.98989707	117180000
2021-03-18	3.095600501	3.050299031	3.140901972	3.065399521	34181200
2021-03-19	3.050299031	3.02009805	3.110700992	3.065399521	24349900
2021-03-22	3.080500011	2.98989707	3.125801482	3.050299031	43599400
2021-03-23	3.065399521	3.00499756	3.095600501	3.00499756	13413700
2021-03-24	3.02009805	3.00499756	3.065399521	3.02009805	18202000
2021-03-25	3.03519854	3.02009805	3.261705894	3.065399521	110496400
2021-03-26	3.140901972	3.080500011	3.760022072	3.760022072	221200500
2021-03-29	3.62411766	3.246605404	3.699620111	3.473112758	45495400
2021-03-30	3.473112758	3.412710797	3.488213248	3.442911777	7025800
2021-03-31	3.442911777	3.442911777	3.59391668	3.488213248	15907400
2021-04-01	3.488213248	3.473112758	4.265888496	4.152634819	43506200
2021-04-02	4.001629916	3.812873788	4.22813727	4.22813727	21279300
2021-04-05	4.265888496	3.926127465	4.303639721	4.114883593	14444600
2021-04-07	4.001629916	3.926127465	4.077132368	4.077132368	7541000
2021-04-08	4.039381142	4.001629916	4.265888496	4.152634819	8394200
2021-04-09	4.114883593	3.714720602	4.190386045	3.850625014	21157900
2021-04-12	3.850625014	3.563715699	3.926127465	3.669419131	12238200
2021-04-16	3.60901717	3.473112758	3.684519621	3.684519621	9585200
2021-04-19	3.760022072	3.744921582	4.114883593	4.114883593	15274700
2021-04-20	4.152634819	3.88837624	4.303639721	4.077132368	15422800
2021-04-21	4.001629916	4.001629916	4.643400752	4.530147075	35988000
2021-04-22	4.567898301	4.454644624	4.869908106	4.83215688	19373000
2021-04-23	4.681151978	4.49239585	4.756654429	4.643400752	16024700
2021-04-26	4.605649526	4.379142173	4.718903203	4.718903203	16916000
2021-04-27	4.5789492	4.5394755	4.7763177	4.5789492	9819300
