Date	Price Open	Price Low	Price High	Price Close	Volume
2010-06-15	13.52	15.12	16.08	15.84	2140250.0
2010-06-16	13.52	15.52	16.32	15.68	2446625.0
2010-06-17	12.72	15.2	16.0	15.52	2606750.0
2010-06-18	12.8	15.36	15.68	15.68	1161250.0
2010-06-21	12.56	15.44	15.92	15.44	1792250.0
2010-06-22	12.0	15.28	15.68	15.52	2118875.0
2010-06-23	11.84	15.44	15.6	15.44	1278875.0
2010-06-24	12.24	15.44	16.16	15.84	4957000.0
2010-06-25	12.08	15.6	16.32	16.32	3180000.0
2010-06-28	12.4	16.16	16.48	16.24	616500.0
2010-06-29	12.24	15.84	16.4	15.92	1820625.0
2010-06-30	12.48	15.68	16.08	15.68	560625.0
2010-07-02	12.16	15.52	15.84	15.76	416250.0
2010-07-05	12.72	15.68	15.92	15.92	533375.0
2010-07-06	12.24	15.52	16.0	15.68	993000.0
2010-07-07	12.24	15.12	15.68	15.52	972500.0
2010-07-08	12.16	15.68	16.0	15.68	543250.0
2010-07-09	12.32	15.68	15.92	15.68	332875.0
2010-07-12	12.48	15.6	15.76	15.68	367625.0
2010-07-13	12.24	15.44	15.84	15.68	243625.0
2010-07-14	11.84	15.44	15.76	15.52	371875.0
2010-07-15	11.92	15.44	15.68	15.52	757375.0
2010-07-16	11.84	15.6	15.84	15.76	1531750.0
2010-07-19	11.76	15.52	15.76	15.76	791125.0
2010-07-20	11.6	15.68	16.16	15.76	1171000.0
2010-07-21	11.68	15.84	16.48	16.24	1817375.0
2010-07-22	11.36	16.08	16.48	16.08	957875.0
2010-07-23	10.96	16.4	16.96	16.8	3100125.0
2010-07-27	10.8	16.72	17.12	16.72	724625.0
2010-07-28	10.72	16.64	16.8	16.8	978250.0
2010-07-29	10.72	16.64	17.04	17.04	1352500.0
2010-07-30	10.56	16.48	16.8	16.72	855625.0
2010-08-02	10.64	16.88	17.12	17.12	339625.0
2010-08-03	10.56	17.28	17.84	17.84	851125.0
2010-08-04	10.64	18.48	20.0	19.6	1799500.0
2010-08-05	10.4	19.52	20.2	19.52	1613875.0
2010-08-06	10.4	18.8	19.68	18.88	627625.0
2010-08-09	10.48	18.72	18.96	18.88	761625.0
2010-08-10	10.56	18.64	19.2	18.8	573375.0
2010-08-11	10.96	18.8	19.28	18.8	249250.0
2010-08-16	10.88	18.64	18.8	18.8	353750.0
