Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	11.5	11.25	11.5	11.5	57100.0
2000-01-05	11.25	11.0	11.5	11.0	226800.0
2000-01-06	11.0	10.75	11.0	10.75	67600.0
2000-01-07	11.25	10.75	11.25	10.75	34200.0
2000-01-10	10.75	10.75	10.75	10.75	55600.0
2000-01-11	10.75	10.0	10.75	10.0	143000.0
2000-01-12	10.0	10.0	10.75	10.5	117000.0
2000-01-13	10.5	10.25	10.5	10.25	10000.0
2000-01-14	10.5	10.5	10.75	10.75	140400.0
2000-01-17	10.75	10.5	10.75	10.75	6000.0
2000-01-18	10.75	10.75	11.5	10.75	209300.0
2000-01-19	11.0	11.0	11.25	11.25	107800.0
2000-01-20	11.5	11.5	11.75	11.5	253200.0
2000-01-21	11.5	11.25	11.5	11.25	86000.0
2000-01-24	11.25	11.0	11.5	11.25	38100.0
2000-01-25	11.0	11.0	11.0	11.0	11900.0
2000-01-26	11.25	11.0	11.25	11.0	6000.0
2000-01-27	11.0	11.0	11.25	11.0	17600.0
2000-01-28	11.25	11.0	11.25	11.0	44900.0
2000-01-31	11.25	11.25	11.5	11.25	15000.0
2000-02-01	11.25	11.25	11.25	11.25	20000.0
2000-02-02	11.25	11.0	11.25	11.0	58000.0
2000-02-03	11.0	10.5	11.0	10.5	115000.0
2000-02-04	10.75	10.75	10.75	10.75	2000.0
2000-02-07	11.0	10.75	11.25	11.0	41500.0
2000-02-08	11.0	11.0	11.25	11.25	15000.0
2000-02-09	11.0	10.75	11.0	10.75	34000.0
2000-02-10	10.5	10.5	10.75	10.5	9500.0
2000-02-11	10.75	10.5	10.75	10.75	56000.0
2000-02-14	10.75	10.5	10.75	10.5	17400.0
2000-02-15	10.75	10.25	10.75	10.25	24600.0
2000-02-17	10.5	10.0	10.5	10.0	73500.0
2000-02-18	10.0	9.9	10.0	10.0	35000.0
2000-02-22	10.25	9.9	10.25	9.9	16400.0
2000-02-23	10.0	9.9	10.0	9.9	20800.0
2000-02-24	10.0	10.0	10.0	10.0	24500.0
2000-02-25	10.25	10.25	10.25	10.25	16000.0
2000-02-28	10.25	9.8	10.25	9.8	54400.0
2000-02-29	9.9	9.6	9.9	9.6	33700.0
2000-03-01	9.6	9.5	9.6	9.5	6300.0
2000-03-02	9.5	9.5	9.8	9.7	23000.0
2000-03-03	9.7	9.6	9.8	9.6	10000.0
2000-03-06	9.5	9.3	9.5	9.3	18500.0
2000-03-07	9.3	9.2	9.3	9.3	28500.0
2000-03-08	9.3	9.3	9.3	9.3	8000.0
2000-03-09	9.3	9.2	9.8	9.8	11700.0
2000-03-10	9.6	9.6	9.6	9.6	4000.0
2000-03-15	9.5	9.4	9.5	9.4	9400.0
2000-03-16	9.4	9.4	9.4	9.4	5000.0
2000-03-17	9.7	9.4	9.7	9.7	9200.0
2000-03-20	9.9	9.7	9.9	9.7	4300.0
2000-03-21	9.6	9.6	9.6	9.6	8300.0
2000-03-22	9.7	9.5	9.7	9.6	61600.0
2000-03-27	9.5	9.5	9.6	9.6	18000.0
2000-03-28	9.8	9.8	10.5	9.9	161900.0
2000-03-29	10.0	10.0	11.25	11.0	353300.0
2000-03-30	11.25	9.9	11.75	9.9	470700.0
2000-03-31	10.0	10.0	10.25	10.0	75100.0
2000-04-03	9.5	9.3	9.5	9.3	4000.0
2000-04-04	9.3	9.2	9.5	9.2	32200.0
2000-04-05	9.3	9.2	9.3	9.2	25500.0
2000-04-07	9.4	9.3	9.4	9.3	7100.0
2000-04-10	9.3	9.2	9.3	9.2	9000.0
2000-04-11	9.3	9.2	9.3	9.2	9000.0
2000-04-12	9.3	9.3	9.5	9.5	18100.0
2000-04-17	9.0	9.0	9.0	9.0	400.0
