Date	Price Open	Price Low	Price High	Price Close	Volume
2022-04-28	116.0	116.0	116.0	116.0	1200.0
2022-05-03	116.0	116.0	118.0	118.0	3100.0
2022-05-05	118.5	116.5	118.5	117.0	2800.0
2022-05-06	115.0	115.0	115.0	115.0	300.0
2022-05-09	112.5	110.0	112.5	110.0	7300.0
2022-05-10	112.5	112.5	112.5	112.5	3000.0
2022-05-11	112.0	109.5	112.0	111.0	74800.0
2022-05-12	111.5	108.5	111.5	108.5	193100.0
2022-05-13	109.0	107.5	109.5	108.5	117200.0
2022-05-17	106.5	106.5	108.0	107.5	4600.0
2022-05-18	108.5	108.5	108.5	108.5	200.0
2022-05-20	108.5	108.5	109.0	109.0	400.0
2022-05-23	110.5	110.0	114.5	114.5	1600.0
2022-05-24	112.0	112.0	112.0	112.0	200.0
2022-05-25	112.0	110.5	112.0	110.5	5500.0
2022-05-26	109.5	109.5	110.0	109.5	8200.0
2022-05-31	111.5	111.5	111.5	111.5	100.0
2022-06-01	111.5	111.0	111.5	111.5	28400.0
2022-06-06	109.5	108.0	109.5	108.0	3800.0
2022-06-09	113.5	112.0	113.5	112.0	300.0
2022-06-13	108.5	107.5	108.5	107.5	2900.0
2022-06-17	106.5	106.5	106.5	106.5	100.0
2022-06-22	109.0	101.5	109.0	101.5	108400.0
2022-06-23	102.5	102.5	102.5	102.5	100.0
2022-06-27	104.0	104.0	104.0	104.0	1600.0
2022-06-30	106.5	106.5	106.5	106.5	500.0
2022-07-04	103.0	103.0	103.0	103.0	200.0
2022-07-05	101.0	101.0	101.0	101.0	200.0
2022-07-06	100.5	100.5	100.5	100.5	300.0
2022-07-07	99.0	98.75	99.0	98.75	300.0
2022-07-08	100.0	100.0	100.0	100.0	200.0
2022-07-11	100.5	100.5	109.0	109.0	3200.0
2022-07-14	98.5	95.5	98.5	95.5	1800.0
2022-07-15	93.75	93.0	93.75	93.0	600.0
2022-07-18	95.5	95.5	95.5	95.5	100.0
2022-07-19	93.0	91.0	93.0	91.0	800.0
2022-07-20	92.0	90.5	92.0	90.5	300.0
2022-07-21	91.5	91.5	93.0	93.0	300.0
2022-07-22	95.25	95.25	96.75	96.75	300.0
2022-07-25	100.5	100.0	103.0	101.0	6700.0
2022-07-27	98.0	97.5	98.0	97.5	400.0
2022-08-01	100.0	100.0	100.0	100.0	7100.0
2022-08-05	100.0	100.0	101.5	100.5	900.0
2022-08-08	103.0	103.0	104.5	104.5	400.0
2022-08-09	105.5	105.5	105.5	105.5	100.0
2022-08-10	102.5	102.5	102.5	102.5	300.0
2022-08-16	105.0	105.0	105.5	105.5	21300.0
2022-08-17	106.0	106.0	106.0	106.0	700.0
2022-08-22	103.5	103.5	103.5	103.5	100.0
2022-08-24	104.5	104.5	104.5	104.5	300.0
2022-08-25	104.0	104.0	109.5	109.5	2100.0
2022-08-26	111.5	110.5	111.5	110.5	41200.0
2022-08-29	110.0	110.0	110.0	110.0	300.0
2022-08-31	110.0	109.5	110.5	110.0	13000.0
2022-09-05	111.0	111.0	111.0	111.0	1500.0
2022-09-09	116.0	116.0	116.0	116.0	600.0
2022-09-12	112.0	112.0	112.0	112.0	600.0
2022-09-13	111.0	110.5	111.5	111.5	216700.0
2022-09-26	107.0	107.0	107.0	107.0	8200.0
2022-09-27	105.0	105.0	105.0	105.0	2200.0
2022-09-28	103.5	103.0	104.0	104.0	39500.0
2022-09-29	106.0	104.0	106.0	104.5	21500.0
2022-10-03	102.0	102.0	102.0	102.0	40000.0
2022-10-04	103.0	103.0	103.5	103.5	63500.0
2022-10-06	105.0	105.0	105.0	105.0	150900.0
2022-10-10	104.0	104.0	104.0	104.0	17900.0
2022-10-12	102.5	102.0	102.5	102.0	81000.0
2022-10-17	101.5	101.5	101.5	101.5	100.0
2022-10-19	107.0	106.5	107.0	107.0	362500.0
2022-10-20	106.5	106.5	108.0	108.0	400.0
2022-10-25	106.0	105.5	106.0	105.5	104800.0
2022-11-07	107.0	106.5	107.5	107.5	41400.0
2022-11-09	106.0	105.5	106.0	105.5	400.0
2022-11-11	106.0	106.0	106.0	106.0	1100.0
2022-11-16	106.0	106.0	106.0	106.0	1100.0
2022-11-17	105.0	105.0	105.0	105.0	200.0
2022-11-21	105.0	105.0	105.0	105.0	200.0
2022-11-22	105.5	105.5	106.0	105.5	14700.0
2022-12-02	105.0	104.5	105.0	104.5	20200.0
2022-12-06	104.0	104.0	114.5	104.0	500.0
2022-12-13	102.0	102.0	102.0	102.0	700.0
2022-12-30	107.0	107.0	107.0	107.0	500.0
