Date	Price Open	Price Low	Price High	Price Close	Volume
2008-03-03	6.2	4.52	4.78	4.7	42700.0
2008-03-04	5.75	4.46	4.6	4.6	4100.0
2008-03-05	5.6	4.46	4.7	4.7	2700.0
2008-03-06	5.6	3.7	4.8	4.72	2500.0
2008-03-12	5.45	4.3	4.68	4.68	3100.0
2008-03-13	5.65	4.36	4.36	4.36	700.0
2008-03-14	5.35	4.36	4.68	4.36	700.0
2008-03-17	5.1	4.7	4.7	4.7	200.0
2008-03-20	5.1	4.0	4.38	4.38	6200.0
2008-03-25	4.68	4.3	4.6	4.6	5600.0
2008-03-26	4.62	4.58	4.58	4.58	400.0
2008-03-28	3.84	4.14	4.56	4.54	2400.0
2008-04-01	4.4	4.2	4.36	4.36	13800.0
2008-04-02	4.32	4.2	4.38	4.38	16400.0
2008-04-03	4.3	4.36	4.44	4.44	8900.0
2008-04-04	4.36	4.34	4.56	4.4	2400.0
2008-04-08	4.58	4.24	4.4	4.38	3200.0
2008-04-09	4.86	4.3	4.38	4.36	22200.0
2008-04-10	4.9	4.36	4.74	4.68	12000.0
2008-04-11	4.86	4.5	4.68	4.68	1800.0
2008-04-17	5.0	4.3	4.6	4.48	15300.0
2008-04-18	4.98	4.36	4.48	4.48	9400.0
2008-04-21	4.74	4.36	4.42	4.38	69700.0
2008-04-22	4.8	4.4	4.42	4.42	5600.0
2008-04-23	4.78	4.42	4.48	4.48	82200.0
2008-04-24	4.78	4.46	4.5	4.48	100400.0
2008-04-28	4.68	4.5	4.68	4.68	12600.0
2008-04-29	4.72	4.5	4.6	4.6	6700.0
2008-04-30	4.66	4.5	4.6	4.6	8200.0
2008-05-07	4.5	4.44	4.68	4.68	15400.0
2008-05-08	4.48	4.62	4.66	4.64	2500.0
2008-05-09	4.5	4.42	4.6	4.46	5300.0
2008-05-12	4.5	4.34	4.56	4.4	32200.0
2008-05-13	4.42	4.4	4.66	4.66	22600.0
2008-05-14	4.44	4.4	4.44	4.4	10000.0
2008-05-15	4.32	4.36	4.56	4.56	111300.0
2008-05-16	4.06	4.4	4.5	4.48	21300.0
2008-05-21	4.06	4.4	4.54	4.54	42600.0
2008-05-23	4.02	4.46	4.62	4.62	15700.0
2008-05-26	4.0	4.48	4.62	4.62	10000.0
2008-05-29	3.8	4.44	4.54	4.54	16900.0
2008-05-30	3.76	4.58	4.6	4.6	5100.0
2008-06-02	3.7	4.6	4.64	4.64	69000.0
2008-06-06	3.98	4.52	4.6	4.6	83300.0
2008-06-09	3.98	4.42	4.58	4.58	4500.0
2008-06-10	3.98	4.46	4.56	4.56	177300.0
2008-06-11	3.88	4.56	4.58	4.58	5000.0
2008-06-12	3.8	4.5	4.58	4.58	63100.0
2008-06-13	3.82	4.5	4.56	4.5	207900.0
2008-06-16	3.82	4.5	4.58	4.54	80000.0
2008-06-17	3.82	4.5	4.52	4.5	71700.0
2008-06-18	3.82	4.48	4.52	4.52	101600.0
2008-06-19	3.82	4.42	4.48	4.46	132400.0
2008-06-20	3.82	4.42	4.5	4.5	177400.0
2008-06-23	3.8	4.42	4.58	4.58	47500.0
2008-06-25	3.8	4.34	4.5	4.5	5200.0
2008-06-26	3.76	4.4	4.58	4.58	12000.0
2008-06-27	3.72	4.4	4.56	4.56	15500.0
2008-06-30	3.7	4.44	4.56	4.56	5700.0
2008-07-03	3.68	4.42	4.58	4.58	102200.0
2008-07-07	3.68	4.46	4.56	4.56	89600.0
2008-07-08	3.68	4.48	4.56	4.56	13900.0
2008-07-09	3.68	4.48	4.56	4.56	51500.0
2008-07-10	3.66	4.5	4.56	4.56	3800.0
2008-07-11	3.62	4.5	4.56	4.56	14100.0
2008-07-14	3.62	4.44	4.56	4.5	108700.0
2008-07-15	3.56	4.5	4.5	4.5	119200.0
2008-07-16	3.62	4.48	4.52	4.52	101200.0
2008-07-18	3.54	4.44	4.56	4.56	26500.0
2008-07-21	3.52	4.48	4.54	4.54	9000.0
2008-07-22	3.54	4.48	4.52	4.48	6000.0
2008-07-23	3.3	4.54	4.54	4.54	500.0
2008-07-24	3.42	4.5	4.56	4.56	97600.0
2008-07-25	3.48	4.56	4.56	4.56	1000.0
2008-07-28	3.54	4.5	4.56	4.56	55500.0
2008-07-29	3.62	4.46	4.54	4.54	57500.0
2008-07-30	3.6	4.52	4.52	4.52	51200.0
2008-07-31	3.58	4.54	4.54	4.54	14700.0
2008-08-01	3.6	4.52	4.54	4.54	39900.0
2008-08-05	3.6	4.52	4.52	4.52	200000.0
2008-08-06	3.66	4.52	4.54	4.54	36000.0
2008-08-07	3.66	4.52	4.54	4.54	51000.0
2008-08-08	3.64	4.52	4.52	4.52	50600.0
2008-08-11	3.58	4.52	4.54	4.52	4000.0
2008-08-13	3.64	4.52	4.52	4.52	107000.0
2008-08-15	3.58	4.5	4.52	4.52	60000.0
2008-08-19	3.64	4.5	4.52	4.5	90000.0
2008-08-20	3.58	4.5	4.5	4.5	50000.0
2008-08-21	3.58	4.5	4.5	4.5	56000.0
2008-08-25	3.66	4.5	4.5	4.5	27000.0
2008-08-26	3.62	4.48	4.5	4.48	61000.0
2008-09-01	3.66	4.48	4.5	4.48	100000.0
2008-09-02	3.62	4.4	4.56	4.56	1000.0
2008-09-03	3.64	4.56	4.56	4.56	100.0
2008-09-04	3.68	4.5	4.5	4.5	11000.0
2008-09-05	3.64	4.5	4.5	4.5	12000.0
2008-09-08	3.64	4.56	4.56	4.56	50000.0
2008-09-09	3.58	4.5	4.5	4.5	19000.0
2008-09-10	3.62	4.5	4.52	4.52	1500.0
2008-09-11	3.72	4.5	4.5	4.5	50500.0
2008-09-12	3.84	4.5	4.52	4.5	101000.0
2008-09-15	3.92	4.5	4.5	4.5	80000.0
2008-09-16	3.94	4.5	4.5	4.5	50000.0
2008-09-17	4.06	4.46	4.5	4.5	211000.0
2008-09-18	4.04	4.3	4.5	4.5	118000.0
2008-09-19	4.02	4.4	4.52	4.52	121600.0
2008-09-24	3.94	4.54	4.54	4.54	500.0
2008-09-26	3.88	4.46	4.46	4.46	40000.0
2008-09-29	3.82	4.58	4.58	4.58	500.0
2008-10-06	3.68	4.3	4.58	4.58	40000.0
2008-10-07	3.66	4.2	4.52	4.52	17400.0
2008-10-08	3.66	4.22	4.5	4.5	168500.0
2008-10-09	3.68	4.28	4.48	4.48	868100.0
2008-10-10	3.6	4.02	4.4	4.4	30200.0
2008-10-14	3.78	4.38	4.4	4.4	17500.0
2008-10-15	3.66	4.22	4.4	4.24	108400.0
2008-10-16	3.7	4.04	4.4	4.4	10500.0
2008-10-17	3.7	4.28	4.28	4.28	2000.0
2008-10-20	3.7	4.3	4.4	4.38	14100.0
2008-10-21	3.6	4.38	4.46	4.46	89700.0
2008-10-22	3.7	4.02	4.46	4.46	71500.0
2008-10-24	3.6	4.06	4.44	4.44	107400.0
2008-10-27	3.58	4.16	4.2	4.16	41500.0
2008-10-28	3.58	4.1	4.18	4.18	50100.0
2008-10-29	3.54	4.18	4.22	4.22	138700.0
2008-10-30	3.56	4.16	4.26	4.26	3000.0
2008-10-31	3.6	4.16	4.3	4.28	112000.0
2008-11-04	3.72	4.12	4.36	4.36	80300.0
2008-11-05	3.7	4.22	4.36	4.34	18700.0
