Date	Price Open	Price Low	Price High	Price Close	Volume
2019-12-19	1.78869782	1.71990175	1.93611797	1.84766588	178189600
2019-12-20	1.84766588	1.72972976	1.8673219	1.72972976	31562400
2019-12-23	1.72972976	1.71990175	1.75921379	1.72972976	12036800
2019-12-24	1.73955777	1.72972976	1.75921379	1.72972976	10381800
2019-12-25	1.73955777	1.72972976	1.73955777	1.72972976	3589200
2019-12-26	1.73955777	1.72972976	1.7690418	1.72972976	9270200
2019-12-27	1.73955777	1.72972976	1.73955777	1.72972976	1931400
2019-12-30	1.73955777	1.72972976	1.80835384	1.80835384	8299600
2020-01-02	1.79852583	1.77886981	1.83783787	1.83783787	6273000
2020-01-03	1.82800986	1.80835384	1.90663394	1.89680593	14469400
2020-01-06	1.87714991	1.7690418	1.95577399	1.81818185	36211200
2020-01-07	1.85749389	1.80835384	1.8673219	1.84766588	9825800
2020-01-08	1.80835384	1.75921379	1.81818185	1.79852583	4818400
2020-01-09	1.81818185	1.79852583	1.82800986	1.81818185	3691000
2020-01-10	1.82800986	1.77886981	1.82800986	1.77886981	1284200
2020-01-13	1.78869782	1.7690418	1.80835384	1.78869782	3438200
2020-01-14	1.77886981	1.7690418	1.79852583	1.78869782	3009200
2020-01-15	1.77886981	1.75921379	1.80835384	1.75921379	3182400
2020-01-16	1.7690418	1.7690418	1.81818185	1.81818185	1893600
2020-01-17	1.80835384	1.79852583	2.03439807	1.99508603	60426200
2020-01-20	1.99508603	1.97543001	2.1621622	2.0638821	40257000
2020-01-21	2.0638821	2.05405409	2.22113026	2.11302215	42167600
2020-01-22	2.13267817	2.01474205	2.20147424	2.03439807	23833200
2020-01-23	2.05405409	2.04422608	2.10319414	2.08353812	5187800
2020-01-24	2.09336613	2.09336613	2.14250618	2.11302215	2979000
2020-01-27	2.09336613	2.08353812	2.13267817	2.12285016	3871400
2020-01-28	2.11302215	2.05405409	2.14250618	2.12285016	5883400
2020-01-29	2.13267817	2.12285016	2.28009832	2.24078628	16202400
