Date	Price Open	Price Low	Price High	Price Close	Volume
2020-10-29	3.72	3.66	3.94	3.66	207405700
2020-10-30	3.74	3.72	4.22	4.06	154247200
2020-11-02	4.08	3.96	4.72	4.04	141395200
2020-11-03	4.08	3.96	4.24	4.0	40989500
2020-11-04	4.06	3.98	4.12	4.04	21887100
2020-11-05	4.1	4.02	4.12	4.06	10833700
2020-11-06	4.06	3.88	4.08	3.92	5597000
2020-11-09	3.98	3.94	4.1	4.08	9589700
2020-11-10	4.0	3.86	4.0	3.88	7297200
2020-11-11	3.86	3.84	3.98	3.88	3442700
2020-11-12	3.9	3.9	4.08	4.08	12661800
2020-11-13	4.16	4.04	4.28	4.1	34238000
2020-11-16	4.14	4.04	4.16	4.12	11395600
2020-11-17	4.14	4.1	4.32	4.14	34713200
2020-11-18	4.14	4.12	4.46	4.46	59664100
2020-11-19	4.5	4.42	4.66	4.44	49082100
2020-11-20	4.42	4.28	4.46	4.42	12810900
2020-11-23	4.44	4.38	4.52	4.44	13338100
2020-11-24	4.46	4.28	4.48	4.28	8570100
2020-11-25	4.34	4.24	4.4	4.4	7229900
2020-11-26	4.4	4.36	4.5	4.36	12892700
2020-11-27	4.34	4.32	4.58	4.5	15192500
2020-11-30	4.4	4.38	4.5	4.38	8502000
2020-12-01	4.4	4.4	4.94	4.86	54568100
2020-12-02	4.86	4.74	4.98	4.88	27766300
2020-12-03	4.86	4.84	4.96	4.86	6585900
2020-12-04	4.88	4.82	4.94	4.84	8053900
2020-12-08	4.9	4.76	4.9	4.76	4925800
2020-12-09	4.8	4.72	4.98	4.74	10972600
2020-12-14	4.8	4.64	4.84	4.72	2763800
2020-12-15	4.76	4.72	4.8	4.8	1322200
2020-12-16	4.88	4.84	5.05	5.05	12893200
2020-12-17	5.05	4.96	5.1	4.98	5913400
2020-12-18	4.98	4.9	5.05	4.9	2972800
2020-12-21	4.78	4.5	4.84	4.5	7243500
2020-12-22	4.58	4.42	4.64	4.58	2356400
2020-12-23	4.58	4.56	4.68	4.6	1687500
2020-12-24	4.64	4.56	4.68	4.58	2730000
2020-12-25	4.62	4.58	4.66	4.66	1879700
2020-12-28	4.66	4.54	4.74	4.54	2965400
2020-12-29	4.62	4.4	4.62	4.5	2519100
2020-12-30	4.42	4.32	4.52	4.5	4253600
2021-01-04	4.4	4.32	4.54	4.48	1075200
2021-01-05	4.44	4.4	4.54	4.48	1185000
2021-01-06	4.48	4.48	4.66	4.5	1263000
2021-01-07	4.6	4.36	4.6	4.38	2908800
2021-01-08	4.38	4.36	4.5	4.46	1975900
2021-01-11	4.46	4.4	4.48	4.4	604900
2021-01-12	4.4	4.28	4.42	4.32	3550800
2021-01-13	4.32	4.22	4.48	4.36	5161800
2021-01-14	4.38	4.38	4.42	4.38	764300
2021-01-15	4.4	4.36	4.46	4.36	1092600
2021-01-18	4.4	4.34	4.42	4.36	954700
2021-01-19	4.4	4.36	4.64	4.52	4673500
2021-01-20	4.56	4.44	4.64	4.44	4700800
2021-01-21	4.46	4.34	4.48	4.36	1317500
2021-01-22	4.4	4.28	4.42	4.3	2432800
2021-01-25	4.3	4.26	4.34	4.26	1660700
2021-01-26	4.28	4.24	4.28	4.26	1253200
2021-01-27	4.28	4.28	4.4	4.4	1420000
2021-01-28	4.48	4.44	4.56	4.46	7936200
2021-01-29	4.52	4.44	4.6	4.44	5892400
2021-02-01	4.46	4.4	4.5	4.44	1127100
2021-02-02	4.46	4.46	4.52	4.52	813700
2021-02-03	4.54	4.46	4.54	4.48	991400
2021-02-04	4.5	4.46	4.52	4.48	802400
2021-02-05	4.5	4.48	4.74	4.7	9718100
2021-02-08	4.78	4.78	4.86	4.82	8501100
2021-02-09	4.86	4.72	4.86	4.74	3715500
2021-02-10	4.78	4.62	4.78	4.7	2960800
2021-02-11	4.72	4.62	4.72	4.72	835500
2021-02-15	4.74	4.58	4.74	4.58	1909500
2021-02-16	4.64	4.6	4.72	4.64	1924500
2021-02-17	4.66	4.64	4.8	4.76	4825600
