Date	Price Open	Price Low	Price High	Price Close	Volume
2020-07-30	3.44999862	3.44999862	3.44999862	3.44999862	45962898
2020-07-31	3.96666508	3.96666508	3.96666508	3.96666508	7650843
2020-08-03	4.54166485	4.54166485	4.54166485	4.54166485	4626481
2020-08-04	5.20833125	5.20833125	5.20833125	5.20833125	4977241
2020-08-05	5.95833095	4.45833155	5.95833095	4.45833155	184618873
2020-08-06	4.13333168	4.11666502	4.4999982	4.166665	95241278
2020-08-07	4.29166495	4.11666502	4.4999982	4.2499983	74035109
2020-08-10	4.166665	3.98333174	4.2499983	4.166665	15528486
2020-08-11	4.166665	3.98333174	4.20833165	3.98333174	8831523
2020-08-13	4.01666506	3.4999986	4.01666506	3.7499985	24461529
2020-08-14	3.81666514	3.2499987	3.81666514	3.53333192	15466806
2020-08-17	3.43333196	3.03333212	3.46666528	3.1666654	20561168
2020-08-18	3.1666654	3.09999876	3.4166653	3.4166653	31464492
2020-08-19	3.38333198	3.13333208	3.38333198	3.21666538	11409484
2020-08-20	3.1666654	2.94999882	3.19999872	3.1666654	10661644
2020-08-21	3.18333206	3.1666654	3.39999864	3.31666534	15140886
2020-08-24	3.29999868	3.29999868	3.64999854	3.61666522	18071167
2020-08-25	3.61666522	3.44999862	3.61666522	3.54999858	7904523
2020-08-26	3.4999986	3.44999862	3.53333192	3.51666526	2922721
2020-08-27	3.51666526	3.48333194	3.73333184	3.71666518	12624125
2020-08-28	3.71666518	3.63333188	3.73333184	3.68333186	3024961
2020-08-31	3.68333186	3.4999986	3.76666516	3.56666524	4284361
2020-09-01	3.54999858	3.48333194	3.5833319	3.4999986	2772241
2020-09-02	3.46666528	3.46666528	3.69999852	3.68333186	4806121
2020-09-03	3.69999852	3.64999854	3.93333176	3.7499985	16852686
2020-09-08	3.68333186	3.64999854	3.84999846	3.73333184	6616802
2020-09-09	3.68333186	3.64999854	3.86666512	3.8333318	7576203
2020-09-10	3.86666512	3.76666516	3.89999844	3.81666514	7095722
2020-09-11	3.81666514	3.56666524	3.81666514	3.61666522	4904281
2020-09-14	3.61666522	3.5833319	3.68333186	3.6666652	1896960
2020-09-15	3.69999852	3.6666652	3.76666516	3.7499985	2400840
2020-09-16	3.7499985	3.71666518	3.86666512	3.84999846	5529362
2020-09-17	3.8333318	3.71666518	3.86666512	3.81666514	6661442
2020-09-18	3.84999846	3.8333318	4.01666506	3.9166651	37323254
2020-09-21	3.98333174	3.93333176	4.29166495	4.2499983	70674388
2020-09-22	4.166665	4.09999836	4.37499825	4.20833165	66217706
2020-09-23	4.29166495	3.9999984	4.29166495	4.01666506	30625812
2020-09-24	3.93333176	3.93333176	4.11666502	3.98333174	19180327
2020-09-25	4.03333172	3.94999842	4.06666504	3.94999842	11474044
2020-09-28	3.94999842	3.68333186	3.94999842	3.79999848	12239524
2020-09-29	3.79999848	3.7499985	3.9166651	3.9166651	3649201
2020-09-30	3.93333176	3.9166651	4.01666506	3.98333174	5634722
2020-10-01	3.9999984	3.84999846	4.01666506	3.98333174	2655361
2020-10-02	3.96666508	3.9166651	4.01666506	3.96666508	3148441
2020-10-05	3.98333174	3.98333174	4.06666504	4.01666506	3171721
2020-10-06	4.03333172	3.9166651	4.03333172	3.94999842	3143281
2020-10-07	3.94999842	3.86666512	3.94999842	3.9166651	2490960
2020-10-08	3.9166651	3.71666518	3.9166651	3.79999848	8341323
2020-10-09	3.79999848	3.61666522	3.79999848	3.69999852	5309282
2020-10-12	3.6666652	3.63333188	3.7499985	3.7499985	2306400
2020-10-14	3.76666516	3.61666522	3.76666516	3.6666652	1965000
2020-10-15	3.6666652	3.59999856	3.6666652	3.59999856	1827120
2020-10-16	3.54999858	3.38333198	3.5833319	3.48333194	6056042
2020-10-19	3.39999864	3.29999868	3.39999864	3.333332	3202201
2020-10-20	3.31666534	3.1666654	3.39999864	3.34999866	3137281
2020-10-21	3.36666532	3.36666532	3.46666528	3.44999862	1647240
2020-10-22	3.4166653	3.333332	3.4166653	3.4166653	734760
2020-10-26	3.4166653	3.36666532	3.4166653	3.39999864	302640
2020-10-27	3.34999866	3.34999866	3.53333192	3.53333192	1509360
2020-10-28	3.54999858	3.4999986	3.63333188	3.61666522	2322960
2020-10-29	3.5833319	3.54999858	3.69999852	3.6666652	2599921
2020-10-30	3.6666652	3.51666526	3.6666652	3.64999854	1822920
2020-11-02	3.64999854	3.63333188	3.68333186	3.6666652	1338600
2020-11-03	3.6666652	3.6666652	3.73333184	3.69999852	2208600
2020-11-04	3.73333184	3.68333186	3.79999848	3.78333182	3354961
2020-11-05	3.78333182	3.71666518	3.79999848	3.76666516	1830120
2020-11-06	3.78333182	3.69999852	3.81666514	3.81666514	3210361
2020-11-09	3.88333178	3.4999986	3.88333178	3.53333192	8906643
2020-11-10	3.53333192	3.26666536	3.54999858	3.26666536	7103162
2020-11-11	3.28333202	3.28333202	3.51666526	3.43333196	3719881
2020-11-12	3.46666528	3.38333198	3.48333194	3.4166653	2562961
2020-11-13	3.333332	3.09999876	3.34999866	3.34999866	5662562
2020-11-16	3.38333198	3.333332	3.39999864	3.34999866	1376280
2020-11-17	3.333332	3.31666534	3.38333198	3.333332	1161120
2020-11-18	3.333332	3.333332	3.43333196	3.39999864	1463040
2020-11-19	3.39999864	3.39999864	3.59999856	3.5833319	16428966
2020-11-20	3.54999858	3.4999986	3.63333188	3.4999986	5632562
2020-11-23	3.4999986	3.44999862	3.53333192	3.44999862	3036601
2020-11-24	3.44999862	3.38333198	3.46666528	3.38333198	2838121
2020-11-25	3.39999864	3.39999864	3.53333192	3.48333194	3355441
2020-11-26	3.48333194	3.44999862	3.51666526	3.46666528	1846320
2020-11-27	3.46666528	3.44999862	3.48333194	3.44999862	1379760
2020-11-30	3.44999862	3.4166653	3.46666528	3.43333196	1177920
2020-12-01	3.43333196	3.43333196	3.59999856	3.53333192	6843602
2020-12-02	3.61666522	3.54999858	3.81666514	3.7499985	33285973
2020-12-03	3.7499985	3.69999852	3.78333182	3.71666518	13943645
2020-12-04	3.71666518	3.61666522	3.76666516	3.61666522	7402442
2020-12-08	3.63333188	3.59999856	3.7499985	3.7499985	11024524
2020-12-09	3.84999846	3.5833319	3.88333178	3.5833319	24370329
2020-12-14	3.59999856	3.53333192	3.59999856	3.53333192	2760121
2020-12-15	3.53333192	3.4999986	3.54999858	3.51666526	1459800
2020-12-16	3.4999986	3.4999986	3.61666522	3.56666524	2167440
2020-12-17	3.56666524	3.54999858	3.63333188	3.54999858	2343480
2020-12-18	3.56666524	3.53333192	3.5833319	3.54999858	1060200
2020-12-21	3.43333196	3.4166653	3.54999858	3.43333196	3149281
2020-12-22	3.48333194	3.39999864	3.48333194	3.44999862	1240680
2020-12-23	3.43333196	3.4166653	3.48333194	3.43333196	1368840
2020-12-24	3.4166653	3.4166653	3.48333194	3.43333196	1107480
2020-12-25	3.43333196	3.43333196	3.46666528	3.44999862	867120
2020-12-28	3.46666528	3.39999864	3.48333194	3.39999864	2529721
2020-12-29	3.44999862	3.38333198	3.44999862	3.39999864	1574400
2020-12-30	3.39999864	3.36666532	3.43333196	3.38333198	1812240
2021-01-04	3.333332	3.333332	3.4166653	3.38333198	1472160
2021-01-05	3.39999864	3.39999864	3.48333194	3.44999862	1388520
2021-01-06	3.46666528	3.38333198	3.51666526	3.38333198	3668281
2021-01-07	3.4166653	3.38333198	3.44999862	3.43333196	1241280
2021-01-08	3.4166653	3.39999864	3.43333196	3.43333196	1453920
2021-01-11	3.43333196	3.39999864	3.54999858	3.4999986	12355444
2021-01-12	3.51666526	3.44999862	3.5833319	3.44999862	6890402
2021-01-13	3.46666528	3.43333196	3.48333194	3.44999862	1951920
2021-01-14	3.44999862	3.44999862	3.54999858	3.4999986	4042921
2021-01-15	3.51666526	3.46666528	3.53333192	3.46666528	2862961
2021-01-18	3.48333194	3.39999864	3.48333194	3.43333196	2514241
2021-01-19	3.44999862	3.43333196	3.4999986	3.46666528	2185560
2021-01-20	3.46666528	3.43333196	3.4999986	3.44999862	1657080
2021-01-21	3.44999862	3.44999862	3.69999852	3.68333186	41784736
2021-01-22	3.63333188	3.54999858	3.6666652	3.56666524	13786685
2021-01-25	3.56666524	3.56666524	3.79999848	3.7499985	48859819
2021-01-26	3.73333184	3.63333188	3.79999848	3.64999854	18057967
2021-01-27	3.64999854	3.64999854	3.7499985	3.64999854	8764203
2021-01-28	3.5833319	3.4999986	3.61666522	3.51666526	8085363
2021-01-29	3.51666526	3.51666526	3.59999856	3.53333192	3369961
2021-02-01	3.54999858	3.53333192	3.61666522	3.5833319	5845562
2021-02-02	3.59999856	3.56666524	3.61666522	3.56666524	1608720
2021-02-03	3.59999856	3.56666524	3.63333188	3.56666524	2207400
2021-02-04	3.5833319	3.4999986	3.5833319	3.4999986	3061921
2021-02-05	3.53333192	3.4999986	3.63333188	3.63333188	7952403
2021-02-08	3.68333186	3.6666652	3.8333318	3.8333318	30654972
2021-02-09	3.86666512	3.8333318	4.11666502	3.93333176	49667899
2021-02-10	3.96666508	3.9166651	4.01666506	3.9166651	13882685
2021-02-11	3.9166651	3.79999848	3.93333176	3.86666512	6922802
2021-02-15	3.8333318	3.7499985	3.8333318	3.7499985	5269442
2021-02-16	3.78333182	3.73333184	3.78333182	3.7499985	3225001
2021-02-17	3.7499985	3.7499985	3.96666508	3.93333176	10049884
2021-02-18	3.9166651	3.8333318	3.9166651	3.84999846	3326401
2021-02-19	3.84999846	3.7499985	3.84999846	3.76666516	4604641
2021-02-22	3.68333186	3.61666522	3.69999852	3.63333188	6170642
2021-02-23	3.56666524	3.56666524	3.71666518	3.69999852	2913841
2021-02-24	3.6666652	3.64999854	3.71666518	3.71666518	1718880
2021-02-25	3.69999852	3.6666652	3.76666516	3.73333184	2097960
2021-03-01	3.64999854	3.5833319	3.7499985	3.71666518	1844640
2021-03-02	3.7499985	3.68333186	3.7499985	3.71666518	1178520
2021-03-03	3.73333184	3.69999852	3.7499985	3.73333184	995520
2021-03-04	3.69999852	3.69999852	3.79999848	3.79999848	1902480
2021-03-05	3.78333182	3.73333184	3.81666514	3.7499985	1800960
2021-03-08	3.78333182	3.64999854	3.79999848	3.68333186	3209281
2021-03-09	3.63333188	3.61666522	3.7499985	3.7499985	1909320
2021-03-10	3.7499985	3.71666518	3.89999844	3.81666514	5522402
2021-03-11	3.84999846	3.78333182	3.88333178	3.81666514	2376000
2021-03-12	3.84999846	3.78333182	3.84999846	3.81666514	1707720
2021-03-15	3.81666514	3.71666518	3.81666514	3.7499985	1857000
2021-03-16	3.73333184	3.73333184	3.79999848	3.7499985	1283400
2021-03-17	3.7499985	3.7499985	3.9166651	3.84999846	9076203
2021-03-18	3.84999846	3.81666514	3.9999984	3.93333176	15167166
2021-03-19	3.93333176	3.81666514	3.93333176	3.89999844	6867122
2021-03-22	3.89999844	3.89999844	4.03333172	4.03333172	12344044
2021-03-23	4.0833317	3.9999984	4.14999834	4.04999838	15741846
2021-03-24	4.03333172	3.93333176	4.0833317	4.01666506	5202002
2021-03-25	4.03333172	3.9999984	4.20833165	4.20833165	23236209
2021-03-26	4.166665	3.7499985	4.20833165	3.93333176	37342334
2021-03-29	3.8333318	3.78333182	3.89999844	3.89999844	5731202
2021-03-30	3.89999844	3.8333318	3.89999844	3.84999846	3947641
2021-03-31	3.84999846	3.8333318	3.89999844	3.88333178	2167560
2021-04-01	3.89999844	3.84999846	3.89999844	3.86666512	2264640
2021-04-02	3.88333178	3.88333178	3.93333176	3.88333178	3002161
2021-04-05	3.9166651	3.79999848	3.9166651	3.84999846	2684521
2021-04-07	3.78333182	3.71666518	3.81666514	3.71666518	4228801
2021-04-08	3.64999854	3.64999854	3.78333182	3.7499985	1985760
2021-04-09	3.7499985	3.73333184	3.81666514	3.78333182	1267320
2021-04-12	3.79999848	3.73333184	3.79999848	3.79999848	1687920
2021-04-16	3.76666516	3.71666518	3.94999842	3.9166651	9952203
2021-04-19	3.93333176	3.89999844	4.01666506	4.01666506	12860525
2021-04-20	4.01666506	3.93333176	4.06666504	3.93333176	8588403
2021-04-21	3.89999844	3.89999844	3.94999842	3.9166651	2871601
2021-04-22	3.9166651	3.8333318	3.96666508	3.8333318	4084201
2021-04-23	3.79999848	3.7499985	3.8333318	3.81666514	2003880
2021-04-26	3.79999848	3.76666516	3.81666514	3.81666514	1464240
2021-04-27	3.79999848	3.78333182	3.8333318	3.79999848	2451840
2021-04-28	3.79999848	3.79999848	3.88333178	3.81666514	2075160
2021-04-29	3.8333318	3.81666514	3.89999844	3.86666512	1858680
2021-04-30	3.86666512	3.79999848	3.88333178	3.8333318	2010600
2021-05-05	3.84999846	3.76666516	3.84999846	3.76666516	2657881
2021-05-06	3.7499985	3.7499985	3.81666514	3.79999848	1323000
2021-05-07	3.76666516	3.76666516	3.79999848	3.76666516	961920
2021-05-10	3.76666516	3.73333184	3.78333182	3.7499985	1478640
2021-05-11	3.7499985	3.63333188	3.7499985	3.68333186	4369321
2021-05-12	3.63333188	3.63333188	3.71666518	3.68333186	1686600
2021-05-13	3.64999854	3.01666546	3.69999852	3.61666522	4313041
2021-05-14	3.61666522	3.39999864	3.6666652	3.44999862	3895321
2021-05-17	3.46666528	3.34999866	3.48333194	3.44999862	2929441
2021-05-18	3.44999862	3.44999862	3.5833319	3.5833319	1362840
2021-05-19	3.5833319	3.54999858	3.61666522	3.61666522	1003440
2021-05-20	3.59999856	3.5833319	3.64999854	3.5833319	780840
2021-05-21	3.56666524	3.54999858	3.61666522	3.5833319	535320
2021-05-24	3.56666524	3.53333192	3.5833319	3.53333192	948840
2021-05-25	3.56666524	3.53333192	3.59999856	3.59999856	1275840
2021-05-27	3.68333186	3.6666652	3.8333318	3.8333318	6921362
2021-05-28	3.8333318	3.7499985	3.8333318	3.76666516	1447920
2021-05-31	3.79999848	3.76666516	3.8333318	3.78333182	1938000
2021-06-01	3.81666514	3.78333182	3.8333318	3.78333182	2063400
2021-06-02	3.79999848	3.71666518	3.79999848	3.7499985	836400
2021-06-04	3.7499985	3.69999852	3.78333182	3.71666518	843240
2021-06-07	3.71666518	3.69999852	3.76666516	3.73333184	955200
2021-06-08	3.73333184	3.71666518	3.8333318	3.79999848	2899441
2021-06-09	3.81666514	3.76666516	3.8333318	3.76666516	1786560
2021-06-10	3.76666516	3.7499985	3.79999848	3.76666516	1454520
2021-06-11	3.76666516	3.73333184	3.78333182	3.7499985	1221240
2021-06-14	3.7499985	3.71666518	3.78333182	3.73333184	1247880
2021-06-15	3.7499985	3.7499985	4.01666506	4.01666506	29018171
2021-06-16	3.94999842	3.9166651	4.13333168	3.9166651	40328176
2021-06-17	3.89999844	3.88333178	3.96666508	3.96666508	4209241
2021-06-18	4.0833317	4.04999838	4.6666648	4.45833155	119776247
2021-06-21	4.3333316	4.29166495	5.0833313	4.9166647	92971597
