Date	Price Open	Price Low	Price High	Price Close	Volume
2017-11-22	2.3200008	1.99133402	2.37800082	2.04933404	524863577
2017-11-23	2.04933404	1.91400066	2.06866738	1.933334	95565277
2017-11-24	1.933334	1.75933394	1.933334	1.75933394	62935012
2017-11-27	1.74966727	1.63366723	1.77866728	1.65300057	33944884
2017-11-28	1.66266724	1.65300057	1.74966727	1.70133392	41412813
2017-11-29	1.71100059	1.66266724	1.72066726	1.66266724	10384134
2017-11-30	1.66266724	1.58533388	1.66266724	1.60466722	15842477
2017-12-01	1.63366723	1.61433389	1.70133392	1.68200058	29104231
2017-12-04	1.70133392	1.6433339	1.7400006	1.65300057	22365716
2017-12-06	1.6433339	1.6433339	1.67233391	1.67233391	9333307
2017-12-07	1.68200058	1.62400056	1.68200058	1.62400056	4905618
2017-12-08	1.6433339	1.59500055	1.6433339	1.59500055	4680825
2017-12-12	1.60466722	1.50800052	1.60466722	1.50800052	11155754
2017-12-13	1.50800052	1.49833385	1.55633387	1.50800052	3032274
2017-12-14	1.53700053	1.49833385	1.53700053	1.50800052	4241481
2017-12-15	1.52733386	1.49833385	1.58533388	1.5466672	17274304
2017-12-18	1.53700053	1.50800052	1.5466672	1.50800052	6491997
2017-12-19	1.51766719	1.50800052	1.6433339	1.61433389	37350297
2017-12-20	1.63366723	1.58533388	1.66266724	1.60466722	28208162
2017-12-21	1.59500055	1.57566721	1.60466722	1.57566721	6280963
2017-12-22	1.57566721	1.5466672	1.59500055	1.56600054	4405653
2017-12-25	1.56600054	1.53700053	1.57566721	1.53700053	3328447
2017-12-26	1.53700053	1.53700053	1.58533388	1.58533388	14981167
2017-12-27	1.58533388	1.53700053	1.59500055	1.5466672	10436065
2017-12-28	1.55633387	1.53700053	1.58533388	1.56600054	6912721
2017-12-29	1.55633387	1.5466672	1.58533388	1.55633387	8701445
2018-01-03	1.56600054	1.5466672	1.59500055	1.5466672	4234239
2018-01-04	1.56600054	1.53700053	1.56600054	1.5466672	1771033
2018-01-05	1.55633387	1.51766719	1.55633387	1.52733386	5032860
2018-01-08	1.5466672	1.51766719	1.5466672	1.51766719	1722102
2018-01-09	1.53700053	1.50800052	1.53700053	1.50800052	2224757
2018-01-10	1.51766719	1.50800052	1.52733386	1.52733386	2061516
2018-01-11	1.51766719	1.50800052	1.56600054	1.50800052	6465825
2018-01-12	1.51766719	1.49833385	1.52733386	1.49833385	2948378
2018-01-15	1.50800052	1.4500005	1.51766719	1.45966717	5800963
2018-01-16	1.45966717	1.45966717	1.49833385	1.45966717	5728239
2018-01-17	1.46933384	1.4500005	1.46933384	1.4500005	831206
2018-01-18	1.4500005	1.44033383	1.46933384	1.44033383	1927137
2018-01-19	1.4500005	1.4500005	1.51766719	1.51766719	24009095
2018-01-22	1.51766719	1.50800052	1.66266724	1.63366723	150533637
2018-01-23	1.67233391	1.61433389	1.71100059	1.68200058	106948928
2018-01-24	1.66266724	1.65300057	1.69166725	1.67233391	30662575
2018-01-25	1.68200058	1.57566721	1.72066726	1.58533388	31846023
2018-01-26	1.60466722	1.57566721	1.65300057	1.6433339	29254955
2018-01-29	1.67233391	1.63366723	1.67233391	1.6433339	16156028
2018-01-30	1.66266724	1.6433339	1.73033393	1.73033393	58533186
2018-01-31	1.75933394	1.7400006	1.8366673	1.79800062	105716239
2018-02-01	1.78833395	1.7400006	1.80766729	1.75933394	24443784
2018-02-02	1.75933394	1.75933394	1.85600064	1.84633397	72282181
2018-02-05	1.78833395	1.76900061	1.82700063	1.80766729	38645572
2018-02-06	1.7400006	1.70133392	1.75933394	1.70133392	36193022
2018-02-07	1.74966727	1.73033393	1.77866728	1.73033393	57843600
2018-02-08	1.7400006	1.67233391	1.76900061	1.69166725	29848851
2018-02-09	1.65300057	1.6433339	1.68200058	1.66266724	10645754
2018-02-12	1.68200058	1.66266724	1.73033393	1.73033393	18654097
2018-02-13	1.73033393	1.3533338	1.75933394	1.3533338	37063952
2018-02-14	1.67233391	1.58533388	1.69166725	1.62400056	26932025
