Date	Price Open	Price Low	Price High	Price Close	Volume
2014-10-31	2.088890978	2.017779796	2.266668933	2.266668933	657249767
2014-11-03	2.488891378	2.222224444	2.711113822	2.222224444	407410242
2014-11-04	2.244446689	2.053335387	2.244446689	2.142224364	69505355
2014-11-05	2.142224364	2.133335467	2.288891178	2.16000216	66147008
2014-11-06	2.177779956	2.168891058	2.222224444	2.213335547	32356092
2014-11-07	2.266668933	2.266668933	2.466669133	2.377780156	144635930
2014-11-10	2.266668933	1.982224204	2.266668933	2.071113182	38839236
2014-11-11	2.106668773	2.044446489	2.106668773	2.053335387	6478643
2014-11-12	2.053335387	2.000002	2.08000208	2.017779796	10674439
2014-11-13	2.017779796	2.008890898	2.142224364	2.133335467	8786466
2014-11-14	2.115557671	2.062224284	2.124446569	2.088890978	3664346
2014-11-17	2.08000208	2.044446489	2.08000208	2.08000208	4003195
2014-11-18	2.088890978	2.062224284	2.088890978	2.08000208	1796848
2014-11-19	2.08000208	1.964446409	2.08000208	2.000002	10387339
2014-11-20	2.000002	1.875557431	2.000002	1.928890818	3007121
2014-11-21	1.893335227	1.884446329	1.955557511	1.928890818	1687948
2014-11-24	1.911113022	1.884446329	1.928890818	1.928890818	1748698
2014-11-25	1.911113022	1.875557431	1.928890818	1.911113022	3445646
2014-11-26	1.911113022	1.875557431	1.911113022	1.875557431	1513348
2014-11-27	1.875557431	1.866668533	1.92000192	1.92000192	2168997
2014-11-28	1.937779716	1.902224124	1.982224204	1.937779716	4627795
2014-12-01	1.928890818	1.911113022	1.955557511	1.946668613	1283848
2014-12-02	1.955557511	1.946668613	2.017779796	2.017779796	3209396
2014-12-03	2.044446489	2.035557591	2.133335467	2.115557671	20112279
2014-12-04	2.115557671	2.053335387	2.115557671	2.088890978	3488396
2014-12-08	2.08000208	1.991113102	2.08000208	2.000002	5660319
2014-12-09	2.017779796	2.000002	2.062224284	2.044446489	1668148
2014-12-11	2.044446489	2.044446489	2.097779876	2.08000208	5653569
2014-12-12	2.062224284	2.062224284	2.244446689	2.168891058	19892905
2014-12-15	2.16000216	1.777779556	2.288891178	2.044446489	23604051
2014-12-16	2.017779796	1.991113102	2.124446569	2.106668773	3987896
2014-12-17	2.142224364	2.08000208	2.151113262	2.151113262	5248119
2014-12-18	2.168891058	2.106668773	2.177779956	2.168891058	2710347
2014-12-19	2.177779956	2.151113262	2.444446889	2.444446889	28368196
2014-12-22	2.466669133	2.053335387	2.822225044	2.106668773	442254832
2014-12-23	2.106668773	2.000002	2.142224364	2.017779796	49058500
2014-12-24	2.035557591	1.982224204	2.097779876	1.982224204	23267901
2014-12-25	1.991113102	1.92000192	1.991113102	1.928890818	7317892
2014-12-26	1.928890818	1.911113022	2.000002	1.92000192	7978942
2014-12-29	1.928890818	1.831112942	1.928890818	1.831112942	3089021
2014-12-30	1.813335147	1.813335147	1.848890738	1.813335147	1298698
2015-01-05	1.813335147	1.777779556	1.84000184	1.822224044	791549
2015-01-06	1.822224044	1.804446249	1.875557431	1.857779636	1637098
2015-01-07	1.875557431	1.875557431	1.92000192	1.911113022	2160672
2015-01-08	1.937779716	1.92000192	1.946668613	1.946668613	1639573
2015-01-09	1.955557511	1.928890818	1.991113102	1.946668613	2485797
2015-01-12	1.946668613	1.946668613	1.991113102	1.973335307	2325822
2015-01-13	1.982224204	1.964446409	2.000002	1.982224204	2271597
2015-01-14	1.982224204	1.928890818	1.991113102	1.964446409	3848621
2015-01-15	1.973335307	1.946668613	1.973335307	1.946668613	1360798
2015-01-16	1.946668613	1.928890818	1.964446409	1.955557511	809099
2015-01-19	1.955557511	1.937779716	1.991113102	1.973335307	1677148
2015-01-20	1.973335307	1.955557511	1.991113102	1.964446409	1518748
2015-01-21	1.955557511	1.946668613	1.982224204	1.973335307	1498048
2015-01-22	1.964446409	1.955557511	2.053335387	2.026668693	6911318
2015-01-23	2.044446489	2.000002	2.044446489	2.000002	1786048
2015-01-26	2.035557591	1.973335307	2.035557591	1.982224204	1330423
2015-01-27	1.964446409	1.964446409	2.017779796	1.964446409	1241548
2015-01-28	1.964446409	1.964446409	2.008890898	2.000002	1529548
2015-01-29	2.035557591	2.017779796	2.071113182	2.071113182	5281419
2015-01-30	2.106668773	2.044446489	2.115557671	2.044446489	6272768
2015-02-02	2.08000208	2.062224284	2.106668773	2.097779876	4623295
2015-02-03	2.115557671	2.106668773	2.133335467	2.115557671	3737021
2015-02-04	2.124446569	2.115557671	2.16000216	2.133335467	5301219
2015-02-05	2.142224364	2.142224364	2.213335547	2.204446649	8423991
2015-02-06	2.244446689	2.213335547	2.4000024	2.377780156	43710031
2015-02-09	2.444446889	2.088890978	2.466669133	2.177779956	30697844
2015-02-10	2.151113262	2.115557671	2.177779956	2.168891058	5207619
2015-02-11	2.195557751	2.088890978	2.204446649	2.133335467	10884589
2015-02-12	2.151113262	2.142224364	2.244446689	2.244446689	8652591
2015-02-13	2.288891178	2.244446689	2.333335667	2.288891178	12635087
2015-02-16	2.288891178	2.222224444	2.288891178	2.222224444	2985747
2015-02-17	2.222224444	2.168891058	2.266668933	2.168891058	3311321
2015-02-18	2.151113262	2.142224364	2.213335547	2.168891058	1904623
2015-02-19	2.195557751	2.168891058	2.195557751	2.177779956	718874
2015-02-20	2.177779956	2.168891058	2.244446689	2.168891058	4121320
2015-02-23	2.186668853	2.177779956	2.213335547	2.186668853	3373646
2015-02-24	2.222224444	2.177779956	2.244446689	2.177779956	1358098
2015-02-25	2.213335547	2.16000216	2.213335547	2.177779956	1624273
2015-02-26	2.195557751	2.142224364	2.204446649	2.177779956	4049995
2015-02-27	2.186668853	2.16000216	2.195557751	2.177779956	1473973
2015-03-02	2.186668853	2.124446569	2.186668853	2.133335467	3508196
2015-03-03	2.142224364	2.044446489	2.142224364	2.044446489	1912723
2015-03-05	2.044446489	2.017779796	2.053335387	2.035557591	1063348
2015-03-06	2.062224284	2.062224284	2.124446569	2.088890978	1409623
2015-03-09	2.097779876	2.053335387	2.133335467	2.124446569	5525769
2015-03-10	2.115557671	2.035557591	2.195557751	2.044446489	15532634
2015-03-11	2.053335387	2.044446489	2.124446569	2.088890978	7301467
2015-03-12	2.088890978	2.053335387	2.142224364	2.133335467	9593765
2015-03-13	2.133335467	2.088890978	2.133335467	2.088890978	6345668
2015-03-16	2.106668773	2.08000208	2.106668773	2.097779876	3670196
2015-03-17	2.106668773	2.088890978	2.142224364	2.142224364	6980618
2015-03-18	2.133335467	2.097779876	2.133335467	2.106668773	6336218
2015-03-19	2.124446569	2.106668773	2.168891058	2.168891058	7701967
2015-03-20	2.213335547	2.151113262	2.288891178	2.222224444	47098077
2015-03-23	2.213335547	2.177779956	2.266668933	2.186668853	12729587
2015-03-24	2.204446649	2.133335467	2.222224444	2.213335547	8275266
2015-03-25	2.244446689	2.204446649	2.333335667	2.222224444	21792578
2015-03-26	2.222224444	2.168891058	2.244446689	2.168891058	5945394
2015-03-27	2.151113262	2.151113262	2.204446649	2.177779956	2555547
2015-03-30	2.222224444	2.204446649	2.266668933	2.244446689	5361519
2015-03-31	2.244446689	2.186668853	2.311113422	2.195557751	21898778
2015-04-01	2.186668853	2.177779956	2.222224444	2.213335547	6732893
2015-04-02	2.222224444	2.195557751	2.244446689	2.204446649	3235271
2015-04-03	2.204446649	2.195557751	2.222224444	2.222224444	2578047
2015-04-07	2.244446689	2.195557751	2.244446689	2.222224444	5582469
2015-04-08	2.244446689	2.213335547	2.355557911	2.355557911	26723448
2015-04-09	2.377780156	2.222224444	2.444446889	2.222224444	70557679
2015-04-10	2.244446689	2.213335547	2.266668933	2.244446689	5668194
2015-04-16	2.244446689	2.222224444	2.266668933	2.244446689	4739845
2015-04-17	2.244446689	2.222224444	2.288891178	2.288891178	8691066
2015-04-20	2.288891178	2.244446689	2.288891178	2.266668933	10872439
2015-04-21	2.266668933	2.244446689	2.266668933	2.244446689	5325744
2015-04-22	2.266668933	2.244446689	2.311113422	2.266668933	8610966
2015-04-23	2.266668933	2.266668933	2.377780156	2.355557911	33145391
2015-04-24	2.333335667	2.333335667	2.4000024	2.355557911	14224035
2015-04-27	2.377780156	2.355557911	2.444446889	2.355557911	29391495
2015-04-28	2.377780156	2.288891178	2.377780156	2.311113422	13326961
2015-04-29	2.311113422	2.311113422	2.4000024	2.4000024	13936261
2015-04-30	2.377780156	2.377780156	2.422224644	2.4000024	6948443
2015-05-06	2.422224644	2.377780156	2.622224844	2.533335867	43132456
2015-05-07	2.533335867	2.444446889	2.577780356	2.466669133	23252151
2015-05-08	2.444446889	2.444446889	2.644447089	2.577780356	23818701
2015-05-11	2.644447089	2.577780356	2.666669333	2.577780356	11688513
2015-05-12	2.577780356	2.377780156	2.577780356	2.377780156	24482900
2015-05-13	2.4000024	2.4000024	2.466669133	2.444446889	6736268
2015-05-14	2.466669133	2.444446889	2.533335867	2.533335867	8788266
2015-05-15	2.555558111	2.511113622	2.688891578	2.688891578	22475677
2015-05-18	2.711113822	2.644447089	2.733336067	2.666669333	11381838
2015-05-19	2.688891578	2.577780356	2.688891578	2.622224844	9029240
2015-05-20	2.666669333	2.666669333	2.822225044	2.666669333	64378510
2015-05-21	2.688891578	2.622224844	2.733336067	2.666669333	11915313
2015-05-22	2.666669333	2.666669333	2.733336067	2.666669333	9315665
2015-05-25	2.666669333	2.644447089	2.688891578	2.688891578	4704520
2015-05-26	2.688891578	2.688891578	2.822225044	2.755558311	32816217
2015-05-27	2.777780556	2.711113822	2.777780556	2.733336067	8437491
2015-05-28	2.755558311	2.644447089	2.755558311	2.711113822	12147737
2015-05-29	2.711113822	2.711113822	2.777780556	2.733336067	5403594
2015-06-02	2.733336067	2.711113822	2.755558311	2.733336067	2016672
2015-06-03	2.8000028	2.8000028	3.088891978	3.066669733	74068125
2015-06-04	3.044447489	2.866669533	3.044447489	2.888891778	46349278
2015-06-05	2.866669533	2.822225044	3.066669733	2.911114022	37979287
2015-06-08	2.777780556	2.777780556	2.911114022	2.888891778	3250121
2015-06-09	2.888891778	2.822225044	2.888891778	2.866669533	3654896
2015-06-10	2.8000028	2.8000028	2.866669533	2.844447289	6382793
2015-06-11	2.822225044	2.822225044	2.933336267	2.911114022	5532969
2015-06-12	2.888891778	2.866669533	2.933336267	2.933336267	3358796
2015-06-15	2.911114022	2.844447289	2.955558511	2.844447289	4434520
2015-06-16	2.822225044	2.822225044	2.866669533	2.844447289	3716546
2015-06-17	2.844447289	2.844447289	2.977780756	2.955558511	6283568
2015-06-18	2.955558511	2.888891778	3.044447489	2.888891778	7880617
2015-06-19	2.844447289	2.577780356	2.888891778	2.666669333	34687315
2015-06-22	2.644447089	2.644447089	2.822225044	2.822225044	7602292
2015-06-23	2.822225044	2.822225044	2.977780756	2.933336267	10499389
2015-06-24	2.888891778	2.888891778	2.977780756	2.977780756	4750420
2015-06-25	2.977780756	2.911114022	2.977780756	2.955558511	2304897
2015-06-26	2.933336267	2.911114022	2.977780756	2.955558511	3277796
2015-06-29	2.844447289	2.822225044	2.977780756	2.977780756	8257041
2015-06-30	3.044447489	2.977780756	3.222225444	3.177780956	15979484
2015-07-02	3.244447689	3.2000032	3.422225644	3.422225644	15764609
2015-07-03	3.444447889	3.288892178	3.511114622	3.511114622	8782641
2015-07-06	3.466670133	3.333336667	3.533336867	3.444447889	4265770
2015-07-07	3.422225644	3.422225644	3.511114622	3.511114622	2619447
2015-07-08	3.511114622	3.444447889	3.666670333	3.644448089	6114143
2015-07-09	3.688892578	3.555559111	3.688892578	3.688892578	3035696
2015-07-10	3.688892578	3.444447889	3.688892578	3.533336867	13726111
2015-07-13	3.511114622	3.466670133	3.555559111	3.533336867	1904398
2015-07-14	3.555559111	3.488892378	3.555559111	3.511114622	1095748
2015-07-15	3.511114622	3.466670133	3.533336867	3.533336867	2338422
2015-07-16	3.533336867	3.533336867	3.644448089	3.577781356	1825198
2015-07-17	3.577781356	3.444447889	3.577781356	3.466670133	4215370
2015-07-20	3.466670133	3.2000032	3.466670133	3.377781156	11917338
2015-07-21	3.377781156	3.2000032	3.422225644	3.355558911	5650869
2015-07-22	3.266669933	3.266669933	3.377781156	3.377781156	4013320
2015-07-23	3.422225644	3.355558911	3.422225644	3.422225644	1221973
2015-07-24	3.511114622	3.466670133	3.644448089	3.644448089	8880966
2015-07-27	3.644448089	3.511114622	3.644448089	3.533336867	6131693
2015-07-28	3.488892378	3.466670133	3.533336867	3.533336867	1625173
2015-07-29	3.555559111	3.533336867	3.8000038	3.733337067	7505542
