Date	Price Open	Price Low	Price High	Price Close	Volume
2008-08-27	3.48	2.78	2.8	2.8	282300.0
2008-08-28	2.82	2.78	2.82	2.78	250600.0
2008-08-29	2.96	2.8	2.82	2.82	96000.0
2008-09-01	3.06	2.82	2.82	2.82	140600.0
2008-09-02	3.14	2.76	2.82	2.78	301400.0
2008-09-03	3.14	2.78	2.8	2.8	22200.0
2008-09-04	3.16	2.76	2.8	2.8	299000.0
2008-09-05	3.1	2.76	2.82	2.82	56400.0
2008-09-08	3.02	2.8	2.82	2.82	34600.0
2008-09-09	3.06	2.8	2.82	2.8	37700.0
2008-09-10	3.06	2.82	2.84	2.84	247800.0
2008-09-11	3.06	2.84	2.88	2.84	61800.0
2008-09-12	3.06	2.78	2.84	2.84	88400.0
2008-09-15	3.14	2.78	2.84	2.78	390700.0
2008-09-16	3.2	2.72	2.78	2.78	384900.0
2008-09-17	3.3	2.78	2.82	2.8	153700.0
2008-09-18	3.26	2.7	2.8	2.74	434600.0
2008-09-19	3.22	2.78	2.84	2.8	90300.0
2008-09-22	3.24	2.76	2.8	2.76	59100.0
2008-09-23	3.22	2.76	2.76	2.76	34300.0
2008-09-24	3.18	2.78	2.78	2.78	60900.0
2008-09-25	3.2	2.78	2.78	2.78	144000.0
2008-09-26	3.22	2.78	2.78	2.78	230000.0
2008-09-29	3.18	2.76	2.8	2.76	335100.0
2008-09-30	3.18	2.7	2.86	2.86	1790300.0
2008-10-01	3.26	2.82	2.94	2.92	1632900.0
2008-10-02	3.26	2.9	2.92	2.9	207400.0
2008-10-03	2.98	2.92	3.0	2.92	3078100.0
2008-10-06	2.9	2.88	3.04	3.0	4765000.0
2008-10-07	2.86	2.96	3.08	2.96	5537900.0
2008-10-08	2.74	2.84	3.0	2.88	1487800.0
2008-10-09	2.76	2.8	2.88	2.88	358300.0
2008-10-10	2.76	2.74	2.8	2.76	612100.0
2008-10-13	2.78	2.72	2.78	2.72	599600.0
2008-10-14	2.76	2.74	2.78	2.76	224900.0
2008-10-15	2.72	2.78	2.8	2.78	194100.0
2008-10-16	2.68	2.78	2.78	2.78	80000.0
2008-10-17	2.74	2.76	2.8	2.78	203200.0
