Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	0.77207577	0.76377388	0.78867955	0.76377388	1170999.0
2000-01-05	0.7471701	0.70566065	0.7471701	0.70566065	612999.0
2000-01-06	0.68075498	0.6641512	0.68075498	0.6641512	845999.0
2000-01-07	0.69735876	0.64754742	0.69735876	0.64754742	575999.0
2000-01-10	0.6641512	0.64754742	0.67245309	0.64754742	2354999.0
2000-01-11	0.64754742	0.60603797	0.64754742	0.60603797	1142999.0
2000-01-12	0.60603797	0.58943419	0.63924553	0.59773608	1039999.0
2000-01-13	0.62264175	0.60603797	0.62264175	0.61433986	1398999.0
2000-01-14	0.60603797	0.59773608	0.61433986	0.61433986	214999.0
2000-01-17	0.61433986	0.61433986	0.65584931	0.65584931	1265999.0
2000-01-18	0.6641512	0.64754742	0.67245309	0.65584931	961999.0
2000-01-19	0.64754742	0.63924553	0.64754742	0.64754742	989999.0
2000-01-20	0.65584931	0.64754742	0.70566065	0.69735876	4232999.0
2000-01-21	0.70566065	0.68075498	0.73056632	0.68905687	3170999.0
2000-01-24	0.68905687	0.67245309	0.68905687	0.67245309	643999.0
2000-01-26	0.67245309	0.65584931	0.67245309	0.6641512	1219999.0
2000-01-27	0.6641512	0.65584931	0.68075498	0.6641512	738999.0
2000-01-28	0.64754742	0.64754742	0.64754742	0.64754742	249999.0
2000-01-31	0.64754742	0.63924553	0.65584931	0.63924553	534999.0
2000-02-01	0.67245309	0.63924553	0.67245309	0.63924553	19999.0
2000-02-02	0.63924553	0.62264175	0.63924553	0.63094364	389999.0
2000-02-03	0.63094364	0.61433986	0.63094364	0.61433986	729999.0
2000-02-07	0.61433986	0.59773608	0.62264175	0.62264175	59999.0
2000-02-08	0.60603797	0.59773608	0.62264175	0.61433986	537999.0
2000-02-09	0.61433986	0.59773608	0.61433986	0.61433986	1344999.0
2000-02-10	0.58943419	0.5811323	0.58943419	0.5811323	445999.0
2000-02-11	0.5811323	0.5811323	0.59773608	0.5811323	840999.0
2000-02-14	0.57283041	0.55622663	0.5811323	0.56452852	1211999.0
2000-02-15	0.56452852	0.55622663	0.56452852	0.55622663	449999.0
2000-02-16	0.55622663	0.50641529	0.55622663	0.53132096	861999.0
2000-02-17	0.53132096	0.51471718	0.53132096	0.52301907	500999.0
2000-02-18	0.50641529	0.48150962	0.50641529	0.48150962	289999.0
2000-02-22	0.48150962	0.4150945	0.48150962	0.42339639	2283999.0
2000-02-23	0.39849072	0.37358505	0.39849072	0.38188694	2802999.0
2000-02-24	0.39018883	0.37358505	0.39849072	0.37358505	769999.0
2000-02-25	0.43169828	0.43169828	0.48150962	0.48150962	5442999.0
2000-02-28	0.45660395	0.4150945	0.45660395	0.43169828	1334999.0
2000-02-29	0.44000017	0.39018883	0.44830206	0.39018883	1959999.0
2000-03-01	0.39849072	0.38188694	0.39849072	0.38188694	2004999.0
2000-03-02	0.38188694	0.38188694	0.42339639	0.40679261	4569999.0
2000-03-03	0.42339639	0.40679261	0.44830206	0.4150945	7219999.0
2000-03-06	0.40679261	0.38188694	0.40679261	0.38188694	1374999.0
2000-03-07	0.36528316	0.36528316	0.39849072	0.38188694	1074999.0
2000-03-08	0.35698127	0.34867938	0.37358505	0.35698127	2029999.0
2000-03-09	0.37358505	0.34867938	0.37358505	0.34867938	4360999.0
2000-03-10	0.36528316	0.35698127	0.38188694	0.36528316	3971999.0
2000-03-13	0.36528316	0.34867938	0.36528316	0.34867938	1237999.0
2000-03-14	0.35698127	0.34037749	0.36528316	0.35698127	1317999.0
2000-03-15	0.35698127	0.34867938	0.35698127	0.34867938	550999.0
2000-03-16	0.35698127	0.34867938	0.35698127	0.34867938	379999.0
2000-03-17	0.36528316	0.35698127	0.37358505	0.36528316	2175999.0
2000-03-20	0.37358505	0.36528316	0.37358505	0.36528316	832999.0
2000-03-21	0.36528316	0.34037749	0.37358505	0.34867938	3137999.0
2000-03-22	0.35698127	0.34037749	0.35698127	0.34037749	558999.0
2000-03-23	0.34867938	0.34037749	0.34867938	0.34867938	269999.0
2000-03-24	0.35698127	0.34867938	0.36528316	0.35698127	3057999.0
2000-03-27	0.36528316	0.36528316	0.39018883	0.38188694	2380999.0
2000-03-28	0.39018883	0.39018883	0.43169828	0.4150945	4634999.0
2000-03-29	0.42339639	0.4150945	0.44000017	0.4150945	4360999.0
2000-03-30	0.42339639	0.39018883	0.42339639	0.39018883	1779999.0
2000-03-31	0.38188694	0.38188694	0.40679261	0.40679261	159999.0
2000-04-03	0.39849072	0.38188694	0.39849072	0.38188694	279999.0
