Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-05	4.0051096	4.0051096	4.2981664	4.2981664	51184.0
2000-01-06	4.1027952	4.1027952	4.1027952	4.1027952	13308.0
2000-01-07	4.151638	4.151638	4.151638	4.151638	25592.0
2000-01-14	4.0783738	4.0783738	4.0783738	4.0783738	199620.0
2000-01-17	4.1027952	4.1027952	4.1027952	4.1027952	6142.0
2000-01-19	4.1027952	4.1027952	4.3470092	4.3470092	41971.0
2000-01-21	4.395852	4.395852	4.4935376	4.4691162	77800.0
2000-01-24	4.4691162	4.4446948	4.5423804	4.5423804	112606.0
2000-01-25	4.5423804	4.5423804	4.5423804	4.5423804	2047.0
2000-01-26	4.2493236	4.2493236	4.2493236	4.2493236	1023.0
2000-01-27	4.395852	4.395852	4.4446948	4.4446948	42995.0
2000-01-28	4.4446948	4.395852	4.4935376	4.4935376	109535.0
2000-01-31	4.5423804	4.517959	4.5423804	4.517959	53232.0
2000-02-07	4.4935376	4.4935376	4.4935376	4.4935376	7165.0
2000-02-08	4.5423804	4.5423804	4.5423804	4.5423804	20473.0
2000-02-09	4.4935376	4.4935376	4.6889088	4.6889088	126937.0
2000-02-10	4.5668018	4.4935376	4.7377516	4.7377516	192454.0
2000-02-11	4.5912232	3.907424	4.5912232	3.907424	30710.0
2000-02-14	4.1272166	4.1272166	4.1272166	4.1272166	4094.0
2000-02-15	4.2004808	4.2004808	4.2004808	4.2004808	2047.0
2000-02-16	4.2493236	3.8097384	4.2493236	3.8341598	3225654.0
2000-02-18	3.8341598	3.8341598	4.1760594	4.1760594	160719.0
2000-02-24	4.1760594	4.1760594	4.1760594	4.1760594	286633.0
2000-02-28	4.1027952	4.1027952	4.1027952	4.1027952	7165.0
2000-03-01	3.5166816	3.5166816	4.151638	3.907424	64492.0
2000-03-02	3.907424	3.907424	4.1027952	4.1027952	112606.0
2000-03-03	4.2004808	4.2004808	4.2981664	4.2981664	68587.0
2000-03-06	4.395852	4.395852	4.5912232	4.5912232	46066.0
2000-03-07	4.2004808	4.2004808	4.2004808	4.2004808	3071.0
2000-03-09	4.4935376	4.4935376	4.88428	4.88428	25592.0
2000-03-28	4.029531	4.029531	4.029531	4.029531	4094.0
2000-03-29	4.1027952	3.8585812	4.6889088	4.6889088	694063.0
2000-03-30	4.0051096	4.0051096	4.5912232	4.5912232	44018.0
2000-03-31	4.1760594	4.1760594	4.5423804	4.5423804	68587.0
2000-04-04	4.5423804	4.5423804	4.5423804	4.5423804	10236.0
2000-04-18	4.395852	4.395852	4.395852	4.395852	19450.0
2000-04-19	4.395852	4.395852	4.395852	4.395852	3071.0
2000-04-27	4.2981664	4.2981664	4.2981664	4.2981664	4094.0
2000-05-12	4.2004808	4.2004808	4.2004808	4.2004808	7165.0
2000-05-18	4.2004808	4.2004808	4.2004808	4.2004808	31734.0
