Date	Price Open	Price Low	Price High	Price Close	Volume
2017-09-27	7.651246247	6.202709336	7.651246247	6.202709336	658268346
2017-09-28	6.351277225	6.202709336	6.536987085	6.276993281	137327481
2017-09-29	6.425561169	6.314135253	6.499845113	6.351277225	84777886
2017-10-02	6.388419197	6.351277225	6.611271029	6.462703141	153235854
2017-10-03	6.499845113	6.314135253	6.536987085	6.388419197	45200480
2017-10-04	6.388419197	6.276993281	6.462703141	6.276993281	31867724
2017-10-05	6.314135253	6.202709336	6.388419197	6.276993281	29487896
2017-10-06	6.314135253	6.276993281	6.908406806	6.834122862	179929450
2017-10-09	6.79698089	6.425561169	6.945548778	6.462703141	159674698
2017-10-10	6.499845113	6.388419197	6.611271029	6.574129057	61099137
2017-10-11	6.648413001	6.462703141	6.722696945	6.462703141	60069076
2017-10-12	6.499845113	6.462703141	6.722696945	6.685554973	70632688
2017-10-16	6.759838918	6.685554973	6.945548778	6.908406806	88843424
2017-10-17	6.945548778	6.834122862	7.056974694	6.908406806	94872187
2017-10-18	6.945548778	6.871264834	7.205542582	7.094116666	110765653
2017-10-19	7.094116666	6.759838918	7.131258638	6.834122862	70412940
2017-10-20	6.834122862	6.79698089	7.019832722	7.019832722	41399012
2017-10-24	7.094116666	7.019832722	7.502678359	7.279826527	161307302
2017-10-25	7.354110471	7.279826527	7.502678359	7.279826527	85256913
2017-10-27	7.316968499	7.316968499	7.799814136	7.725530191	96617127
2017-10-30	7.725530191	7.391252443	7.725530191	7.502678359	80710750
2017-10-31	7.576962303	7.502678359	7.87409808	7.651246247	116226212
2017-11-01	7.799814136	7.651246247	7.948382024	7.87409808	102133322
2017-11-02	7.799814136	7.391252443	7.948382024	7.502678359	122220901
2017-11-03	7.428394415	7.316968499	7.576962303	7.391252443	58580619
2017-11-06	7.428394415	7.391252443	7.651246247	7.576962303	27460518
2017-11-07	7.576962303	7.391252443	7.651246247	7.428394415	22791770
2017-11-08	7.428394415	7.354110471	7.502678359	7.391252443	28069184
2017-11-09	7.428394415	7.316968499	7.502678359	7.316968499	17654378
2017-11-10	6.908406806	6.536987085	7.019832722	6.536987085	100107141
2017-11-13	6.648413001	6.611271029	6.871264834	6.759838918	22402719
2017-11-14	6.759838918	6.759838918	6.908406806	6.871264834	18386162
2017-11-15	6.871264834	6.79698089	7.019832722	6.79698089	22440919
2017-11-16	6.834122862	6.79698089	6.98269075	6.908406806	16683547
2017-11-17	6.945548778	6.871264834	6.98269075	6.908406806	9439582
2017-11-20	6.908406806	6.79698089	7.131258638	7.094116666	42437591
2017-11-21	7.16840061	6.98269075	7.16840061	7.056974694	22707385
2017-11-22	7.094116666	6.908406806	7.16840061	6.98269075	17054230
2017-11-23	6.945548778	6.611271029	6.98269075	6.611271029	29671974
2017-11-24	6.648413001	6.611271029	6.834122862	6.722696945	16264948
2017-11-27	6.722696945	6.648413001	6.834122862	6.648413001	7966698
2017-11-28	6.685554973	6.685554973	6.79698089	6.722696945	8672127
2017-11-29	6.759838918	6.648413001	6.79698089	6.648413001	6631439
2017-11-30	6.685554973	6.425561169	6.685554973	6.499845113	12732608
2017-12-01	6.574129057	6.462703141	6.574129057	6.462703141	2908367
2017-12-04	6.499845113	6.239851308	6.536987085	6.239851308	15303966
2017-12-06	6.239851308	6.128425392	6.276993281	6.165567364	8700345
2017-12-07	6.128425392	6.09128342	6.314135253	6.276993281	4891423
2017-12-08	6.276993281	6.239851308	6.425561169	6.314135253	6408097
2017-12-12	6.351277225	6.239851308	6.388419197	6.239851308	3364101
2017-12-13	6.239851308	6.054141448	6.314135253	6.165567364	5506345
2017-12-14	6.128425392	6.128425392	6.351277225	6.128425392	4759255
2017-12-15	6.165567364	6.128425392	6.351277225	6.351277225	7461849
2017-12-18	6.425561169	6.388419197	6.574129057	6.462703141	18698547
2017-12-19	6.462703141	6.351277225	6.499845113	6.351277225	8170873
2017-12-20	6.351277225	6.202709336	6.388419197	6.202709336	7077191
2017-12-21	6.202709336	6.165567364	6.239851308	6.165567364	2446377
2017-12-22	6.165567364	6.165567364	6.276993281	6.202709336	3802266
2017-12-25	6.202709336	6.054141448	6.239851308	6.054141448	6046864
2017-12-26	6.09128342	5.979857504	6.128425392	6.016999476	6910949
2017-12-27	6.016999476	6.016999476	6.165567364	6.09128342	6269939
2017-12-28	6.09128342	5.979857504	6.128425392	6.016999476	3241516
2017-12-29	6.054141448	6.016999476	6.202709336	6.128425392	4200235
2018-01-03	6.09128342	5.979857504	6.128425392	5.979857504	7683727
2018-01-04	5.979857504	5.90557356	6.054141448	5.942715532	9592780
2018-01-05	5.942715532	5.942715532	6.202709336	5.979857504	34325947
2018-01-08	6.016999476	5.979857504	6.128425392	5.979857504	11915374
2018-01-09	5.979857504	5.90557356	6.016999476	5.90557356	6184489
2018-01-10	5.90557356	5.645579755	5.942715532	5.645579755	18433412
2018-01-11	5.608437783	5.385585951	5.608437783	5.534153839	19505399
2018-01-12	5.571295811	5.534153839	5.682721727	5.645579755	11905525
2018-01-15	5.682721727	5.645579755	5.868431588	5.794147644	14704084
2018-01-16	5.794147644	5.757005672	5.868431588	5.757005672	6023305
2018-01-17	5.719863699	5.719863699	5.868431588	5.794147644	4178806
2018-01-18	5.831289616	5.831289616	6.054141448	5.942715532	24052094
2018-01-19	5.942715532	5.90557356	6.016999476	5.942715532	8215328
2018-01-22	5.979857504	5.942715532	6.054141448	5.942715532	4131955
2018-01-23	5.942715532	5.90557356	5.979857504	5.90557356	3015778
2018-01-24	5.90557356	5.868431588	5.942715532	5.942715532	2771407
2018-01-25	6.016999476	5.942715532	6.128425392	5.942715532	17667555
2018-01-26	5.942715532	5.794147644	5.979857504	5.868431588	9429466
2018-01-29	5.90557356	5.831289616	6.054141448	5.979857504	6991874
2018-01-30	5.979857504	5.979857504	6.202709336	6.165567364	24221930
2018-01-31	6.128425392	6.128425392	6.314135253	6.239851308	24247352
2018-02-01	6.276993281	6.09128342	6.351277225	6.128425392	13681877
2018-02-02	6.165567364	6.09128342	6.202709336	6.09128342	4526995
2018-02-05	5.942715532	5.90557356	6.016999476	5.942715532	4778687
2018-02-06	5.831289616	5.719863699	5.942715532	5.942715532	6481169
2018-02-07	5.979857504	5.831289616	6.016999476	5.831289616	3263344
2018-02-08	5.868431588	5.831289616	5.942715532	5.831289616	1153976
2018-02-09	5.794147644	5.757005672	5.868431588	5.831289616	2010341
2018-02-12	5.868431588	5.831289616	5.90557356	5.868431588	1050158
2018-02-13	5.90557356	5.868431588	5.979857504	5.90557356	3444626
2018-02-14	5.90557356	5.90557356	6.054141448	5.942715532	4984061
2018-02-15	5.979857504	5.831289616	6.016999476	5.868431588	3993531
2018-02-16	5.90557356	5.831289616	5.942715532	5.868431588	1796317
2018-02-19	5.90557356	5.794147644	5.90557356	5.794147644	3032815
2018-02-20	5.794147644	5.794147644	5.868431588	5.794147644	1004638
2018-02-21	5.831289616	5.757005672	5.942715532	5.831289616	5732881
2018-02-22	5.831289616	5.794147644	5.90557356	5.794147644	3744767
2018-02-23	5.831289616	5.719863699	5.831289616	5.757005672	2078755
2018-02-26	5.794147644	5.757005672	5.868431588	5.794147644	1233570
2018-02-27	5.868431588	5.831289616	6.016999476	5.942715532	13266871
2018-02-28	5.942715532	5.831289616	5.979857504	5.831289616	4921371
2018-03-02	5.90557356	5.719863699	5.90557356	5.831289616	9162468
2018-03-05	5.868431588	5.757005672	5.868431588	5.757005672	2692612
2018-03-06	5.831289616	5.719863699	5.868431588	5.757005672	2941242
2018-03-07	5.757005672	5.719863699	5.794147644	5.719863699	2129998
2018-03-08	5.794147644	5.682721727	5.868431588	5.682721727	4281559
2018-03-09	5.645579755	5.422727923	5.645579755	5.534153839	7904806
2018-03-12	5.534153839	5.459869895	5.534153839	5.534153839	2918216
2018-03-13	5.459869895	5.459869895	5.571295811	5.497011867	2329914
2018-03-14	5.534153839	5.497011867	5.794147644	5.757005672	9698994
2018-03-15	5.757005672	5.757005672	5.868431588	5.794147644	4447535
2018-03-16	5.794147644	5.682721727	5.794147644	5.719863699	1690369
2018-03-19	5.719863699	5.645579755	5.719863699	5.682721727	799132
2018-03-20	5.682721727	5.682721727	5.757005672	5.719863699	963510
2018-03-21	5.719863699	5.719863699	5.831289616	5.757005672	3070616
