Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-13	1.62842506	1.62842506	1.62842506	1.62842506	62176.0
2001-10-18	1.648529073	1.648529073	1.648529073	1.648529073	93264.0
2001-10-19	1.648529073	1.648529073	1.749049138	1.749049138	348189.0
2011-01-28	33.75	33.5	35.25	35.0	315700.0
2018-09-21	15.4	15.4	15.4	15.4	10000.0
2020-06-02	28.0	27.5	28.0	27.5	50000.0
2020-06-10	26.75	26.75	26.75	26.75	100000.0
2020-06-16	28.0	27.5	28.0	27.5	17900.0
2020-06-17	28.25	28.25	28.25	28.25	90000.0
2020-06-30	28.25	27.25	28.25	27.25	37800.0
2020-07-01	29.25	29.25	29.25	29.25	6600.0
2020-07-02	29.0	29.0	29.0	29.0	8000.0
2020-07-03	29.5	29.5	31.25	31.25	27600.0
2020-07-07	32.25	30.75	32.25	30.75	50000.0
2020-07-13	29.25	28.75	29.25	28.75	50100.0
2020-07-17	29.25	29.0	29.25	29.0	50000.0
2020-07-22	26.25	26.25	26.25	26.25	18300.0
2020-07-23	25.25	24.5	25.25	24.5	9900.0
2020-08-03	25.5	25.5	25.5	25.5	100100.0
2020-08-05	26.75	26.5	27.0	26.75	130700.0
2020-08-10	28.75	28.75	28.75	28.75	100.0
2020-08-11	29.25	28.0	29.25	28.0	3800.0
2020-08-13	27.25	25.75	27.25	25.75	125000.0
2020-08-14	26.25	26.25	26.25	26.25	600.0
2020-08-18	27.0	27.0	27.25	27.25	30700.0
2020-08-19	27.75	27.75	27.75	27.75	80000.0
2020-08-20	27.0	27.0	27.0	27.0	700.0
2020-11-11	25.5	25.5	26.0	25.75	104100.0
2020-12-09	25.5	25.5	25.5	25.5	12600.0
2021-05-05	49.25	49.25	49.25	49.25	100.0
2021-05-06	49.25	46.25	49.25	47.0	2200.0
2021-05-14	47.0	47.0	47.0	47.0	1000.0
2021-09-07	38.25	38.25	38.25	38.25	500.0
2022-07-04	8.6	8.6	8.6	8.6	500.0
2022-07-05	19.7	19.7	19.7	19.7	500.0
