Date	Price Open	Price Low	Price High	Price Close	Volume
2021-07-23	3.54	3.24	3.72	3.28	716790000
2021-07-27	3.32	3.02	3.32	3.02	57701900
2021-07-29	3.02	2.86	3.1	2.9	37922900
2021-07-30	2.9	2.84	3.06	2.84	70516600
2021-08-02	2.84	2.72	2.86	2.78	19160700
2021-08-03	2.78	2.78	2.92	2.84	42504700
2021-08-04	2.86	2.78	2.86	2.8	14273300
2021-08-05	2.86	2.84	2.94	2.84	36582000
2021-08-06	2.86	2.76	2.88	2.78	16895100
2021-08-09	2.82	2.78	2.82	2.8	6415700
2021-08-10	2.82	2.76	2.82	2.78	6945600
2021-08-11	2.78	2.64	2.8	2.64	23720900
2021-08-13	2.66	2.48	2.7	2.52	10756100
2021-08-16	2.5	2.36	2.52	2.38	6644200
2021-08-17	2.4	2.4	2.52	2.46	7342300
2021-08-18	2.48	2.48	2.56	2.5	4938800
2021-08-19	2.5	2.46	2.52	2.46	3193000
2021-08-20	2.5	2.46	2.54	2.5	4027600
2021-08-23	2.54	2.54	2.64	2.62	9949000
2021-08-24	2.64	2.64	2.76	2.7	12466300
2021-08-25	2.76	2.68	2.76	2.7	3447600
2021-08-26	2.7	2.7	2.78	2.74	5174000
2021-08-27	2.74	2.68	2.76	2.68	4234200
2021-08-30	2.72	2.68	2.74	2.7	2380500
2021-08-31	2.72	2.64	2.72	2.64	6033900
2021-09-01	2.64	2.6	2.68	2.62	2567100
2021-09-02	2.64	2.62	2.7	2.62	5004100
2021-09-03	2.64	2.58	2.66	2.58	4316600
2021-09-06	2.58	2.58	2.64	2.6	3758600
2021-09-07	2.6	2.58	2.72	2.62	13305300
2021-09-08	2.62	2.54	2.64	2.56	5038500
2021-09-09	2.56	2.56	2.62	2.58	3015900
2021-09-10	2.58	2.54	2.66	2.58	6441800
2021-09-13	2.62	2.56	2.66	2.6	5034700
2021-09-14	2.58	2.56	2.6	2.56	3650300
2021-09-15	2.6	2.56	2.68	2.58	15213900
2021-09-16	2.58	2.56	2.6	2.56	3742200
2021-09-17	2.58	2.54	2.6	2.54	3153000
2021-09-20	2.56	2.48	2.58	2.5	4521500
2021-09-21	2.46	2.44	2.5	2.48	3600400
2021-09-22	2.5	2.48	2.56	2.52	5240400
2021-09-23	2.54	2.5	2.56	2.5	7008100
2021-09-27	2.52	2.46	2.54	2.46	3558900
2021-09-28	2.46	2.46	2.5	2.46	2400400
2021-09-29	2.46	2.46	2.52	2.48	3155800
2021-09-30	2.48	2.42	2.5	2.42	2776400
2021-10-01	2.44	2.38	2.46	2.4	3501600
2021-10-04	2.42	2.38	2.44	2.4	1656000
2021-10-05	2.4	2.38	2.42	2.4	1855900
2021-10-06	2.38	2.38	2.42	2.42	1550900
2021-10-07	2.44	2.42	2.52	2.48	6599000
2021-10-08	2.5	2.46	2.5	2.48	1113200
2021-10-11	2.5	2.46	2.54	2.48	3568600
2021-10-12	2.48	2.46	2.5	2.46	2606000
2021-10-14	2.48	2.46	2.48	2.46	643300
2021-10-15	2.46	2.46	2.5	2.48	1131200
2021-10-18	2.48	2.46	2.48	2.46	588400
2021-10-19	2.46	2.4	2.48	2.4	1573800
2021-10-20	2.4	2.4	2.44	2.44	1125000
2021-10-21	2.42	2.42	2.6	2.52	13887500
2021-10-25	2.52	2.52	2.6	2.54	4802300
