Date	Price Open	Price Low	Price High	Price Close	Volume
2020-07-02	28.0	28.0	29.875	29.875	118000.0
2020-07-03	31.5	31.5	34.0	34.0	77800.0
2020-07-07	36.5	34.75	40.0	40.0	243800.0
2020-07-09	35.0	35.0	36.875	36.875	2400.0
2020-07-14	37.0	37.0	37.0	37.0	200.0
2020-07-15	35.5	35.5	35.5	35.5	16000.0
2020-07-30	35.5	35.5	35.5	35.5	2000.0
2020-08-13	35.0	35.0	35.0	35.0	200.0
2020-11-16	39.0	39.0	39.0	39.0	600.0
2020-11-24	36.5	36.5	36.5	36.5	600.0
2021-03-25	40.5	40.5	40.5	40.5	15000.0
2021-04-01	40.75	40.75	40.75	40.75	100.0
2021-06-09	43.0	43.0	43.0	43.0	300.0
2021-06-10	42.75	42.75	42.75	42.75	300.0
2021-09-03	14.6	14.6	14.6	14.6	1000.0
2021-09-07	36.25	36.25	36.25	36.25	1000.0
2021-11-01	29.75	29.75	29.75	29.75	1000.0
