Date	Price Open	Price Low	Price High	Price Close	Volume
2005-02-11	10.757585145	39.49345248	39.49345248	39.49345248	72.0
2005-02-15	9.287969688	37.414849718	38.107717305	37.414849718	3896.0
2005-02-16	9.523108162	37.761283511	38.800584892	38.800584892	86.0
2005-02-18	9.346754307	36.72198213	38.800584892	38.800584892	8024.0
2005-02-21	9.346754307	37.414849718	38.800584892	38.107717305	5123.0
2005-02-22	9.170400452	36.72198213	37.414849718	36.72198213	577.0
2005-02-25	8.288631178	37.414849718	37.414849718	37.414849718	57.0
2005-02-28	7.465646522	37.414849718	41.572055242	41.572055242	14331.0
2005-03-01	8.053492704	37.414849718	40.879187655	40.879187655	1587.0
2005-03-02	8.112277323	38.454151099	42.957790417	40.879187655	6278.0
2005-03-03	7.87713885	38.454151099	38.800584892	38.454151099	2886.0
2005-03-04	8.171061941	37.761283511	44.343525591	42.957790417	40166.0
2005-03-07	8.347415796	42.264922829	44.689959385	43.30422421	5700.0
2005-03-08	8.288631178	41.225621448	42.611356623	41.225621448	5917.0
2005-03-09	8.817692742	39.839886273	40.532753861	39.839886273	2193.0
2005-03-10	9.22918507	40.186320067	41.572055242	41.572055242	9381.0
2005-03-11	9.405538925	41.225621448	41.918489036	41.225621448	13104.0
2005-03-14	9.052831215	40.879187655	45.036393179	45.036393179	96252.0
2005-03-16	8.464985032	48.500731116	54.736539402	53.004370433	338260.0
2005-03-17	8.288631178	51.965069052	55.082973195	51.965069052	198017.0
2005-03-18	8.112277323	50.232900084	53.350804227	51.965069052	87433.0
2005-03-21	7.994708086	50.579333878	52.65793664	50.579333878	54397.0
2005-03-22	8.112277323	50.579333878	51.965069052	51.272201465	7764.0
2005-03-23	8.171061941	51.272201465	51.965069052	51.272201465	779.0
2005-03-24	8.171061941	47.807863528	51.618635259	47.807863528	18906.0
2005-03-25	8.464985032	48.847164909	51.618635259	50.925767671	63172.0
2005-03-28	8.817692742	50.232900084	53.350804227	52.65793664	160376.0
2005-03-29	8.582554269	49.88646629	53.697238021	49.88646629	104796.0
2005-03-30	8.758908124	50.232900084	51.965069052	51.272201465	48494.0
2005-03-31	9.170400452	50.579333878	51.272201465	50.579333878	26267.0
2005-04-01	8.935261979	50.579333878	51.618635259	50.925767671	27999.0
2005-04-04	8.582554269	48.500731116	50.579333878	49.540032497	15731.0
2005-04-05	8.523769651	48.154297322	50.925767671	50.579333878	5195.0
2005-04-08	7.642000377	49.540032497	50.925767671	49.540032497	13711.0
2005-04-11	8.171061941	48.847164909	51.618635259	50.925767671	26411.0
2005-04-12	7.935923468	50.232900084	52.311502846	51.965069052	36240.0
2005-04-18	7.87713885	49.88646629	50.579333878	49.88646629	9236.0
2005-04-19	8.112277323	49.88646629	52.65793664	52.311502846	46199.0
2005-04-20	8.347415796	54.043671814	56.122274577	55.429406989	107639.0
2005-04-21	8.053492704	55.429406989	57.854443545	56.122274577	187149.0
2005-04-22	8.053492704	54.390105608	56.815142164	54.390105608	43947.0
2005-04-25	8.229846559	54.043671814	55.775840783	54.390105608	55133.0
2005-04-26	8.053492704	54.736539402	56.122274577	55.429406989	55017.0
2005-04-27	8.229846559	54.390105608	57.508009751	55.429406989	153535.0
2005-04-28	8.053492704	55.429406989	56.46870837	56.122274577	29731.0
2005-04-29	8.112277323	54.043671814	56.122274577	54.043671814	21216.0
2005-05-03	7.994708086	51.965069052	55.082973195	53.350804227	192619.0
2005-05-04	7.818354231	53.67609208	60.507594709	54.164056554	112057.0
2005-05-06	8.112277323	53.188127607	55.627949974	54.164056554	28075.0
2005-05-09	7.994708086	51.724234186	53.67609208	52.700163133	20411.0
2005-05-10	7.994708086	50.74830524	54.652021027	54.164056554	11886.0
2005-05-11	7.994708086	50.74830524	53.188127607	53.188127607	4610.0
2005-05-12	8.112277323	52.21219866	52.700163133	52.21219866	3319.0
2005-05-13	8.112277323	54.164056554	54.652021027	54.652021027	3073.0
2005-05-16	8.171061941	53.67609208	55.627949974	55.627949974	36457.0
2005-05-17	8.523769651	53.67609208	57.091843394	53.67609208	32891.0
2005-05-18	8.523769651	52.700163133	55.627949974	53.67609208	43650.0
2005-05-19	8.464985032	53.67609208	54.652021027	53.67609208	17726.0
