Date	Price Open	Price Low	Price High	Price Close	Volume
2018-12-19	2.444442	2.444442	2.6222196	2.555553	41512766.0
2018-12-20	2.5333308	2.3555532	2.555553	2.3555532	17582867.0
2018-12-21	2.3111088	2.16888672	2.3777754	2.2666644	13442863.0
2018-12-24	2.2888866	2.2666644	2.3999976	2.3999976	6465831.0
2018-12-25	2.3555532	2.2888866	2.3999976	2.3111088	3899028.0
2018-12-26	2.333331	2.333331	2.4222198	2.333331	1570276.0
2018-12-27	2.3777754	2.2888866	2.3999976	2.2888866	1001476.0
2018-12-28	2.2888866	2.2888866	2.3555532	2.3555532	949950.0
2019-01-02	2.3555532	2.3111088	2.3999976	2.3999976	376200.0
2019-01-03	2.3777754	2.3111088	2.3777754	2.3111088	789300.0
2019-01-04	2.3111088	2.2888866	2.333331	2.333331	305775.0
2019-01-07	2.333331	2.2666644	2.333331	2.2666644	581175.0
2019-01-08	2.2666644	2.2444422	2.444442	2.3555532	2687177.0
2019-01-09	2.3555532	2.3555532	2.444442	2.3999976	1286551.0
2019-01-10	2.4666642	2.3555532	2.4888864	2.3777754	1045801.0
2019-01-11	2.3999976	2.333331	2.4222198	2.333331	588375.0
2019-01-14	2.333331	2.333331	2.444442	2.3555532	899325.0
2019-01-15	2.3777754	2.333331	2.3999976	2.333331	356850.0
2019-01-16	2.3555532	2.3111088	2.3999976	2.333331	485550.0
2019-01-17	2.3555532	2.333331	2.3555532	2.333331	193500.0
2019-01-18	2.3555532	2.333331	2.3555532	2.333331	232875.0
2019-01-21	2.3555532	2.3555532	2.3777754	2.3555532	82350.0
2019-01-22	2.3555532	2.3555532	2.4222198	2.3555532	389250.0
2019-01-23	2.3555532	2.333331	2.3999976	2.3999976	563625.0
2019-01-24	2.3999976	2.3555532	2.4222198	2.3555532	591300.0
2019-01-25	2.3555532	2.333331	2.3555532	2.3555532	368100.0
2019-01-28	2.3555532	2.333331	2.4222198	2.3555532	997875.0
2019-01-29	2.3555532	2.3111088	2.3777754	2.3111088	515700.0
2019-01-30	2.3555532	2.2888866	2.3555532	2.2888866	504675.0
2019-01-31	2.3111088	2.3111088	2.3999976	2.3555532	1152226.0
2019-02-01	2.3555532	2.333331	2.3777754	2.3555532	318600.0
2019-02-04	2.3111088	2.2888866	2.333331	2.2888866	833850.0
2019-02-05	2.3111088	2.2888866	2.3111088	2.3111088	328275.0
2019-02-06	2.2888866	2.2888866	2.3111088	2.2888866	289800.0
2019-02-07	2.3111088	2.22222	2.3111088	2.2444422	919125.0
2019-02-08	2.2444422	2.2444422	2.2444422	2.2444422	181350.0
2019-02-11	2.2444422	2.22222	2.2444422	2.22222	258075.0
2019-02-12	2.22222	2.22222	2.2444422	2.22222	202500.0
2019-02-13	2.2444422	2.2444422	2.2444422	2.2444422	108225.0
2019-02-14	2.2666644	2.20444224	2.2666644	2.20444224	348750.0
2019-02-15	2.20444224	2.20444224	2.21333112	2.20444224	165825.0
2019-02-18	2.21333112	2.20444224	2.21333112	2.21333112	89100.0
2019-02-20	2.20444224	2.20444224	2.21333112	2.20444224	154125.0
2019-02-21	2.21333112	2.20444224	2.21333112	2.21333112	76500.0
2019-02-22	2.20444224	2.20444224	2.22222	2.22222	144450.0
2019-02-25	2.21333112	2.21333112	2.22222	2.21333112	70200.0
2019-02-26	2.21333112	2.20444224	2.21333112	2.20444224	124425.0
2019-02-27	2.1777756	2.15999784	2.22222	2.1777756	134550.0
2019-02-28	2.21333112	2.1777756	2.21333112	2.1777756	188325.0
2019-03-01	2.19555336	2.19555336	2.2444422	2.21333112	632250.0
2019-03-04	2.21333112	2.21333112	2.2444422	2.22222	158625.0
2019-03-05	2.2444422	2.22222	2.2888866	2.22222	401850.0
2019-03-06	2.22222	2.22222	2.2666644	2.22222	330750.0
2019-03-07	2.22222	2.22222	2.2666644	2.2444422	260550.0
2019-03-08	2.22222	2.22222	2.2666644	2.2666644	55125.0
2019-03-11	2.22222	2.22222	2.3111088	2.2666644	371475.0
2019-03-12	2.2666644	2.2666644	2.2666644	2.2666644	93600.0
2019-03-13	2.2444422	2.2444422	2.2444422	2.2444422	55800.0
2019-03-14	2.2444422	2.2444422	2.2888866	2.2888866	297450.0
2019-03-15	2.2666644	2.2444422	2.2888866	2.2444422	351000.0
2019-03-18	2.2444422	2.2444422	2.2666644	2.2444422	31500.0
