Date	Price Open	Price Low	Price High	Price Close	Volume
2022-06-14	20.0	18.4	22.1	18.8	135551500
2022-06-15	18.9	17.0	19.1	17.2	18867900
2022-06-16	17.6	16.8	17.7	16.8	5879900
2022-06-17	17.2	17.0	18.1	17.7	23935400
2022-06-20	17.5	16.9	18.1	17.1	9624200
2022-06-21	17.2	16.9	17.4	16.9	2315600
2022-06-22	16.9	16.0	17.0	16.1	3086600
2022-06-23	16.2	15.9	16.3	16.0	1225400
2022-06-24	16.2	16.0	16.6	16.1	2400900
2022-06-27	16.2	16.1	16.5	16.1	1177900
2022-06-28	16.1	15.9	16.2	15.9	803600
2022-06-29	15.9	15.3	15.9	15.5	1920400
2022-06-30	15.5	14.5	15.8	14.7	2834900
2022-07-01	14.8	13.9	15.0	13.9	2045600
2022-07-04	14.0	13.6	14.2	13.6	1729100
2022-07-05	13.8	12.5	13.8	12.5	1729200
2022-07-06	12.7	12.2	12.8	12.4	1272600
2022-07-07	12.7	12.6	13.4	13.1	1955300
2022-07-08	13.1	12.8	13.4	12.8	824800
2022-07-11	12.8	12.5	12.8	12.5	554200
2022-07-12	12.6	12.3	12.8	12.5	595100
2022-07-14	12.6	12.4	12.9	12.5	507800
2022-07-15	12.5	12.3	12.7	12.5	453300
2022-07-18	12.7	12.6	13.6	13.4	2398500
2022-07-19	13.3	12.9	13.4	13.1	862000
2022-07-20	13.2	13.1	13.8	13.5	2123800
2022-07-21	13.5	13.2	13.7	13.5	642300
2022-07-22	13.6	13.0	13.8	13.1	1080600
2022-07-25	13.1	13.1	13.4	13.2	216400
2022-07-26	13.2	13.2	13.7	13.2	954900
2022-07-27	13.4	13.3	13.5	13.3	291500
2022-08-01	13.4	13.3	13.9	13.7	1942500
2022-08-02	13.6	13.6	13.9	13.6	642900
2022-08-03	13.7	13.4	13.8	13.6	487900
2022-08-04	13.7	13.6	15.0	14.6	4388700
2022-08-05	14.4	14.4	14.8	14.7	783800
2022-08-08	14.9	14.4	15.0	14.5	657000
2022-08-09	14.7	14.4	14.8	14.4	339600
2022-08-10	14.5	13.7	14.5	13.7	927500
2022-08-11	13.9	13.7	14.4	14.0	1007800
2022-08-15	14.0	13.8	14.4	14.0	957200
2022-08-16	14.1	13.5	14.1	13.8	2448300
2022-08-17	14.0	13.7	14.2	14.2	350000
2022-08-18	14.3	14.1	14.4	14.3	271300
2022-08-19	14.3	14.3	15.0	14.8	1950500
2022-08-22	14.7	14.5	14.9	14.6	525600
2022-08-23	14.6	14.4	14.8	14.7	212600
2022-08-24	14.7	14.7	15.8	15.4	3286200
2022-08-25	15.3	15.0	15.6	15.2	1310500
2022-08-26	15.3	15.0	15.4	15.1	322300
2022-08-29	14.8	14.7	15.2	15.1	592800
2022-08-30	15.1	14.8	15.4	15.3	446100
2022-08-31	15.3	14.8	15.4	14.9	316700
2022-09-01	15.0	14.1	15.0	14.3	1278500
2022-09-02	14.5	14.1	14.5	14.3	485800
2022-09-05	14.4	14.3	14.9	14.6	744400
2022-09-06	14.7	14.7	15.6	15.4	1974500
2022-09-07	15.4	15.3	16.1	15.4	1736600
2022-09-08	15.4	15.2	16.2	16.1	2153800
2022-09-09	16.0	15.8	16.1	15.8	619100
2022-09-12	15.9	15.8	16.2	16.0	573000
2022-09-13	16.0	16.0	17.6	17.4	2737500
2022-09-14	17.1	17.1	18.4	18.2	4173300
2022-09-15	18.2	17.5	18.6	17.8	2228900
2022-09-16	17.8	17.3	17.9	17.3	983600
2022-09-19	17.3	16.5	17.6	16.6	2413800
2022-09-20	16.8	16.8	17.5	17.2	1542800
2022-09-21	17.1	16.9	17.8	17.2	960300
2022-09-22	17.1	17.1	17.7	17.6	1277100
2022-09-23	17.7	17.3	17.7	17.4	376300
2022-09-26	17.4	16.2	17.4	16.4	2563000
2022-09-27	16.7	15.7	16.9	15.7	1638600
2022-09-28	15.7	15.3	15.8	15.6	565700
2022-09-29	15.8	14.9	15.9	15.0	1240200
2022-09-30	15.2	14.6	15.2	15.1	413400
2022-10-03	15.1	14.9	15.3	14.9	210900
2022-10-04	15.2	14.9	15.5	15.4	251100
2022-10-05	15.6	15.2	15.6	15.2	106200
2022-10-06	15.1	15.1	15.6	15.3	159800
2022-10-07	15.3	14.9	15.3	15.1	205900
2022-10-10	14.9	14.6	15.1	15.0	256800
2022-10-11	14.7	14.7	15.3	15.1	149500
2022-10-12	15.0	14.9	15.4	15.2	127900
2022-10-17	15.2	14.9	15.4	15.4	90000
2022-10-18	15.6	15.4	15.9	15.4	1173000
2022-10-19	15.6	14.8	15.6	15.0	788500
2022-10-20	15.0	14.8	15.3	15.1	466200
2022-10-21	15.2	14.6	15.2	14.6	704300
2022-10-25	14.7	14.6	15.0	14.9	424700
2022-10-26	14.8	14.0	14.9	14.2	871500
2022-10-27	14.2	14.0	14.5	14.4	440900
2022-10-28	14.4	14.0	14.4	14.0	337500
2022-10-31	14.2	13.9	14.3	13.9	202500
2022-11-01	13.9	13.9	14.3	14.3	143300
2022-11-02	14.4	14.3	14.7	14.5	635200
2022-11-03	14.6	14.6	14.9	14.7	492400
2022-11-04	14.9	14.8	15.3	15.1	838900
2022-11-07	15.4	14.9	15.4	15.0	311400
2022-11-08	15.0	14.8	15.2	14.9	228100
2022-11-09	15.2	14.7	15.2	14.8	181200
2022-11-10	14.8	14.8	15.4	15.1	1173700
2022-11-11	15.2	14.8	15.3	15.1	556900
2022-11-14	15.2	14.7	15.3	14.8	643200
2022-11-15	14.9	14.8	15.1	14.9	151200
2022-11-16	14.9	14.9	16.2	16.1	3300600
2022-11-17	16.3	15.7	16.3	15.9	937600
2022-11-18	16.0	15.3	16.2	15.9	644700
2022-11-21	16.0	15.7	16.8	16.6	1732500
2022-11-22	16.6	15.7	17.0	15.8	1819500
2022-11-23	15.9	15.8	16.7	16.7	1027500
2022-11-24	16.7	16.3	16.9	16.5	807500
2022-11-25	16.7	16.1	17.0	17.0	900900
2022-11-28	17.0	16.8	17.3	17.2	552200
2022-11-29	17.2	16.5	17.2	16.9	626100
2022-11-30	17.0	16.8	17.5	17.3	1000300
2022-12-01	17.4	16.0	17.4	16.2	3031700
2022-12-02	16.0	16.0	16.3	16.1	426100
2022-12-06	16.2	16.0	16.5	16.1	727800
2022-12-07	15.9	15.3	15.9	15.3	1513300
2022-12-08	15.2	15.1	15.5	15.3	373700
2022-12-09	15.3	15.2	15.7	15.5	555600
2022-12-13	15.6	15.2	15.7	15.2	302200
2022-12-14	15.2	14.9	15.5	15.1	338000
2022-12-15	15.1	14.5	15.1	14.8	507800
2022-12-16	14.8	14.5	15.1	14.8	557100
2022-12-19	14.6	14.3	14.8	14.3	285700
2022-12-20	14.2	13.7	14.3	13.9	469800
2022-12-21	13.9	13.7	14.0	13.8	63100
2022-12-22	13.8	13.6	13.9	13.7	273600
2022-12-23	13.7	13.6	13.8	13.7	88500
2022-12-26	13.7	13.7	14.0	14.0	92500
2022-12-27	14.1	14.0	14.4	14.1	130800
2022-12-28	14.1	13.9	14.2	14.0	168100
2022-12-29	14.1	14.0	14.1	14.1	23000
2022-12-30	14.1	13.9	14.1	14.0	115600
