Date	Price Open	Price Low	Price High	Price Close	Volume
2014-04-03	3.965552	3.90606872	6.1466056	6.1466056	575914374.0
2014-04-04	6.196175	4.95694	6.7910078	5.1552176	234820978.0
2014-04-08	5.204787	5.1552176	5.6509116	5.3039258	92000407.0
2014-04-09	5.452634	5.1056482	5.5022034	5.1056482	55631397.0
2014-04-10	5.1056482	4.79831792	5.1552176	4.79831792	26004752.0
2014-04-11	4.77849016	4.77849016	5.452634	5.4030646	60146078.0
2014-04-16	5.452634	5.1056482	5.5022034	5.204787	38744063.0
2014-04-17	5.1552176	5.0560788	5.3039258	5.0560788	18841059.0
2014-04-18	5.1056482	4.91728448	5.1056482	4.91728448	11767138.0
2014-04-21	4.93711224	4.87762896	5.1056482	4.87762896	13604865.0
2014-04-22	4.91728448	4.89745672	5.204787	5.1056482	23635851.0
2014-04-23	5.1056482	5.0065094	5.1056482	5.0065094	9688739.0
2014-04-24	5.0560788	4.95694	5.1056482	4.95694	6343026.0
2014-04-25	5.0065094	4.8578012	5.0065094	4.8578012	7344248.0
2014-04-28	4.89745672	4.87762896	5.0560788	4.91728448	13546361.0
2014-04-29	5.0065094	4.95694	5.1552176	5.1056482	22912825.0
2014-04-30	5.1552176	4.95694	5.204787	5.0065094	14440562.0
2014-05-02	5.0560788	4.93711224	5.1056482	4.95694	4701186.0
2014-05-06	5.0065094	4.7586624	5.0065094	4.77849016	7538925.0
2014-05-07	4.77849016	4.77849016	4.93711224	4.83797344	8734420.0
2014-05-08	4.8578012	4.6595236	4.8578012	4.6595236	7151286.0
2014-05-09	4.69917912	4.6595236	4.73883464	4.6595236	2493473.0
2014-05-12	4.69917912	4.61986808	4.69917912	4.61986808	1398846.0
2014-05-14	4.6595236	4.6595236	5.0065094	4.95694	29384660.0
2014-05-15	4.95694	4.79831792	5.1056482	4.81814568	19730720.0
2014-05-16	4.81814568	4.69917912	4.87762896	4.71900688	4889609.0
2014-05-19	4.83797344	4.81814568	5.0560788	5.0065094	23774243.0
2014-05-20	4.95694	4.91728448	5.5517728	5.3534952	110727081.0
2014-05-21	5.4030646	5.3039258	5.5517728	5.3534952	58394089.0
2014-05-22	5.4030646	5.1552176	5.5022034	5.5022034	33844165.0
2014-05-23	5.3039258	5.3039258	7.1379936	7.1379936	281854531.0
2014-05-26	6.8405772	6.4935914	7.2371324	6.6422996	180209060.0
2014-05-27	6.7910078	6.5431608	7.0884242	6.5927302	89429163.0
2014-05-28	6.7414384	5.9978974	6.7910078	6.0474668	43906018.0
2014-05-29	6.1466056	6.0970362	6.444022	6.2953138	40326491.0
2014-05-30	6.3448832	6.2953138	6.5431608	6.3448832	26988726.0
2014-06-02	6.3944526	6.2953138	6.939716	6.6422996	82233595.0
2014-06-03	6.7910078	6.6422996	7.3858406	7.0388548	148413033.0
2014-06-04	7.0884242	6.7910078	7.2867018	6.8901466	55058463.0
2014-06-05	6.9892854	6.8901466	7.1379936	6.9892854	26945555.0
2014-06-06	7.0388548	6.9892854	7.4849794	7.1379936	97830314.0
2014-06-09	7.1379936	6.939716	7.2371324	6.939716	37541910.0
2014-06-10	6.939716	6.939716	7.2867018	7.187563	42788897.0
2014-06-11	7.43541	7.2867018	7.931104	7.3858406	148089143.0
2014-06-12	7.3362712	7.187563	7.43541	7.2867018	18964421.0
2014-06-13	7.3362712	7.2867018	7.6336876	7.43541	30596900.0
2014-06-16	7.4849794	7.43541	7.6336876	7.5345488	28542407.0
2014-06-17	7.7328264	7.6336876	7.931104	7.683257	73876524.0
2014-06-18	7.7328264	7.3858406	7.7328264	7.3858406	23342929.0
2014-06-19	7.43541	7.2867018	7.5345488	7.3858406	16864234.0
2014-06-20	7.3858406	7.2867018	7.43541	7.3362712	9169870.0
2014-06-23	7.3362712	7.2867018	7.4849794	7.2867018	9685209.0
2014-06-24	7.2867018	7.1379936	7.3362712	7.187563	7035590.0
2014-06-25	7.2371324	7.187563	7.4849794	7.3858406	9533502.0
2014-06-26	7.4849794	7.3362712	7.5841182	7.3362712	14005918.0
2014-06-27	7.3858406	7.2371324	7.3858406	7.2371324	4261096.0
2014-06-30	7.2867018	7.187563	7.3362712	7.187563	3179885.0
2014-07-02	7.2371324	7.2371324	7.3858406	7.2371324	3747372.0
2014-07-03	7.2867018	7.2371324	7.4849794	7.3362712	8355860.0
2014-07-04	7.43541	7.3858406	7.683257	7.5841182	23608516.0
2014-07-07	7.683257	7.43541	7.9806734	7.5345488	45011135.0
2014-07-08	7.5841182	7.43541	7.5841182	7.43541	6859070.0
2014-07-09	7.3858406	7.3858406	7.5345488	7.3858406	4216411.0
2014-07-10	7.43541	7.3858406	7.5345488	7.3858406	8378253.0
2014-07-14	7.43541	7.3362712	7.5345488	7.43541	10164032.0
2014-07-15	7.4849794	7.3858406	7.6336876	7.43541	10468151.0
2014-07-16	7.4849794	7.3858406	7.5345488	7.43541	4765540.0
2014-07-17	7.4849794	7.43541	7.7328264	7.683257	22980508.0
2014-07-18	7.683257	7.4849794	7.7328264	7.4849794	8056785.0
2014-07-21	7.5345488	7.43541	7.683257	7.683257	12951336.0
2014-07-22	7.7328264	7.3858406	7.7328264	7.3858406	13541015.0
2014-07-23	7.43541	7.3858406	7.5345488	7.4849794	4070959.0
2014-07-24	7.5345488	7.4849794	8.5259368	8.426798	85384935.0
2014-07-25	8.3772286	8.178951	8.7737838	8.3772286	53249686.0
2014-07-28	8.3276592	8.2780898	9.418186	9.2199084	79467574.0
2014-07-29	9.3686166	8.674645	9.5173248	8.8233532	42780929.0
2014-07-30	8.7737838	7.7823958	8.8233532	8.426798	34894108.0
2014-07-31	8.3772286	7.7823958	8.6250756	7.7823958	25922847.0
2014-08-01	7.5841182	7.5841182	8.3276592	8.2285204	20529197.0
2014-08-04	8.2285204	8.178951	8.6250756	8.4763674	16064346.0
2014-08-05	8.4763674	8.4763674	9.3190472	9.2199084	55691918.0
