Date	Price Open	Price Low	Price High	Price Close	Volume
2021-10-05	2.88	2.8	4.02	3.54	2129874400
2021-10-06	3.6	3.56	4.6	4.6	1277024300
2021-10-07	4.76	4.76	5.95	5.85	761412300
2021-10-08	6.5	6.25	7.45	6.75	693393600
2021-10-11	6.9	5.6	7.0	5.6	262935600
2021-10-12	5.6	5.3	6.6	6.55	517378800
2021-10-14	6.15	5.75	6.25	6.05	74815900
2021-10-15	6.0	5.5	6.15	5.65	28910900
2021-10-18	5.75	5.45	5.85	5.85	22323800
2021-10-19	5.8	5.55	5.85	5.6	10750300
2021-10-20	5.6	5.5	5.8	5.6	12632400
2021-10-21	5.55	5.5	5.65	5.6	6157800
2021-10-25	5.55	5.2	5.65	5.25	14235000
2021-10-26	5.3	5.2	5.45	5.35	12062000
2021-10-27	5.3	5.1	5.35	5.1	6484000
2021-10-28	5.1	4.9	5.15	4.94	13832900
2021-10-29	4.96	4.74	4.96	4.88	12778900
2021-11-01	4.94	4.94	5.2	5.15	19209600
2021-11-02	5.05	4.86	5.15	5.05	13314600
2021-11-03	5.15	5.1	5.85	5.6	159845900
2021-11-04	5.65	5.4	5.8	5.4	55034700
2021-11-05	5.45	5.1	5.45	5.1	22666400
2021-11-08	4.92	4.8	4.96	4.92	15759900
2021-11-09	4.86	4.86	4.96	4.92	3665600
2021-11-10	4.94	4.94	5.25	5.2	11502600
2021-11-11	5.25	5.0	5.25	5.05	5461900
2021-11-12	5.05	5.0	5.15	5.1	4148300
2021-11-15	5.1	4.96	5.15	5.05	5582200
2021-11-16	5.0	4.9	5.5	5.4	19273200
2021-11-17	5.45	5.15	5.55	5.55	19812000
2021-11-18	5.45	5.45	5.75	5.7	17614300
2021-11-19	5.7	5.5	5.7	5.5	8154500
2021-11-22	5.5	5.25	5.6	5.45	9630300
2021-11-23	5.5	5.45	6.35	6.25	80523700
2021-11-24	6.25	6.05	6.5	6.4	36399800
2021-11-25	6.4	5.4	6.45	5.7	86309900
2021-11-26	5.85	5.55	5.9	5.75	42989500
2021-11-29	5.6	5.5	5.8	5.7	10623100
2021-11-30	5.7	5.5	5.75	5.6	10678000
2021-12-01	5.65	5.5	6.0	5.9	28379100
2021-12-02	5.8	5.75	6.2	6.1	35116800
2021-12-03	6.1	5.9	6.2	6.0	18495200
2021-12-07	5.95	5.5	6.1	5.8	32557600
2021-12-08	5.8	5.6	5.85	5.7	12630800
2021-12-09	5.65	5.65	5.8	5.8	8849700
2021-12-13	5.85	5.7	5.9	5.85	10522300
2021-12-14	5.8	5.8	6.0	5.9	14487000
2021-12-15	5.95	5.85	6.2	6.0	36766900
2021-12-16	6.0	5.95	6.15	6.1	15067100
2021-12-17	6.1	5.75	6.3	6.1	43450600
2021-12-20	6.4	6.0	6.4	6.0	45161300
2021-12-21	6.1	5.85	6.15	5.9	13709700
2021-12-22	5.95	5.85	6.05	6.0	9547000
2021-12-23	6.0	5.9	6.05	6.0	8505900
2021-12-24	6.0	5.85	6.15	5.9	17777100
2021-12-27	5.9	5.65	5.9	5.65	15732400
2021-12-28	5.65	5.5	5.8	5.55	16294200
2021-12-29	5.6	5.2	5.6	5.4	15087100
2021-12-30	5.4	5.35	5.65	5.6	17203600
2022-01-04	5.7	5.6	5.8	5.7	13256400
2022-01-05	5.75	5.6	5.75	5.7	5678500
2022-01-06	5.65	5.5	5.75	5.65	12598800
2022-01-07	5.7	5.6	5.8	5.7	7442800
2022-01-10	5.65	5.55	5.8	5.6	11620300
2022-01-11	5.65	5.4	5.7	5.4	22537200
2022-01-12	5.5	5.4	5.6	5.45	12466500
2022-01-13	5.5	5.35	5.5	5.35	9913200
2022-01-14	5.4	5.2	5.4	5.2	12076200
2022-01-17	5.45	5.4	5.75	5.65	43992400
2022-01-18	5.6	5.45	5.7	5.45	11431600
2022-01-19	5.5	5.4	5.6	5.5	7937500
2022-01-20	5.55	5.3	5.6	5.35	6160900
2022-01-21	5.3	5.2	5.4	5.35	4303400
2022-01-24	5.4	5.3	5.55	5.3	11042500
2022-01-25	5.3	4.94	5.35	5.05	15554900
2022-01-26	5.1	5.0	5.15	5.0	3444500
2022-01-27	5.05	4.94	5.1	5.0	5649500
2022-01-28	5.0	4.98	5.15	5.0	3841100
2022-01-31	5.05	4.96	5.05	4.98	3085800
2022-02-01	5.0	5.0	5.1	5.05	2208900
2022-02-02	5.1	5.05	5.4	5.35	10881900
2022-02-03	5.3	5.2	5.45	5.2	6495000
2022-02-04	5.2	5.1	5.25	5.15	2755000
2022-02-07	5.15	5.0	5.15	5.1	5732800
2022-02-08	5.05	5.0	5.1	5.05	3705600
2022-02-09	5.2	5.05	5.2	5.05	4802300
2022-02-10	5.05	4.96	5.1	5.0	4296300
2022-02-11	5.0	4.98	5.05	5.0	2577800
2022-02-14	5.0	4.76	5.0	4.76	11965900
2022-02-15	4.84	4.8	4.96	4.82	2407100
2022-02-17	4.88	4.76	5.05	4.8	5869600
2022-02-18	4.82	4.76	4.9	4.78	5900100
2022-02-21	4.8	4.5	4.86	4.54	8508900
2022-02-22	4.5	4.34	4.52	4.38	10254100
2022-02-23	4.38	4.38	4.56	4.46	6984400
2022-02-24	4.46	4.24	4.46	4.26	5002000
2022-02-25	4.28	4.28	4.6	4.32	4805200
2022-02-28	4.38	4.3	4.44	4.3	3677600
2022-03-01	4.34	4.32	4.44	4.36	4184100
2022-03-02	4.38	4.3	4.38	4.3	2597100
2022-03-03	4.38	4.28	4.38	4.3	1402300
2022-03-04	4.3	4.22	4.32	4.24	2166700
2022-03-07	4.1	3.82	4.2	3.86	7646200
2022-03-08	3.88	3.5	4.0	3.7	6862400
2022-03-09	3.72	3.7	3.96	3.96	3700200
2022-03-10	4.06	3.9	4.06	3.96	1851700
2022-03-11	3.96	3.9	3.98	3.98	748500
2022-03-14	3.98	3.96	4.46	4.24	12597000
2022-03-15	4.24	4.0	4.3	4.0	6458400
2022-03-16	4.06	4.02	4.1	4.06	1745700
2022-03-17	4.08	4.08	4.2	4.14	2668600
2022-03-18	4.16	4.08	4.2	4.1	1099500
2022-03-21	4.16	4.04	4.16	4.04	1562300
2022-03-22	4.1	4.04	4.1	4.1	552900
2022-03-23	4.1	4.06	4.42	4.24	14883200
