Date	Price Open	Price Low	Price High	Price Close	Volume
2009-11-02	1.217014813	1.140951387	1.140951387	1.140951387	1099.0
2009-11-04	1.109258293	1.267723763	1.299416857	1.299416857	8579.0
2009-12-08	1.140951387	1.280401001	1.280401001	1.280401001	2639.0
2009-12-15	1.153628624	1.267723763	1.267723763	1.267723763	2199.0
2009-12-16	1.140951387	1.204337575	1.204337575	1.204337575	20899.0
2009-12-17	1.134612768	1.217014813	1.217014813	1.217014813	20019.0
2009-12-23	1.134612768	1.217014813	1.217014813	1.217014813	11219.0
2009-12-28	1.12193553	1.217014813	1.217014813	1.217014813	9239.0
2009-12-29	1.12193553	1.242369288	1.242369288	1.242369288	219.0
2009-12-30	1.140951387	1.248707907	1.261385144	1.261385144	43999.0
2010-01-04	1.12193553	1.261385144	1.274062382	1.274062382	26399.0
2010-01-05	1.128274149	1.204337575	1.280401001	1.280401001	38939.0
2010-01-14	1.128274149	1.280401001	1.663887439	1.280401001	2419.0
2010-01-18	1.128274149	1.255046526	1.255046526	1.255046526	8799.0
2010-01-26	1.109258293	1.255046526	1.255046526	1.255046526	1099.0
2010-02-02	1.083903817	1.236030669	1.236030669	1.236030669	219.0
2010-02-05	1.090242436	1.28673962	1.28673962	1.28673962	2199.0
2010-02-15	1.140951387	1.267723763	1.267723763	1.267723763	3739.0
2010-02-22	1.134612768	1.293078238	1.293078238	1.293078238	2199.0
2010-02-24	1.134612768	1.293078238	1.305755476	1.305755476	22219.0
2010-02-25	1.128274149	1.293078238	1.293078238	1.293078238	13199.0
2010-02-26	1.102919674	1.293078238	1.648040892	1.648040892	46419.0
2010-03-02	1.102919674	1.521268516	1.521268516	1.521268516	439.0
2010-03-03	1.102919674	1.293078238	1.324771332	1.324771332	5059.0
2010-03-04	1.134612768	1.318432714	1.616347798	1.616347798	8359.0
2010-03-05	1.109258293	1.331109951	1.521268516	1.521268516	13859.0
2010-03-08	1.109258293	1.267723763	1.508591278	1.508591278	1759.0
2010-03-10	1.109258293	1.578316085	1.933278739	1.933278739	158839.0
2010-03-16	1.115596912	1.318432714	1.457882328	1.324771332	9459.0
2010-03-17	1.102919674	1.324771332	1.324771332	1.324771332	2199.0
2010-03-18	1.102919674	1.362803045	1.362803045	1.362803045	26399.0
2010-03-19	1.109258293	1.362803045	1.362803045	1.362803045	1539.0
2010-03-24	1.12193553	1.362803045	1.362803045	1.362803045	659.0
2010-03-25	1.12193553	1.356464427	1.362803045	1.362803045	103399.0
2010-03-26	1.12193553	1.362803045	1.362803045	1.362803045	439.0
2010-03-29	1.109258293	1.331109951	1.369141664	1.331109951	47299.0
2010-03-30	1.115596912	1.324771332	1.369141664	1.324771332	26619.0
2010-03-31	1.096581055	1.293078238	1.312094095	1.293078238	51699.0
2010-04-01	1.096581055	1.299416857	1.299416857	1.299416857	2199.0
2010-04-02	1.096581055	1.242369288	1.267723763	1.261385144	87559.0
2010-04-05	1.096581055	1.261385144	1.267723763	1.261385144	30799.0
2010-04-07	1.166305862	1.248707907	1.267723763	1.248707907	26399.0
2010-04-08	1.166305862	1.255046526	1.274062382	1.255046526	62699.0
2010-04-09	1.134612768	1.255046526	1.267723763	1.255046526	28159.0
2010-04-12	1.115596912	1.236030669	1.236030669	1.236030669	13199.0
2010-04-22	1.115596912	1.267723763	1.280401001	1.267723763	3299.0
2010-04-23	1.115596912	1.261385144	1.261385144	1.261385144	219.0
2010-04-26	1.115596912	1.236030669	1.261385144	1.236030669	71939.0
2010-04-27	1.1789831	1.261385144	1.267723763	1.261385144	302939.0
2010-04-28	1.07122658	1.261385144	1.261385144	1.261385144	2199.0
2010-04-29	1.12193553	1.236030669	1.242369288	1.236030669	45099.0
2010-05-04	1.045872105	1.236030669	1.236030669	1.236030669	3079.0
2010-05-06	1.064887961	1.267723763	1.267723763	1.267723763	11439.0
2010-05-07	1.064887961	1.248707907	1.248707907	1.248707907	10999.0
2010-05-11	1.109258293	1.248707907	1.248707907	1.248707907	36739.0
2010-05-13	1.077565199	1.267723763	1.274062382	1.274062382	151799.0
2010-05-14	1.140951387	1.280401001	1.343787189	1.343787189	174899.0
2010-05-17	1.140951387	1.362803045	1.362803045	1.362803045	14739.0
2010-05-19	1.083903817	1.362803045	1.362803045	1.362803045	19799.0
2010-05-24	1.077565199	1.362803045	1.457882328	1.426189234	36959.0
2010-05-25	1.267723763	1.394496139	1.457882328	1.426189234	33439.0
2010-05-27	1.058549342	1.407173377	1.407173377	1.407173377	1319.0
2010-06-01	1.077565199	1.407173377	1.407173377	1.407173377	1319.0
2010-06-02	1.077565199	1.350125808	1.426189234	1.426189234	4399.0
2010-06-03	1.077565199	1.426189234	1.457882328	1.457882328	18039.0
2010-06-04	1.166305862	1.457882328	1.616347798	1.616347798	144759.0
2010-06-07	1.07122658	1.584654704	1.616347798	1.616347798	23979.0
2010-06-08	1.064887961	1.616347798	1.616347798	1.616347798	8799.0
2010-06-09	1.064887961	1.584654704	1.584654704	1.584654704	48179.0
2010-06-10	1.064887961	1.578316085	1.578316085	1.578316085	48619.0
2010-06-11	1.064887961	1.521268516	1.55296161	1.55296161	31459.0
2010-06-14	1.064887961	1.521268516	1.565638847	1.565638847	56319.0
2010-06-15	1.077565199	1.514929897	1.521268516	1.514929897	10999.0
2010-06-16	1.07122658	1.502252659	1.521268516	1.502252659	65339.0
2010-06-17	1.07122658	1.521268516	1.571977466	1.521268516	7699.0
2010-06-18	1.064887961	1.546622991	1.55296161	1.546622991	166099.0
2010-06-21	1.102919674	1.546622991	1.55296161	1.55296161	144979.0
2010-06-22	1.07122658	1.521268516	1.521268516	1.521268516	121659.0
2010-06-23	1.07122658	1.521268516	1.55296161	1.521268516	6599.0
2010-06-24	1.083903817	1.521268516	1.521268516	1.521268516	33219.0
2010-06-25	1.083903817	1.521268516	1.527607135	1.521268516	27719.0
2010-06-28	1.083903817	1.489575422	1.521268516	1.489575422	93279.0
2010-06-29	1.096581055	1.489575422	1.521268516	1.489575422	54999.0
2010-06-30	1.064887961	1.489575422	1.521268516	1.521268516	60499.0
2010-07-02	1.064887961	1.521268516	1.55296161	1.521268516	71059.0
2010-07-05	1.064887961	1.521268516	1.55296161	1.527607135	59839.0
2010-07-06	1.064887961	1.521268516	1.584654704	1.584654704	66879.0
2010-07-07	1.064887961	1.527607135	1.648040892	1.540284372	313279.0
2010-07-08	1.052210723	1.55296161	1.584654704	1.584654704	87999.0
2010-07-09	1.052210723	1.540284372	1.584654704	1.540284372	670999.0
2010-07-12	1.052210723	1.527607135	1.540284372	1.527607135	594219.0
2010-07-13	1.052210723	1.242369288	1.565638847	1.565638847	505559.0
2010-07-14	1.052210723	1.533945753	1.578316085	1.578316085	33439.0
2010-07-15	1.090242436	1.578316085	1.578316085	1.578316085	19359.0
2010-07-16	1.090242436	1.546622991	1.55296161	1.546622991	32999.0
2010-07-19	1.090242436	1.578316085	1.901585645	1.616347798	37839.0
2010-07-20	1.058549342	1.616347798	1.679733986	1.663887439	310639.0
2010-07-21	1.096581055	1.600501251	1.71142708	1.616347798	16279.0
2010-07-22	1.096581055	1.616347798	1.679733986	1.679733986	17819.0
2010-07-23	1.12193553	1.632194345	1.71142708	1.71142708	127159.0
2010-07-27	1.102919674	1.679733986	1.743120174	1.743120174	282699.0
2010-07-28	1.109258293	1.679733986	1.743120174	1.695580533	90199.0
2010-07-29	1.077565199	1.616347798	1.71142708	1.695580533	247939.0
2010-07-30	1.077565199	1.616347798	1.774813268	1.727273627	133979.0
2010-08-02	1.22969205	1.695580533	1.774813268	1.774813268	329339.0
2010-08-03	1.090242436	1.71142708	1.758966721	1.727273627	101419.0
2010-08-04	1.159967243	1.727273627	1.774813268	1.774813268	141459.0
2010-08-05	1.147290006	1.774813268	1.838199457	1.838199457	351119.0
2010-08-06	1.058549342	1.758966721	1.869892551	1.869892551	439999.0
