Date	Price Open	Price Low	Price High	Price Close	Volume
2015-12-02	3.88	3.6	4.16	3.6	531444200
2015-12-03	3.5	3.2	3.56	3.34	78881500
2015-12-04	3.28	3.26	4.3	4.14	236653800
2015-12-08	4.24	4.24	4.98	4.66	299120100
2015-12-09	4.86	4.52	4.92	4.74	123185200
2015-12-11	4.72	4.66	5.25	5.1	167928800
2015-12-14	5.15	4.52	5.35	4.6	118921800
2015-12-15	4.76	4.64	4.94	4.76	79901600
2015-12-16	4.9	4.76	5.2	4.82	137169600
2015-12-17	4.88	4.86	5.0	4.98	45950100
2015-12-18	5.1	4.8	5.25	4.8	61063900
2015-12-21	4.64	4.4	4.78	4.64	8928900
2015-12-22	4.54	4.5	4.8	4.54	3655400
2015-12-23	4.56	4.56	4.68	4.62	1287900
2015-12-24	4.6	4.6	4.84	4.68	3717700
2015-12-25	4.72	4.64	4.74	4.66	1739600
2015-12-28	4.66	4.6	4.76	4.74	2583500
2015-12-29	4.74	4.74	4.92	4.92	5356600
2015-12-30	5.05	4.96	5.05	4.98	5572800
2016-01-04	4.98	4.74	4.98	4.86	2308400
2016-01-05	4.82	4.82	5.1	5.05	8259800
2016-01-06	5.0	4.96	5.1	5.05	2856200
2016-01-07	4.96	4.94	5.25	5.15	14002900
2016-01-08	5.2	5.15	5.85	5.7	35166000
2016-01-11	5.6	5.6	5.95	5.9	16156000
2016-01-12	5.85	5.7	5.95	5.95	6776800
2016-01-13	5.95	5.8	6.05	6.0	10842700
2016-01-14	5.95	5.75	6.2	5.95	14343200
2016-01-15	5.95	5.45	5.95	5.7	9816800
2016-01-18	5.65	5.6	5.9	5.8	4998500
2016-01-19	5.8	5.7	5.85	5.85	3071200
2016-01-20	5.9	5.9	6.15	6.1	19251300
2016-01-21	6.15	5.8	6.15	6.0	7939200
2016-01-22	6.0	6.0	6.1	6.05	3957800
2016-01-25	6.1	6.0	6.1	6.05	1858800
2016-01-26	6.0	5.85	6.1	6.05	3741100
2016-01-27	6.05	6.0	6.1	6.05	2752600
2016-01-28	6.1	6.1	6.45	6.45	17792800
2016-01-29	6.5	6.25	6.7	6.65	16647100
2016-02-01	6.55	6.25	6.6	6.4	12307100
2016-02-02	6.3	6.3	6.45	6.4	3325500
2016-02-03	6.35	6.3	6.55	6.55	5609300
2016-02-04	6.5	6.5	6.6	6.5	2205700
2016-02-05	6.5	6.45	6.65	6.5	3121000
2016-02-08	6.5	6.45	6.55	6.45	1292400
2016-02-09	6.4	5.95	6.4	6.0	9852000
2016-02-10	6.05	5.7	6.05	6.0	6005500
2016-02-11	5.9	5.9	6.2	6.0	2824500
2016-02-12	6.0	5.75	6.05	6.0	2533900
2016-02-15	5.9	5.85	6.1	6.05	1408000
2016-02-16	6.05	5.9	6.1	5.95	2168800
2016-02-17	5.9	5.75	5.95	5.85	2306100
2016-02-18	5.85	5.85	6.0	6.0	1563100
2016-02-19	6.0	5.9	6.15	6.1	3109700
2016-02-23	6.0	5.9	6.0	6.0	2346600
2016-02-24	6.0	5.85	6.0	5.95	1433300
2016-02-25	5.95	5.9	6.05	5.95	1331200
2016-02-26	5.95	5.85	5.95	5.9	881900
2016-02-29	5.95	5.85	5.95	5.9	1271800
2016-03-01	5.9	5.55	5.9	5.75	1487200
2016-03-02	5.65	5.65	5.8	5.8	1449200
2016-03-03	5.85	5.75	5.85	5.8	569600
2016-03-04	5.8	5.7	5.8	5.8	426300
2016-03-07	5.8	5.75	5.8	5.75	523600
2016-03-08	5.7	5.65	5.85	5.8	1168300
2016-03-09	5.75	5.7	5.9	5.85	1186400
2016-03-10	5.85	5.75	5.95	5.95	1634400
2016-03-11	6.0	6.0	6.1	6.05	3821300
2016-03-14	6.3	6.05	6.3	6.05	8723600
2016-03-15	6.05	6.05	6.35	6.25	16486700
2016-03-16	6.3	6.1	6.4	6.1	10219500
2016-03-17	6.2	6.1	6.25	6.1	4388000
2016-03-18	6.15	6.1	6.3	6.15	6429100
2016-03-21	6.2	6.2	6.7	6.65	24087100
2016-03-22	6.7	6.4	6.85	6.5	28973400
2016-03-23	6.6	6.4	6.65	6.6	9899300
2016-03-24	6.6	6.2	6.6	6.35	8471600
2016-03-25	6.3	6.15	6.4	6.2	7320100
2016-03-28	6.25	6.1	6.25	6.25	3539100
2016-03-29	6.2	6.2	6.4	6.2	5956900
2016-03-30	6.3	6.2	6.35	6.25	3040600
2016-03-31	6.3	6.2	6.3	6.2	2715100
2016-04-01	6.25	6.15	6.25	6.15	2485700
2016-04-04	6.2	6.15	6.55	6.45	13738600
2016-04-05	6.4	6.25	6.55	6.3	9419100
2016-04-07	6.35	6.05	6.35	6.05	6432000
2016-04-08	6.0	5.9	6.1	6.05	4400200
2016-04-11	6.0	6.0	6.1	6.05	1155500
2016-04-12	6.05	6.0	6.15	6.05	2035500
2016-04-18	6.05	5.9	6.05	6.0	3719800
2016-04-19	6.05	5.95	6.1	6.0	4681300
2016-04-20	6.05	6.0	6.25	6.25	8312000
2016-04-21	6.3	6.0	6.3	6.05	7594100
2016-04-22	6.1	6.05	6.2	6.1	4032000
2016-04-25	6.15	6.1	6.2	6.1	2125400
2016-04-26	6.05	6.0	6.1	6.1	1874600
2016-04-27	6.15	6.05	6.15	6.05	3497700
2016-04-28	6.05	6.0	6.15	6.0	2547200
