Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-05	6.7	6.7	6.7	6.7	1000.0
2000-01-06	5.2	5.2	5.6	5.6	1000.0
2000-01-07	4.5	4.5	5.6	5.6	2800.0
2000-01-10	5.3	5.3	5.3	5.3	100.0
2000-01-11	3.9	3.9	5.1	5.1	500.0
2000-01-12	5.4	5.4	5.7	5.5	19100.0
2000-01-13	5.5	5.5	7.1	7.1	322200.0
2000-01-14	7.4	6.6	7.5	6.8	60500.0
2000-01-17	6.6	6.6	6.7	6.7	4000.0
2000-01-18	7.2	6.5	7.2	6.5	4000.0
2000-01-20	6.8	6.2	6.8	6.2	5100.0
2000-01-21	6.5	6.5	6.5	6.5	2000.0
2000-01-24	7.0	6.7	7.0	6.7	17000.0
2000-01-25	6.7	6.7	6.7	6.7	5000.0
2000-01-26	6.8	6.8	6.8	6.8	1000.0
2000-01-27	7.3	7.3	7.3	7.3	5000.0
2000-02-01	6.0	6.0	6.0	6.0	200.0
2000-02-14	6.0	6.0	6.0	6.0	6000.0
2000-02-16	6.0	6.0	6.0	6.0	3000.0
2000-02-23	5.5	5.5	5.5	5.5	2000.0
2000-02-28	5.5	5.5	5.5	5.5	600.0
2000-03-13	5.5	5.5	5.7	5.7	9800.0
2000-03-14	6.2	5.7	6.2	5.7	3300.0
2000-03-15	6.0	5.5	6.0	5.5	26500.0
2000-03-16	5.5	5.5	5.5	5.5	2000.0
2000-03-17	5.7	5.7	5.8	5.8	15000.0
2000-03-20	5.9	5.5	6.0	6.0	70100.0
2000-03-21	6.0	5.7	7.0	5.7	17200.0
2000-03-22	5.9	5.9	6.5	6.5	9200.0
2000-03-24	6.5	6.5	6.5	6.5	2200.0
2000-03-28	6.5	6.5	6.7	6.7	6100.0
2000-03-30	6.7	6.1	6.7	6.1	12000.0
2000-03-31	6.6	5.5	6.7	5.5	12200.0
2000-04-03	6.0	6.0	6.0	6.0	2000.0
2000-04-04	6.0	6.0	6.0	6.0	1200.0
2000-04-11	6.0	6.0	6.0	6.0	100.0
2000-04-18	6.0	6.0	6.0	6.0	2000.0
2000-04-19	6.0	6.0	6.0	6.0	1900.0
2000-04-20	6.0	6.0	6.0	6.0	7600.0
2000-04-21	6.0	6.0	7.0	7.0	22000.0
2000-04-24	7.0	7.0	7.0	7.0	4600.0
2000-04-27	7.0	7.0	7.0	7.0	1600.0
2000-04-28	6.4	6.4	6.4	6.4	200.0
2000-05-02	6.4	6.0	6.4	6.0	12000.0
2000-05-03	6.3	6.3	6.3	6.3	2200.0
2000-05-04	6.6	6.6	6.6	6.6	2100.0
2000-05-10	6.0	6.0	6.0	6.0	100.0
2000-05-18	6.0	6.0	6.0	6.0	1000.0
2000-05-19	6.0	6.0	6.4	6.4	13000.0
2000-05-22	6.5	6.2	6.5	6.2	5000.0
2000-05-23	6.2	6.2	6.2	6.2	7500.0
2000-05-24	6.2	6.2	6.3	6.3	11000.0
2000-05-29	6.4	6.4	6.5	6.5	10100.0
2000-05-31	6.6	6.6	6.6	6.6	3000.0
2000-06-01	6.6	6.2	7.0	6.2	11700.0
2000-06-02	6.9	6.9	7.0	7.0	3900.0
2000-06-05	7.0	6.3	7.0	6.3	4200.0
2000-06-15	6.3	6.3	6.3	6.3	1000.0
2000-06-16	6.2	6.2	6.2	6.2	200.0
2000-06-23	6.0	6.0	6.0	6.0	1000.0
2000-08-07	6.0	6.0	6.0	6.0	2700.0
2000-08-15	6.3	6.3	6.3	6.3	1800.0
2000-10-10	4.5	4.5	4.5	4.5	500.0
2000-10-11	5.8	5.8	5.8	5.8	900.0
2000-11-06	5.0	5.0	5.0	5.0	600.0
2000-11-16	6.5	6.5	6.5	6.5	1800.0
2000-11-28	6.6	6.6	6.6	6.6	600.0
2000-12-20	6.5	6.5	6.5	6.5	5000.0
2000-12-28	6.5	6.5	6.5	6.5	5000.0
2001-03-08	5.0	5.0	5.0	5.0	1000.0
2001-03-09	6.5	6.5	6.5	6.5	2000.0
2001-03-13	6.5	6.5	6.5	6.5	4900.0
2001-04-18	8.4	8.4	8.4	8.4	100.0
2001-06-21	8.4	8.4	9.2	9.0	124800.0
2001-06-22	9.1	9.1	9.6	9.6	16900.0
2001-06-25	9.6	9.3	9.6	9.3	9000.0
2001-06-26	9.3	9.0	9.3	9.0	11000.0
2001-07-02	9.3	9.2	9.3	9.2	8100.0
2001-07-03	9.2	9.2	10.0	10.0	9000.0
2001-07-04	10.0	10.0	11.5	10.0	101900.0
2001-07-05	10.75	10.25	11.5	10.25	39500.0
2001-07-09	10.5	10.5	12.25	12.0	139300.0
2001-07-10	12.5	12.25	13.25	12.75	170500.0
2001-07-11	12.5	11.25	12.5	11.5	20000.0
2001-07-12	11.5	11.5	13.25	13.25	68000.0
2001-07-13	13.25	13.25	16.0	15.5	674200.0
2001-07-16	15.25	14.75	17.25	16.75	421700.0
2001-07-17	16.5	15.5	16.75	15.5	27400.0
2001-07-18	15.25	15.25	15.75	15.75	1100.0
2001-07-19	16.25	15.75	16.75	15.75	7500.0
2001-07-20	16.0	15.0	16.0	15.0	2000.0
2001-07-23	15.25	13.75	15.5	13.75	11000.0
2001-07-24	14.25	13.0	14.25	13.25	2500.0
2001-07-25	12.75	12.75	14.25	13.0	71300.0
2001-07-26	13.0	12.75	14.5	12.75	104200.0
2001-07-27	12.0	12.0	12.75	12.75	500.0
2001-07-30	11.75	11.25	11.75	11.25	3200.0
2001-07-31	11.0	10.0	11.75	11.0	22800.0
2001-08-02	10.25	10.0	11.75	11.75	67000.0
2001-08-03	11.5	11.25	11.75	11.25	7300.0
2001-08-06	11.0	10.75	11.5	11.25	17200.0
2001-08-07	11.0	10.75	13.0	13.0	332800.0
2001-08-08	13.0	12.5	13.25	12.5	26900.0
2001-08-09	12.75	12.25	12.75	12.75	29800.0
2001-08-10	12.0	11.25	12.25	11.25	81000.0
2001-08-14	11.0	11.0	11.25	11.25	20300.0
2001-08-15	11.5	11.0	11.5	11.0	11500.0
2001-08-16	11.25	11.25	11.75	11.25	83800.0
2001-08-17	11.25	11.25	11.5	11.25	9000.0
2001-08-20	11.25	11.25	13.25	13.25	192700.0
2001-08-21	13.25	12.5	15.0	12.75	538800.0
2001-08-22	12.75	12.5	13.25	12.5	84800.0
2001-08-23	12.75	12.5	13.25	12.5	63400.0
2001-08-24	12.75	12.5	13.25	12.75	27200.0
2001-08-27	12.75	12.0	12.75	12.0	15900.0
2001-08-28	12.0	11.5	12.5	11.5	22400.0
2001-08-29	11.75	11.75	12.0	11.75	20700.0
2001-08-30	11.75	11.0	11.75	11.0	18300.0
2001-08-31	11.0	10.5	11.0	10.75	35900.0
2001-09-03	10.75	10.5	11.0	10.5	20400.0
2001-09-04	10.5	10.5	11.0	11.0	5600.0
2001-09-05	10.75	10.5	11.0	11.0	1500.0
2001-09-06	10.5	10.5	10.5	10.5	100.0
2001-09-07	10.5	10.5	10.5	10.5	5000.0
2001-09-10	10.25	10.25	10.5	10.25	10800.0
2001-09-11	10.25	10.0	10.25	10.0	32000.0
2001-09-13	8.0	8.0	8.0	8.0	3000.0
2001-09-14	8.2	7.4	9.0	7.4	26800.0
2001-09-18	7.0	7.0	7.0	7.0	5000.0
2001-09-24	7.1	7.1	7.1	7.1	2800.0
2001-09-25	7.1	7.1	7.7	7.4	104000.0
2001-09-26	7.4	7.4	7.8	7.8	296000.0
2001-09-27	7.8	7.6	8.1	7.6	229900.0
2001-09-28	7.8	7.7	9.0	8.3	817400.0
2001-10-01	8.1	7.8	8.2	7.9	43900.0
2001-10-02	7.9	7.9	8.1	8.1	8000.0
2001-10-03	8.2	8.0	8.3	8.0	196200.0
2001-10-04	8.3	8.3	10.0	8.8	1361600.0
2001-10-05	8.8	8.7	9.3	8.7	380400.0
2001-10-08	8.5	8.4	8.7	8.4	78700.0
2001-10-09	8.6	8.6	8.9	8.7	159300.0
2001-10-10	8.9	8.8	9.1	8.9	245700.0
2001-10-11	9.1	8.8	9.1	8.8	53400.0
2001-10-12	8.8	8.7	8.9	8.7	68500.0
2001-10-15	8.7	8.7	8.7	8.7	5000.0
2001-10-16	8.9	8.8	9.2	8.9	266400.0
2001-10-17	8.9	8.8	9.0	8.8	106700.0
2001-10-18	8.9	8.7	8.9	8.7	110900.0
2001-10-19	8.7	8.6	8.9	8.6	164400.0
2001-10-22	8.7	8.4	8.7	8.6	51500.0
2001-10-24	8.5	8.4	8.6	8.4	30000.0
2001-10-25	8.5	8.4	8.7	8.4	145800.0
2001-10-26	8.4	8.3	8.4	8.3	35000.0
2001-10-29	8.3	8.0	8.4	8.0	74200.0
2001-10-30	7.9	7.7	7.9	7.7	17900.0
2001-10-31	7.7	7.6	7.8	7.6	130600.0
2001-11-01	7.7	7.4	7.7	7.4	41700.0
2001-11-02	7.5	7.4	7.5	7.4	94800.0
2001-11-05	7.35	7.0	7.35	7.15	24500.0
2001-11-06	7.15	7.15	7.3	7.3	76000.0
2001-11-07	7.2	7.0	7.2	7.0	42800.0
2001-11-08	7.0	7.0	7.1	7.1	53000.0
2001-11-09	7.0	7.0	7.0	7.0	5000.0
2001-11-12	7.0	7.0	7.1	7.1	25000.0
2001-11-13	7.0	7.0	7.5	7.1	38500.0
2001-11-14	7.25	6.9	7.25	6.9	19000.0
2001-11-15	7.0	6.9	7.0	6.9	23000.0
2001-11-16	7.0	6.95	7.05	6.95	24000.0
2001-11-19	7.0	7.0	7.05	7.0	79300.0
2001-11-20	7.0	7.0	7.1	7.0	49100.0
2001-11-21	7.1	7.0	7.1	7.0	41400.0
2001-11-22	7.05	7.0	7.05	7.0	81000.0
2001-11-23	7.1	7.1	7.3	7.1	110600.0
2001-11-26	7.1	7.0	7.2	7.05	53200.0
2001-11-27	7.0	7.0	7.05	7.05	26500.0
2001-11-28	7.05	7.05	7.15	7.1	108500.0
2001-11-29	7.15	7.15	7.3	7.2	186400.0
2001-11-30	7.3	7.2	7.3	7.2	9500.0
2001-12-03	7.2	7.1	7.2	7.1	10100.0
2001-12-04	7.15	7.1	7.25	7.1	66500.0
2001-12-06	7.2	7.1	7.2	7.1	31600.0
2001-12-07	7.2	7.15	7.3	7.15	60000.0
2001-12-11	7.15	7.05	7.15	7.05	16300.0
2001-12-12	7.15	7.1	7.15	7.1	10300.0
2001-12-13	7.15	7.1	7.15	7.1	11000.0
2001-12-14	7.1	7.1	7.1	7.1	13000.0
2001-12-17	7.2	7.2	7.25	7.25	9000.0
2001-12-18	7.25	7.15	7.25	7.15	4300.0
2001-12-19	7.2	7.2	7.2	7.2	2000.0
2001-12-20	7.15	7.05	7.15	7.1	33400.0
2001-12-21	7.1	7.1	7.2	7.2	50000.0
2001-12-24	7.15	7.1	7.15	7.1	40000.0
2001-12-25	7.2	7.2	7.25	7.25	9000.0
2001-12-26	7.2	7.2	7.3	7.3	16000.0
2001-12-27	7.3	7.15	7.3	7.15	15000.0
2001-12-28	7.15	7.15	7.2	7.2	1600.0
2002-01-02	7.2	7.2	7.2	7.2	4000.0
2002-01-03	7.3	7.3	7.8	7.8	17500.0
2002-01-04	7.25	7.1	7.25	7.2	12200.0
2002-01-07	7.3	7.3	7.3	7.3	4500.0
2002-01-08	7.5	7.3	7.5	7.3	8000.0
2002-01-09	7.5	7.5	7.6	7.6	9500.0
2002-01-10	7.4	7.4	7.5	7.5	9000.0
2002-01-11	7.4	7.4	7.7	7.7	6300.0
2002-01-14	7.6	7.55	7.7	7.7	6600.0
2002-01-15	7.7	7.5	7.7	7.5	2000.0
2002-01-16	7.4	7.3	7.5	7.3	7900.0
2002-01-17	7.3	7.25	7.5	7.5	23700.0
2002-01-24	7.6	7.5	7.6	7.5	6000.0
2002-01-25	7.75	7.55	7.75	7.55	7000.0
2002-01-31	7.5	7.5	7.5	7.5	10000.0
2002-02-01	7.55	7.5	7.55	7.55	33000.0
2002-02-04	7.6	7.6	7.6	7.6	2000.0
2002-02-05	8.7	8.7	8.7	8.7	100.0
2002-02-07	7.95	7.95	7.95	7.95	2500.0
2002-02-08	7.85	7.85	7.9	7.9	4600.0
2002-02-11	7.8	7.8	7.85	7.85	1100.0
2002-02-12	7.8	7.8	7.85	7.85	4200.0
2002-02-13	7.8	7.6	7.8	7.8	6400.0
2002-02-14	8.1	8.1	8.1	8.1	6000.0
2002-02-15	8.2	8.2	8.2	8.2	7000.0
