Date	Price Open	Price Low	Price High	Price Close	Volume
2022-09-30	4.98	4.88	5.35	5.0	807343000
2022-10-03	4.96	4.62	5.1	4.62	198692200
2022-10-04	4.78	4.44	4.84	4.5	72051300
2022-10-05	4.54	4.52	4.72	4.58	52745900
2022-10-06	4.62	4.44	4.66	4.54	30062200
2022-10-07	4.54	4.52	4.96	4.94	155705300
2022-10-10	4.88	4.8	4.98	4.9	74648100
2022-10-11	4.88	4.46	4.96	4.5	124635300
2022-10-12	4.6	4.5	4.62	4.52	20326600
2022-10-17	4.56	4.54	4.66	4.64	20484400
2022-10-18	4.66	4.62	4.72	4.62	19827800
2022-10-19	4.64	4.54	4.68	4.56	11164600
2022-10-20	4.56	4.52	4.66	4.6	13822000
2022-10-21	4.62	4.48	4.66	4.52	17409400
2022-10-25	4.54	4.12	4.56	4.16	33349100
2022-10-26	4.18	4.12	4.24	4.18	11405500
2022-10-27	4.18	4.08	4.2	4.1	14079600
2022-10-28	4.1	4.1	4.3	4.2	24076800
2022-10-31	4.24	4.24	4.36	4.26	18361800
2022-11-01	4.28	4.2	4.3	4.24	10507500
2022-11-02	4.22	4.16	4.26	4.16	9549000
2022-11-03	4.16	4.16	4.84	4.72	101273700
2022-11-04	4.68	4.64	4.82	4.76	39111100
2022-11-07	4.78	4.7	4.92	4.92	42813900
2022-11-08	4.88	4.7	5.1	4.78	81698700
2022-11-09	4.86	4.72	4.86	4.72	22117100
2022-11-10	4.72	4.7	4.82	4.76	11965300
2022-11-11	4.8	4.72	4.88	4.8	20340300
2022-11-14	4.76	4.5	4.82	4.5	28261600
2022-11-15	4.46	4.3	4.64	4.62	23646600
2022-11-16	4.58	4.58	4.7	4.64	10077600
2022-11-17	4.68	4.6	4.76	4.6	17386700
2022-11-18	4.6	4.44	4.66	4.52	10112400
2022-11-21	4.48	4.48	4.62	4.52	8446800
2022-11-22	4.54	4.54	4.64	4.56	11292300
2022-11-23	4.6	4.6	4.68	4.64	20112300
2022-11-24	4.64	4.54	4.66	4.54	9667800
2022-11-25	4.54	4.5	4.56	4.5	7105700
2022-11-28	4.5	4.48	4.66	4.66	11445700
2022-11-29	4.66	4.58	4.78	4.62	39883400
2022-11-30	4.64	4.38	4.68	4.42	50796200
2022-12-01	4.46	4.4	4.5	4.42	8387700
2022-12-02	4.44	4.38	4.46	4.4	5061800
2022-12-06	4.4	4.4	4.48	4.44	8409000
2022-12-07	4.46	4.4	4.48	4.42	3634800
2022-12-08	4.42	4.42	4.48	4.44	3920600
2022-12-09	4.46	4.42	4.52	4.5	6529600
2022-12-13	4.52	4.48	4.6	4.56	9598500
2022-12-14	4.64	4.58	4.82	4.8	39732600
2022-12-15	4.74	4.56	4.76	4.6	19158200
2022-12-16	4.62	4.6	4.72	4.66	14257300
2022-12-19	4.62	4.62	4.72	4.66	9241800
2022-12-20	4.7	4.46	4.74	4.5	30621800
2022-12-21	4.52	4.48	4.56	4.52	8115600
2022-12-22	4.52	4.5	4.54	4.5	6995300
2022-12-23	4.48	4.48	4.62	4.62	10511700
2022-12-26	4.6	4.6	4.74	4.7	16977200
2022-12-27	4.76	4.66	4.92	4.72	55956300
2022-12-28	4.82	4.76	4.9	4.82	36410600
2022-12-29	4.8	4.78	4.86	4.84	13033500
2022-12-30	4.84	4.64	4.86	4.74	29015000
