Date	Price Open	Price Low	Price High	Price Close	Volume
2022-06-15	6.6	4.84	6.65	4.94	242234800
2022-06-16	4.94	4.54	5.15	4.54	49056600
2022-06-17	4.58	4.56	5.25	5.15	73785300
2022-06-20	5.1	4.84	5.25	4.9	37702400
2022-06-21	4.96	4.88	5.05	4.98	19573400
2022-06-22	5.05	4.72	5.05	4.72	14124500
2022-06-23	4.76	4.64	4.88	4.66	13600000
2022-06-24	4.74	4.54	4.8	4.58	10424000
2022-06-27	4.64	4.56	4.68	4.6	3831500
2022-06-28	4.64	4.6	4.78	4.62	11339500
2022-06-29	4.6	4.54	4.62	4.54	3696300
2022-06-30	4.58	4.28	4.62	4.28	7188700
2022-07-01	4.3	4.26	4.34	4.28	1552800
2022-07-04	4.28	3.98	4.3	3.98	3849300
2022-07-05	4.02	3.64	4.02	3.66	5631700
2022-07-06	3.66	3.48	3.7	3.5	2515600
2022-07-07	3.56	3.52	3.96	3.76	12760000
2022-07-08	3.76	3.62	3.82	3.62	3569400
2022-07-11	3.62	3.58	3.68	3.58	846100
2022-07-12	3.64	3.54	3.64	3.54	609800
2022-07-14	3.56	3.5	3.6	3.5	797200
2022-07-15	3.54	3.46	3.54	3.46	858600
2022-07-18	3.48	3.48	4.46	4.36	104960500
2022-07-19	4.3	4.08	4.32	4.26	34079300
2022-07-20	4.26	4.1	4.36	4.16	28207300
2022-07-21	4.1	4.02	4.34	4.3	27852200
2022-07-22	4.26	4.16	4.48	4.18	45388000
2022-07-25	4.14	4.14	4.22	4.2	3992500
2022-07-26	4.2	4.2	4.46	4.26	40211200
2022-07-27	4.26	4.18	4.42	4.22	26111300
2022-08-01	4.24	4.22	4.42	4.34	27720700
2022-08-02	4.3	4.0	4.4	4.08	19956500
2022-08-03	4.08	3.92	4.12	3.98	7000300
2022-08-04	4.0	3.96	4.04	3.96	2004800
2022-08-05	3.96	3.96	4.1	3.96	5825500
2022-08-08	4.0	3.94	4.08	4.0	3762600
2022-08-09	4.0	3.96	4.06	3.98	1303300
2022-08-10	4.0	3.9	4.0	3.9	1532500
2022-08-11	3.9	3.9	4.0	3.94	1654100
2022-08-15	3.96	3.9	4.04	3.92	2958900
2022-08-16	3.96	3.88	3.98	3.9	1766400
2022-08-17	3.92	3.88	3.94	3.9	1112400
2022-08-18	3.92	3.9	4.08	3.94	9773900
2022-08-19	3.94	3.92	4.04	3.94	3197100
2022-08-22	3.96	3.88	3.96	3.88	1023400
2022-08-23	3.88	3.88	3.94	3.92	649900
2022-08-24	3.92	3.88	4.02	3.94	2419400
2022-08-25	3.92	3.92	4.04	3.96	2818400
2022-08-26	3.96	3.88	4.0	3.88	1805100
2022-08-29	3.88	3.8	3.94	3.82	875900
2022-08-30	3.96	3.88	3.98	3.96	2519200
2022-08-31	3.96	3.94	4.22	4.16	30513700
2022-09-01	4.14	3.98	4.26	4.0	16839700
2022-09-02	3.98	3.9	4.04	3.92	4700900
2022-09-05	3.94	3.9	4.02	3.92	4114200
2022-09-06	3.96	3.92	4.04	3.98	5651700
2022-09-07	3.96	3.92	4.04	3.92	4060300
