Date	Price Open	Price Low	Price High	Price Close	Volume
2015-10-08	1.75	1.75	2.02	1.91	1263435200
2015-10-09	1.94	1.84	1.95	1.84	136034700
2015-10-12	1.87	1.85	1.92	1.86	88036600
2015-10-13	1.87	1.84	1.88	1.86	36795600
2015-10-14	1.85	1.83	1.87	1.83	12577200
2015-10-15	1.84	1.83	1.89	1.83	35264900
2015-10-16	1.84	1.82	1.86	1.83	13868000
2015-10-19	1.84	1.82	1.84	1.82	6180800
2015-10-20	1.82	1.8	1.83	1.8	10315300
2015-10-21	1.82	1.75	1.82	1.77	21560700
2015-10-22	1.77	1.76	1.82	1.78	27533500
2015-10-26	1.8	1.75	1.8	1.76	11633800
2015-10-27	1.77	1.75	1.8	1.76	25386100
2015-10-28	1.77	1.76	1.86	1.85	77242300
2015-10-29	1.84	1.76	1.84	1.76	31670600
2015-10-30	1.77	1.75	1.81	1.76	14280600
2015-11-02	1.76	1.75	1.78	1.76	3511700
2015-11-03	1.77	1.77	1.79	1.77	4928000
2015-11-04	1.78	1.76	1.8	1.76	7725800
2015-11-05	1.77	1.68	1.77	1.68	26350500
2015-11-06	1.7	1.58	1.7	1.62	25177000
2015-11-09	1.62	1.58	1.64	1.58	12479800
2015-11-10	1.58	1.57	1.64	1.58	13087900
2015-11-11	1.6	1.53	1.6	1.53	7422400
2015-11-12	1.53	1.5	1.54	1.54	11396100
2015-11-13	1.52	1.52	1.57	1.57	6323300
2015-11-16	1.55	1.54	1.58	1.58	3038800
2015-11-17	1.59	1.55	1.59	1.56	3278100
2015-11-18	1.57	1.55	1.58	1.56	7625800
2015-11-19	1.57	1.54	1.57	1.54	4697200
2015-11-20	1.55	1.52	1.56	1.56	6920100
2015-11-23	1.56	1.56	1.65	1.63	14907400
2015-11-24	1.64	1.62	1.66	1.65	13216200
2015-11-25	1.66	1.63	1.66	1.66	6923100
2015-11-26	1.65	1.63	1.65	1.65	2847400
2015-11-27	1.64	1.64	1.7	1.68	8872500
2015-11-30	1.68	1.66	1.69	1.66	2446500
2015-12-01	1.67	1.62	1.67	1.62	1182100
2015-12-02	1.62	1.59	1.64	1.59	1621900
2015-12-03	1.6	1.53	1.61	1.53	2304600
2015-12-04	1.56	1.53	1.57	1.55	1915500
2015-12-08	1.55	1.5	1.56	1.51	4754700
2015-12-09	1.51	1.5	1.53	1.51	3183100
2015-12-11	1.51	1.51	1.58	1.53	3886200
2015-12-14	1.52	1.5	1.52	1.51	4700600
2015-12-15	1.51	1.51	1.53	1.52	3965300
2015-12-16	1.52	1.51	1.63	1.57	20143200
2015-12-17	1.6	1.56	1.6	1.56	2813900
2015-12-18	1.56	1.54	1.57	1.54	2534700
2015-12-21	1.55	1.52	1.55	1.53	10112300
2015-12-22	1.53	1.53	1.55	1.54	2441400
2015-12-23	1.55	1.54	1.57	1.55	3059900
2015-12-24	1.57	1.54	1.58	1.55	1779200
2015-12-25	1.55	1.53	1.55	1.54	1976900
2015-12-28	1.54	1.53	1.55	1.54	563900
2015-12-29	1.54	1.53	1.54	1.53	443400
2015-12-30	1.54	1.52	1.54	1.54	2572500
2016-01-04	1.54	1.43	1.54	1.43	14189100
2016-01-05	1.46	1.34	1.48	1.38	11014000
2016-01-06	1.39	1.38	1.4	1.4	1405000
2016-01-07	1.4	1.3	1.43	1.35	4669400
2016-01-08	1.34	1.34	1.36	1.35	1175700
2016-01-11	1.35	1.34	1.35	1.34	890300
2016-01-12	1.34	1.33	1.39	1.35	2740400
2016-01-13	1.37	1.35	1.38	1.38	915600
2016-01-14	1.35	1.35	1.37	1.35	310800
2016-01-15	1.35	1.34	1.42	1.35	3255100
2016-01-18	1.35	1.35	1.37	1.36	1205700
2016-01-19	1.38	1.38	1.52	1.44	26171100
2016-01-20	1.42	1.4	1.45	1.4	4405500
2016-01-21	1.41	1.39	1.44	1.39	1840200
2016-01-22	1.41	1.4	1.44	1.41	2110800
2016-01-25	1.43	1.42	1.48	1.43	4496000
2016-01-26	1.43	1.43	1.52	1.49	15383800
2016-01-27	1.52	1.48	1.57	1.48	30846100
2016-01-28	1.48	1.45	1.49	1.47	4334700
2016-01-29	1.48	1.44	1.49	1.46	2089600
2016-02-01	1.46	1.43	1.47	1.43	1784100
2016-02-02	1.44	1.41	1.45	1.41	2673400
2016-02-03	1.41	1.41	1.43	1.42	853700
2016-02-04	1.44	1.41	1.44	1.42	1598100
2016-02-05	1.42	1.41	1.43	1.42	1155100
2016-02-08	1.41	1.41	1.44	1.42	460800
2016-02-09	1.42	1.41	1.43	1.42	543800
2016-02-10	1.41	1.41	1.43	1.41	616400
2016-02-11	1.42	1.4	1.43	1.4	1882300
2016-02-12	1.41	1.38	1.41	1.38	1361400
2016-02-15	1.38	1.38	1.4	1.38	676900
2016-02-16	1.38	1.37	1.39	1.38	867000
2016-02-17	1.37	1.36	1.38	1.37	830000
2016-02-18	1.37	1.36	1.39	1.39	810900
2016-02-19	1.39	1.36	1.4	1.4	601300
2016-02-23	1.4	1.37	1.4	1.4	234500
2016-02-24	1.4	1.38	1.42	1.39	335400
2016-02-25	1.38	1.37	1.39	1.38	307900
2016-02-26	1.39	1.38	1.4	1.4	830600
2016-02-29	1.4	1.37	1.4	1.39	1076300
2016-03-01	1.39	1.37	1.4	1.38	691500
2016-03-02	1.38	1.37	1.4	1.38	958000
2016-03-03	1.38	1.35	1.4	1.36	4858600
2016-03-04	1.36	1.33	1.37	1.36	2860800
2016-03-07	1.36	1.33	1.36	1.35	4023000
2016-03-08	1.36	1.27	1.36	1.31	7559500
2016-03-09	1.29	1.28	1.31	1.3	2638300
2016-03-10	1.3	1.27	1.33	1.3	7178900
2016-03-11	1.29	1.24	1.29	1.27	20930000
2016-03-14	1.28	1.19	1.28	1.2	29466600
2016-03-15	1.23	1.18	1.25	1.19	38951900
2016-03-16	1.2	1.18	1.22	1.21	18916300
2016-03-17	1.22	1.21	1.3	1.28	50365000
2016-03-18	1.29	1.27	1.3	1.27	11393100
2016-03-21	1.28	1.27	1.35	1.33	24183300
2016-03-22	1.33	1.3	1.35	1.32	12301400
2016-03-23	1.32	1.3	1.33	1.33	10301200
2016-03-24	1.34	1.32	1.4	1.39	70410300
2016-03-25	1.39	1.37	1.42	1.39	28365500
2016-03-28	1.41	1.38	1.43	1.39	19515200
2016-03-29	1.4	1.39	1.41	1.41	4090700
2016-03-30	1.42	1.42	1.47	1.43	19870700
2016-03-31	1.45	1.45	1.62	1.58	112912600
2016-04-01	1.57	1.56	1.62	1.61	29673200
2016-04-04	1.64	1.62	1.7	1.65	50396900
2016-04-05	1.66	1.64	1.73	1.7	49054700
2016-04-07	1.71	1.55	1.73	1.55	41035100
2016-04-08	1.55	1.55	1.62	1.61	24812400
