Date	Price Open	Price Low	Price High	Price Close	Volume
2019-07-31	36.0	34.75	36.5	36.5	985100.0
2019-08-01	36.5	36.25	37.0	36.5	625800.0
2019-08-02	36.5	36.5	36.75	36.75	137100.0
2019-08-05	36.75	36.0	36.75	36.5	398300.0
2019-08-06	36.25	36.25	36.5	36.5	174300.0
2019-08-07	36.5	36.5	36.75	36.5	174100.0
2019-08-08	36.75	36.5	36.75	36.5	54900.0
2019-08-09	36.5	36.5	36.75	36.5	301200.0
2019-08-13	36.5	36.5	36.5	36.5	324800.0
2019-08-14	36.25	36.0	36.5	36.5	17900.0
2019-08-15	36.25	36.25	36.5	36.5	12400.0
2019-08-16	36.5	36.25	36.5	36.25	200100.0
2019-08-19	36.5	36.5	36.5	36.5	204200.0
2019-08-20	36.25	36.25	36.5	36.5	100100.0
2019-08-21	36.5	36.25	36.5	36.5	83200.0
2019-08-22	36.5	36.25	36.5	36.5	100400.0
2019-08-23	36.5	26.0	36.5	36.25	146100.0
2019-08-26	36.25	36.25	36.5	36.5	32100.0
2019-08-27	36.25	36.25	36.5	36.5	35100.0
2019-08-28	36.5	36.25	36.5	36.5	107100.0
2019-08-29	36.5	36.25	36.5	36.5	36700.0
2019-08-30	36.25	36.0	36.5	36.5	153500.0
2019-09-02	36.25	36.25	36.5	36.5	300000.0
2019-09-03	36.5	36.5	36.5	36.5	25000.0
2019-09-04	36.25	36.25	36.5	36.5	41000.0
2019-09-05	36.5	36.25	36.5	36.5	10200.0
2019-09-06	36.5	36.25	36.5	36.25	10400.0
2019-09-09	36.75	36.5	45.75	36.5	12500.0
2019-09-10	36.75	36.75	36.75	36.75	21600.0
2019-09-11	36.75	36.75	37.0	36.75	10500.0
2019-09-12	36.5	36.5	36.75	36.5	93200.0
2019-09-13	36.75	36.5	36.75	36.5	325000.0
2019-09-16	36.5	36.5	36.75	36.75	213000.0
2019-09-17	36.75	36.5	36.75	36.5	88600.0
2019-09-18	36.75	36.75	44.0	37.0	158900.0
2019-09-19	36.75	36.75	37.5	37.5	77000.0
2019-09-20	37.5	37.25	37.5	37.25	11900.0
2019-09-23	37.5	37.5	37.5	37.5	700.0
2019-09-25	37.25	37.25	43.0	40.0	500.0
2019-09-26	38.0	36.75	38.0	36.75	47700.0
2019-09-27	37.0	36.75	37.0	36.75	50000.0
2019-09-30	36.75	36.75	36.75	36.75	51000.0
2019-10-01	36.75	36.75	36.75	36.75	101100.0
2019-10-02	36.75	36.75	36.75	36.75	102000.0
2019-10-03	36.75	36.5	36.75	36.5	65300.0
2019-10-04	36.75	36.5	37.0	36.75	144700.0
2019-10-07	37.0	36.75	37.0	36.75	900.0
2019-10-08	36.75	36.75	36.75	36.75	5300.0
2019-10-09	36.75	36.75	37.0	37.0	1200.0
2019-10-10	36.75	36.75	36.75	36.75	14700.0
2019-10-11	37.0	36.75	46.0	46.0	4300.0
2019-10-15	38.0	36.75	38.0	36.75	4000.0
2019-10-16	36.75	36.75	36.75	36.75	6800.0
2019-10-17	44.5	37.0	44.5	37.0	13800.0
2019-10-18	37.25	37.25	37.25	37.25	100.0
2019-10-24	36.75	36.75	36.75	36.75	600.0
2019-10-25	36.75	36.75	36.75	36.75	1500.0
2019-10-28	36.5	28.0	36.5	35.0	3600.0
2019-10-29	35.0	35.0	37.0	37.0	117100.0
2019-11-04	36.5	36.0	36.5	36.0	1200.0
2019-11-06	36.0	36.0	36.0	36.0	200.0
2019-11-07	35.0	35.0	37.0	37.0	62700.0
2019-11-08	36.5	36.5	36.5	36.5	18900.0
2019-11-11	36.0	36.0	36.25	36.25	200.0
2019-11-12	36.25	36.25	36.25	36.25	100.0
2019-11-13	36.0	36.0	36.25	36.25	800.0
2019-11-14	35.75	35.75	36.0	36.0	200.0
2019-11-15	35.5	35.5	35.75	35.75	200.0
2019-11-18	35.5	35.5	35.5	35.5	100.0
2019-11-20	35.75	35.75	35.75	35.75	200.0
2019-11-21	35.5	35.5	35.5	35.5	200.0
2019-11-22	35.25	35.25	36.0	36.0	803000.0
2019-11-25	36.0	36.0	36.5	36.5	1002600.0
2019-11-26	36.0	35.25	36.5	35.25	1213000.0
2019-11-27	36.25	36.25	36.75	36.75	1298400.0
2019-11-28	37.0	36.25	38.75	36.5	1261800.0
2019-11-29	36.5	36.0	36.75	36.0	1222500.0
2019-12-02	36.5	36.5	36.5	36.5	1291000.0
2019-12-03	36.5	36.5	36.5	36.5	1222400.0
2019-12-04	36.5	36.5	37.25	37.25	1289100.0
2019-12-06	36.5	36.5	38.75	37.5	1303400.0
2019-12-09	36.5	36.5	36.5	36.5	1500000.0
2019-12-11	36.5	36.5	37.5	37.5	1600100.0
2019-12-12	36.5	36.25	37.5	37.5	1711400.0
