Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-25	52.5	52.5	60.0	60.0	35100.0
2000-02-01	50.0	50.0	50.0	50.0	100.0
2000-02-02	50.0	50.0	50.0	50.0	10000.0
2000-02-09	49.0	47.5	49.0	47.5	2600.0
2000-02-29	36.0	36.0	36.0	36.0	4000.0
2000-03-01	40.0	40.0	40.0	40.0	5000.0
2000-03-07	35.75	35.75	35.75	35.75	300.0
2000-03-22	42.5	42.5	43.75	43.75	1500.0
2000-03-23	44.0	44.0	44.0	44.0	2000.0
2000-04-05	43.0	43.0	48.0	48.0	700.0
2000-05-02	41.0	41.0	41.0	41.0	500.0
2000-07-19	39.0	39.0	39.0	39.0	600.0
2000-08-15	41.0	41.0	41.0	41.0	207000.0
2000-09-11	34.0	34.0	34.0	34.0	2000.0
2001-01-10	35.0	34.5	35.0	34.5	3000.0
2001-01-12	36.0	36.0	36.0	36.0	1000.0
2001-02-15	32.25	32.25	32.25	32.25	2000.0
2001-02-28	32.25	32.25	32.25	32.25	1000.0
2001-04-17	27.75	27.75	27.75	27.75	5000.0
2001-05-04	32.25	32.25	32.25	32.25	1000.0
2001-06-20	27.5	27.5	28.0	28.0	2700.0
2001-06-21	28.0	28.0	28.0	28.0	10000.0
2001-07-02	28.5	28.5	28.5	28.5	10000.0
2001-07-20	20.0	20.0	20.0	20.0	2000.0
2001-09-07	30.5	30.5	30.5	30.5	2100.0
2001-09-28	18.0	18.0	18.0	18.0	3100.0
2001-12-20	19.0	19.0	19.0	19.0	20000.0
2001-12-21	19.0	19.0	19.0	19.0	20000.0
2001-12-25	19.2	19.1	19.2	19.1	100000.0
2001-12-26	19.2	19.2	19.3	19.3	20000.0
2003-07-09	30.0	30.0	30.0	30.0	500.0
2003-11-27	50.5	49.25	50.5	49.25	1295100.0
2003-12-11	47.5	47.25	47.5	47.25	840900.0
2003-12-18	47.5	47.5	47.5	47.5	200.0
2004-01-05	46.5	46.5	50.0	50.0	36600.0
2004-01-06	49.5	49.5	49.5	49.5	2900.0
2004-01-07	49.0	49.0	49.0	49.0	1000.0
2004-01-08	50.0	50.0	50.0	50.0	1000.0
2004-01-23	50.0	50.0	50.0	50.0	500.0
2004-01-29	45.0	45.0	45.0	45.0	66000.0
2004-02-04	49.5	49.5	49.5	49.5	50000.0
2004-02-25	50.0	50.0	50.0	50.0	1000.0
2004-05-13	50.0	50.0	50.0	50.0	27900.0
2004-06-16	54.0	54.0	54.0	54.0	100000.0
2004-08-10	49.0	49.0	49.0	49.0	41000.0
2004-08-17	49.75	49.75	49.75	49.75	50000.0
2004-12-13	49.75	49.75	49.75	49.75	1500.0
2005-04-04	48.0	48.0	48.0	48.0	3000.0
2005-04-12	48.0	48.0	48.0	48.0	2000.0
2005-04-18	48.0	48.0	48.0	48.0	2000.0
2005-12-06	41.0	41.0	41.0	41.0	2000.0
2007-02-14	46.0	46.0	46.0	46.0	1200.0
2007-05-15	46.5	46.5	46.5	46.5	600.0
2007-07-24	46.0	46.0	46.0	46.0	12000.0
2007-12-20	36.0	36.0	36.0	36.0	100000.0
2007-12-21	37.0	37.0	37.0	37.0	1300.0
2008-01-08	34.0	34.0	34.0	34.0	100000.0
2008-01-16	32.25	32.25	32.25	32.25	80000.0
2008-01-22	30.25	30.25	30.25	30.25	70000.0
2009-01-28	7.3	7.3	7.3	7.3	100.0
2009-04-01	10.0	10.0	10.0	10.0	1200.0
2009-05-14	18.0	18.0	18.0	18.0	5000.0
2009-05-29	14.9	14.9	14.9	14.9	200000.0
2010-01-18	18.5	18.5	18.5	18.5	12000.0
2010-02-25	20.8	20.8	20.8	20.8	20000.0
2010-03-08	21.8	21.8	28.0	28.0	2200.0
2010-03-09	24.2	24.2	24.2	24.2	2000.0
2010-08-02	35.0	35.0	35.0	35.0	42000.0
2010-08-03	35.75	35.75	35.75	35.75	50000.0
2010-08-10	37.75	37.75	37.75	37.75	200000.0
2010-08-16	37.0	37.0	40.0	40.0	54500.0
2010-08-17	40.0	40.0	40.0	40.0	42000.0
2010-08-19	42.0	42.0	42.0	42.0	100.0
2010-08-20	41.25	41.25	41.25	41.25	26000.0
2010-08-24	41.25	41.25	41.25	41.25	382000.0
2010-08-26	40.5	40.5	40.5	40.5	2000.0
2010-09-01	38.25	38.25	38.25	38.25	51300.0
2010-09-08	38.0	38.0	38.0	38.0	7000.0
2010-09-16	36.25	36.25	36.25	36.25	28000.0
2010-09-17	39.0	39.0	39.0	39.0	5000.0
2010-09-28	39.75	39.75	39.75	39.75	6300.0
2010-09-30	39.25	39.25	39.25	39.25	14600.0
2010-10-01	41.5	41.5	43.0	43.0	6100.0
2010-10-04	45.25	45.25	45.25	45.25	100.0
2010-10-11	38.75	38.75	39.0	39.0	62100.0
2010-10-13	41.0	40.5	41.0	40.5	50100.0
2010-10-15	45.0	45.0	45.0	45.0	1000.0
2010-11-02	47.0	47.0	47.25	47.25	57000.0
2010-12-29	48.25	48.25	48.25	48.25	17400.0
2011-02-04	38.0	38.0	38.0	38.0	10000.0
2011-06-15	30.0	30.0	30.0	30.0	49500.0
2011-06-16	30.0	30.0	30.0	30.0	160000.0
2012-04-10	23.0	23.0	23.0	23.0	200.0
2013-10-15	21.3	21.3	21.5	21.5	2600.0
2013-10-18	12.6	12.6	12.6	12.6	1200.0
