Date	Price Open	Price Low	Price High	Price Close	Volume
2013-10-09	11.032263391	9.580649787	11.709683073	9.580649787	323067584
2013-10-10	9.967746748	9.580649787	9.967746748	9.870972508	56403129
2013-10-11	9.870972508	9.629036907	9.967746748	9.774198267	12845773
2013-10-14	9.677424027	9.580649787	9.774198267	9.580649787	5129877
2013-10-15	9.677424027	9.580649787	9.967746748	9.677424027	18605364
2013-10-16	9.677424027	9.580649787	9.677424027	9.580649787	5333444
2013-10-17	9.629036907	9.435488426	9.774198267	9.435488426	8447185
2013-10-18	9.580649787	9.483875546	9.870972508	9.629036907	9665072
2013-10-21	9.677424027	9.532262667	9.870972508	9.532262667	7356606
2013-10-22	9.532262667	9.483875546	9.677424027	9.483875546	2818725
2013-10-24	9.532262667	9.483875546	9.580649787	9.532262667	1576349
2013-10-25	9.629036907	9.483875546	9.629036907	9.483875546	2109342
2013-10-28	9.532262667	9.483875546	9.580649787	9.483875546	1674102
2013-10-29	9.532262667	9.435488426	9.532262667	9.483875546	1491409
2013-10-30	9.532262667	9.387101306	9.532262667	9.387101306	4745891
2013-10-31	9.338714186	9.193552826	9.387101306	9.193552826	2305778
2013-11-01	9.193552826	9.048391465	9.193552826	9.048391465	2160698
2013-11-04	9.000004345	8.758068744	9.000004345	8.758068744	2108412
2013-11-05	8.806455865	8.806455865	9.532262667	9.435488426	8817842
2013-11-06	9.532262667	9.532262667	9.967746748	9.629036907	11117421
2013-11-07	9.629036907	9.435488426	9.774198267	9.435488426	5710610
2013-11-08	9.387101306	9.338714186	9.677424027	9.338714186	3321958
2013-11-11	9.193552826	9.193552826	10.451617949	10.161295228	17087295
2013-11-12	10.258069469	10.161295228	11.129037631	10.74194067	26485663
2013-11-13	10.548392189	10.548392189	10.83871491	10.64516643	7390499
2013-11-14	10.83871491	10.64516643	11.032263391	10.74194067	7369936
2013-11-15	10.83871491	10.64516643	12.580651235	12.290328514	46298270
2013-11-18	12.290328514	11.709683073	12.387102755	11.903231553	16536425
2013-11-19	11.903231553	11.806457313	12.967748196	12.096780034	56274479
2013-11-20	12.193554274	12.000005793	12.580651235	12.096780034	22821362
2013-11-21	12.000005793	11.709683073	12.193554274	11.806457313	8148036
2013-11-22	11.612908832	11.225811871	11.612908832	11.516134592	6151017
2013-11-25	11.225811871	11.225811871	11.709683073	11.322586112	6521156
2013-11-26	11.322586112	11.322586112	11.709683073	11.419360352	6836323
2013-11-27	11.419360352	11.419360352	11.806457313	11.516134592	5180200
2013-11-28	11.612908832	11.612908832	12.000005793	11.903231553	10353065
2013-11-29	11.903231553	11.806457313	12.193554274	12.096780034	5300997
2013-12-02	12.000005793	11.903231553	12.483876995	12.483876995	4663017
2013-12-03	12.387102755	12.290328514	12.677425475	12.483876995	10529144
2013-12-04	12.483876995	12.387102755	13.258070917	13.258070917	24909624
2013-12-06	13.258070917	13.064522436	13.451619397	13.258070917	9808085
2013-12-09	13.258070917	12.870973956	13.451619397	13.064522436	6276360
2013-12-11	13.064522436	12.967748196	13.161296677	12.967748196	2143442
2013-12-12	13.064522436	12.967748196	13.741942118	13.741942118	15697669
2013-12-13	13.838716359	13.451619397	13.838716359	13.741942118	9333475
2013-12-16	13.741942118	13.548393638	14.32258756	14.129039079	22806275
2013-12-17	14.129039079	13.935490599	14.32258756	14.129039079	14538062
