Date	Price Open	Price Low	Price High	Price Close	Volume
2021-05-10	42.581630939	36.015304673	44.17346761	36.413263841	851630588
2021-05-11	36.612243425	33.627549667	37.209182176	34.224488419	321541656
2021-05-12	33.826529251	32.035712997	35.617345505	32.035712997	231361047
2021-05-13	31.836733413	30.64285591	33.229590499	32.632651748	186419125
2021-05-14	32.831631332	31.836733413	33.030610916	32.23469258	69461272
2021-05-17	32.035712997	31.438774245	33.030610916	33.030610916	79092913
2021-05-18	33.627549667	33.428570083	34.423468002	34.224488419	79161639
2021-05-19	34.025508835	33.826529251	34.224488419	34.025508835	40707945
2021-05-20	34.224488419	32.433672164	34.622447586	33.826529251	100337932
2021-05-21	33.428570083	33.030610916	33.627549667	33.229590499	24665218
2021-05-24	33.428570083	32.831631332	33.428570083	33.030610916	10938936
2021-05-25	33.229590499	33.229590499	34.025508835	33.826529251	29773406
2021-05-27	33.826529251	33.428570083	34.423468002	34.025508835	26247919
2021-05-28	34.224488419	33.229590499	34.423468002	33.627549667	24694367
2021-05-31	33.627549667	33.428570083	34.224488419	34.224488419	16308959
2021-06-01	34.025508835	34.025508835	35.020406754	34.82142717	60752463
2021-06-02	35.219386338	34.622447586	35.617345505	34.622447586	41402237
2021-06-04	34.622447586	33.826529251	34.82142717	33.826529251	22249644
2021-06-07	33.826529251	33.229590499	34.025508835	33.229590499	29249106
2021-06-08	33.229590499	33.030610916	33.826529251	33.229590499	14868359
2021-06-09	33.428570083	33.229590499	34.622447586	34.622447586	32955139
2021-06-10	34.82142717	34.423468002	35.020406754	34.82142717	18321226
2021-06-11	35.020406754	34.82142717	36.413263841	36.214284257	99233798
2021-06-14	36.214284257	35.418365922	36.214284257	35.816325089	27903490
2021-06-15	35.617345505	34.224488419	35.816325089	34.82142717	30343439
2021-06-16	34.224488419	34.025508835	35.219386338	35.219386338	23501657
2021-06-17	35.020406754	34.622447586	35.418365922	34.82142717	9467805
2021-06-18	34.82142717	34.224488419	35.020406754	34.622447586	10804751
2021-06-21	34.025508835	33.826529251	34.423468002	34.025508835	16659498
2021-06-22	34.423468002	33.229590499	34.423468002	33.826529251	13772769
2021-06-23	33.826529251	33.030610916	34.025508835	33.428570083	12024097
2021-06-24	33.229590499	32.23469258	33.428570083	32.831631332	28475031
2021-06-25	33.030610916	32.433672164	33.428570083	32.831631332	18744385
2021-06-28	32.433672164	32.035712997	32.831631332	32.831631332	12970677
2021-06-29	32.632651748	32.632651748	33.229590499	33.229590499	12050733
2021-06-30	33.229590499	32.831631332	33.627549667	33.030610916	9487908
2021-07-01	33.030610916	32.632651748	33.627549667	33.229590499	18503280
2021-07-02	33.030610916	32.23469258	33.229590499	32.23469258	20991726
2021-07-05	32.23469258	32.035712997	32.433672164	32.23469258	9282987
2021-07-06	32.433672164	32.433672164	33.229590499	32.831631332	14367554
2021-07-07	32.632651748	32.035712997	32.831631332	32.433672164	9158728
2021-07-08	32.035712997	30.841835494	32.23469258	31.040815077	30710185
2021-07-09	30.841835494	30.64285591	31.239794661	31.239794661	29798911
2021-07-12	31.239794661	30.045917158	31.239794661	30.443876326	26902006
2021-07-13	30.64285591	30.443876326	31.239794661	31.239794661	32250167
2021-07-14	31.040815077	30.841835494	32.632651748	32.632651748	30308511
2021-07-15	33.030610916	31.836733413	33.229590499	32.23469258	56741876
2021-07-16	32.23469258	32.23469258	33.229590499	33.229590499	29328385
