Date	Price Open	Price Low	Price High	Price Close	Volume
2010-10-14	9.67795851	7.747235652	7.747235652	7.747235652	2600.0
2010-10-15	9.67795851	7.795355128	7.795355128	7.795355128	31100.0
2010-10-19	9.67795851	7.747235652	7.747235652	7.747235652	1500.0
2010-10-20	9.582137139	7.795355128	7.795355128	7.795355128	2000.0
2010-10-21	9.582137139	7.747235652	7.747235652	7.747235652	185000.0
2010-10-22	9.582137139	7.747231804	7.747231804	7.747231804	50000.0
2010-10-27	9.582137139	7.747235652	7.747235652	7.747235652	24000.0
2010-11-01	9.582137139	7.747235652	7.795355128	7.747235652	161000.0
2010-11-02	9.582137139	7.747235652	7.747235652	7.747235652	10000.0
2010-11-03	9.582137139	7.795355128	7.795355128	7.795355128	134700.0
2010-11-04	9.582137139	7.747235652	7.747235652	7.747235652	90000.0
2010-11-05	9.582137139	7.747235652	7.747235652	7.747235652	3800.0
2010-11-08	9.582137139	7.795355128	7.795355128	7.795355128	2000.0
2010-11-09	9.582137139	7.747235652	7.795355128	7.795355128	58000.0
2010-11-10	9.582137139	7.795355128	7.795355128	7.795355128	44500.0
2010-11-11	9.582137139	7.795355128	7.795355128	7.795355128	6000.0
2010-11-12	9.582137139	7.747235652	7.795355128	7.795355128	73000.0
2010-11-15	9.582137139	7.747235652	7.795355128	7.747235652	215600.0
2010-11-16	9.582137139	7.747235652	7.795355128	7.795355128	50700.0
2010-11-17	9.582137139	7.795355128	7.795355128	7.795355128	20000.0
2010-11-18	9.582137139	7.795355128	7.795355128	7.795355128	143800.0
2010-11-19	9.582137139	7.795355128	7.795355128	7.795355128	150500.0
2010-11-22	9.582137139	7.795355128	7.843474604	7.795355128	53500.0
2010-11-23	9.582137139	7.795355128	7.795355128	7.795355128	184500.0
2010-11-24	9.582137139	7.795355128	7.843474604	7.843474604	133800.0
2010-11-25	9.582137139	7.747235652	7.747235652	7.747235652	2500.0
2010-11-26	9.582137139	7.699116176	7.747235652	7.747235652	15000.0
2010-11-29	9.582137139	7.699116176	7.699116176	7.699116176	5000.0
2010-11-30	9.582137139	7.747235652	7.747235652	7.747235652	35800.0
2010-12-01	9.582137139	7.747235652	7.747235652	7.747235652	30000.0
2010-12-02	9.582137139	7.747235652	7.747235652	7.747235652	100.0
2010-12-03	9.582137139	7.699116176	7.699116176	7.699116176	1000.0
2010-12-07	9.582137139	7.747235652	7.747235652	7.747235652	1400.0
2010-12-08	9.582137139	7.747235652	7.795355128	7.747235652	5400.0
2010-12-09	9.582137139	7.747235652	7.747235652	7.747235652	8100.0
2010-12-13	9.582137139	7.699116176	7.747235652	7.747235652	26200.0
2010-12-15	9.67795851	7.747235652	7.795355128	7.795355128	10100.0
2010-12-16	9.67795851	7.747235652	7.747235652	7.747235652	30000.0
2010-12-17	9.67795851	7.747235652	7.747235652	7.747235652	90000.0
2010-12-21	9.67795851	7.747235652	7.747235652	7.747235652	20000.0
2010-12-23	9.582137139	7.747235652	7.747235652	7.747235652	14600.0
2010-12-27	9.582137139	7.747235652	7.795355128	7.795355128	12000.0
2010-12-28	9.582137139	7.795355128	7.795355128	7.795355128	20000.0
2010-12-29	9.582137139	7.795355128	7.795355128	7.795355128	600.0
2010-12-30	9.582137139	7.747235652	7.795355128	7.747235652	7000.0
2011-01-04	9.582137139	7.747235652	7.795355128	7.795355128	30100.0
2011-01-05	9.67795851	7.747235652	7.795355128	7.747235652	33900.0
2011-01-06	9.67795851	7.795355128	7.987833033	7.987833033	42600.0
2011-01-07	9.67795851	7.987833033	7.987833033	7.987833033	20000.0
2011-01-10	9.67795851	7.89159408	7.89159408	7.89159408	1300.0
2011-01-11	9.67795851	7.89159408	7.939713556	7.939713556	12000.0
2011-01-12	9.67795851	7.89159408	7.939713556	7.939713556	14000.0
2011-01-14	9.67795851	7.939713556	7.987833033	7.987833033	49300.0
2011-01-17	9.67795851	7.939713556	7.987833033	7.939713556	2100.0
2011-01-18	9.67795851	7.987833033	7.987833033	7.987833033	15000.0
2011-01-19	9.582137139	7.987833033	7.987833033	7.987833033	15000.0
2011-01-20	9.582137139	7.939713556	7.987833033	7.987833033	28000.0
2011-01-21	9.582137139	7.987833033	7.987833033	7.987833033	3000.0
2011-01-24	9.582137139	7.939713556	7.987833033	7.939713556	44000.0
2011-01-25	9.582137139	7.89159408	7.939713556	7.89159408	29100.0
2011-01-31	9.582137139	7.795355128	8.372788841	7.795355128	64900.0
2011-02-01	9.582137139	7.843474604	7.843474604	7.843474604	13700.0
2011-02-02	9.582137139	7.843474604	7.843474604	7.843474604	16000.0
2011-02-03	9.582137139	7.843474604	7.843474604	7.843474604	14000.0
2011-02-04	9.582137139	8.372788841	8.372788841	8.372788841	7200.0
2011-02-10	9.582137139	7.89159408	7.987833033	7.89159408	11300.0
2011-02-11	9.582137139	7.939713556	7.987833033	7.987833033	5400.0
2011-02-15	9.582137139	7.843474604	7.939713556	7.843474604	45400.0
2011-02-16	9.582137139	7.843474604	7.843474604	7.843474604	4600.0
2011-02-17	9.582137139	7.843474604	7.843474604	7.843474604	30200.0
2011-02-21	9.582137139	7.89159408	7.89159408	7.89159408	200.0
2011-02-22	9.582137139	7.843474604	7.843474604	7.843474604	3500.0
2011-02-24	9.582137139	7.89159408	7.89159408	7.89159408	10000.0
2011-02-25	9.582137139	7.89159408	7.89159408	7.89159408	10200.0
2011-02-28	9.582137139	7.89159408	7.987833033	7.987833033	31800.0
2011-03-03	9.582137139	7.89159408	7.939713556	7.89159408	52000.0
2011-03-04	9.582137139	7.89159408	7.939713556	7.89159408	3500.0
2011-03-07	9.582137139	7.89159408	7.939713556	7.939713556	7200.0
2011-03-08	9.582137139	7.939713556	7.939713556	7.939713556	4000.0
2011-03-09	9.67795851	7.939713556	7.939713556	7.939713556	2500.0
2011-03-10	9.67795851	7.89159408	7.89159408	7.89159408	2000.0
2011-03-14	9.67795851	7.89159408	7.89159408	7.89159408	1000.0
2011-03-15	9.486315767	7.843474604	7.843474604	7.843474604	12000.0
2011-03-17	9.486315767	7.843474604	7.89159408	7.89159408	3500.0
2011-03-22	9.486315767	7.89159408	7.987833033	7.89159408	149700.0
2011-03-23	9.486315767	7.89159408	7.987833033	7.987833033	19900.0
2011-03-24	9.438405081	7.843474604	8.035952509	8.035952509	40100.0
2011-03-25	9.438405081	7.843474604	8.035952509	8.035952509	20100.0
2011-03-28	9.486315767	8.055598	8.055598	8.055598	200.0
2011-03-31	9.582137139	8.0064785	8.0064785	8.0064785	100.0
2011-04-01	9.582137139	7.957359	8.1047175	8.1047175	2600.0
2011-04-04	9.582137139	8.1047175	8.153837	8.153837	3000.0
2011-04-05	9.582137139	7.957359	7.957359	7.957359	6000.0
2011-04-08	9.582137139	8.055598	8.055598	8.055598	4000.0
2011-04-11	9.486315767	8.055598	8.153837	8.055598	3500.0
2011-04-19	9.486315767	8.055598	8.1047175	8.1047175	3200.0
2011-04-20	9.534226453	8.1047175	8.1047175	8.1047175	1700.0
2011-04-22	9.534226453	8.1047175	8.1047175	8.1047175	500.0
2011-04-25	9.534226453	8.1047175	8.1047175	8.1047175	10700.0
2011-04-26	9.486315767	8.055598	8.055598	8.055598	13000.0
2011-04-27	9.486312936	8.055598	8.055598	8.055598	18800.0
2011-04-28	9.486312936	8.055598	8.055598	8.055598	10000.0
2011-04-29	9.486312936	8.055598	8.1047175	8.1047175	33500.0
2011-05-03	9.486312936	8.055598	8.1047175	8.1047175	5100.0
2011-05-04	9.486312936	8.1047175	8.1047175	8.1047175	100.0
2011-05-06	9.534226453	8.1047175	8.1047175	8.1047175	4000.0
2011-05-10	9.534223607	8.1047175	8.1047175	8.1047175	2000.0
2011-05-13	9.534223607	8.055598	8.1047175	8.1047175	5000.0
2011-05-18	9.534223607	8.1047175	8.1047175	8.1047175	1000.0
2011-05-19	9.534223607	8.1047175	8.1047175	8.1047175	2000.0
2011-05-20	9.534223607	8.1047175	8.1047175	8.1047175	2000.0
2011-05-23	9.534226453	8.1047175	8.1047175	8.1047175	2000.0
2011-05-24	9.534223607	8.1047175	8.1047175	8.1047175	2000.0
2011-05-25	9.534223607	8.1047175	8.153837	8.153837	4500.0
2011-05-26	9.534223607	8.0064785	8.0064785	8.0064785	10000.0
2011-06-03	10.061243995	7.957359	8.1047175	8.1047175	7100.0
2011-06-09	10.061243995	7.760881	8.1047175	7.85912	4200.0
2011-06-10	10.157062335	8.0064785	8.153837	8.0064785	14900.0
2011-06-13	10.157062335	7.9082395	7.9082395	7.9082395	23000.0
2011-06-16	9.869598307	8.0064785	8.0064785	8.0064785	5000.0
2011-06-21	9.869598307	8.0064785	8.055598	8.055598	153100.0
2011-06-22	9.869598307	8.0064785	8.0064785	8.0064785	2000.0
2011-06-27	9.869598307	7.957359	7.957359	7.957359	20000.0
2011-06-30	9.582137139	8.0064785	8.0064785	8.0064785	8400.0
2011-07-06	9.582137139	7.957359	8.055598	7.957359	10100.0
2011-07-07	9.582137139	7.957359	8.055598	7.957359	18100.0
2011-07-08	9.582137139	8.0064785	8.1047175	8.0064785	5300.0
2011-07-11	9.67795851	8.0064785	8.1047175	8.0064785	3100.0
2011-07-13	9.67795851	7.9082395	7.957359	7.9082395	39900.0
2011-07-14	9.67795851	7.760881	7.9082395	7.760881	46400.0
2011-07-19	9.582134279	8.055598	8.055598	8.055598	100.0
2011-07-21	9.582134279	8.055598	8.055598	8.055598	11900.0
2011-07-25	9.582134279	7.957359	7.957359	7.957359	10000.0
2011-07-26	9.582134279	7.9082395	7.9082395	7.9082395	20000.0
2011-07-27	9.582134279	7.9082395	8.055598	8.055598	110500.0
2011-07-29	9.582134279	7.957359	8.1047175	7.957359	50100.0
2011-08-01	9.582134279	7.957359	7.957359	7.957359	15500.0
2011-08-02	9.582134279	7.957359	7.957359	7.957359	5600.0
2011-08-03	9.67795851	8.1047175	8.1047175	8.1047175	100.0
2011-08-04	9.67795851	7.957359	8.153837	8.153837	10100.0
2011-08-05	9.67795851	7.9082395	7.9082395	7.9082395	3000.0
2011-08-08	9.67795851	7.9082395	7.9082395	7.9082395	3000.0
2011-08-09	9.67795851	7.9082395	7.9082395	7.9082395	1000.0
2011-08-11	9.67795851	8.153837	8.153837	8.153837	100.0
2011-08-15	9.67795851	8.0064785	8.055598	8.055598	5600.0
2011-08-16	9.67795851	8.0064785	8.055598	8.055598	30300.0
2011-08-17	9.67795851	8.1047175	8.153837	8.1047175	45000.0
2011-08-18	9.67795851	8.153837	8.153837	8.153837	20000.0
2011-08-19	9.773776964	8.055598	8.1047175	8.055598	15100.0
2011-08-22	9.677955621	8.153837	8.2029565	8.2029565	29100.0
2011-08-23	9.677955621	8.1047175	8.1047175	8.1047175	34400.0
2011-08-24	9.677955621	8.153837	8.153837	8.153837	10000.0
2011-08-25	9.677955621	8.153837	8.153837	8.153837	10000.0
2011-08-26	9.582134279	7.957359	8.055598	7.957359	3200.0
2011-08-30	9.677955621	8.0064785	8.0064785	8.0064785	100.0
2011-09-01	9.582137139	8.153837	8.3011955	8.2029565	27300.0
2011-09-02	9.582137139	8.153837	8.153837	8.153837	22000.0
2011-09-07	9.582137139	8.2029565	8.2029565	8.2029565	200.0
2011-09-13	9.67795851	8.055598	8.055598	8.055598	5000.0
2011-09-15	9.582134279	8.055598	8.1047175	8.055598	24400.0
2011-09-16	9.582134279	8.055598	8.055598	8.055598	5000.0
2011-09-20	9.582134279	8.1047175	8.1047175	8.1047175	100.0
2011-09-23	9.438402264	7.85912	7.9082395	7.85912	57700.0
2011-09-26	9.438402264	7.760881	7.85912	7.760881	3600.0
2011-09-27	9.390494396	7.9082395	7.9082395	7.9082395	300.0
2011-09-28	9.438402264	7.957359	7.957359	7.957359	5000.0
2011-10-03	9.438402264	7.85912	7.85912	7.85912	12500.0
2011-10-04	9.438402264	7.760881	7.760881	7.760881	9000.0
2011-10-05	9.438402264	7.85912	7.85912	7.85912	8000.0
2011-10-07	9.438402264	7.85912	7.85912	7.85912	11800.0
2011-10-10	9.438402264	7.760881	7.760881	7.760881	10500.0
