Date	Price Open	Price Low	Price High	Price Close	Volume
2018-10-24	3.84	3.5	3.88	3.68	101012000.0
2018-10-25	3.64	3.58	3.68	3.68	8356800.0
2018-10-26	3.66	3.5	3.7	3.7	27399600.0
2018-10-29	3.7	3.62	3.78	3.62	16353600.0
2018-10-30	3.64	3.6	3.66	3.6	2731600.0
2018-10-31	3.62	3.56	3.64	3.6	2574300.0
2018-11-01	3.62	3.58	3.62	3.6	2200000.0
2018-11-02	3.6	3.58	3.64	3.58	3958200.0
2018-11-05	3.6	3.58	3.62	3.58	932700.0
2018-11-06	3.64	3.64	3.74	3.66	9210900.0
2018-11-07	3.68	3.58	3.68	3.62	2080300.0
2018-11-08	3.62	3.6	3.64	3.62	351000.0
2018-11-09	3.58	3.58	3.64	3.6	485800.0
2018-11-12	3.6	3.58	3.68	3.68	624400.0
2018-11-13	3.6	3.6	3.68	3.68	2501000.0
2018-11-14	3.66	3.6	3.66	3.6	749900.0
2018-11-15	3.6	3.5	3.6	3.5	1369600.0
2018-11-16	3.5	3.46	3.66	3.64	1640800.0
2018-11-19	3.68	3.56	3.68	3.56	994300.0
2018-11-20	3.58	3.54	3.64	3.54	154700.0
2018-11-21	3.58	3.56	3.6	3.56	571800.0
2018-11-22	3.6	3.54	3.62	3.6	634100.0
2018-11-23	3.6	3.58	3.62	3.6	277100.0
2018-11-26	3.62	3.62	3.66	3.64	1045600.0
2018-11-27	3.62	3.62	3.7	3.68	6805200.0
2018-11-28	3.7	3.7	3.8	3.8	21208400.0
2018-11-29	3.8	3.78	3.92	3.86	25446700.0
2018-11-30	3.88	3.86	3.92	3.9	7529400.0
2018-12-03	3.94	3.92	4.0	4.0	16512300.0
2018-12-04	4.02	3.92	4.06	3.94	14156700.0
2018-12-06	3.9	3.88	3.92	3.88	2593700.0
2018-12-07	3.9	3.86	4.06	4.0	15763700.0
2018-12-11	4.04	3.98	4.04	3.98	8269000.0
2018-12-12	4.02	4.02	4.14	4.08	20016600.0
2018-12-13	4.12	4.02	4.12	4.04	9110700.0
2018-12-14	4.04	4.02	4.12	4.04	10450600.0
2018-12-17	4.06	4.04	4.08	4.06	3864900.0
2018-12-18	4.06	4.06	4.18	4.16	7481900.0
2018-12-19	4.16	4.14	4.22	4.2	4311900.0
2018-12-20	4.2	4.16	4.22	4.2	3278700.0
2018-12-21	4.18	4.18	4.34	4.32	7211600.0
2018-12-24	4.34	4.32	4.4	4.34	9976600.0
2018-12-25	4.32	4.28	4.32	4.3	3195200.0
2018-12-26	4.3	4.3	4.36	4.32	2744600.0
2018-12-27	4.36	4.34	4.48	4.44	6433900.0
2018-12-28	4.46	4.46	4.5	4.5	4009600.0
2019-01-02	4.5	4.42	4.56	4.44	5859700.0
2019-01-03	4.44	4.02	4.44	4.2	7947200.0
2019-01-04	4.2	4.2	4.26	4.2	3075800.0
2019-01-07	4.2	4.1	4.24	4.1	1415900.0
2019-01-08	4.0	3.7	4.02	3.72	2801500.0
2019-01-09	3.74	3.68	3.78	3.76	1000900.0
2019-01-10	3.76	3.48	3.76	3.48	2547700.0
2019-01-11	3.52	3.48	3.58	3.54	446000.0
2019-01-14	3.56	3.52	3.64	3.52	289200.0
2019-01-15	3.54	3.48	3.54	3.48	368100.0
2019-01-16	3.54	3.46	3.54	3.46	343900.0
2019-01-17	3.44	3.44	3.54	3.48	220000.0
2019-01-18	3.5	3.44	3.5	3.5	134000.0
2019-01-21	3.46	3.46	3.5	3.46	44600.0
2019-01-22	3.46	3.44	3.46	3.46	69300.0
2019-01-23	3.44	3.44	3.52	3.52	151600.0
2019-01-24	3.46	3.46	3.52	3.48	96500.0
2019-01-25	3.52	3.46	3.56	3.5	67400.0
2019-01-28	3.5	3.46	3.74	3.68	2622700.0
2019-01-29	3.7	3.5	3.76	3.54	1996600.0
2019-01-30	3.6	3.52	3.6	3.54	149900.0
2019-01-31	3.54	3.54	3.6	3.54	130100.0
2019-02-01	3.54	3.5	3.54	3.5	293200.0
2019-02-04	3.5	3.46	3.54	3.54	294400.0
2019-02-05	3.54	3.48	3.54	3.48	101400.0
2019-02-06	3.52	3.48	3.52	3.48	64800.0
2019-02-07	3.48	3.46	3.5	3.48	77800.0
2019-02-08	3.48	3.44	3.48	3.46	122900.0
2019-02-11	3.46	3.32	3.46	3.32	363400.0
2019-02-12	3.32	3.3	3.4	3.36	147200.0
2019-02-13	3.34	3.3	3.34	3.34	134800.0
2019-02-14	3.3	3.3	3.32	3.3	288000.0
2019-02-15	3.32	3.26	3.34	3.26	46600.0
2019-02-18	3.26	3.18	3.3	3.3	141800.0
2019-02-20	3.34	3.3	3.4	3.3	300500.0
2019-02-21	3.3	3.3	3.38	3.38	103300.0
2019-02-22	3.36	3.32	3.4	3.34	139800.0
2019-02-25	3.42	3.36	3.42	3.36	66100.0
2019-02-26	3.36	3.34	3.36	3.34	36800.0
2019-02-27	3.36	3.34	3.36	3.36	6500.0
2019-02-28	3.32	3.26	3.32	3.26	136900.0
2019-03-01	3.24	3.22	3.24	3.22	38000.0
2019-03-04	3.2	3.16	3.3	3.16	113700.0
2019-03-05	3.18	3.14	3.18	3.14	19000.0
2019-03-06	3.14	3.08	3.16	3.08	80400.0
2019-03-07	3.1	3.1	3.18	3.16	60100.0
2019-03-08	3.2	3.16	3.2	3.2	8000.0
2019-03-11	3.18	3.14	3.18	3.14	22500.0
2019-03-12	3.12	3.02	3.12	3.02	57600.0
2019-03-13	3.0	3.0	3.1	3.04	71400.0
2019-03-14	3.04	2.98	3.04	3.02	174000.0
2019-03-15	3.02	3.0	3.02	3.0	22500.0
2019-03-18	3.0	2.96	3.0	2.96	705900.0
2019-03-19	2.96	2.92	2.98	2.92	689900.0
2019-03-20	2.94	2.92	3.0	3.0	26600.0
2019-03-21	2.98	2.96	2.98	2.98	7700.0
2019-03-22	2.94	2.94	3.1	3.02	76800.0
2019-03-25	3.02	2.94	3.02	2.94	335200.0
2019-03-26	2.96	2.92	3.0	2.92	64200.0
2019-03-27	2.94	2.94	2.98	2.94	136000.0
2019-03-28	2.96	2.94	2.96	2.94	5500.0
2019-03-29	2.96	2.9	2.96	2.9	186800.0
2019-04-01	2.92	2.88	2.94	2.88	83200.0
2019-04-02	2.9	2.82	2.9	2.84	203000.0
2019-04-03	2.82	2.82	2.88	2.88	12100.0
2019-04-04	2.88	2.6	2.88	2.82	43100.0
2019-04-05	2.82	2.78	2.86	2.8	59100.0
2019-04-09	2.8	2.8	2.82	2.82	42700.0
2019-04-10	2.8	2.7	2.8	2.74	262400.0
2019-04-11	2.76	2.72	2.8	2.8	377900.0
2019-04-12	2.78	2.78	2.88	2.86	688000.0
2019-04-17	2.84	2.8	2.86	2.84	571100.0
2019-04-18	2.84	2.8	2.86	2.8	64300.0
2019-04-19	2.86	2.8	2.86	2.8	42000.0
2019-04-22	2.82	2.8	2.82	2.8	23900.0
2019-04-23	2.82	2.7	2.82	2.78	217300.0
2019-04-24	2.74	2.74	2.84	2.8	571400.0
2019-04-25	2.84	2.3	2.84	2.72	87700.0
2019-04-26	2.72	2.7	2.82	2.74	26800.0
2019-04-29	2.76	2.7	2.76	2.72	3200.0
2019-04-30	2.7	2.7	2.76	2.74	19000.0
2019-05-02	2.76	2.74	2.76	2.74	3200.0
2019-05-03	2.76	2.7	2.76	2.72	60300.0
2019-05-07	2.72	2.7	2.72	2.72	43000.0
2019-05-08	2.7	2.7	2.72	2.72	1000.0
2019-05-09	2.7	2.7	2.72	2.7	12700.0
2019-05-10	2.7	2.7	2.74	2.74	15400.0
2019-05-13	2.72	2.66	2.72	2.66	164100.0
2019-05-14	2.66	2.66	2.72	2.68	73200.0
2019-05-15	2.68	2.66	2.68	2.66	53300.0
2019-05-16	2.66	2.5	2.66	2.64	42300.0
2019-05-17	2.66	2.64	2.66	2.64	67700.0
2019-05-21	2.64	2.64	2.66	2.66	5000.0
2019-05-22	2.66	2.6	2.68	2.66	39700.0
2019-05-23	2.66	2.64	2.66	2.64	2400.0
2019-05-24	2.64	2.64	2.64	2.64	31100.0
2019-05-27	2.64	2.64	2.66	2.66	28100.0
2019-05-28	2.66	2.58	2.66	2.66	96700.0
2019-05-29	2.68	2.68	2.74	2.72	134300.0
2019-05-30	2.72	2.72	2.72	2.72	32000.0
2019-05-31	2.74	2.7	2.74	2.74	36700.0
2019-06-04	2.74	2.74	2.82	2.8	533300.0
2019-06-05	2.8	2.8	2.88	2.88	773100.0
2019-06-06	2.9	2.88	2.9	2.88	306300.0
2019-06-07	2.86	2.8	2.86	2.82	194100.0
2019-06-10	2.84	2.82	2.84	2.82	18000.0
2019-06-11	2.84	2.78	2.84	2.78	254300.0
2019-06-12	2.78	2.78	2.82	2.82	202100.0
2019-06-13	2.82	2.82	2.82	2.82	29400.0
2019-06-14	2.86	2.86	2.86	2.86	30100.0
2019-06-17	2.86	2.86	2.86	2.86	31400.0
2019-06-18	2.84	2.84	2.88	2.86	38600.0
2019-06-19	2.86	2.86	2.88	2.88	65000.0
2019-06-20	2.88	2.88	2.88	2.88	100.0
2019-06-21	2.88	2.88	2.92	2.9	25700.0
2019-06-24	2.88	2.86	2.92	2.86	63800.0
2019-06-25	2.86	2.78	2.88	2.88	397700.0
2019-06-26	2.88	2.8	2.88	2.8	57400.0
2019-06-27	2.78	2.7	2.78	2.72	229600.0
2019-06-28	2.78	2.68	2.78	2.68	75700.0
2019-07-01	2.74	2.68	2.84	2.78	20700.0
2019-07-02	2.76	2.72	2.78	2.72	51300.0
2019-07-03	2.8	2.74	2.8	2.74	400.0
2019-07-04	2.78	2.7	2.78	2.76	37200.0
2019-07-05	2.76	2.68	2.76	2.76	1400.0
2019-07-08	2.78	2.74	2.78	2.74	10100.0
2019-07-09	2.76	2.72	2.76	2.74	18700.0
2019-07-10	2.76	2.7	2.76	2.7	3400.0
2019-07-11	2.78	2.68	2.78	2.68	22200.0
2019-07-12	2.68	2.66	2.72	2.7	215100.0
2019-07-15	2.74	2.72	2.76	2.72	13000.0
2019-07-17	2.7	2.68	2.72	2.72	19100.0
2019-07-18	2.72	2.68	2.74	2.72	15900.0
2019-07-19	2.68	2.68	2.72	2.7	4700.0
2019-07-22	2.7	2.7	2.7	2.7	500.0
2019-07-23	2.68	2.68	2.7	2.7	19100.0
2019-07-24	2.68	2.68	2.72	2.7	1500.0
2019-07-25	2.68	2.68	2.7	2.68	34500.0
2019-07-26	2.68	2.68	2.68	2.68	4600.0
2019-07-30	2.62	2.6	2.66	2.6	88500.0
2019-07-31	2.58	2.56	2.6	2.6	13200.0
