Date	Price Open	Price Low	Price High	Price Close	Volume
2022-01-17	27.0	26.0	30.0	30.0	169333100
2022-01-18	30.0	29.5	34.25	29.5	157505000
2022-01-19	30.0	27.5	30.25	28.0	47136700
2022-01-20	28.5	27.5	28.75	27.75	12344400
2022-01-21	27.5	27.25	31.0	31.0	37759300
2022-01-24	31.0	29.75	32.25	29.75	36013500
2022-01-25	29.75	29.0	30.5	29.75	18939300
2022-01-26	30.25	29.75	31.5	31.0	29951600
2022-01-27	30.5	30.0	31.25	31.0	27942400
2022-01-28	31.5	29.5	32.0	29.5	30229100
2022-01-31	29.75	27.25	29.75	27.75	19572500
2022-02-01	28.25	28.0	29.0	28.5	10874200
2022-02-02	28.75	28.5	29.5	29.0	14189600
2022-02-03	29.0	28.5	29.25	28.5	3560100
2022-02-04	28.5	27.75	28.75	27.75	6874900
2022-02-07	28.0	27.5	28.5	28.0	5390600
2022-02-08	27.75	26.75	28.0	27.0	7866200
2022-02-09	27.25	26.25	27.5	26.25	5676900
2022-02-10	26.5	25.0	27.25	27.0	15184000
2022-02-11	26.75	26.5	27.5	26.75	4458700
2022-02-14	26.75	26.0	27.0	26.0	2612000
2022-02-15	26.25	26.25	27.75	27.25	8027900
2022-02-17	27.25	27.25	28.25	27.25	10193100
2022-02-18	27.75	27.25	29.25	28.5	11440600
2022-02-21	28.5	28.5	29.5	28.75	7691800
2022-02-22	28.5	28.0	29.0	28.75	3974400
2022-02-23	29.0	29.0	29.75	29.25	8697700
2022-02-24	29.0	27.0	29.0	27.0	5696900
2022-02-25	28.0	27.25	28.0	27.75	3928600
2022-02-28	27.75	27.0	28.0	27.25	2801500
2022-03-01	27.5	27.25	27.75	27.25	1426100
2022-03-02	27.25	26.75	27.5	27.0	1194500
2022-03-03	27.5	27.25	28.0	27.25	2746300
2022-03-04	27.25	27.0	28.5	27.75	3068200
2022-03-07	27.25	26.25	27.5	26.25	3363000
2022-03-08	26.5	24.2	26.75	25.75	3801200
2022-03-09	26.0	25.75	26.5	26.0	1317400
2022-03-10	27.0	26.5	27.25	26.5	1679000
2022-03-11	26.25	25.75	26.75	26.25	2701800
2022-03-14	26.25	26.0	26.75	26.25	1013900
2022-03-15	26.5	25.5	27.25	25.5	2604500
2022-03-16	26.0	25.25	26.0	25.5	2230900
2022-03-17	25.75	25.5	26.5	25.5	3227400
2022-03-18	25.75	25.25	26.0	25.5	1846000
2022-03-21	25.5	25.5	26.25	25.75	1679400
2022-03-22	25.75	25.5	26.5	26.0	2568200
2022-03-23	26.25	26.0	26.5	26.0	2716500
2022-03-24	26.0	25.75	27.75	27.5	6477200
2022-03-25	27.5	26.75	27.5	27.0	2587100
2022-03-28	26.75	26.25	27.25	26.75	1928400
2022-03-29	26.5	26.25	27.0	26.25	877100
2022-03-30	26.5	26.5	27.25	27.0	1952200
2022-03-31	27.0	26.25	27.5	26.25	2758500
2022-04-01	26.25	25.75	26.5	26.25	2128800
2022-04-04	26.25	25.75	26.5	25.75	1223300
2022-04-05	26.0	25.75	26.5	26.25	2437100
2022-04-07	26.0	25.25	26.25	25.5	2321300
2022-04-08	25.5	25.5	26.25	25.75	2187100
2022-04-11	25.75	25.25	26.0	25.25	1422200
2022-04-12	25.25	25.0	25.5	25.0	1242800
2022-04-18	25.25	25.0	25.75	25.25	940700
2022-04-19	25.25	25.0	25.5	25.0	697100
2022-04-20	25.25	25.25	26.0	25.75	1607000
2022-04-21	26.0	25.5	26.25	25.5	441800
2022-04-22	25.75	25.5	28.5	28.25	10277900
2022-04-25	28.0	27.25	28.75	27.5	6341400
2022-04-26	27.75	26.25	27.75	26.75	3347800
2022-04-27	26.5	26.25	26.75	26.5	1029700
2022-04-28	26.5	26.0	26.5	26.0	1028600
2022-04-29	26.25	26.25	26.75	26.25	351500
2022-05-03	26.25	25.25	26.25	25.75	1781000
2022-05-05	26.0	25.0	26.0	25.0	1738300
2022-05-06	24.6	24.3	25.0	24.5	2435200
2022-05-09	24.2	22.3	24.4	22.3	4977000
2022-05-10	22.2	21.3	22.9	22.9	2610400
2022-05-11	22.7	22.6	24.0	23.8	2097400
2022-05-12	23.6	22.6	23.8	22.9	1554100
2022-05-13	22.5	22.5	23.1	22.9	806300
2022-05-17	22.9	22.5	22.9	22.5	836000
2022-05-18	22.9	22.6	23.3	23.0	1036100
2022-05-19	22.6	22.6	23.0	22.6	513400
2022-05-20	22.6	22.6	23.0	22.9	839800
2022-05-23	23.0	22.8	23.2	23.0	615000
2022-05-24	23.0	22.7	23.2	22.7	472600
2022-05-25	22.9	22.5	22.9	22.5	373200
2022-05-26	22.7	22.6	23.0	22.7	389700
2022-05-27	22.9	22.8	24.7	24.4	3865700
2022-05-30	24.9	24.7	25.25	25.25	2474000
2022-05-31	25.5	25.0	26.5	25.5	2808400
2022-06-01	25.25	25.25	26.0	25.25	1018800
2022-06-02	25.25	25.25	26.0	25.75	893900
2022-06-06	26.0	25.75	27.0	26.5	2372300
2022-06-07	26.25	25.75	26.75	25.75	647300
2022-06-08	26.0	25.75	26.5	25.75	386400
2022-06-09	26.0	25.75	26.25	25.75	336500
2022-06-10	25.75	25.75	26.25	25.75	580900
2022-06-13	25.25	24.5	25.25	24.7	1211700
2022-06-14	24.4	24.3	24.7	24.6	280000
2022-06-15	24.6	24.6	25.0	24.9	431900
2022-06-16	25.0	23.6	25.25	23.6	590300
2022-06-17	23.4	22.8	23.7	23.5	346900
2022-06-20	23.4	23.2	24.2	23.8	261800
2022-06-21	23.8	23.7	23.9	23.7	59800
2022-06-22	23.8	23.1	23.8	23.1	200200
2022-06-23	23.1	23.0	23.4	23.3	64800
2022-06-24	23.3	23.3	23.5	23.3	110400
2022-06-27	23.4	23.4	24.0	23.6	288100
2022-06-28	23.7	23.7	23.8	23.8	48900
2022-06-29	23.7	23.5	23.8	23.8	21400
2022-06-30	23.8	23.1	23.8	23.3	100600
2022-07-01	23.3	22.9	23.3	23.1	87500
2022-07-04	23.1	22.5	23.1	22.5	228000
2022-07-05	22.4	21.8	22.6	22.2	421800
2022-07-06	21.9	21.8	22.5	22.2	413500
2022-07-07	22.3	22.2	23.7	23.7	388800
2022-07-08	23.5	23.3	23.6	23.5	123800
2022-07-11	23.5	23.5	23.9	23.7	201000
2022-07-12	23.8	23.0	24.2	23.7	949400
2022-07-14	23.7	22.9	23.7	23.0	146500
2022-07-15	23.1	22.4	23.1	22.6	105600
2022-07-18	22.5	22.4	23.1	23.1	118900
2022-07-19	22.7	22.5	22.9	22.5	110600
2022-07-20	22.5	22.5	23.1	22.8	133400
2022-07-21	22.7	22.7	22.9	22.7	41900
2022-07-22	22.7	22.7	23.0	23.0	55200
2022-07-25	23.1	23.1	23.6	23.1	603800
2022-07-26	23.4	22.9	23.4	23.2	120400
2022-07-27	23.3	23.3	24.0	23.9	2087300
2022-08-01	23.9	23.4	23.9	23.5	242000
2022-08-02	23.5	23.2	23.7	23.3	194400
2022-08-03	23.5	23.2	23.8	23.2	390000
2022-08-04	23.3	23.2	23.4	23.2	55000
2022-08-05	23.3	23.1	23.3	23.3	45200
2022-08-08	23.3	23.0	23.6	23.1	104100
2022-08-09	23.6	23.3	23.6	23.4	310300
2022-08-10	23.4	23.4	23.7	23.7	248800
2022-08-11	23.6	23.6	24.9	24.3	2280000
2022-08-15	23.6	22.1	23.7	22.6	1165300
2022-08-16	22.8	22.6	23.1	23.0	304600
2022-08-17	23.1	22.8	23.2	22.8	303300
2022-08-18	22.9	22.7	22.9	22.8	46200
2022-08-19	22.8	22.6	22.8	22.7	90100
2022-08-22	22.6	22.3	22.6	22.5	246400
2022-08-23	22.3	22.1	22.7	22.1	406800
2022-08-24	22.1	22.1	22.7	22.3	586700
2022-08-25	22.5	22.2	22.5	22.4	123200
2022-08-26	22.4	22.2	22.4	22.3	68300
2022-08-29	22.2	22.1	22.4	22.2	154300
2022-08-30	22.3	22.1	22.7	22.7	121000
2022-08-31	22.9	22.5	22.9	22.5	104600
2022-09-01	22.7	21.7	23.0	21.7	1184600
2022-09-02	21.8	21.3	22.0	21.6	216700
2022-09-05	21.6	21.6	22.1	22.1	397500
2022-09-06	22.0	22.0	22.2	22.0	116700
2022-09-07	22.1	21.9	22.2	21.9	123800
2022-09-08	22.0	22.0	22.7	22.4	489300
2022-09-09	22.2	22.2	22.8	22.6	343800
2022-09-12	22.2	22.2	22.5	22.2	249100
2022-09-13	22.3	22.2	22.6	22.3	243200
2022-09-14	22.0	22.0	22.3	22.3	123600
2022-09-15	22.2	21.6	22.4	21.8	427900
2022-09-16	21.8	21.5	21.9	21.5	194300
