Date	Price Open	Price Low	Price High	Price Close	Volume
2009-09-25	4.74	1.3	1.36	1.3	93800.0
2009-09-28	4.26	1.28	1.31	1.28	5100.0
2009-09-29	4.2	1.3	1.34	1.3	25500.0
2009-09-30	4.2	1.32	1.32	1.32	500.0
2009-10-01	3.92	1.28	1.32	1.3	11900.0
2009-10-02	3.52	1.32	1.33	1.33	11000.0
2009-10-05	3.46	1.25	1.33	1.29	60700.0
2009-10-06	3.42	1.29	1.33	1.31	65500.0
2009-10-07	3.4	1.31	1.32	1.31	153800.0
2009-10-08	3.2	1.3	1.3	1.3	24000.0
2009-10-09	3.06	1.28	1.3	1.28	70000.0
2009-10-13	3.24	1.28	1.28	1.28	9800.0
2009-10-14	3.08	1.25	1.28	1.25	166500.0
2009-10-15	3.1	1.2	1.2	1.2	11000.0
2009-10-16	3.14	1.28	1.28	1.28	100.0
2009-10-19	3.16	1.26	1.29	1.29	3100.0
2009-10-20	3.16	1.26	1.28	1.28	92600.0
2009-10-21	3.28	1.26	1.26	1.26	22000.0
2009-10-22	3.24	1.22	1.25	1.22	100000.0
2009-10-27	3.04	1.32	1.32	1.32	30000.0
2009-10-28	3.02	1.32	1.34	1.34	20000.0
2009-10-29	3.08	1.26	1.26	1.26	1900.0
2009-11-02	3.14	1.23	1.23	1.23	5000.0
2009-11-05	3.08	1.27	1.28	1.27	200.0
2009-11-06	3.14	1.3	1.3	1.3	500.0
2009-11-09	3.1	1.3	1.32	1.3	48400.0
2009-11-10	3.08	1.28	1.31	1.3	130100.0
2009-11-11	3.08	1.31	1.31	1.31	10000.0
2009-11-12	3.04	1.29	1.31	1.3	9100.0
2009-11-13	2.98	1.28	1.3	1.29	42100.0
2009-11-16	3.02	1.3	1.34	1.32	162400.0
2009-11-17	3.0	1.31	1.33	1.31	33800.0
2009-11-18	2.98	1.31	1.33	1.31	103200.0
2009-11-19	2.98	1.3	1.32	1.3	33600.0
2009-11-20	3.0	1.3	1.31	1.3	43500.0
2009-11-23	3.0	1.31	1.32	1.31	87900.0
2009-11-24	3.04	1.31	1.31	1.31	3900.0
2009-11-25	3.04	1.32	1.36	1.34	159700.0
2009-11-26	3.04	1.33	1.35	1.33	11000.0
2009-11-27	2.96	1.28	1.31	1.31	78200.0
2009-11-30	3.02	1.29	1.31	1.29	9000.0
2009-12-01	2.96	1.31	1.31	1.31	200.0
2009-12-02	2.96	1.29	1.31	1.29	16500.0
2009-12-03	2.96	1.29	1.31	1.31	2300.0
2009-12-04	2.98	1.3	1.67	1.55	7934600.0
2009-12-08	3.06	1.52	1.65	1.52	2447000.0
2009-12-09	3.06	1.45	1.6	1.49	632200.0
2009-12-11	3.08	1.49	1.52	1.5	161400.0
2009-12-14	2.98	1.5	1.57	1.51	339900.0
2009-12-15	2.88	1.51	1.61	1.58	2849500.0
2009-12-16	2.84	1.64	1.79	1.71	22700600.0
2009-12-17	2.88	1.67	1.78	1.67	7644200.0
2009-12-18	2.9	1.63	1.71	1.66	4341300.0
2009-12-21	2.92	1.61	1.66	1.62	1361800.0
2009-12-22	2.94	1.62	1.65	1.62	799500.0
2009-12-23	2.9	1.63	1.66	1.63	441500.0
2009-12-24	2.92	1.62	1.63	1.62	319100.0
2009-12-25	2.76	1.63	1.65	1.63	87100.0
2009-12-28	2.78	1.62	1.65	1.65	58100.0
2009-12-29	2.82	1.63	1.73	1.64	2535300.0
2009-12-30	2.88	1.65	1.7	1.65	1268500.0
2010-01-04	2.88	1.67	1.79	1.71	6126900.0
2010-01-05	2.9	1.68	1.74	1.68	2240500.0
2010-01-06	2.96	1.67	1.73	1.67	2473200.0
2010-01-07	2.98	1.68	2.16	2.16	55440000.0
2010-01-08	3.04	1.92	2.26	1.99	22950400.0
2010-01-11	3.0	1.97	2.12	2.06	23836800.0
2010-01-12	3.0	2.02	2.14	2.04	18953800.0
2010-01-13	2.96	2.0	2.08	2.02	6295700.0
2010-01-14	2.98	2.0	2.08	2.0	5690800.0
2010-01-15	2.94	1.95	2.04	1.96	3292700.0
2010-01-18	2.98	1.96	2.02	1.99	3133800.0
2010-01-19	2.92	1.93	2.06	1.93	5421700.0
2010-01-20	2.94	1.96	2.08	1.99	8284900.0
2010-01-21	2.98	1.91	2.02	1.91	2664300.0
2010-01-22	3.04	1.87	1.92	1.9	2049000.0
