Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	0.79	0.79	0.79	0.79	4999.0
2000-01-05	0.72	0.56	0.77	0.77	35999.0
2000-01-06	0.55	0.55	0.77	0.7	50999.0
2000-01-07	0.69	0.69	0.8	0.8	5999.0
2000-01-10	0.7	0.7	0.88	0.88	3999.0
2000-01-11	0.88	0.72	0.89	0.72	31999.0
2000-01-12	0.57	0.57	0.71	0.71	18999.0
2000-01-13	0.6	0.6	0.87	0.75	89999.0
2000-01-14	0.71	0.71	0.81	0.81	59999.0
2000-01-17	0.82	0.72	0.82	0.72	29999.0
2000-01-18	0.71	0.71	0.71	0.71	3999.0
2000-01-19	0.71	0.71	0.76	0.73	19999.0
2000-01-21	0.76	0.72	0.76	0.72	29999.0
2000-01-27	0.7	0.7	0.93	0.93	29999.0
2000-01-31	0.66	0.66	0.85	0.84	110999.0
2000-02-02	0.7	0.68	0.78	0.78	51999.0
2000-02-10	0.84	0.82	0.84	0.82	19999.0
2000-02-14	0.83	0.66	0.83	0.67	49999.0
2000-02-15	0.68	0.67	0.7	0.7	71999.0
2000-02-17	0.67	0.67	0.67	0.67	14999.0
2000-02-23	0.69	0.69	0.69	0.69	9999.0
2000-02-24	0.7	0.7	0.7	0.7	9999.0
2000-02-25	0.72	0.72	0.72	0.72	9999.0
2000-02-28	0.72	0.72	0.72	0.72	9999.0
2000-02-29	0.72	0.72	0.72	0.72	19999.0
2000-03-01	0.74	0.74	0.74	0.74	4999.0
2000-03-02	0.8	0.8	0.8	0.8	9999.0
2000-03-06	0.79	0.79	0.8	0.8	10999.0
2000-03-09	0.81	0.81	0.81	0.81	9999.0
2000-03-21	0.72	0.72	0.81	0.81	11999.0
2000-03-27	0.8	0.8	0.8	0.8	4999.0
2000-03-31	0.71	0.71	0.82	0.82	11999.0
2000-04-12	0.7	0.7	0.81	0.81	20999.0
2000-05-16	0.74	0.74	0.74	0.74	10999.0
2000-05-19	0.74	0.74	0.75	0.75	63999.0
2000-05-22	0.75	0.7	0.75	0.7	56999.0
2000-05-23	0.61	0.61	0.72	0.72	21999.0
2000-05-24	0.72	0.72	0.72	0.72	9999.0
2000-05-25	0.71	0.71	0.71	0.71	19999.0
2000-05-26	0.71	0.7	0.75	0.75	49999.0
2000-06-02	0.8	0.8	0.8	0.8	9999.0
2000-06-05	0.81	0.81	0.81	0.81	9999.0
2000-06-06	0.81	0.81	0.81	0.81	9999.0
2000-06-08	0.82	0.81	0.82	0.81	59999.0
2000-06-09	0.81	0.81	0.81	0.81	9999.0
2000-06-12	0.82	0.82	0.82	0.82	9999.0
2000-06-13	0.81	0.8	0.81	0.8	59999.0
2000-06-15	0.81	0.81	0.81	0.81	2999.0
2000-06-22	0.83	0.83	0.83	0.83	69999.0
2000-06-29	0.81	0.8	0.81	0.8	29999.0
2000-06-30	0.8	0.8	0.8	0.8	5999.0
2000-07-03	0.8	0.8	0.8	0.8	9999.0
2000-07-04	0.8	0.78	0.8	0.78	49999.0
2000-07-06	0.79	0.79	0.8	0.8	169999.0
2000-07-20	0.79	0.79	0.79	0.79	9999.0
2000-07-21	0.79	0.79	0.79	0.79	39999.0
2000-08-08	0.87	0.87	0.87	0.87	9999.0
2000-09-06	0.7	0.7	0.7	0.7	19999.0
2000-09-13	0.67	0.67	0.79	0.79	49999.0
2000-09-20	0.78	0.78	0.78	0.78	9999.0
2000-09-21	0.8	0.8	0.8	0.8	19999.0
2000-09-22	0.8	0.8	0.8	0.8	15999.0
2000-09-26	0.88	0.88	0.88	0.88	4999.0
2000-09-29	0.94	0.81	0.94	0.81	19999.0
2000-10-04	0.75	0.75	0.75	0.75	4999.0
2000-10-19	0.87	0.8	0.87	0.8	19999.0
2000-10-27	0.78	0.78	0.78	0.78	9999.0
2000-11-30	0.74	0.74	0.74	0.74	10999.0
2000-12-22	0.76	0.76	0.76	0.76	9999.0
2000-12-25	0.75	0.75	0.75	0.75	19999.0
2000-12-26	0.75	0.75	0.75	0.75	84999.0
2000-12-29	0.81	0.81	0.81	0.81	1999.0
2001-01-05	0.7	0.7	0.7	0.7	2999.0
2001-01-15	0.75	0.75	0.8	0.8	39999.0
2001-01-23	0.85	0.85	0.85	0.85	9999.0
2001-01-24	0.9	0.9	1.0	1.0	137999.0
2001-01-25	0.95	0.95	1.0	1.0	51999.0
2001-02-01	0.9	0.9	0.9	0.9	203999.0
2001-02-02	0.9	0.9	0.9	0.9	38999.0
2001-02-06	0.92	0.92	0.92	0.92	42999.0
2001-02-09	0.9	0.9	0.9	0.9	31999.0
2001-02-12	0.92	0.92	0.92	0.92	19999.0
2001-02-23	0.9	0.9	0.9	0.9	5999.0
2001-02-28	0.9	0.9	0.91	0.9	199999.0
2001-03-01	0.92	0.9	0.92	0.9	99999.0
2001-03-02	0.85	0.85	0.85	0.85	2299999.0
2001-03-06	0.84	0.84	0.91	0.9	369999.0
2001-03-07	0.89	0.88	0.9	0.88	129999.0
2001-03-08	0.85	0.85	0.9	0.85	1759999.0
2001-03-09	0.86	0.86	0.88	0.88	149999.0
2001-03-12	0.9	0.9	0.91	0.91	39999.0
2001-03-13	0.9	0.9	0.91	0.91	39999.0
2001-03-14	0.9	0.88	0.91	0.88	69999.0
2001-03-15	0.89	0.86	0.9	0.86	69999.0
2001-03-16	0.86	0.86	0.88	0.88	105999.0
2001-03-19	0.88	0.86	0.88	0.86	51999.0
2001-03-20	0.86	0.86	0.89	0.89	119999.0
2001-03-21	0.86	0.86	0.89	0.86	119999.0
2001-03-22	0.85	0.85	0.89	0.87	89999.0
2001-03-26	0.85	0.85	0.87	0.85	59999.0
2001-03-27	0.85	0.85	0.85	0.85	29999.0
2001-03-28	0.85	0.84	0.85	0.84	59999.0
2001-03-29	0.84	0.84	0.84	0.84	9999.0
2001-03-30	0.84	0.84	0.84	0.84	49999.0
2001-04-02	0.84	0.84	0.85	0.84	89999.0
2001-04-23	0.84	0.84	0.84	0.84	59999.0
2001-04-24	0.85	0.85	0.86	0.86	83999.0
2001-04-26	0.87	0.87	0.87	0.87	1999.0
2001-05-02	0.89	0.89	0.89	0.89	57999.0
2001-05-03	0.89	0.89	0.89	0.89	49999.0
2001-05-04	0.9	0.9	0.9	0.9	49999.0
2001-05-11	0.89	0.89	0.89	0.89	69999.0
2001-05-14	0.91	0.91	0.91	0.91	65999.0
2001-05-16	0.93	0.93	0.94	0.94	49999.0
2001-05-17	0.9	0.9	0.9	0.9	49999.0
2001-05-18	0.9	0.9	1.0	0.91	101999.0
2001-05-21	0.91	0.91	0.91	0.91	9999.0
2001-05-23	0.95	0.95	0.97	0.97	47999.0
2001-05-24	0.95	0.95	1.05	1.0	1538999.0
2001-05-25	0.98	0.97	0.98	0.97	129999.0
2001-05-28	0.98	0.96	0.98	0.97	113999.0
2001-05-29	0.97	0.97	0.97	0.97	31999.0
2001-05-30	0.97	0.97	1.05	1.05	250999.0
2001-05-31	1.05	1.0	1.05	1.05	226999.0
2001-06-01	1.025	1.025	1.225	1.2	1449999.0
2001-06-04	1.225	1.225	1.425	1.3	1869999.0
2001-06-05	1.325	1.125	1.325	1.225	688999.0
2001-06-06	1.225	1.225	1.425	1.35	1474999.0
2001-06-07	1.35	1.3	1.5	1.3	3449999.0
2001-06-08	1.325	1.275	1.325	1.275	341999.0
2001-06-11	1.275	1.275	1.275	1.275	57999.0
2001-06-12	1.275	1.175	1.275	1.2	417999.0
2001-06-13	1.175	1.175	1.225	1.225	506999.0
2001-06-14	1.275	1.225	1.275	1.275	249999.0
2001-06-15	1.25	1.175	1.275	1.175	314999.0
2001-06-18	1.2	1.175	1.25	1.25	401999.0
2001-06-19	1.2	1.2	1.275	1.25	593999.0
2001-06-20	1.275	1.275	1.325	1.3	1774999.0
2001-06-21	1.3	1.3	1.525	1.475	11002999.0
2001-06-22	1.475	1.4	1.475	1.425	1898999.0
2001-06-25	1.45	1.45	1.525	1.45	4707999.0
2001-06-26	1.475	1.4	1.475	1.4	2101999.0
2001-06-27	1.425	1.4	1.425	1.4	1292999.0
2001-06-28	1.425	1.375	1.425	1.4	952999.0
2001-06-29	1.425	1.425	1.55	1.5	11410999.0
2001-07-02	1.525	1.525	1.6	1.575	3514999.0
2001-07-03	1.6	1.55	1.625	1.55	2025999.0
2001-07-04	1.55	1.55	1.7	1.55	10161999.0
2001-07-05	1.6	1.5	1.6	1.5	1350999.0
2001-07-09	1.5	1.5	1.575	1.525	2814999.0
2001-07-10	1.55	1.5	1.55	1.5	639999.0
2001-07-11	1.5	1.25	1.5	1.325	1224999.0
2001-07-12	1.325	1.3	1.4	1.4	2457999.0
2001-07-13	1.425	1.375	1.45	1.4	2266999.0
2001-07-16	1.425	1.425	1.5	1.425	1632999.0
2001-07-17	1.45	1.45	1.45	1.45	709999.0
2001-07-18	1.45	1.45	1.55	1.55	3535999.0
2001-07-19	1.575	1.55	1.625	1.55	4711999.0
2001-07-20	1.575	1.475	1.575	1.475	1161999.0
2001-07-23	1.5	1.45	1.5	1.45	694999.0
2001-07-25	1.475	1.475	1.475	1.475	49999.0
2001-07-26	1.45	1.425	1.45	1.425	198999.0
2001-07-27	1.425	1.3	1.425	1.425	138999.0
2001-07-31	1.3	1.3	1.425	1.425	10999.0
2001-08-03	1.3	1.3	1.35	1.35	39999.0
2001-08-06	1.4	1.4	1.4	1.4	1999.0
2001-08-07	1.35	1.35	1.425	1.375	290999.0
2001-08-08	1.375	1.35	1.45	1.425	450999.0
2001-08-09	1.45	1.425	1.45	1.425	185999.0
2001-08-10	1.425	1.4	1.45	1.4	240999.0
2001-08-14	1.425	1.425	1.425	1.425	9999.0
2001-08-15	1.425	1.35	1.425	1.375	394999.0
2001-08-16	1.4	1.375	1.45	1.375	1614999.0
2001-08-17	1.4	1.375	1.4	1.375	139999.0
2001-08-20	1.4	1.35	1.4	1.35	478999.0
2001-08-21	1.375	1.35	1.4	1.35	631999.0
2001-08-22	1.375	1.375	1.375	1.375	196999.0
2001-08-23	1.4	1.4	1.475	1.4	3309999.0
2001-08-24	1.425	1.4	1.45	1.4	179999.0
2001-08-27	1.375	1.35	1.375	1.35	249999.0
2001-08-28	1.35	1.35	1.4	1.4	149999.0
2001-08-29	1.4	1.35	1.4	1.35	279999.0
2001-08-30	1.35	1.3	1.375	1.3	736999.0
2001-08-31	1.3	1.25	1.3	1.275	533999.0
2001-09-03	1.3	1.3	1.325	1.3	111999.0
2001-09-04	1.3	1.25	1.3	1.25	119999.0
2001-09-05	1.25	1.25	1.275	1.25	152999.0
2001-09-06	1.225	1.225	1.25	1.25	67999.0
2001-09-07	1.275	1.275	1.275	1.275	9999.0
2001-09-10	1.25	1.25	1.25	1.25	49999.0
2001-09-11	1.25	1.25	1.25	1.25	49999.0
2001-09-13	1.15	1.1	1.15	1.1	200999.0
2001-09-14	1.1	1.0	1.1	1.025	89999.0
2001-09-17	0.99	0.97	0.99	0.97	60999.0
2001-09-18	0.99	0.95	0.99	0.99	83999.0
2001-09-19	1.125	1.125	1.15	1.15	1999.0
2001-09-20	1.225	1.225	1.225	1.225	1999.0
2001-09-28	1.225	1.05	1.25	1.075	2969999.0
2001-10-01	1.05	1.025	1.05	1.05	134999.0
2001-10-02	1.05	1.05	1.1	1.075	187999.0
2001-10-03	1.05	1.05	1.125	1.1	309999.0
2001-10-04	1.125	1.075	1.15	1.075	534999.0
2001-10-05	1.1	1.075	1.125	1.075	316999.0
2001-10-08	1.075	1.075	1.1	1.1	529999.0
2001-10-09	1.1	1.1	1.1	1.1	10999.0
2001-10-10	1.125	1.125	1.175	1.15	262999.0
2001-10-11	1.15	1.15	1.15	1.15	311999.0
2001-10-12	1.125	1.125	1.15	1.15	47999.0
2001-10-15	1.125	1.125	1.125	1.125	99999.0
2001-10-16	1.15	1.125	1.15	1.125	392999.0
2001-10-17	1.125	1.125	1.15	1.125	298999.0
2001-10-18	1.125	1.125	1.125	1.125	48999.0
2001-10-19	1.175	1.175	1.175	1.175	999.0
2001-10-22	1.15	1.15	1.15	1.15	8999.0
2001-10-24	1.15	1.15	1.15	1.15	222999.0
2001-10-25	1.15	1.15	1.2	1.2	185999.0
