Date	Price Open	Price Low	Price High	Price Close	Volume
2015-11-18	1.81	1.78	1.97	1.8	849630400
2015-11-19	1.83	1.57	1.84	1.58	168797400
2015-11-20	1.6	1.58	1.66	1.62	80755100
2015-11-23	1.6	1.5	1.63	1.5	24368800
2015-11-24	1.52	1.48	1.57	1.48	30699900
2015-11-25	1.52	1.49	1.55	1.55	36435500
2015-11-26	1.58	1.52	1.6	1.55	28316100
2015-11-27	1.55	1.55	1.61	1.6	34802200
2015-11-30	1.59	1.58	1.62	1.6	25935300
2015-12-01	1.61	1.56	1.63	1.58	18860000
2015-12-02	1.57	1.52	1.58	1.52	12678600
2015-12-03	1.52	1.44	1.55	1.46	10692700
2015-12-04	1.44	1.43	1.53	1.5	39053300
2015-12-08	1.49	1.43	1.51	1.43	27662700
2015-12-09	1.44	1.32	1.45	1.33	11066400
2015-12-11	1.34	1.24	1.34	1.24	9188600
2015-12-14	1.21	1.13	1.21	1.14	10243500
2015-12-15	1.17	1.15	1.23	1.21	10480100
2015-12-16	1.22	1.17	1.22	1.17	6156900
2015-12-17	1.19	1.17	1.28	1.23	16631900
2015-12-18	1.22	1.21	1.27	1.24	17398400
2015-12-21	1.22	1.16	1.23	1.17	3908500
2015-12-22	1.18	1.13	1.19	1.13	3743400
2015-12-23	1.15	1.14	1.2	1.18	6876900
2015-12-24	1.22	1.22	1.51	1.38	213083500
2015-12-25	1.35	1.3	1.37	1.36	34284000
2015-12-28	1.42	1.36	1.49	1.38	67967900
2015-12-29	1.36	1.34	1.42	1.42	18260400
2015-12-30	1.45	1.33	1.45	1.33	17170800
2016-01-04	1.38	1.33	1.44	1.35	24728400
2016-01-05	1.36	1.33	1.41	1.33	13343400
2016-01-06	1.33	1.31	1.34	1.33	5336200
2016-01-07	1.29	1.26	1.32	1.26	3162200
2016-01-08	1.27	1.27	1.34	1.31	9000300
2016-01-11	1.29	1.29	1.33	1.33	2520300
2016-01-12	1.34	1.34	1.45	1.37	83639300
2016-01-13	1.38	1.37	1.41	1.39	24334300
2016-01-14	1.38	1.37	1.43	1.38	18904200
2016-01-15	1.42	1.4	1.46	1.44	39475100
2016-01-18	1.43	1.43	1.54	1.52	59678700
2016-01-19	1.58	1.48	1.65	1.49	95701500
2016-01-20	1.48	1.39	1.48	1.4	18217700
2016-01-21	1.43	1.36	1.46	1.39	16742800
2016-01-22	1.42	1.39	1.43	1.42	6136900
2016-01-25	1.42	1.42	1.51	1.5	23629200
2016-01-26	1.5	1.46	1.54	1.48	24057800
2016-01-27	1.49	1.48	1.55	1.51	47910300
2016-01-28	1.53	1.5	1.57	1.51	38847400
2016-01-29	1.51	1.47	1.53	1.48	15582400
2016-02-01	1.5	1.48	1.56	1.53	25763200
2016-02-02	1.54	1.51	1.57	1.53	16454000
2016-02-03	1.52	1.51	1.54	1.53	4406300
2016-02-04	1.54	1.5	1.54	1.5	4256200
2016-02-05	1.51	1.49	1.54	1.5	5798000
2016-02-08	1.5	1.45	1.51	1.45	7727500
2016-02-09	1.42	1.4	1.45	1.4	7649800
2016-02-10	1.4	1.4	1.47	1.45	11302400
2016-02-11	1.45	1.39	1.49	1.4	12345800
2016-02-12	1.42	1.36	1.42	1.36	4753900
2016-02-15	1.37	1.37	1.41	1.38	1953200
2016-02-16	1.43	1.41	1.45	1.42	6889100
2016-02-17	1.42	1.39	1.43	1.39	3506800
2016-02-18	1.41	1.4	1.48	1.47	17389600
2016-02-19	1.47	1.46	1.51	1.47	15880700
2016-02-23	1.49	1.47	1.5	1.48	4823000
2016-02-24	1.48	1.45	1.48	1.45	2471700
2016-02-25	1.46	1.44	1.47	1.44	2243600
2016-02-26	1.44	1.44	1.46	1.45	2811600
