Date	Price Open	Price Low	Price High	Price Close	Volume
2011-03-14	57.0	80.0	80.5	80.5	8000.0
2011-06-08	70.5	71.0	71.0	71.0	50000.0
2011-08-04	81.0	78.25	78.25	78.25	300.0
2012-03-05	85.5	73.0	73.0	73.0	100.0
2012-03-09	85.5	71.5	71.75	71.75	12000.0
2012-03-13	85.5	67.0	69.0	67.0	300.0
2012-03-14	85.5	67.0	72.0	72.0	28200.0
2012-03-15	85.5	67.25	72.0	67.25	28300.0
2012-03-16	85.5	69.25	70.0	70.0	700.0
2012-03-19	85.5	71.75	72.0	71.75	300.0
2012-05-14	85.5	62.0	63.0	63.0	10600.0
2012-06-27	50.5	47.0	47.0	47.0	500.0
2012-06-29	53.0	51.0	57.5	57.25	14400.0
2012-07-02	53.0	58.75	58.75	58.75	2000.0
2012-08-08	53.0	65.0	65.0	65.0	4800.0
2013-06-10	41.0	65.5	65.5	65.5	1000.0
2014-02-27	47.0	51.5	51.5	51.5	2800.0
2014-04-02	53.0	52.75	53.0	53.0	400.0
2014-12-18	79.0	45.0	45.25	45.0	143000.0
2015-05-18	80.0	52.0	52.75	52.25	171700.0
2015-05-27	71.0	52.75	52.75	52.75	10000.0
2015-08-14	78.25	48.25	48.25	48.25	400.0
2016-03-21	72.0	68.5	69.5	69.0	8200.0
2016-03-22	72.0	68.0	68.75	68.0	3700.0
2016-03-24	72.0	67.75	68.25	67.75	15000.0
2016-04-28	62.0	64.5	66.75	64.75	20600.0
2016-05-03	62.0	66.0	66.0	66.0	4400.0
2016-05-10	62.0	62.5	62.5	62.5	1600.0
2016-05-18	62.0	66.25	67.0	66.75	12300.0
2016-05-23	62.0	63.5	63.5	63.5	6300.0
2016-05-24	62.0	63.25	63.5	63.5	51600.0
2016-05-25	62.0	63.0	63.75	63.0	108300.0
2016-05-26	62.0	63.25	64.25	63.5	261000.0
2016-05-27	62.0	63.25	63.5	63.25	201300.0
2016-05-30	62.0	63.0	64.0	64.0	156000.0
2016-05-31	62.0	63.0	63.0	63.0	10000.0
2016-06-03	62.0	65.0	65.25	65.25	10000.0
2016-06-07	62.0	64.5	64.75	64.5	5000.0
2016-06-08	62.0	63.0	63.0	63.0	5000.0
2016-06-16	51.0	64.0	64.0	64.0	5000.0
2016-06-20	58.75	61.0	62.5	62.5	400.0
2016-06-24	58.75	56.0	57.0	56.0	200.0
2016-06-28	58.75	54.0	54.0	54.0	5200.0
2016-07-07	58.75	59.5	59.5	59.5	200.0
2016-07-08	58.75	59.0	60.0	60.0	34500.0
2016-07-11	58.75	59.75	60.0	59.75	700.0
2016-07-13	58.75	60.5	61.25	60.5	36700.0
2016-07-20	58.75	61.75	62.25	62.0	48800.0
2016-08-09	65.0	62.75	64.5	64.5	500.0
2016-08-15	65.0	65.0	65.25	65.25	9600.0
2016-08-16	65.0	67.0	67.0	67.0	100.0
2016-08-19	65.0	67.25	68.25	67.25	24400.0
2016-08-22	65.0	68.0	68.0	68.0	10000.0
2016-08-25	65.0	68.25	69.0	68.75	23600.0
2016-09-02	65.0	70.0	70.0	70.0	10000.0
2016-09-06	65.0	68.5	69.75	69.5	42300.0
2016-09-07	65.0	68.5	68.5	68.5	100.0
2016-09-08	65.0	66.25	67.0	66.25	8400.0
2016-09-09	65.0	65.0	66.0	66.0	900.0
2016-09-12	65.0	64.5	65.25	64.75	79700.0
2016-09-14	65.0	65.0	66.25	66.25	7000.0
2016-09-20	65.0	67.25	68.25	68.25	16900.0
2016-09-23	65.0	68.25	68.25	68.25	100.0
2016-10-04	65.0	69.75	70.25	70.25	4800.0
2016-10-06	65.0	71.25	71.75	71.75	1500.0
