Date	Price Open	Price Low	Price High	Price Close	Volume
2017-04-05	6.75	6.6	7.05	6.7	705744000
2017-04-07	6.75	6.65	6.8	6.7	203829800
2017-04-10	6.75	6.35	6.75	6.35	190361800
2017-04-11	6.35	6.2	6.55	6.45	174526300
2017-04-12	6.5	6.4	6.65	6.55	57938800
2017-04-17	6.55	6.45	6.6	6.45	28527400
2017-04-18	6.55	6.45	6.55	6.5	16684900
2017-04-19	6.5	6.45	6.6	6.5	39676600
2017-04-20	6.55	6.55	6.85	6.75	120990900
2017-04-21	6.8	6.7	6.85	6.7	36946400
2017-04-24	6.7	6.55	6.75	6.55	17205600
2017-04-25	6.6	6.45	6.65	6.5	25530200
2017-04-26	6.55	6.5	6.7	6.6	27122600
2017-04-27	6.65	6.6	6.65	6.65	6412000
2017-04-28	6.65	6.6	6.7	6.6	15699800
2017-05-02	6.65	6.55	6.65	6.6	9812700
2017-05-03	6.6	6.55	6.65	6.6	10847300
2017-05-04	6.6	6.6	6.8	6.7	64777400
2017-05-05	6.75	6.7	6.9	6.85	76270000
2017-05-08	6.85	6.8	6.9	6.85	32301800
2017-05-09	6.85	6.75	6.9	6.75	60888400
2017-05-11	6.8	6.55	6.85	6.6	64281500
2017-05-12	6.65	6.55	6.75	6.65	25011000
2017-05-15	6.7	6.55	6.7	6.6	21780200
2017-05-16	6.6	6.6	6.75	6.7	17823000
2017-05-17	6.7	6.55	6.75	6.65	26174300
2017-05-18	6.6	6.6	6.9	6.75	47371000
2017-05-19	6.7	6.6	6.7	6.65	21646900
2017-05-22	6.7	6.6	6.7	6.6	11624400
2017-05-23	6.65	6.55	6.7	6.6	33833700
2017-05-24	6.6	6.55	6.65	6.6	20171000
2017-05-25	6.6	6.55	6.7	6.65	18242000
2017-05-26	6.65	6.6	6.75	6.65	18658900
2017-05-29	6.65	6.6	6.7	6.65	15124100
2017-05-30	6.65	6.65	6.75	6.65	10953500
2017-05-31	6.7	6.65	6.8	6.7	36295400
2017-06-01	6.7	6.65	6.75	6.65	7259100
2017-06-02	6.7	6.65	6.75	6.65	14036300
2017-06-05	6.7	6.65	6.7	6.65	3575800
2017-06-06	6.7	6.65	6.8	6.7	39332800
2017-06-07	6.75	6.65	6.75	6.7	9354500
2017-06-08	6.7	6.7	6.8	6.75	47893100
2017-06-09	6.8	6.75	7.0	6.95	224432800
2017-06-12	6.95	6.85	7.1	7.1	146714400
2017-06-13	7.1	6.95	7.1	7.0	47622400
2017-06-14	7.0	7.0	7.1	7.1	21668500
2017-06-15	7.1	6.95	7.1	7.0	38799400
2017-06-16	7.05	6.95	7.05	6.95	18415600
2017-06-19	7.0	6.9	7.05	7.0	39463500
2017-06-20	7.0	6.95	7.05	6.95	16114000
2017-06-21	7.0	6.95	7.05	6.95	24578100
2017-06-22	7.05	7.0	7.25	7.15	153846600
2017-06-23	7.15	7.1	7.2	7.2	40448500
2017-06-26	7.2	7.15	7.25	7.2	24580400
2017-06-27	7.2	7.15	7.3	7.15	48026400
2017-06-28	7.15	7.1	7.25	7.2	33760300
2017-06-29	7.2	7.2	7.3	7.25	49662100
2017-06-30	7.25	7.15	7.3	7.15	33103000
2017-07-03	7.15	7.1	7.2	7.2	14072700
2017-07-04	7.2	7.15	7.2	7.15	12737500
2017-07-05	7.2	7.05	7.2	7.1	47582100
2017-07-06	7.1	7.05	7.15	7.1	25046000
2017-07-07	7.1	7.1	7.2	7.1	22591100
2017-07-11	7.1	7.0	7.15	7.05	49368600
2017-07-12	7.1	7.05	7.2	7.15	35173100
2017-07-13	7.15	7.05	7.15	7.15	21162100
2017-07-14	7.15	7.0	7.15	7.05	27546500
2017-07-17	7.05	7.0	7.1	7.05	11087100
2017-07-18	7.05	6.95	7.1	7.0	28658500
2017-07-19	7.0	6.95	7.1	7.0	16113200
2017-07-20	7.0	7.0	7.4	7.4	173754000
2017-07-21	7.45	7.25	7.45	7.35	63278300
2017-07-24	7.35	7.3	7.6	7.5	94593300
2017-07-25	7.5	7.4	7.6	7.6	54045500
2017-07-26	7.6	7.3	7.7	7.35	91135700
2017-07-27	7.4	7.25	7.55	7.45	72594700
2017-07-31	7.45	7.35	7.5	7.4	27938700
2017-08-01	7.4	7.35	7.5	7.45	33468200
2017-08-02	7.5	7.35	7.5	7.4	18053700
2017-08-03	7.4	7.4	7.5	7.45	15877900
2017-08-04	7.45	7.45	7.55	7.55	21493300
2017-08-07	7.55	7.45	7.55	7.5	14796300
2017-08-08	7.5	7.45	7.6	7.55	32289800
2017-08-09	7.55	7.4	7.6	7.4	23345400
2017-08-10	7.35	7.3	7.4	7.3	32029800
2017-08-11	7.3	7.1	7.35	7.15	80200300
2017-08-15	7.25	7.2	7.3	7.25	36261000
2017-08-16	7.3	7.2	7.35	7.3	20068200
2017-08-17	7.3	7.2	7.35	7.25	8067000
2017-08-18	7.3	7.25	7.4	7.35	21617400
2017-08-21	7.4	7.35	7.4	7.4	8699100
2017-08-22	7.4	7.3	7.4	7.35	11697500
2017-08-23	7.35	7.35	7.5	7.4	24373200
2017-08-24	7.4	7.3	7.45	7.35	16259200
2017-08-25	7.35	7.3	7.4	7.4	6196600
2017-08-28	7.4	7.35	7.45	7.4	13361500
2017-08-29	7.45	7.4	7.55	7.5	55100000
2017-08-30	7.55	7.45	7.55	7.45	15330900
2017-08-31	7.45	7.35	7.5	7.35	28049700
2017-09-01	7.4	7.35	7.45	7.35	21254100
2017-09-04	7.4	7.3	7.4	7.35	57870400
2017-09-05	7.4	7.4	7.45	7.45	61768200
2017-09-06	7.4	7.4	7.6	7.5	60335000
2017-09-07	7.55	7.45	7.65	7.6	115204300
2017-09-08	7.65	7.45	7.75	7.5	154316400
2017-09-11	7.5	7.45	7.55	7.5	24222800
2017-09-12	7.45	7.4	7.5	7.4	10279600
2017-09-13	7.4	7.35	7.45	7.4	17131700
2017-09-14	7.4	7.35	7.45	7.4	8654000
2017-09-15	7.4	7.35	7.45	7.4	24855600
2017-09-18	7.4	7.35	7.4	7.35	12107500
2017-09-19	7.4	7.3	7.45	7.3	45654700
2017-09-20	7.3	7.3	7.4	7.35	24504900
2017-09-21	7.35	7.35	7.5	7.4	37761800
2017-09-22	7.4	7.3	7.45	7.35	20936300
2017-09-25	7.4	7.3	7.45	7.4	24554600
2017-09-26	7.4	7.35	7.5	7.4	26589400
2017-09-27	7.45	7.4	7.7	7.55	133568500
2017-09-28	7.55	7.5	7.6	7.6	32393000
2017-09-29	7.6	7.5	7.6	7.6	23847100
2017-10-02	7.6	7.5	7.7	7.65	29446700
2017-10-03	7.65	7.55	7.95	7.9	101868000
2017-10-04	7.95	7.8	8.0	7.95	57101900
2017-10-05	8.0	7.95	8.05	8.0	34076800
2017-10-06	8.0	7.7	8.05	7.8	101059000
2017-10-09	7.85	7.75	7.9	7.75	34499800
2017-10-10	7.8	7.65	7.8	7.65	43742500
2017-10-11	7.7	7.7	7.9	7.75	42486600
2017-10-12	7.75	7.65	7.8	7.7	30805800
2017-10-16	7.7	7.7	7.9	7.9	34156700
2017-10-17	7.9	7.8	7.9	7.8	15515300
2017-10-18	7.85	7.75	7.9	7.8	14622500
2017-10-19	7.8	7.7	7.9	7.7	35733900
2017-10-20	7.7	7.7	7.8	7.8	19808700
2017-10-24	7.8	7.8	7.9	7.9	17302800
2017-10-25	7.9	7.75	7.95	7.85	18467300
2017-10-27	7.85	7.85	8.0	7.95	33990200
2017-10-30	8.0	7.9	8.05	7.9	49371900
2017-10-31	7.9	7.85	8.0	8.0	19478600
2017-11-01	8.05	7.85	8.05	7.9	37746800
2017-11-02	8.0	8.0	8.3	8.25	168986200
2017-11-03	8.25	8.2	8.45	8.3	83624400
2017-11-06	8.3	8.3	8.45	8.35	48838000
2017-11-07	8.35	8.3	8.45	8.35	28714200
2017-11-08	8.35	8.1	8.35	8.2	50190200
2017-11-09	8.25	8.2	8.45	8.3	61528300
2017-11-10	8.25	8.1	8.3	8.15	40880400
2017-11-13	8.15	8.15	8.3	8.25	22215000
2017-11-14	8.25	8.15	8.35	8.2	28613800
2017-11-15	8.25	8.1	8.25	8.1	16225200
2017-11-16	8.15	8.1	8.3	8.2	30627700
2017-11-17	8.2	8.15	8.25	8.2	9692200
2017-11-20	8.2	8.05	8.3	8.1	30795500
2017-11-21	8.1	8.05	8.15	8.05	19867700
2017-11-22	8.05	8.05	8.15	8.05	9014500
2017-11-23	8.1	8.0	8.15	8.05	23719000
2017-11-24	8.05	7.85	8.05	7.9	46981300
2017-11-27	7.9	7.85	8.0	7.95	13564100
2017-11-28	7.95	7.85	8.1	7.95	33101200
2017-11-29	8.0	7.65	8.05	7.7	86702900
2017-11-30	7.7	7.65	7.85	7.85	62117100
2017-12-01	7.85	7.75	7.9	7.75	21315200
2017-12-04	7.8	7.7	7.9	7.75	27215600
2017-12-06	7.75	7.75	7.9	7.9	17638000
2017-12-07	7.9	7.85	7.95	7.9	15100200
2017-12-08	7.9	7.9	8.0	7.95	20786700
2017-12-12	7.85	7.85	7.9	7.85	14695300
2017-12-13	7.85	7.8	7.9	7.85	8917300
2017-12-14	7.9	7.85	8.05	8.0	24045800
2017-12-15	8.0	7.9	8.1	7.95	57507400
2017-12-18	7.95	7.8	7.95	7.8	28106300
2017-12-19	7.8	7.8	8.05	7.95	31789900
2017-12-20	7.95	7.85	8.0	7.9	13833900
2017-12-21	7.9	7.9	7.95	7.9	4190200
2017-12-22	7.9	7.9	8.0	7.9	7819100
2017-12-25	7.95	7.9	8.1	8.05	28734000
2017-12-26	8.05	8.0	8.1	8.1	26189900
2017-12-27	8.1	8.05	8.15	8.15	24825800
2017-12-28	8.15	8.0	8.2	8.05	18448400
2017-12-29	8.1	8.05	8.2	8.15	41967300
2018-01-03	8.15	8.1	8.25	8.2	28906500
2018-01-04	8.2	8.1	8.25	8.15	25739700
2018-01-05	8.15	8.0	8.2	8.0	30720300
2018-01-08	8.05	8.0	8.2	8.05	24615900
2018-01-09	8.05	8.0	8.15	8.05	19833000
2018-01-10	8.05	8.05	8.2	8.05	19459200
2018-01-11	8.05	7.95	8.1	8.0	37895800
2018-01-12	8.05	8.0	8.1	8.0	16203000
2018-01-15	8.1	8.0	8.15	8.0	27740300
2018-01-16	8.05	7.95	8.1	8.05	16135300
2018-01-17	8.05	7.9	8.05	7.95	28968700
2018-01-18	7.95	7.9	8.0	7.9	15230300
2018-01-19	7.95	7.85	7.95	7.9	12679600
2018-01-22	7.9	7.85	7.95	7.9	7635000
2018-01-23	7.95	7.85	8.05	7.9	26084200
2018-01-24	7.9	7.85	8.0	7.9	12877400
2018-01-25	7.95	7.85	7.95	7.85	9478000
2018-01-26	7.9	7.85	7.95	7.85	21938900
2018-01-29	7.9	7.85	8.1	8.05	49983300
2018-01-30	8.05	8.05	8.2	8.1	36999500
2018-01-31	8.1	8.05	8.15	8.05	20329100
2018-02-01	8.05	8.0	8.1	8.0	10441500
2018-02-02	8.05	7.95	8.05	8.0	11434900
2018-02-05	7.9	7.85	7.95	7.95	17299800
2018-02-06	7.8	7.7	7.85	7.85	51713800
2018-02-07	7.9	7.8	7.9	7.8	10700200
2018-02-08	7.85	7.8	7.85	7.85	5847300
2018-02-09	7.75	7.75	7.8	7.75	12748800
2018-02-12	7.8	7.75	7.85	7.8	8840000
2018-02-13	7.85	7.7	7.85	7.7	15256400
2018-02-14	7.75	7.65	7.75	7.7	10848100
2018-02-15	7.75	7.7	7.8	7.75	4839000
