Date	Price Open	Price Low	Price High	Price Close	Volume
2019-07-03	119.0	89.0	119.0	93.25	70900.0
2019-07-04	94.5	94.5	97.75	97.0	15800.0
2019-07-05	97.75	96.0	97.75	96.0	31500.0
2019-07-08	96.75	94.5	96.75	94.5	14600.0
2019-07-09	94.5	93.0	94.75	93.0	7600.0
2019-07-10	93.0	92.0	93.75	93.0	7100.0
2019-07-11	93.5	89.0	93.5	89.0	23500.0
2019-07-12	86.75	85.0	89.0	85.5	18800.0
2019-07-15	85.0	76.5	85.0	77.75	50600.0
2019-07-17	79.25	79.25	80.5	80.0	8500.0
2019-07-18	79.75	74.0	79.75	76.5	29800.0
2019-07-19	76.5	69.0	76.5	69.5	48200.0
2019-07-22	69.75	60.0	70.75	60.25	219700.0
2019-07-23	60.25	60.25	67.0	65.25	25900.0
2019-07-24	65.25	65.25	73.0	72.0	17500.0
2019-07-25	72.75	71.75	73.25	72.0	20100.0
2019-07-26	72.0	70.75	72.0	71.5	7200.0
2019-07-30	71.25	70.75	72.25	71.25	5200.0
2019-07-31	70.75	70.75	71.25	70.75	6200.0
2019-08-01	70.5	70.5	71.5	71.5	2400.0
2019-08-02	70.5	69.25	70.5	69.75	5500.0
2019-08-05	69.0	68.5	69.5	69.5	8000.0
2019-08-06	69.0	68.5	70.0	69.75	700.0
2019-08-07	69.75	69.5	69.75	69.75	600.0
2019-08-08	69.75	69.0	69.75	69.5	1200.0
2019-08-09	69.0	68.5	69.0	69.0	2700.0
2019-08-13	68.75	67.5	68.75	67.5	12800.0
2019-08-14	67.5	66.0	67.75	67.75	4100.0
2019-08-15	65.5	64.0	68.0	68.0	2900.0
2019-08-16	68.0	67.5	68.0	67.5	600.0
2019-08-19	67.5	66.25	67.5	66.25	2100.0
2019-08-20	66.25	65.25	66.25	65.75	16800.0
2019-08-22	65.5	65.0	65.5	65.0	1700.0
2019-08-23	65.0	64.5	65.0	65.0	600.0
2019-08-26	65.0	64.25	65.0	64.25	600.0
2019-08-27	64.0	63.25	64.0	64.0	8100.0
2019-08-28	63.0	62.75	63.0	63.0	4800.0
2019-08-29	63.25	62.25	63.25	62.25	2400.0
2019-08-30	65.5	62.25	65.5	62.5	1700.0
2019-09-02	65.75	65.75	65.75	65.75	100.0
2019-09-03	63.0	62.0	63.0	62.0	1800.0
2019-09-04	62.0	61.0	63.5	62.0	5600.0
2019-09-05	63.0	62.0	63.0	62.0	500.0
2019-09-06	65.0	62.0	65.0	62.0	1400.0
2019-09-09	62.0	62.0	62.0	62.0	800.0
2019-09-10	63.0	61.5	63.0	61.5	3600.0
2019-09-11	61.5	61.25	63.0	61.5	5100.0
2019-09-12	62.0	60.5	63.0	62.0	18700.0
2019-09-13	62.0	62.0	62.5	62.5	400.0
2019-09-16	62.25	60.5	63.0	60.75	3600.0
2019-09-18	61.25	61.25	61.25	61.25	100.0
2019-09-19	60.5	60.0	60.5	60.0	5500.0
2019-09-20	59.75	57.0	60.0	59.0	32600.0
2019-09-23	58.5	58.0	58.5	58.0	2900.0
2019-09-24	58.5	50.0	58.5	51.0	112200.0
2019-09-25	50.25	48.5	53.0	48.5	50100.0
2019-09-26	48.5	47.75	48.5	48.25	35400.0
2019-09-27	48.25	48.0	48.5	48.5	46600.0
2019-09-30	48.5	48.25	52.5	50.0	25300.0
2019-10-01	50.5	48.75	50.5	48.75	8300.0
2019-10-02	48.75	48.5	48.75	48.5	600.0
2019-10-03	48.5	48.25	48.75	48.25	3400.0
2019-10-04	49.0	49.0	49.0	49.0	400.0
2019-10-07	49.25	49.0	50.0	50.0	1300.0
