Date	Price Open	Price Low	Price High	Price Close	Volume
2014-02-24	10.1086794	3.9	3.9	3.9	1000.0
2014-02-27	10.0095747	3.92	3.92	3.92	6600.0
2014-03-03	10.1086794	3.98	3.98	3.98	100.0
2014-03-07	9.91047	3.7	3.98	3.7	4600.0
2014-03-10	9.91047	3.7	3.7	3.7	20000.0
2014-03-12	9.91047	4.0	4.0	4.0	100.0
2014-03-13	9.91047	3.5	3.64	3.64	9100.0
2014-03-14	9.91047	3.6	3.6	3.6	10300.0
2014-03-17	10.0095747	3.6	3.62	3.6	9000.0
2014-03-18	9.86091765	3.62	3.98	3.98	3100.0
2014-03-19	9.91047	3.6	3.68	3.6	9400.0
2014-03-20	9.91047	3.6	3.6	3.6	5000.0
2014-03-21	9.91047	3.7	3.76	3.76	55700.0
2014-03-24	9.91047	3.7	3.88	3.7	100200.0
2014-03-27	9.91047	3.7	3.8	3.8	49900.0
2014-03-31	9.91047	3.3	3.34	3.34	3100.0
2014-04-02	9.91047	3.32	3.5	3.5	8000.0
2014-04-03	9.91047	3.5	3.5	3.5	1000.0
2014-04-08	9.91047	3.5	3.5	3.5	8000.0
2014-04-16	9.91047	3.54	3.54	3.54	3000.0
2014-04-17	9.91047	3.5	4.0	4.0	20100.0
2014-04-21	9.91047	3.26	3.8	3.3	160600.0
2014-04-22	9.91047	3.4	3.42	3.42	800.0
2014-04-23	9.91047	3.3	3.32	3.32	2500.0
2014-04-24	9.91047	3.32	3.34	3.34	6000.0
2014-04-25	9.91047	3.32	3.32	3.32	100.0
2014-04-28	9.91047	3.32	3.32	3.32	3300.0
2014-04-29	9.91047	3.3	3.32	3.32	4200.0
2014-04-30	9.91047	3.22	3.32	3.32	2500.0
2014-05-02	9.91047	3.0	3.28	3.14	115500.0
2014-05-07	9.91047	3.14	3.14	3.14	2200.0
2014-05-12	9.91047	3.26	3.26	3.26	200.0
2014-05-15	9.91047	3.0	3.26	3.26	1000.0
2014-05-16	9.91047	3.26	3.26	3.26	200.0
2014-05-20	9.91047	3.0	4.2	3.26	10500.0
2014-05-22	10.0095747	3.96	3.98	3.96	5100.0
2014-05-23	10.1086794	3.26	3.88	3.68	20500.0
2014-05-26	10.1086794	3.3	3.3	3.3	16900.0
2014-05-27	10.1086794	3.2	3.3	3.3	5800.0
2014-05-28	10.1086794	3.3	3.5	3.5	400.0
2014-05-30	10.1086794	3.58	3.58	3.58	100.0
2014-06-02	10.1086794	3.4	3.6	3.6	21000.0
2014-06-03	10.1086794	3.4	3.4	3.4	5300.0
2014-06-04	10.1086794	3.3	3.6	3.3	5000.0
2014-06-05	10.1086794	3.36	3.5	3.44	14800.0
2014-06-06	10.1086794	3.34	3.36	3.34	4600.0
2014-06-09	10.1086794	3.3	3.44	3.34	3500.0
2014-06-10	10.1086794	3.3	3.34	3.34	400.0
2014-06-11	10.1086794	3.3	3.34	3.3	4000.0
2014-06-12	10.1086794	3.3	3.34	3.32	7100.0
2014-06-13	9.91047	3.08	3.36	3.22	8900.0
2014-06-16	9.91047	3.02	3.34	3.08	28500.0
2014-06-17	10.1086794	3.04	3.2	3.18	1600.0
2014-06-18	10.1086794	3.28	3.28	3.28	100.0
2014-06-19	10.1086794	3.1	3.3	3.3	1100.0
2014-06-23	10.1086794	3.12	3.12	3.12	100.0
