Date	Price Open	Price Low	Price High	Price Close	Volume
2018-02-28	20.1	20.1	20.1	20.1	8000.0
2018-10-01	18.0	18.0	18.0	18.0	500.0
2019-01-23	18.3	18.2	18.3	18.3	1400.0
2019-03-15	18.4	18.4	18.6	18.6	76100.0
2020-04-30	13.1	13.1	13.1	13.1	281300.0
2020-08-24	14.4	14.4	14.4	14.4	2300.0
2020-09-02	13.9	13.8	13.9	13.8	70300.0
2020-11-02	15.2	15.0	15.2	15.0	207000.0
2021-03-09	14.2	14.2	14.2	14.2	2400.0
2021-03-10	14.6	14.6	14.9	14.9	38000.0
2021-07-13	22.2	22.2	22.2	22.2	20000.0
2021-10-15	20.5	20.5	20.6	20.5	75900.0
2021-10-18	20.6	20.5	20.6	20.5	92700.0
2021-10-19	20.8	20.8	20.8	20.8	86400.0
2021-10-21	20.9	20.8	21.0	20.8	273200.0
2021-10-27	20.7	20.7	20.7	20.7	304500.0
2021-10-28	20.8	20.8	21.1	21.1	144000.0
2021-11-08	20.3	20.3	20.3	20.3	1600.0
2021-11-09	20.2	20.1	20.2	20.1	10400.0
2021-11-10	20.1	20.0	20.1	20.0	37400.0
2021-11-11	20.2	20.2	20.2	20.2	18400.0
2021-11-12	20.3	20.3	20.3	20.3	63300.0
2021-11-17	20.0	20.0	20.0	20.0	700.0
2021-11-23	19.3	19.3	19.3	19.3	5200.0
2021-11-24	19.5	19.5	19.5	19.5	2700.0
2021-12-01	19.7	19.7	19.7	19.7	117000.0
2021-12-07	20.1	20.1	20.2	20.2	2000.0
2021-12-08	20.2	20.2	20.2	20.2	4300.0
2021-12-21	19.3	19.3	19.3	19.3	7400.0
2021-12-22	19.3	19.3	19.3	19.3	1000.0
2021-12-27	19.3	19.3	19.3	19.3	1000.0
2021-12-30	19.5	19.5	19.5	19.5	20000.0
2022-01-07	20.5	20.5	20.5	20.5	6400.0
2022-01-25	20.3	20.3	20.3	20.3	2000.0
2022-03-01	20.3	20.3	20.3	20.3	67900.0
2022-03-03	19.9	19.9	19.9	19.9	25000.0
2022-03-11	18.5	18.5	18.5	18.5	15200.0
2022-03-22	18.7	18.7	18.7	18.7	259200.0
2022-03-24	18.8	18.8	18.9	18.8	715900.0
2022-05-10	17.0	17.0	17.0	17.0	10000.0
2022-05-12	16.4	16.3	16.4	16.3	53100.0
2022-05-24	16.5	16.4	16.5	16.4	119000.0
2022-05-25	16.6	16.6	16.6	16.6	400.0
2022-06-06	17.3	17.3	17.3	17.3	21400.0
2022-06-07	17.2	17.1	17.2	17.1	267400.0
2022-06-21	17.3	17.3	17.3	17.3	775000.0
2022-06-27	17.5	17.5	17.5	17.5	133600.0
2022-08-16	17.2	17.2	17.2	17.2	1600.0
2022-08-17	17.7	17.7	17.7	17.7	12200.0
2022-08-22	17.3	17.3	17.3	17.3	300.0
2022-09-16	16.5	16.5	16.5	16.5	1300.0
2022-10-11	18.3	18.3	18.3	18.3	700.0
2022-10-17	18.3	18.3	18.3	18.3	2500.0
2022-10-18	18.4	18.4	18.4	18.4	22300.0
2022-11-07	17.9	17.9	17.9	17.9	200.0
2022-11-14	17.1	17.1	17.1	17.1	7700.0
2022-11-25	17.0	16.9	17.0	16.9	8600.0
2022-12-08	16.8	16.8	17.0	17.0	21900.0
2022-12-09	16.9	16.7	16.9	16.7	565900.0
2022-12-13	16.5	16.5	16.5	16.5	2400.0
2022-12-16	16.6	16.6	16.6	16.6	12000.0
2022-12-20	16.8	16.8	16.8	16.8	95500.0
